"","April"
"1",2635906
"2",3004
"3",0
"4",150
"5",0
"6",0
"7",172
"8",14412
"9",44
"10",0
"11",0
"12",0
"13",0
"14",24321
"15",0
"16",295
"17",6
"18",0
"19",691
"20",5651
"21",5172
"22",1289
"23",0
"24",0
"25",0
"26",3096
"27",51124
"28",0
"29",0
"30",2348
"31",0
"32",271
"33",89146
"34",0
"35",276
"36",218
"37",327
"38",0
"39",37109
"40",2171
"41",0
"42",38
"43",107
"44",0
"45",328597
"46",0
"47",205809
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",260
"55",0
"56",0
"57",0
"58",0
"59",245
"60",435
"61",1004
"62",122
"63",4012
"64",1161
"65",3517
"66",9614
"67",288
"68",4770
"69",12
"70",2411
"71",3064
"72",111186
"73",591
"74",145
"75",4748
"76",3
"77",3617
"78",3847
"79",0
"80",4
"81",347
"82",0
"83",482
"84",0
"85",0
"86",38
"87",68
"88",2977
"89",14613
"90",2047
"91",30965
"92",1383
"93",128
"94",0
"95",335
"96",48
"97",0
"98",100
"99",3640
"100",0
"101",18349
"102",19
"103",0
"104",0
"105",254
"106",5176
"107",569
"108",122271
"109",178
"110",520
"111",239687
"112",0
"113",0
"114",0
"115",0
"116",105645
"117",8784292
"118",2069
"119",86
"120",306
"121",0
"122",0
"123",2369
"124",0
"125",0
"126",73
"127",126
"128",0
"129",0
"130",0
"131",2878
"132",0
"133",12
"134",349
"135",0
"136",0
"137",2377
"138",482
"139",743
"140",4621
"141",0
"142",75
"143",19594
"144",0
"145",0
"146",19
"147",158659
"148",162655
"149",15550
"150",180
"151",1213180
"152",95429
"153",0
"154",0
"155",65
"156",139083
"157",56489
"158",1442
"159",6062
"160",3181
"161",6
"162",0
"163",2991
"164",173
"165",156
"166",20
"167",4081
"168",14
"169",0
"170",2131
"171",0
"172",1656
"173",0
"174",340410
"175",95790
"176",8467
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",1221202
"185",0
"186",1214857
"187",295
"188",0
"189",960
"190",888142
"191",1593
"192",236655
"193",1198
"194",309
"195",213
"196",0
"197",0
"198",96063
"199",2
"200",0
"201",1699
"202",0
"203",70
"204",0
"205",0
"206",435
"207",33
"208",64
"209",214679
"210",36241
"211",3391
"212",84046
"213",0
"214",21
"215",1325
"216",301805
"217",0
"218",0
"219",0
"220",0
"221",75555
"222",25
"223",246
"224",1463892
"225",55
"226",0
"227",0
"228",0
"229",0
"230",105
"231",130
"232",820
"233",337
"234",520
"235",0
"236",0
"237",580
"238",2763
"239",71
"240",365
"241",12558989
"242",2385
"243",0
"244",0
"245",0
"246",131
"247",0
"248",0
"249",35
