"","August"
"1",817642
"2",3386
"3",0
"4",528
"5",3
"6",88
"7",39
"8",40411
"9",0
"10",0
"11",3
"12",0
"13",0
"14",4450
"15",2403
"16",164
"17",4
"18",375
"19",26
"20",5650
"21",3111
"22",2769
"23",5
"24",0
"25",0
"26",9972
"27",56898
"28",3
"29",0
"30",687
"31",0
"32",55
"33",58474
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",3182
"41",190
"42",13978
"43",1
"44",408
"45",11465297
"46",0
"47",27866
"48",0
"49",0
"50",0
"51",0
"52",0
"53",6263
"54",93
"55",3
"56",0
"57",270
"58",162
"59",0
"60",2067
"61",0
"62",37
"63",18694
"64",6227
"65",17300
"66",14956
"67",2167
"68",4463
"69",0
"70",3293
"71",5401
"72",103845
"73",2823
"74",314
"75",573
"76",6
"77",10628
"78",13975
"79",115
"80",931
"81",13
"82",48
"83",13749
"84",0
"85",0
"86",3834
"87",1369
"88",3147
"89",18831
"90",6148
"91",57357
"92",298
"93",358
"94",604
"95",1271
"96",922
"97",9
"98",0
"99",0
"100",39
"101",511
"102",16
"103",0
"104",0
"105",473
"106",10612
"107",2664
"108",125204
"109",1108
"110",5673
"111",993752
"112",342439
"113",101
"114",0
"115",3014
"116",284465
"117",6348966
"118",3507
"119",289
"120",24356
"121",2
"122",2717
"123",1058
"124",0
"125",238
"126",144
"127",418
"128",0
"129",44
"130",0
"131",2461
"132",85
"133",10
"134",14938
"135",0
"136",0
"137",6776
"138",11327
"139",13526
"140",527
"141",0
"142",30
"143",16300
"144",0
"145",0
"146",0
"147",123495
"148",24295
"149",12209
"150",2
"151",453413
"152",88099
"153",0
"154",0
"155",8
"156",84392
"157",40659
"158",330
"159",4631
"160",1175
"161",9
"162",0
"163",396
"164",233
"165",0
"166",0
"167",8040
"168",0
"169",82
"170",637
"171",0
"172",0
"173",65998
"174",85159
"175",35780
"176",8559
"177",0
"178",60
"179",0
"180",149083
"181",981
"182",149061
"183",0
"184",724
"185",800
"186",254084
"187",640
"188",0
"189",407
"190",2118
"191",30470
"192",514
"193",97
"194",191
"195",268
"196",0
"197",0
"198",108028
"199",6
"200",0
"201",7032
"202",0
"203",3
"204",150
"205",0
"206",58867
"207",2
"208",107
"209",222
"210",50015
"211",9609
"212",189389
"213",17912
"214",25
"215",0
"216",975565
"217",0
"218",0
"219",10
"220",0
"221",76903
"222",25
"223",210
"224",1411647
"225",993
"226",0
"227",0
"228",148
"229",0
"230",0
"231",150
"232",614
"233",749
"234",410
"235",25
"236",10
"237",130
"238",1015
"239",0
"240",0
"241",2268049
"242",4861
"243",0
"244",0
"245",0
"246",1
"247",0
"248",29
"249",4
