"","February"
"1",1465457
"2",88
"3",0
"4",222
"5",0
"6",63
"7",2
"8",3059
"9",0
"10",0
"11",0
"12",0
"13",0
"14",13516
"15",0
"16",180
"17",13
"18",138
"19",5
"20",4208
"21",8621
"22",395
"23",0
"24",3
"25",0
"26",771
"27",6684
"28",0
"29",0
"30",2194
"31",0
"32",70
"33",134018
"34",0
"35",32
"36",48269
"37",1287375
"38",13
"39",0
"40",0
"41",0
"42",0
"43",47
"44",0
"45",496976
"46",0
"47",212069
"48",0
"49",0
"50",0
"51",142
"52",0
"53",120
"54",2239
"55",0
"56",181
"57",106
"58",0
"59",0
"60",145
"61",18
"62",0
"63",2756
"64",373
"65",1348
"66",3350
"67",410
"68",477
"69",0
"70",173
"71",445
"72",18952
"73",184
"74",69
"75",1210
"76",27
"77",824
"78",408
"79",0
"80",49
"81",0
"82",0
"83",808
"84",0
"85",0
"86",597
"87",186
"88",881
"89",10901
"90",10
"91",11270
"92",40
"93",49
"94",0
"95",33
"96",0
"97",0
"98",0
"99",0
"100",0
"101",397
"102",0
"103",0
"104",0
"105",1
"106",4010
"107",511
"108",45537
"109",76
"110",404
"111",104917
"112",0
"113",0
"114",0
"115",4311
"116",17902
"117",18428692
"118",281
"119",44
"120",10574
"121",0
"122",0
"123",6399
"124",0
"125",0
"126",0
"127",174
"128",0
"129",650
"130",21
"131",1422
"132",0
"133",0
"134",964
"135",0
"136",0
"137",4072
"138",1863
"139",3219
"140",157
"141",0
"142",0
"143",1689
"144",0
"145",0
"146",0
"147",79860
"148",31491
"149",748
"150",0
"151",442557
"152",11582
"153",0
"154",0
"155",0
"156",136767
"157",37348
"158",658
"159",8417
"160",1254
"161",13
"162",0
"163",440
"164",114
"165",124
"166",1
"167",367
"168",55
"169",0
"170",384
"171",0
"172",632
"173",368435
"174",188445
"175",56011
"176",1981
"177",0
"178",0
"179",0
"180",2119
"181",32281
"182",1839
"183",0
"184",314630
"185",0
"186",198017
"187",115
"188",0
"189",252
"190",0
"191",2377
"192",459726
"193",19
"194",69
"195",0
"196",0
"197",60
"198",70188
"199",0
"200",0
"201",4269
"202",0
"203",0
"204",0
"205",22
"206",385
"207",0
"208",66139
"209",140542
"210",47260
"211",3288
"212",29001
"213",0
"214",18
"215",231
"216",0
"217",0
"218",0
"219",5
"220",0
"221",17591
"222",5
"223",1041
"224",408268
"225",0
"226",0
"227",0
"228",49
"229",3
"230",0
"231",70
"232",502
"233",228
"234",301
"235",0
"236",10
"237",479
"238",4
"239",1
"240",0
"241",20350632
"242",2417
"243",2
"244",0
"245",0
"246",151
"247",0
"248",0
"249",17
