"","July"
"1",1078721
"2",44203
"3",0
"4",758
"5",4
"6",1897
"7",98
"8",37332
"9",0
"10",0
"11",0
"12",0
"13",18
"14",6971
"15",657
"16",0
"17",57
"18",0
"19",35
"20",15461
"21",4947
"22",1892
"23",0
"24",0
"25",63
"26",7690
"27",74650
"28",0
"29",0
"30",544
"31",0
"32",24
"33",111998
"34",289
"35",506
"36",0
"37",78
"38",47110
"39",0
"40",1335
"41",0
"42",37242
"43",144
"44",0
"45",13807142
"46",0
"47",121094
"48",0
"49",0
"50",0
"51",0
"52",55
"53",521
"54",516
"55",390
"56",0
"57",10
"58",315
"59",0
"60",2058
"61",2994
"62",54
"63",3726
"64",5331
"65",15923
"66",8216
"67",1790
"68",4735
"69",37
"70",3343
"71",6591
"72",52015
"73",2341
"74",171
"75",214
"76",1
"77",6657
"78",8536
"79",79
"80",1242
"81",26
"82",0
"83",4331
"84",0
"85",0
"86",1291
"87",1203
"88",3618
"89",5663
"90",4546
"91",68089
"92",2477
"93",326
"94",333
"95",972
"96",189
"97",20
"98",65
"99",0
"100",0
"101",892
"102",22
"103",0
"104",0
"105",690
"106",3450
"107",3103
"108",145636
"109",603
"110",18916
"111",387621
"112",585850
"113",21
"114",165
"115",2987
"116",155363
"117",3770973
"118",6183
"119",50
"120",58368
"121",0
"122",598
"123",1166
"124",0
"125",797
"126",58
"127",65
"128",0
"129",3
"130",0
"131",3013
"132",0
"133",0
"134",19454
"135",15
"136",0
"137",9143
"138",2396
"139",45240
"140",18
"141",61
"142",80
"143",14243
"144",0
"145",0
"146",0
"147",161101
"148",50927
"149",78888
"150",0
"151",698917
"152",59366
"153",0
"154",0
"155",155
"156",52462
"157",45430
"158",865
"159",6576
"160",1841
"161",7
"162",0
"163",277
"164",0
"165",0
"166",15
"167",8553
"168",236
"169",0
"170",347
"171",0
"172",0
"173",31158
"174",122609
"175",45199
"176",9937
"177",0
"178",220
"179",0
"180",311361
"181",656
"182",333064
"183",0
"184",0
"185",0
"186",27217
"187",536
"188",27
"189",699
"190",478759
"191",32744
"192",11569
"193",63
"194",100
"195",181
"196",0
"197",2
"198",119212
"199",5
"200",0
"201",5555
"202",0
"203",0
"204",0
"205",0
"206",3645
"207",0
"208",0
"209",873
"210",32893
"211",6298
"212",194348
"213",17941
"214",149
"215",11
"216",306868
"217",0
"218",0
"219",10
"220",0
"221",89468
"222",10
"223",1161
"224",365625
"225",905
"226",0
"227",0
"228",59
"229",0
"230",0
"231",160
"232",228
"233",99
"234",417
"235",0
"236",15
"237",82
"238",6384
"239",2
"240",0
"241",5397885
"242",2777
"243",0
"244",800
"245",100
"246",75
"247",0
"248",10
"249",4
