"","June"
"1",2284707
"2",65787
"3",0
"4",984
"5",14
"6",10913
"7",159
"8",37608
"9",0
"10",0
"11",0
"12",12
"13",119
"14",8956
"15",1519
"16",216
"17",32
"18",241
"19",11935
"20",6071
"21",5010
"22",2303
"23",0
"24",0
"25",0
"26",6217
"27",65942
"28",0
"29",0
"30",772
"31",0
"32",189
"33",113069
"34",0
"35",313
"36",0
"37",0
"38",9295
"39",0
"40",1078
"41",0
"42",24938
"43",5
"44",188
"45",4736932
"46",0
"47",1254405
"48",8
"49",0
"50",0
"51",0
"52",0
"53",2080
"54",128
"55",0
"56",0
"57",0
"58",297
"59",8
"60",1345
"61",514
"62",41
"63",22274
"64",5238
"65",9961
"66",7412
"67",721
"68",8803
"69",0
"70",2463
"71",4139
"72",116281
"73",3015
"74",224
"75",2734
"76",9
"77",8806
"78",7194
"79",0
"80",1258
"81",264
"82",0
"83",7901
"84",0
"85",180
"86",940
"87",605
"88",5068
"89",15600
"90",9131
"91",31819
"92",2259
"93",239
"94",367
"95",779
"96",178
"97",27
"98",13
"99",5066
"100",4
"101",4007
"102",38
"103",0
"104",1778
"105",654
"106",4717
"107",2278
"108",131410
"109",906
"110",28684
"111",292345
"112",1535869
"113",1
"114",0
"115",0
"116",154033
"117",2920979
"118",5920
"119",168
"120",92261
"121",0
"122",18
"123",2311
"124",0
"125",1162
"126",27
"127",443
"128",0
"129",25
"130",0
"131",2075
"132",7
"133",0
"134",8019
"135",0
"136",50
"137",11645
"138",1942
"139",38652
"140",667
"141",88
"142",0
"143",23650
"144",0
"145",0
"146",0
"147",127867
"148",63538
"149",69350
"150",9
"151",546587
"152",61299
"153",143
"154",0
"155",0
"156",49851
"157",32275
"158",3279
"159",22421
"160",2700
"161",11
"162",0
"163",0
"164",0
"165",0
"166",2
"167",0
"168",1163
"169",0
"170",75
"171",0
"172",0
"173",27572
"174",86072
"175",28308
"176",11498
"177",0
"178",0
"179",0
"180",74019
"181",5030
"182",77412
"183",0
"184",496
"185",0
"186",873
"187",251
"188",213
"189",720
"190",3500977
"191",16734
"192",57055
"193",533
"194",152
"195",197
"196",0
"197",396
"198",106218
"199",3
"200",0
"201",4523
"202",0
"203",0
"204",0
"205",0
"206",4846
"207",30
"208",427
"209",1399
"210",51385
"211",4862
"212",214752
"213",19371
"214",36
"215",248
"216",515735
"217",0
"218",0
"219",0
"220",0
"221",201048
"222",50
"223",1736
"224",1119269
"225",155
"226",0
"227",0
"228",71
"229",0
"230",0
"231",90
"232",48
"233",64
"234",560
"235",0
"236",30
"237",224
"238",6532
"239",0
"240",0
"241",7936857
"242",2274
"243",30
"244",0
"245",5
"246",4
"247",0
"248",6
"249",400
