"","Landings"
"1",25911754
"2",177051
"3",2
"4",4238
"5",246
"6",96192
"7",5644
"8",255920
"9",44
"10",1902
"11",21
"12",12
"13",137
"14",192764
"15",80652
"16",2001
"17",246
"18",11561
"19",15158
"20",59663
"21",47477
"22",16423
"23",5
"24",229
"25",63
"26",51070
"27",496280
"28",3
"29",73
"30",20432
"31",69
"32",1464
"33",847521
"34",289
"35",8115
"36",190807
"37",7604982
"38",56418
"39",93539
"40",16003
"41",190
"42",122503
"43",1089
"44",5352
"45",48316798
"46",471
"47",2798511
"48",481
"49",60
"50",5
"51",161
"52",2954
"53",127223
"54",7381
"55",871
"56",181
"57",667
"58",1312
"59",1130
"60",12350
"61",7160
"62",1524
"63",180425
"64",31997
"65",110603
"66",99094
"67",17777
"68",54632
"69",61
"70",29078
"71",35463
"72",978216
"73",21967
"74",1622
"75",25124
"76",279
"77",77890
"78",62794
"79",477
"80",6478
"81",986
"82",48
"83",67449
"84",23
"85",271
"86",12059
"87",6748
"88",40312
"89",188591
"90",43043
"91",429310
"92",12382
"93",2218
"94",2186
"95",13852
"96",10143
"97",286
"98",297
"99",8710
"100",224
"101",50868
"102",334
"103",15
"104",1778
"105",3720
"106",50549
"107",22851
"108",1609230
"109",7278
"110",110665
"111",4136065
"112",5137923
"113",1567
"114",557
"115",10446
"116",1631198
"117",118192953
"118",41252
"119",4216
"120",217569
"121",6
"122",52241
"123",37417
"124",76
"125",5938
"126",384
"127",4554
"128",371
"129",893
"130",65
"131",23100
"132",4205
"133",40
"134",121624
"135",15
"136",50
"137",58462
"138",31584
"139",325414
"140",11716
"141",1849
"142",373
"143",173615
"144",237
"145",1782
"146",19
"147",1271691
"148",581052
"149",228804
"150",391
"151",7307213
"152",675338
"153",147
"154",50
"155",635
"156",1411037
"157",501417
"158",16542
"159",84218
"160",29292
"161",123
"162",478
"163",9493
"164",1131
"165",398
"166",48
"167",27692
"168",1726
"169",82
"170",12741
"171",36
"172",2888
"173",4048187
"174",1964031
"175",647893
"176",175785
"177",73
"178",981
"179",3
"180",4150686
"181",157035
"182",679223
"183",53
"184",1719559
"185",1978
"186",2554382
"187",4467
"188",462
"189",8986
"190",10992504
"191",110060
"192",6492910
"193",2991
"194",1707
"195",1228
"196",10
"197",1077
"198",1088695
"199",31
"200",9
"201",56010
"202",22
"203",1338
"204",2491
"205",52
"206",90963
"207",79
"208",705704
"209",1565009
"210",447124
"211",91747
"212",1128803
"213",86369
"214",343
"215",5342
"216",2459095
"217",30
"218",90
"219",125
"220",62
"221",642459
"222",129
"223",36259
"224",15166155
"225",3183
"226",2
"227",2
"228",799
"229",3
"230",162
"231",1422
"232",4603
"233",4505
"234",5500
"235",25
"236",140
"237",2080
"238",26153
"239",1231
"240",1025
"241",261940567
"242",42716
"243",32
"244",1620
"245",230
"246",914
"247",1
"248",60
"249",529
