"","March"
"1",1859059
"2",105
"3",2
"4",209
"5",55
"6",0
"7",104
"8",6225
"9",0
"10",0
"11",0
"12",0
"13",0
"14",33708
"15",101
"16",0
"17",45
"18",65
"19",5
"20",2208
"21",4042
"22",1198
"23",0
"24",0
"25",0
"26",1145
"27",31634
"28",0
"29",0
"30",2553
"31",0
"32",378
"33",100994
"34",0
"35",195
"36",3331
"37",401217
"38",0
"39",56430
"40",192
"41",0
"42",182
"43",102
"44",0
"45",936185
"46",0
"47",240916
"48",0
"49",5
"50",0
"51",0
"52",0
"53",95
"54",2254
"55",0
"56",0
"57",10
"58",0
"59",0
"60",318
"61",92
"62",925
"63",735
"64",713
"65",2032
"66",6670
"67",136
"68",2055
"69",0
"70",872
"71",439
"72",83441
"73",763
"74",49
"75",3049
"76",0
"77",3189
"78",1701
"79",0
"80",301
"81",232
"82",0
"83",798
"84",0
"85",20
"86",46
"87",155
"88",1756
"89",6950
"90",846
"91",2935
"92",1020
"93",123
"94",328
"95",272
"96",24
"97",15
"98",0
"99",0
"100",0
"101",1449
"102",14
"103",0
"104",0
"105",176
"106",2555
"107",637
"108",159382
"109",150
"110",174
"111",173017
"112",0
"113",0
"114",0
"115",0
"116",96195
"117",21744435
"118",2740
"119",14
"120",5609
"121",0
"122",0
"123",3419
"124",0
"125",0
"126",0
"127",431
"128",371
"129",33
"130",0
"131",1677
"132",70
"133",7
"134",1527
"135",0
"136",0
"137",1963
"138",512
"139",86
"140",1151
"141",0
"142",0
"143",13814
"144",0
"145",0
"146",0
"147",42411
"148",133293
"149",2728
"150",0
"151",633894
"152",25606
"153",4
"154",0
"155",0
"156",27728
"157",34802
"158",1225
"159",4549
"160",2151
"161",13
"162",0
"163",970
"164",311
"165",10
"166",0
"167",679
"168",57
"169",0
"170",2670
"171",36
"172",101
"173",100920
"174",217059
"175",69584
"176",36954
"177",0
"178",0
"179",0
"180",675
"181",13695
"182",293
"183",0
"184",83118
"185",0
"186",58178
"187",442
"188",0
"189",1065
"190",20
"191",264
"192",194987
"193",467
"194",49
"195",27
"196",0
"197",10
"198",110189
"199",0
"200",0
"201",4350
"202",22
"203",120
"204",0
"205",0
"206",160
"207",0
"208",33419
"209",191581
"210",45985
"211",791
"212",49153
"213",8
"214",20
"215",970
"216",0
"217",0
"218",0
"219",0
"220",30
"221",74863
"222",2
"223",1702
"224",929990
"225",0
"226",0
"227",0
"228",75
"229",0
"230",26
"231",248
"232",445
"233",493
"234",725
"235",0
"236",32
"237",471
"238",2128
"239",62
"240",0
"241",5680659
"242",4716
"243",0
"244",0
"245",40
"246",37
"247",1
"248",2
"249",13
