"","May"
"1",1588518
"2",57772
"3",0
"4",376
"5",0
"6",985
"7",197
"8",22407
"9",0
"10",0
"11",0
"12",0
"13",0
"14",15381
"15",897
"16",838
"17",33
"18",338
"19",2339
"20",9213
"21",1711
"22",287
"23",0
"24",0
"25",0
"26",4037
"27",52885
"28",0
"29",0
"30",1713
"31",0
"32",88
"33",38986
"34",0
"35",334
"36",0
"37",0
"38",0
"39",0
"40",1160
"41",0
"42",16945
"43",568
"44",0
"45",281415
"46",0
"47",233125
"48",0
"49",0
"50",0
"51",19
"52",0
"53",2207
"54",528
"55",71
"56",0
"57",31
"58",220
"59",0
"60",927
"61",1104
"62",101
"63",5182
"64",2581
"65",7247
"66",4368
"67",761
"68",6083
"69",0
"70",1348
"71",2142
"72",60609
"73",1759
"74",118
"75",6425
"76",15
"77",4881
"78",4177
"79",0
"80",991
"81",24
"82",0
"83",1167
"84",0
"85",38
"86",297
"87",32
"88",5257
"89",12065
"90",9619
"91",37408
"92",3045
"93",160
"94",88
"95",653
"96",317
"97",23
"98",0
"99",4
"100",0
"101",6722
"102",10
"103",0
"104",0
"105",270
"106",2659
"107",1787
"108",49589
"109",665
"110",27075
"111",192841
"112",1889484
"113",0
"114",171
"115",0
"116",75730
"117",4354590
"118",2307
"119",249
"120",381
"121",0
"122",0
"123",1414
"124",76
"125",2001
"126",0
"127",137
"128",0
"129",30
"130",0
"131",3258
"132",18
"133",7
"134",419
"135",0
"136",0
"137",3554
"138",2291
"139",78254
"140",550
"141",0
"142",0
"143",9569
"144",0
"145",0
"146",0
"147",153826
"148",113878
"149",45677
"150",0
"151",402644
"152",46977
"153",0
"154",0
"155",264
"156",56903
"157",26798
"158",3202
"159",2832
"160",2060
"161",7
"162",0
"163",0
"164",0
"165",0
"166",2
"167",0
"168",0
"169",0
"170",171
"171",0
"172",0
"173",6813
"174",84613
"175",34017
"176",11819
"177",0
"178",0
"179",3
"180",145
"181",3296
"182",0
"183",0
"184",0
"185",0
"186",62665
"187",235
"188",0
"189",568
"190",6119297
"191",2512
"192",118226
"193",37
"194",116
"195",175
"196",0
"197",110
"198",97516
"199",11
"200",9
"201",1628
"202",0
"203",0
"204",0
"205",0
"206",3837
"207",0
"208",0
"209",158804
"210",36661
"211",8012
"212",124019
"213",6420
"214",31
"215",1480
"216",243763
"217",0
"218",0
"219",20
"220",0
"221",71360
"222",11
"223",450
"224",1116282
"225",210
"226",0
"227",0
"228",85
"229",0
"230",0
"231",164
"232",373
"233",131
"234",397
"235",0
"236",20
"237",0
"238",1480
"239",0
"240",71
"241",13059556
"242",1953
"243",0
"244",700
"245",0
"246",75
"247",0
"248",0
"249",31
