"","Novem.ber"
"1",4069563
"2",473
"3",70
"4",506
"5",2694
"6",6630
"7",0
"8",0
"9",1447
"10",228
"11",0
"12",18
"13",0
"14",0
"15",499
"16",25
"17",28377
"18",0
"19",5
"20",0
"21",0
"22",1403
"23",0
"24",10285
"25",152
"26",140
"27",132448
"28",1
"29",4584
"30",0
"31",0
"32",0
"33",0
"34",1979
"35",19774
"36",668
"37",164
"38",4579684
"39",661611
"40",718
"41",0
"42",3
"43",516
"44",41814
"45",13
"46",523
"47",40
"48",0
"49",220
"50",25
"51",17
"52",471
"53",24
"54",40
"55",123
"56",715
"57",3715
"58",5793
"59",4781
"60",1882
"61",682
"62",7124
"63",0
"64",1497
"65",1898
"66",2
"67",1086
"68",51
"69",7885
"70",3048
"71",71
"72",223
"73",16
"74",7
"75",0
"76",9
"77",283
"78",0
"79",281
"80",3042
"81",0
"82",4
"83",344
"84",326
"85",0
"86",34
"87",123
"88",0
"89",14
"90",48
"91",0
"92",186
"93",3203
"94",5
"95",137
"96",0
"97",419
"98",0
"99",6151
"100",229
"101",0
"102",660
"103",233190
"104",0
"105",0
"106",1
"107",0
"108",1077
"109",1865492
"110",0
"111",9
"112",727
"113",1095
"114",1271
"115",0
"116",4525
"117",489
"118",575
"119",0
"120",0
"121",0
"122",53
"123",125
"124",0
"125",0
"126",82
"127",9860
"128",0
"129",480
"130",31
"131",0
"132",19935
"133",228
"134",0
"135",4791
"136",0
"137",78
"138",44874
"139",10
"140",871
"141",0
"142",0
"143",396152
"144",822
"145",2
"146",131202
"147",7729
"148",380
"149",6
"150",2670
"151",28
"152",129
"153",963
"154",7
"155",0
"156",16
"157",2
"158",582
"159",0
"160",17
"161",311
"162",162581
"163",77685
"164",81602
"165",0
"166",0
"167",3662
"168",566
"169",0
"170",42213
"171",3369
"172",5679
"173",69
"174",0
"175",535
"176",0
"177",0
"178",258
"179",0
"180",0
"181",590
"182",361
"183",86
"184",6103871
"185",0
"186",99
"187",10149
"188",0
"189",118
"190",0
"191",57815
"192",59035
"193",0
"194",6
"195",3767
"196",13
"197",0
"198",29120
"199",0
"200",9791
"201",0
"202",173866
"203",6411
"204",3588
"205",4054
"206",0
"207",0
"208",29
"209",0
"210",0
"211",0
"212",0
"213",4228
"214",0
"215",1754
"216",0
"217",3877
"218",1220663
"219",17
"220",98
"221",0
"222",64
"223",270
"224",0
"225",97
"226",0
"227",0
"228",72732
"229",10335
"230",0
"231",0
"232",0
"233",0
