"","November"
"1",7544530
"2",424
"3",0
"4",108
"5",25
"6",9
"7",516
"8",15568
"9",0
"10",410
"11",9
"12",0
"13",0
"14",10679
"15",10659
"16",129
"17",10
"18",2121
"19",0
"20",1122
"21",3839
"22",218
"23",0
"24",34
"25",0
"26",2335
"27",20977
"28",0
"29",73
"30",1747
"31",0
"32",9
"33",31408
"34",0
"35",230
"36",1065
"37",35501
"38",0
"39",0
"40",798
"41",0
"42",661
"43",32
"44",269
"45",130981
"46",0
"47",102853
"48",473
"49",0
"50",5
"51",0
"52",1159
"53",13686
"54",1
"55",0
"56",0
"57",0
"58",0
"59",515
"60",766
"61",0
"62",0
"63",32339
"64",1547
"65",11314
"66",13647
"67",1625
"68",4386
"69",0
"70",3276
"71",1899
"72",104321
"73",1743
"74",21
"75",359
"76",36
"77",9167
"78",3237
"79",0
"80",57
"81",9
"82",0
"83",9953
"84",18
"85",0
"86",381
"87",170
"88",4547
"89",26659
"90",2602
"91",59050
"92",237
"93",158
"94",72
"95",856
"96",26
"97",0
"98",115
"99",0
"100",173
"101",5864
"102",150
"103",15
"104",0
"105",202
"106",2625
"107",1812
"108",181626
"109",367
"110",1197
"111",460850
"112",0
"113",0
"114",0
"115",0
"116",124006
"117",5217641
"118",4260
"119",429
"120",4938
"121",4
"122",13384
"123",1500
"124",0
"125",0
"126",0
"127",1433
"128",0
"129",52
"130",0
"131",841
"132",788
"133",0
"134",13867
"135",0
"136",0
"137",5327
"138",538
"139",41310
"140",1555
"141",1700
"142",0
"143",16848
"144",0
"145",0
"146",0
"147",48213
"148",0
"149",7
"150",0
"151",670608
"152",47699
"153",0
"154",50
"155",0
"156",78512
"157",42346
"158",1142
"159",4601
"160",4120
"161",12
"162",300
"163",457
"164",123
"165",0
"166",0
"167",96
"168",0
"169",0
"170",1979
"171",0
"172",0
"173",777361
"174",206690
"175",68811
"176",32938
"177",0
"178",0
"179",0
"180",127607
"181",6701
"182",34485
"183",0
"184",0
"185",0
"186",317
"187",386
"188",0
"189",514
"190",48
"191",386
"192",684420
"193",67
"194",124
"195",0
"196",0
"197",0
"198",62798
"199",0
"200",0
"201",6068
"202",0
"203",0
"204",0
"205",0
"206",739
"207",0
"208",139440
"209",182303
"210",5496
"211",11398
"212",15720
"213",735
"214",6
"215",102
"216",16
"217",0
"218",60
"219",0
"220",5
"221",4015
"222",1
"223",6219
"224",1665044
"225",0
"226",2
"227",0
"228",52
"229",0
"230",0
"231",150
"232",25
"233",243
"234",390
"235",0
"236",0
"237",0
"238",1355
"239",70
"240",0
"241",61444557
"242",5223
"243",0
"244",50
"245",55
"246",125
"247",0
"248",0
"249",7
