"","October"
"1",649284
"2",199
"3",0
"4",326
"5",98
"6",687
"7",1308
"8",20122
"9",0
"10",66
"11",9
"12",0
"13",0
"14",11996
"15",62433
"16",0
"17",5
"18",1300
"19",0
"20",2121
"21",4746
"22",2292
"23",0
"24",124
"25",0
"26",4035
"27",25521
"28",0
"29",0
"30",3641
"31",22
"32",11
"33",29196
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",1466
"41",0
"42",12478
"43",1
"44",1963
"45",3427223
"46",0
"47",124669
"48",0
"49",0
"50",0
"51",0
"52",577
"53",18981
"54",46
"55",0
"56",0
"57",120
"58",0
"59",112
"60",1177
"61",22
"62",18
"63",41455
"64",1844
"65",12988
"66",7392
"67",2859
"68",6449
"69",12
"70",2627
"71",3665
"72",79637
"73",2849
"74",118
"75",0
"76",169
"77",7179
"78",4736
"79",138
"80",507
"81",0
"82",0
"83",7107
"84",0
"85",0
"86",1068
"87",1111
"88",3530
"89",15166
"90",3519
"91",30652
"92",312
"93",101
"94",95
"95",2771
"96",3364
"97",83
"98",0
"99",0
"100",0
"101",546
"102",0
"103",0
"104",0
"105",235
"106",2147
"107",2149
"108",265120
"109",767
"110",9626
"111",383571
"112",8945
"113",0
"114",0
"115",0
"116",285241
"117",9875772
"118",2651
"119",1112
"120",8016
"121",0
"122",8229
"123",3622
"124",0
"125",849
"126",82
"127",131
"128",0
"129",56
"130",44
"131",1309
"132",2331
"133",0
"134",23996
"135",0
"136",0
"137",1188
"138",0
"139",11996
"140",76
"141",0
"142",188
"143",9767
"144",0
"145",0
"146",0
"147",84657
"148",0
"149",1558
"150",200
"151",359366
"152",94559
"153",0
"154",0
"155",36
"156",63243
"157",30289
"158",553
"159",8020
"160",4159
"161",9
"162",0
"163",514
"164",52
"165",0
"166",1
"167",543
"168",20
"169",0
"170",660
"171",0
"172",0
"173",744458
"174",68492
"175",20871
"176",5242
"177",41
"178",621
"179",0
"180",1894060
"181",17725
"182",22901
"183",53
"184",1253
"185",649
"186",97593
"187",960
"188",0
"189",1036
"190",2524
"191",12267
"192",400
"193",27
"194",46
"195",0
"196",10
"197",400
"198",73685
"199",0
"200",0
"201",4351
"202",0
"203",1118
"204",0
"205",0
"206",6141
"207",2
"208",306090
"209",260610
"210",50789
"211",11400
"212",55673
"213",11744
"214",8
"215",13
"216",74066
"217",0
"218",30
"219",0
"220",27
"221",3186
"222",0
"223",12485
"224",1658487
"225",40
"226",0
"227",0
"228",45
"229",0
"230",0
"231",21
"232",300
"233",625
"234",375
"235",0
"236",18
"237",0
"238",457
"239",55
"240",0
"241",24804516
"242",2325
"243",0
"244",70
"245",30
"246",105
"247",0
"248",0
"249",8
