"","Species"
"1","Anchovy northern"
"2","Barracuda California"
"3","Bass barred sand"
"4","Bass giant sea"
"5","Blacksmith"
"6","Bonito Pacific"
"7","Butterfish Pacific pompano"
"8","Cabezon"
"9","Cabrilla spotted"
"10","Carp"
"11","Cod Pacific"
"12","Corvina shortfin"
"13","Croaker unspecifed"
"14","Croaker white"
"15","Dolphin fish"
"16","Eel California moray"
"17","Eel monkeyface prickleback"
"18","Escolar"
"19","Fish unspecified"
"20","Flounder arrowtooth"
"21","Flounder starry"
"22","Flounder unspecified"
"23","Flyingfish"
"24","Goby yellowfin"
"25","Goby zebra"
"26","Greenling kelp"
"27","Grenadier"
"28","Grouper broomtail"
"29","Grunion California"
"30","Guitarfish shovelnose"
"31","Hagfishes"
"32","Halfmoon"
"33","Halibut California"
"34","Halibut Pacific"
"35","Halibut unspecified"
"36","Herring Pacific  roe on kelp"
"37","Herring Pacific  roe"
"38","Herring Pacific"
"39","Herring round"
"40","Jacksmelt"
"41","Kelpfishes"
"42","Lingcod"
"43","Lizardfish California"
"44","Louvar"
"45","Mackerel Pacific"
"46","Mackerel bullet"
"47","Mackerel jack"
"48","Mackerel unspecified"
"49","Midshipman plainfin"
"50","Mudsucker longjaw"
"51","Mullet striped"
"52","Oilfish"
"53","Opah"
"54","Opaleye"
"55","Queenfish"
"56","Ratfish spotted"
"57","Ray Pacific electric"
"58","Ray bat"
"59","Ray unspecified"
"60","Rockfish China"
"61","Rockfish Pacific ocean perch"
"62","Rockfish aurora"
"63","Rockfish bank"
"64","Rockfish blackandyellow"
"65","Rockfish black"
"66","Rockfish blackgill"
"67","Rockfish blue"
"68","Rockfish bocaccio"
"69","Rockfish bronzespotted"
"70","Rockfish brown"
"71","Rockfish canary"
"72","Rockfish chilipepper"
"73","Rockfish copper"
"74","Rockfish cowcod"
"75","Rockfish darkblotched"
"76","Rockfish flag"
"77","Rockfish gopher"
"78","Rockfish grass"
"79","Rockfish greenblotched"
"80","Rockfish greenspotted"
"81","Rockfish greenstriped"
"82","Rockfish group blackblue"
"83","Rockfish group bolina"
"84","Rockfish group canaryvermili"
"85","Rockfish group deepwater reds"
"86","Rockfish group gopher"
"87","Rockfish group nearshore"
"88","Rockfish group red"
"89","Rockfish group rosefish"
"90","Rockfish group shelf"
"91","Rockfish group slope"
"92","Rockfish group small"
"93","Rockfish kelp"
"94","Rockfish olive"
"95","Rockfish quillback"
"96","Rockfish redbanded"
"97","Rockfish rosethorn"
"98","Rockfish rosy"
"99","Rockfish shortbelly"
"100","Rockfish speckled"
"101","Rockfish splitnose"
"102","Rockfish starry"
"103","Rockfish stripetail"
"104","Rockfish swordspine"
"105","Rockfish treefish"
"106","Rockfish unspecified"
"107","Rockfish vermilion"
"108","Rockfish widow"
"109","Rockfish yelloweye"
"110","Rockfish yellowtail"
"111","Sablefish"
"112","Salmon Chinook"
"113","Salmon Roe Chinook Coho"
"114","Salmon"
"115","Sanddab Pacific"
"116","Sanddab"
"117","Sardine Pacific"
"118","Scorpionfish California"
"119","Sculpin staghorn"
"120","Seabass white"
"121","Shad American"
"122","Shad threadfin"
"123","Shark Pacific angel"
"124","Shark basking"
"125","Shark bigeye thresher"
"126","Shark blue"
"127","Shark brown smoothhound"
"128","Shark dusky"
"129","Shark gray smoothhound"
"130","Shark horn"
"131","Shark leopard"
"132","Shark pelagic thresher"
"133","Shark sevengill"
"134","Shark shortfin mako"
"135","Shark sixgill"
"136","Shark smooth hammerhead"
"137","Shark soupfin"
"138","Shark spiny dogfish"
"139","Shark thresher"
"140","Shark unspecified"
"141","Shark white"
"142","Sharks cow"
"143","Sheephead California"
"144","Silversides"
"145","Skate California"
"146","Skate big"
"147","Skate unspecified"
"148","Smelt night"
"149","Smelt surf"
"150","Smelts true"
"151","Sole Dover"
"152","Sole English"
"153","Sole bigmouth"
"154","Sole butter"
"155","Sole fantail"
"156","Sole petrale"
"157","Sole rex"
"158","Sole rock"
"159","Sole sand"
"160","Sole unspecified"
"161","Stickleback threespine"
"162","Stingray"
"163","Surfperch barred"
"164","Surfperch black"
"165","Surfperch pile"
"166","Surfperch rainbow"
"167","Surfperch redtail"
"168","Surfperch rubberlip"
"169","Surfperch shiner"
"170","Surfperch unspecified"
"171","Surfperch walleye"
"172","Surfperch white"
"173","Swordfish"
"174","Thornyhead longspine"
"175","Thornyhead shortspine"
"176","Thornyheads"
"177","Tomcod Pacific"
"178","Topsmelt"
"179","Triggerfish"
"180","Tuna albacore"
"181","Tuna bigeye"
"182","Tuna bluefin"
"183","Tuna skipjack black"
"184","Tuna skipjack"
"185","Tuna unspecified"
"186","Tuna yellowfin"
"187","Turbot"
"188","Wahoo"
"189","Whitefish ocean"
"190","Whiting Pacific"
"191","Yellowtail"
"192","Crab Dungeness"
"193","Crab box"
"194","Crab claws"
"195","Crab king"
"196","Crab pelagic red"
"197","Crab red rock"
"198","Crab rock unspecified"
"199","Crab sand"
"200","Crab shore"
"201","Crab spider"
"202","Crab tanner"
"203","Crab yellow rock"
"204","Crayfish red swamp"
"205","Crayfish signal"
"206","Crayfish unspecified"
"207","Crustacean unspecified"
"208","Lobster California spiny"
"209","Prawn ridgeback"
"210","Prawn spot"
"211","Shrimp bay"
"212","Shrimp brine"
"213","Shrimp coonstriped"
"214","Shrimp ghost"
"215","Shrimp mantis"
"216","Shrimp ocean pink"
"217","Shrimp unspecified"
"218","Bryozoan"
"219","Echinoderm unspecified"
"220","Sand dollar"
"221","Sea cucumber unspecified"
"222","Sea stars"
"223","Sea urchin purple"
"224","Sea urchin red"
"225","Sea urchin white"
"226","Abalone black"
"227","Chiton unspecified"
"228","Clam California jackknife"
"229","Clam rosy razor"
"230","Clam unspecified"
"231","Limpet unspecified"
"232","Mussel"
"233","Octopus unspecified"
"234","Sea hare"
"235","Sea slug"
"236","Snail bubble"
"237","Snail sea"
"238","Snail top"
"239","Snails moon"
"240","Squid jumbo"
"241","Squid market"
"242","Whelk Kellets"
"243","Algae marine"
"244","Kelp"
"245","Invertebrate Unspecified"
"246","Invertebrates colonial"
"247","Sea pansy"
"248","Tunicates"
"249","Worms marine"
