"","X"
"1",38364968
"2",24927
"3",4992
"4",14
"5",37
"6",1487434
"7",6
"8",5114
"9",46741
"10",1163
"11",7
"12",51018
"13",25445
"14",215
"15",2212
"16",79
"17",12905
"18",7205
"19",53652
"20",7450
"21",127
"22",1326
"23",184
"24",7809
"25",31
"26",44766
"27",931
"28",585763
"29",1541730
"30",16
"31",551265
"32",2808
"33",143
"34",1372983
"35",11232
"36",567669
"37",33310
"38",138
"39",101
"40",141202
"41",5530671
"42",11345
"43",437
"44",3670
"45",2227
"46",724488
"47",8
"48",26129
"49",501
"50",8802
"51",77567
"52",313
"53",125
"54",3716
"55",59382
"56",98337
"57",33492
"58",112696
"59",27959
"60",410642
"61",38985
"62",17
"63",321217
"64",599362
"65",3106
"66",31410
"67",829
"68",61863
"69",394
"70",64401
"71",19223
"72",1030
"73",6069
"74",3132
"75",374
"76",214
"77",204
"78",1363
"79",4
"80",219957
"81",54149
"82",6
"83",149
"84",1595
"85",1142
"86",1056
"87",72
"88",1517
"89",5781
"90",2832
"91",387
"92",1049
"93",575
"94",1189
"95",185
"96",2198
"97",53561
"98",153
"99",3007
"100",1283
"101",4647
"102",28804
"103",130256
"104",525378
"105",2
"106",44257
"107",3040652
"108",82
"109",924856
"110",52
"111",1000
"112",49917
"113",85742
"114",720480
"115",47
"116",3491
"117",561
"118",237991
"119",848
"120",75
"121",881
"122",21987
"123",1614
"124",17
"125",347
"126",12
"127",7991
"128",36171
"129",231
"130",450
"131",44231
"132",3
"133",246
"134",15792
"135",16120
"136",387
"137",58089
"138",2202
"139",410
"140",46985
"141",52936
"142",1287
"143",255182
"144",20
"145",17371
"146",280896
"147",2482
"148",2387
"149",3544523
"150",134649
"151",3850
"152",1313414
"153",149950
"154",2203
"155",20766
"156",197
"157",7702
"158",4316
"159",72
"160",10341
"161",2284
"162",139
"163",203
"164",13
"165",9158
"166",286
"167",11
"168",194
"169",126
"170",935935
"171",374345
"172",564122
"173",2919
"174",4856
"175",236
"176",337485
"177",1353903
"178",139295
"179",2478659
"180",3123323
"181",464
"182",206
"183",28466
"184",14984
"185",9023
"186",40435
"187",473
"188",65665
"189",85729
"190",671
"191",18805626
"192",7204
"193",457407
"194",187299
"195",45
"196",74863
"197",503
"198",1463
"199",732161
"200",1227
"201",10281
"202",155095
"203",870552
"204",400612
"205",496285
"206",20781
"207",797150
"208",90754
"209",1
"210",5086164
"211",253
"212",113
"213",278
"214",47369
"215",34
"216",81785
"217",88
"218",14829
"219",3229603
"220",118
"221",1
"222",4
"223",2013
"224",5287
"225",677
"226",191
"227",79
"228",3008
"229",856
"230",73145367
"231",79754
"232",1256
"233",25048
