"Species","January","February","March","April","May","June","July","August","September","October","November","December","Landings","year"
"Anchovy northern",1746716,554751,375278,793043,288794,90360,141366,186283,89760,54528,35437,1378526,5734842,2011
"Barracuda California",0,0,0,106,31827,30475,10365,3865,668,440,8,1649,79402,2011
"Bass giant sea",530,386,77,115,125,807,1040,78,123,0,0,229,3509,2011
"Blacksmith",7,10,0,0,0,0,0,0,0,0,0,0,17,2011
"Bonito Pacific",0,0,0,0,0,0,0,75423,121577,0,46487,0,243487,2011
"Butterfish Pacific pompano",222,223,47,221,171,8,10,0,3,184,79,48,1217,2011
"Cabezon",4439,4483,13,0,9716,7555,11032,6089,9502,8265,5460,4338,70892,2011
"Croaker white",2055,202,105,216,190,7,44,133,171,1393,1455,864,6833,2011
"Dolphin fish",0,619,1402,2477,0,0,0,0,1036,563,123,55,6275,2011
"Eel California moray",0,3,0,0,0,342,656,144,0,0,5,158,1308,2011
"Eel monkeyface prickleback",0,4,0,0,4,0,3,3,18,14,17,34,96,2011
"Eel spotted cusk",0,0,0,0,0,0,0,0,0,0,2151,0,2151,2011
"Eel wolf wolfeel",0,0,0,0,220,451,0,0,0,0,0,0,671,2011
"Eel",0,1,0,0,0,0,0,0,0,3,0,0,4,2011
"Escolar",962,2143,3476,3151,168,13,9,0,0,156,0,1035,11113,2011
"Fish unspecified",6,27,72,50,165,171,40,167,1708,84,0,1,2491,2011
"Flounder arrowtooth",352,8211,12585,18579,5354,5953,27383,20455,29789,21945,18389,21473,190468,2011
"Flounder starry",1661,2662,1020,578,309,231,2197,2198,2051,2150,54,161,15271,2011
"Flounder unspecified",4,6,2,11,24,110,25,30,0,0,0,0,211,2011
"Goby yellowfin",0,0,0,0,0,0,0,0,0,9,11,11,31,2011
"Greenling kelp",519,300,0,0,694,385,654,348,576,326,369,309,4479,2011
"Greenling rock",0,0,0,0,0,0,0,0,2,0,0,0,2,2011
"Grenadier",15718,15421,9110,19686,12952,18274,14027,32729,20015,17262,6724,9995,191912,2011
"Guitarfish shovelnose",546,512,143,563,230,307,13,23,283,14,80,457,3170,2011
"Hagfishes",45432,42887,14189,46234,69311,61933,48716,47902,130921,81853,75434,130556,795367,2011
"Halfmoon",0,221,0,0,2,0,0,2,1,11,0,45,282,2011
"Halibut California",51403,40131,30321,30625,28213,41753,72036,68409,38252,22013,9120,8631,440906,2011
"Halibut Pacific",0,0,0,0,0,303,502,0,0,0,0,0,805,2011
"Halibut unspecified",0,0,0,0,0,0,0,0,0,0,64,0,64,2011
"Herring Pacific  roe",3453089,0,0,0,0,0,0,0,0,0,0,0,3453089,2011
"Jacksmelt",10,0,0,4,27,0,0,0,0,0,3220,3048,6308,2011
"Kelpfishes",0,0,0,0,0,0,0,0,0,1,0,0,1,2011
"Lingcod",8,36,163,351,6848,9120,9283,10932,10956,9186,8770,6591,72243,2011
"Lizardfish California",1330,187,1330,3488,1561,0,10,7,8,1122,3732,1762,14537,2011
"Louvar",0,0,0,0,0,0,0,0,44,280,220,276,820,2011
"Mackerel Pacific",957933,286936,10619,19769,85005,47783,477636,93722,811571,71851,89199,38946,2990971,2011
"Mackerel jack",2115,8591,0,0,0,767,73888,55622,27639,3202,4443,104,176371,2011
"Mackerel unspecified",0,0,0,0,0,11,0,5,61,376,0,0,453,2011
"Midshipman plainfin",0,0,0,56,13,0,0,0,0,0,0,0,69,2011
"Oilfish",0,0,0,0,0,0,0,0,970,562,528,377,2437,2011
"Opah",240,3477,6069,5925,1769,209,0,964,27079,17803,22604,23354,109493,2011
"Opaleye",0,54,0,98,0,0,0,0,0,60,0,0,212,2011
"Pomfret Pacific",0,80,33,98,49,0,0,0,152,86,50,130,678,2011
"Ratfish spotted",0,5,3,0,0,0,12,0,0,0,35,0,55,2011
