"Species","January","February","March","April","May","June","July","August","September","October","November","December","Landings","year","area"
"Cabezon",465,236,807,1115,1467,1214,2560,1890,1401,1852,339,156,13502,2000,"Eureka"
"Cod Pacific",0,0,0,0,0,0,0,0,0,0,9,0,9,2000,"Eureka"
"Fish unspecified",0,0,0,677,2272,11928,35,0,0,0,0,0,14912,2000,"Eureka"
"Flounder arrowtooth",3512,4172,2159,5567,9213,5841,15461,5637,3499,1908,1118,684,58771,2000,"Eureka"
"Flounder starry",0,0,0,180,150,110,1651,2016,1460,802,1181,117,7667,2000,"Eureka"
"Flounder unspecified",0,0,0,0,6,298,509,584,0,0,0,0,1397,2000,"Eureka"
"Greenling kelp",373,503,247,1082,1278,751,1977,2463,2013,997,277,119,12077,2000,"Eureka"
"Grenadier",1927,4445,6060,17028,20298,15211,36413,13594,36249,12438,9757,2859,176279,2000,"Eureka"
"Halibut California",0,0,0,22,0,18,61,114,0,176,494,58,943,2000,"Eureka"
"Halibut Pacific",0,0,0,0,0,0,289,0,0,0,0,0,289,2000,"Eureka"
"Herring Pacific  roe on kelp",0,889,0,218,0,0,0,0,0,0,0,0,1107,2000,"Eureka"
"Herring Pacific  roe",0,7391,0,0,0,0,0,0,0,0,0,0,7391,2000,"Eureka"
"Lingcod",131,0,0,0,9530,11105,15847,7267,9175,6846,166,0,60068,2000,"Eureka"
"Louvar",0,0,0,0,0,0,0,0,0,77,0,0,77,2000,"Eureka"
"Mackerel Pacific",0,0,0,0,414,238,2888,153,26,0,0,0,3719,2000,"Eureka"
"Mackerel jack",0,0,0,0,297,3,6,0,0,0,0,0,306,2000,"Eureka"
"Opah",0,0,0,0,0,0,0,0,0,160,0,0,160,2000,"Eureka"
"Ray bat",0,0,0,0,220,100,132,0,0,0,0,0,452,2000,"Eureka"
"Rockfish China",182,91,179,417,482,614,1053,1134,841,449,249,129,5818,2000,"Eureka"
"Rockfish Pacific ocean perch",124,18,92,1004,1104,451,2723,0,1288,22,0,0,6826,2000,"Eureka"
"Rockfish aurora",2,0,0,24,5,0,0,0,0,0,0,0,31,2000,"Eureka"
"Rockfish bank",3,8,48,0,4,0,0,0,0,0,0,0,63,2000,"Eureka"
"Rockfish blackandyellow",0,0,0,4,37,8,29,14,2,9,30,0,134,2000,"Eureka"
"Rockfish black",2802,1268,1899,3492,6317,8363,14112,13719,20160,11424,7158,1978,92691,2000,"Eureka"
"Rockfish blackgill",404,181,196,24,47,38,60,18,0,138,394,0,1500,2000,"Eureka"
"Rockfish blue",0,236,92,267,333,454,1234,1402,2948,1980,601,1043,10590,2000,"Eureka"
"Rockfish bocaccio",0,0,18,33,740,749,1240,164,922,458,9,0,4333,2000,"Eureka"
"Rockfish brown",0,0,57,24,24,174,205,20,6,12,187,0,710,2000,"Eureka"
"Rockfish canary",113,87,227,2176,1042,2097,5384,3745,4112,1851,803,289,21925,2000,"Eureka"
"Rockfish chilipepper",10,6,232,30933,29108,3785,948,28,627,190,355,77,66299,2000,"Eureka"
"Rockfish copper",614,52,429,446,534,1301,775,767,685,1202,222,56,7081,2000,"Eureka"
"Rockfish cowcod",32,0,0,7,0,0,32,0,0,0,0,0,71,2000,"Eureka"
"Rockfish darkblotched",4753,1210,2142,3594,5380,2640,55,0,37,0,0,0,19811,2000,"Eureka"
"Rockfish gopher",0,0,0,5,2,22,33,10,3,3,78,0,156,2000,"Eureka"
"Rockfish grass",3,0,2,40,114,305,870,535,10,106,23,0,2008,2000,"Eureka"
"Rockfish greenspotted",0,0,0,0,0,0,6,0,0,0,0,0,6,2000,"Eureka"
"Rockfish greenstriped",0,0,4,347,4,258,0,0,0,0,0,0,613,2000,"Eureka"
"Rockfish group bolina",229,0,0,0,0,0,0,0,0,20,0,0,249,2000,"Eureka"
"Rockfish group deepwater reds",15,0,0,0,0,0,0,0,0,0,0,0,15,2000,"Eureka"
"Rockfish group gopher",0,0,0,2,0,0,0,0,0,0,0,0,2,2000,"Eureka"
"Rockfish group nearshore",93,155,0,68,0,42,18,60,67,565,32,199,1299,2000,"Eureka"
"Rockfish group rosefish",111,0,0,0,5,0,0,0,0,0,0,0,116,2000,"Eureka"
"Rockfish group shelf",18,10,139,1343,7857,5935,3626,4915,1567,3090,973,0,29473,2000,"Eureka"
"Rockfish group slope",1404,8565,2335,12019,35756,15919,56986,29627,31836,18854,6957,6609,226866,2000,"Eureka"
"Rockfish group small",0,40,970,373,2810,995,620,42,42,184,2,0,6078,2000,"Eureka"
"Rockfish olive",0,0,0,0,0,0,13,0,0,0,0,0,13,2000,"Eureka"
"Rockfish quillback",163,32,272,335,653,556,889,897,1106,826,212,195,6135,2000,"Eureka"
"Rockfish redbanded",120,0,1,48,47,119,170,359,818,0,0,0,1682,2000,"Eureka"
"Rockfish rosethorn",0,0,15,0,3,0,5,0,0,0,0,0,23,2000,"Eureka"
