"species","area","year","month","landings"
"Dungeness Crab","Eureka","2000-2001","Nov",0
"Dungeness Crab","Eureka","2001-2002","Nov",0
"Dungeness Crab","Eureka","2001-2002","Nov",0
"Dungeness Crab","Eureka","2002-2003","Nov",2071
"Dungeness Crab","Eureka","2003-2004","Nov",59364
"Dungeness Crab","Eureka","2003-2004","Nov",0
"Dungeness Crab","Eureka","2004-2005","Nov",2077
"Dungeness Crab","Eureka","2005-2006","Nov",0
"Dungeness Crab","Eureka","2006-2007","Nov",0
"Dungeness Crab","Eureka","2007-2008","Nov",0
"Dungeness Crab","Eureka","2008-2009","Nov",2203
"Dungeness Crab","Eureka","2009-2010","Nov",0
"Dungeness Crab","Eureka","2009-2010","Nov",0
"Dungeness Crab","Eureka","2010-2011","Nov",18744
"Dungeness Crab","Eureka","2010-2011","Nov",0
"Dungeness Crab","Eureka","2011-2012","Nov",0
"Dungeness Crab","Eureka","2012-2013","Nov",0
"Dungeness Crab","Eureka","2012-2013","Nov",0
"Dungeness Crab","Eureka","2013-2014","Nov",63392
"Dungeness Crab","Eureka","2014-2015","Nov",18889
"Dungeness Crab","Eureka","2015-2016","Nov",0
"Dungeness Crab","Eureka","2016-2017","Nov",8774
"Dungeness Crab","Eureka","2016-2017","Nov",0
"Dungeness Crab","Eureka","2017-2018","Nov",0
"Dungeness Crab","Eureka","2017-2018","Nov",0
"Dungeness Crab","Eureka","2018-2019","Nov",0
"Dungeness Crab","Fort Bragg","2000-2001","Nov",5977
"Dungeness Crab","Fort Bragg","2001-2002","Nov",0
"Dungeness Crab","Fort Bragg","2002-2003","Nov",17590
"Dungeness Crab","Fort Bragg","2003-2004","Nov",11944
"Dungeness Crab","Fort Bragg","2004-2005","Nov",35547
"Dungeness Crab","Fort Bragg","2005-2006","Nov",0
"Dungeness Crab","Fort Bragg","2006-2007","Nov",11673
"Dungeness Crab","Fort Bragg","2007-2008","Nov",0
"Dungeness Crab","Fort Bragg","2008-2009","Nov",15835
"Dungeness Crab","Fort Bragg","2009-2010","Nov",838
"Dungeness Crab","Fort Bragg","2009-2010","Nov",0
"Dungeness Crab","Fort Bragg","2010-2011","Nov",0
"Dungeness Crab","Fort Bragg","2011-2012","Nov",0
"Dungeness Crab","Fort Bragg","2012-2013","Nov",628
"Dungeness Crab","Fort Bragg","2013-2014","Nov",4019
"Dungeness Crab","Fort Bragg","2014-2015","Nov",10647
"Dungeness Crab","Fort Bragg","2015-2016","Nov",0
"Dungeness Crab","Fort Bragg","2016-2017","Nov",18842
"Dungeness Crab","Fort Bragg","2017-2018","Nov",56856
"Dungeness Crab","Fort Bragg","2018-2019","Nov",0
"Dungeness Crab","Bodega Bay","2000-2001","Nov",250815
"Dungeness Crab","Bodega Bay","2000-2001","Nov",0
"Dungeness Crab","Bodega Bay","2001-2002","Nov",0
"Dungeness Crab","Bodega Bay","2002-2003","Nov",581226
"Dungeness Crab","Bodega Bay","2003-2004","Nov",661903
"Dungeness Crab","Bodega Bay","2004-2005","Nov",943531
"Dungeness Crab","Bodega Bay","2005-2006","Nov",180747
"Dungeness Crab","Bodega Bay","2006-2007","Nov",836446
"Dungeness Crab","Bodega Bay","2007-2008","Nov",436
"Dungeness Crab","Bodega Bay","2008-2009","Nov",84916
"Dungeness Crab","Bodega Bay","2009-2010","Nov",112711
