"Species","January","February","March","April","May","June","July","August","September","October","November","December","Landings","year","area"
"Cabezon",2954,524,290,2865,4841,7892,14147,10535,9609,5556,727,1381,61319,2000,"Fort Bragg"
"Flounder arrowtooth",148,36,49,76,0,0,0,0,115,5,4,0,433,2000,"Fort Bragg"
"Flounder unspecified",1,0,0,0,0,3,0,0,0,0,0,0,4,2000,"Fort Bragg"
"Greenling kelp",1103,164,468,1319,1168,3335,3934,5441,4218,2121,868,798,24936,2000,"Fort Bragg"
"Grenadier",4901,1964,3747,5582,6871,18846,5479,4986,14683,2595,5674,3158,78486,2000,"Fort Bragg"
"Halibut California",0,0,0,0,0,0,0,0,0,0,50,0,50,2000,"Fort Bragg"
"Lingcod",0,0,0,0,1334,3951,4697,2201,2901,2739,0,0,17823,2000,"Fort Bragg"
"Louvar",0,0,0,0,0,0,0,0,0,31,0,0,31,2000,"Fort Bragg"
"Opah",0,0,0,0,0,0,0,0,0,38,0,0,38,2000,"Fort Bragg"
"Rockfish China",299,53,108,7,261,495,827,534,664,530,228,99,4104,2000,"Fort Bragg"
"Rockfish blackandyellow",312,23,0,9,480,1126,1777,1011,977,319,118,353,6505,2000,"Fort Bragg"
"Rockfish black",172,71,133,0,100,394,556,1182,1168,416,265,63,4520,2000,"Fort Bragg"
"Rockfish blackgill",0,0,0,2302,0,3532,1958,372,118,265,0,0,8547,2000,"Fort Bragg"
"Rockfish blue",98,27,0,3,36,99,376,255,85,165,45,42,1231,2000,"Fort Bragg"
"Rockfish bocaccio",3,0,526,1112,89,620,439,236,527,1564,405,95,5616,2000,"Fort Bragg"
"Rockfish brown",0,0,0,0,2,62,11,3,2,16,2,0,97,2000,"Fort Bragg"
"Rockfish canary",0,30,90,549,54,472,270,333,303,180,270,27,2578,2000,"Fort Bragg"
"Rockfish chilipepper",1414,5288,50070,28723,1859,46556,27808,33039,45605,32570,18154,16695,307781,2000,"Fort Bragg"
"Rockfish copper",0,2,0,0,4,67,616,1022,392,490,229,67,2888,2000,"Fort Bragg"
"Rockfish cowcod",0,0,0,0,0,0,0,0,25,0,0,0,25,2000,"Fort Bragg"
"Rockfish darkblotched",0,0,0,123,0,0,0,573,0,0,0,0,696,2000,"Fort Bragg"
"Rockfish flag",0,0,0,0,0,0,0,0,0,3,0,0,3,2000,"Fort Bragg"
"Rockfish gopher",925,197,0,8,636,1361,1842,1285,1921,544,78,292,9087,2000,"Fort Bragg"
"Rockfish grass",113,19,0,0,286,567,1770,1417,1235,101,137,161,5805,2000,"Fort Bragg"
"Rockfish greenspotted",0,0,0,0,0,0,0,0,0,210,13,7,230,2000,"Fort Bragg"
"Rockfish group bolina",0,0,0,0,0,0,0,0,0,0,117,54,171,2000,"Fort Bragg"
