"Species","January","February","March","April","May","June","July","August","September","October","November","December","Landings","year","area"
"Anchovy northern",387259,5520,1199840,841883,45703,56140,3698,8919,3171,7890,50,262105,2822178,2000,"Los Angeles"
"Barracuda California",5,4,38,743,51019,59643,40125,2660,1454,0,171,11,155873,2000,"Los Angeles"
"Bass giant sea",52,159,80,58,25,380,107,373,188,24,68,51,1565,2000,"Los Angeles"
"Blacksmith",30,0,55,0,0,14,4,3,0,98,25,0,229,2000,"Los Angeles"
"Bonito Pacific",0,25,0,0,0,10626,1716,12,11,662,0,0,13052,2000,"Los Angeles"
"Butterfish Pacific pompano",0,0,2,17,9,28,5,2,1585,0,0,122,1769,2000,"Los Angeles"
"Cabezon",15,0,65,19,106,62,12,22,166,0,94,7,567,2000,"Los Angeles"
"Cabrilla spotted",0,0,0,44,0,0,0,0,0,0,0,0,44,2000,"Los Angeles"
"Croaker white",29214,9863,27530,15488,7758,3976,1116,1926,3278,2972,7685,11170,121976,2000,"Los Angeles"
"Dolphin fish",0,0,0,0,0,0,24,781,59,5033,0,0,5896,2000,"Los Angeles"
"Eel California moray",0,180,0,295,838,216,0,164,0,0,116,57,1866,2000,"Los Angeles"
"Fish unspecified",0,0,0,0,0,0,0,26,0,0,0,0,26,2000,"Los Angeles"
"Flounder unspecified",0,0,40,0,0,9,0,0,12,0,40,0,101,2000,"Los Angeles"
"Guitarfish shovelnose",248,1809,712,622,1259,637,259,594,463,1211,1077,1076,9967,2000,"Los Angeles"
"Hagfishes",0,0,0,0,0,0,0,0,0,0,0,47,47,2000,"Los Angeles"
"Halfmoon",17,70,346,40,44,2,0,0,0,0,0,0,519,2000,"Los Angeles"
"Halibut California",15965,39069,25610,19281,12493,19996,13853,12301,4145,3463,6642,18036,190855,2000,"Los Angeles"
"Halibut unspecified",94,0,0,0,0,0,0,0,0,0,230,12,336,2000,"Los Angeles"
"Herring round",0,0,56430,37109,0,0,0,0,0,0,0,0,93539,2000,"Los Angeles"
"Jacksmelt",41,0,192,0,0,0,1270,2321,324,985,615,524,6272,2000,"Los Angeles"
"Kelpfishes",0,0,0,0,0,0,0,190,0,0,0,0,190,2000,"Los Angeles"
"Lingcod",24,0,81,0,734,36,116,46,65,36,0,0,1138,2000,"Los Angeles"
"Lizardfish California",23,47,52,1,334,5,144,1,16,1,2,1,627,2000,"Los Angeles"
"Louvar",86,0,0,0,0,16,0,0,252,354,24,37,769,2000,"Los Angeles"
"Mackerel Pacific",203624,496856,936156,287078,262969,4452108,13776894,11268183,12191945,3426036,130784,282075,47714708,2000,"Los Angeles"
"Mackerel jack",77680,212069,240916,163380,221083,1235279,83149,7631,13892,124665,102853,183953,2666550,2000,"Los Angeles"
"Mackerel unspecified",0,0,0,0,0,8,0,0,0,0,0,0,8,2000,"Los Angeles"
"Midshipman plainfin",30,0,5,0,0,0,0,0,0,0,0,25,60,2000,"Los Angeles"
"Opah",1205,0,95,0,112,0,233,498,1018,2878,1029,3553,10621,2000,"Los Angeles"
"Opaleye",1214,2239,2251,260,528,128,511,93,100,46,0,0,7370,2000,"Los Angeles"
"Queenfish",0,0,0,0,0,0,0,0,0,0,0,233,233,2000,"Los Angeles"
"Ratfish spotted",0,181,0,0,0,0,0,0,0,0,0,0,181,2000,"Los Angeles"
"Ray Pacific electric",15,10,10,0,31,0,0,0,0,40,0,45,151,2000,"Los Angeles"
"Ray bat",0,0,0,0,0,197,138,15,0,0,0,0,350,2000,"Los Angeles"
"Ray unspecified",0,0,0,245,0,8,0,0,0,112,515,0,880,2000,"Los Angeles"
"Rockfish aurora",44,0,18,42,0,41,29,37,61,18,0,38,328,2000,"Los Angeles"
"Rockfish bank",27,0,0,0,0,31,32,0,272,189,106,444,1101,2000,"Los Angeles"
"Rockfish black",0,0,0,0,0,0,0,0,0,0,0,60,60,2000,"Los Angeles"
"Rockfish blackgill",821,107,1113,1272,249,837,906,666,762,545,153,445,7877,2000,"Los Angeles"
"Rockfish blue",0,0,0,0,5,0,0,0,0,12,69,0,86,2000,"Los Angeles"
"Rockfish bocaccio",0,0,78,99,234,434,79,177,55,89,438,1007,2690,2000,"Los Angeles"
"Rockfish bronzespotted",0,0,0,12,0,0,0,0,0,12,0,0,24,2000,"Los Angeles"
"Rockfish brown",0,0,0,0,0,0,0,11,90,77,0,0,178,2000,"Los Angeles"
"Rockfish chilipepper",4,0,12,0,0,77,0,0,0,154,291,40,578,2000,"Los Angeles"
"Rockfish copper",0,0,42,71,135,195,73,184,189,69,168,151,1277,2000,"Los Angeles"
"Rockfish cowcod",0,0,0,0,5,6,17,9,0,20,0,0,57,2000,"Los Angeles"
"Rockfish darkblotched",22,0,21,0,0,0,21,0,0,0,0,0,64,2000,"Los Angeles"
"Rockfish flag",0,0,0,0,0,0,0,0,0,0,36,0,36,2000,"Los Angeles"
"Rockfish gopher",0,0,0,0,40,0,0,0,0,0,0,0,40,2000,"Los Angeles"
"Rockfish greenblotched",0,0,0,0,0,0,79,106,0,138,0,145,468,2000,"Los Angeles"
"Rockfish greenspotted",0,0,0,0,280,838,1010,781,70,0,0,0,2979,2000,"Los Angeles"
"Rockfish greenstriped",12,0,0,0,0,0,0,0,0,0,0,0,12,2000,"Los Angeles"
"Rockfish group bolina",0,0,0,0,26,0,0,0,0,0,0,0,26,2000,"Los Angeles"
"Rockfish group red",0,0,372,692,20,449,536,795,554,203,567,1320,5507,2000,"Los Angeles"
"Rockfish group shelf",0,0,0,84,983,846,89,0,0,0,0,0,2002,2000,"Los Angeles"
"Rockfish group small",0,0,0,0,20,0,0,0,0,0,0,0,20,2000,"Los Angeles"
"Rockfish olive",0,0,328,0,75,247,73,352,74,46,71,95,1361,2000,"Los Angeles"
"Rockfish speckled",0,0,0,0,0,0,0,0,0,0,169,0,169,2000,"Los Angeles"
"Rockfish splitnose",127,60,230,223,0,97,62,42,77,189,0,77,1184,2000,"Los Angeles"
"Rockfish starry",0,0,0,0,0,0,0,0,0,0,147,0,147,2000,"Los Angeles"
"Rockfish stripetail",0,0,0,0,0,0,0,0,0,0,15,0,15,2000,"Los Angeles"
"Rockfish treefish",0,0,0,0,3,0,0,0,0,0,0,0,3,2000,"Los Angeles"
"Rockfish unspecified",59,0,774,464,78,183,235,350,503,238,954,559,4396,2000,"Los Angeles"
"Rockfish vermilion",0,0,51,0,12,0,0,0,0,0,0,109,172,2000,"Los Angeles"
"Rockfish widow",0,0,11,0,0,0,4,0,0,0,0,0,15,2000,"Los Angeles"
"Rockfish yellowtail",0,0,0,0,0,0,0,26,0,0,0,0,26,2000,"Los Angeles"
"Sablefish",11393,4932,8009,4752,7991,10218,14062,15328,8560,9438,12662,12991,120337,2000,"Los Angeles"
"Salmon Chinook",0,0,0,0,0,0,0,0,267,0,0,0,267,2000,"Los Angeles"
"Sanddab",610,1136,639,803,1597,600,413,1365,1199,1597,588,644,11189,2000,"Los Angeles"
"Sardine Pacific",12334390,17455003,21687318,8434816,3491321,937139,793972,1399839,2034398,2822932,3987571,10885513,86264212,2000,"Los Angeles"
"Scorpionfish California",573,93,358,1033,1157,5439,5792,2641,514,993,1193,1820,21606,2000,"Los Angeles"
"Seabass white",100,6551,3169,87,0,61088,24642,2491,675,1042,498,77,100420,2000,"Los Angeles"
"Shad American",0,0,0,0,0,0,0,2,0,0,0,0,2,2000,"Los Angeles"
"Shark Pacific angel",25,136,24,292,55,116,0,21,29,0,40,50,788,2000,"Los Angeles"
"Shark bigeye thresher",0,0,0,0,0,0,797,238,0,116,0,0,1151,2000,"Los Angeles"
"Shark blue",0,0,0,0,0,0,0,144,0,0,0,0,144,2000,"Los Angeles"
"Shark brown smoothhound",44,0,0,0,30,0,0,0,0,0,25,85,184,2000,"Los Angeles"
"Shark gray smoothhound",0,650,33,0,30,25,0,37,0,15,52,0,842,2000,"Los Angeles"
"Shark horn",0,0,0,0,0,0,0,0,0,44,0,0,44,2000,"Los Angeles"
"Shark leopard",258,455,582,994,962,217,560,623,551,479,313,385,6378,2000,"Los Angeles"
"Shark shortfin mako",88,211,111,33,163,5492,12942,7241,3319,2857,1407,3696,37560,2000,"Los Angeles"
"Shark soupfin",245,697,624,333,592,5197,1827,417,800,282,488,709,12211,2000,"Los Angeles"
"Shark spiny dogfish",0,1794,442,50,1026,1569,5,7336,3144,0,0,314,15680,2000,"Los Angeles"
"Shark thresher",721,219,0,8,22771,14090,39071,1592,938,409,7137,12177,99133,2000,"Los Angeles"
"Shark unspecified",25,0,0,0,0,0,18,0,0,0,0,5,48,2000,"Los Angeles"
"Sheephead California",2517,208,2897,5509,2573,7270,4775,7669,8251,1473,5937,6710,55788,2000,"Los Angeles"
"Silversides",0,0,0,0,0,0,0,0,0,0,0,232,232,2000,"Los Angeles"
"Skate big",0,0,0,19,0,0,0,0,0,0,0,0,19,2000,"Los Angeles"
"Skate unspecified",1306,1295,1439,1302,2357,1895,1549,1576,2292,579,1029,1266,17884,2000,"Los Angeles"
"Sole Dover",12,2,3,51,150,119,41,82,103,39,3,51,656,2000,"Los Angeles"
"Sole petrale",0,0,0,0,0,0,0,0,0,1,0,20,21,2000,"Los Angeles"
"Sole rex",7,0,4,2,8,0,2,0,0,0,0,10,32,2000,"Los Angeles"
"Sole unspecified",912,591,875,1441,1197,2290,1335,622,86,1171,1596,1858,13972,2000,"Los Angeles"
"Stingray",0,0,0,0,0,0,0,0,0,0,300,178,478,2000,"Los Angeles"
"Surfperch black",0,114,311,0,0,0,0,0,0,0,0,1,426,2000,"Los Angeles"
"Surfperch pile",0,0,10,0,0,0,0,0,0,0,0,0,10,2000,"Los Angeles"
"Surfperch rubberlip",181,53,57,13,0,1163,236,0,0,20,0,0,1723,2000,"Los Angeles"
"Surfperch unspecified",152,0,143,0,1,48,80,10,0,34,191,0,659,2000,"Los Angeles"
"Swordfish",66021,75221,30281,0,0,2904,23636,30084,37924,65601,26305,43484,401461,2000,"Los Angeles"
"Thornyhead longspine",886,1436,1020,518,642,1231,627,1256,2040,1654,1749,3016,16073,2000,"Los Angeles"
