"Species","January","February","March","April","May.June","June","July","August","September","October","November","December","Landings","year","May","Species.January","area"
"Shad threadfin",5391,0,0,0,0,18,598,2717,7488,8229,13384,14416,52241,2000,NA,NA,"Sacramento Delta"
"Surfperch barred",0,0,0,0,0,0,0,40,0,0,0,0,40,2000,NA,NA,"Sacramento Delta"
"Crayfish signal",30,0,0,0,0,0,0,0,0,0,0,0,30,2000,NA,NA,"Sacramento Delta"
"Crayfish unspecified",395,385,160,100,2190,4846,3645,38732,3762,2226,564,739,57744,2000,NA,NA,"Sacramento Delta"
"Shrimp bay",0,0,0,1099,1522,576,471,629,694,1097,1233,1302,8623,2000,NA,NA,"Sacramento Delta"
"Waters Area Total",5816,385,160,1199,3712,5440,4714,42118,11944,11552,15181,16457,118678,2000,NA,NA,"Sacramento Delta"
"Grand Total",5816,385,160,1199,3712,5440,4714,42118,11944,11552,15181,16457,118678,2000,NA,NA,"Sacramento Delta"
"Carp",0,0,0,0,NA,0,0,20,0,0,0,0,20,2001,0,NA,"Sacramento Delta"
"Mudsucker longjaw",0,0,0,0,NA,0,0,0,0,0,29,0,29,2001,0,NA,"Sacramento Delta"
"Shad threadfin",6557,536,292,160,NA,30,18,772,4065,7327,11898,11286,43899,2001,958,NA,"Sacramento Delta"
"Crayfish unspecified",3440,2241,1865,1897,NA,5451,6347,24277,26697,6433,1316,1694,86210,2001,4552,NA,"Sacramento Delta"
"Shrimp bay",1192,918,0,0,NA,0,687,980,1534,1548,1535,1115,9509,2001,0,NA,"Sacramento Delta"
"Waters Area Total",11189,3695,2157,2057,NA,5481,7052,26049,32296,15308,14778,14095,139667,2001,5510,NA,"Sacramento Delta"
"Carp",0,0,0,0,NA,0,0,194,0,0,0,0,194,2001,0,NA,"Sacramento Delta"
"Goby yellowfin",0,0,0,0,NA,0,0,0,0,175,110,0,285,2001,0,NA,"Sacramento Delta"
"Hitch",0,0,0,0,NA,0,0,20,0,0,0,0,20,2001,0,NA,"Sacramento Delta"
"Shad threadfin",0,0,0,0,NA,415,240,205,3460,6140,1390,0,11890,2001,40,NA,"Sacramento Delta"
"Crayfish unspecified",0,0,0,0,NA,0,0,6229,7570,0,0,0,13799,2001,0,NA,"Sacramento Delta"
"Waters Area Total",0,0,0,0,NA,415,240,6648,11030,6315,1500,0,26188,2001,40,NA,"Sacramento Delta"
"Grand Total",11189,3695,2157,2057,NA,5896,7292,32697,43326,21623,16278,14095,165855,2001,5550,NA,"Sacramento Delta"
"Shad threadfin",4607,513,60,0,NA,0,0,1590,6802,14415,16061,5080,49343,2002,215,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,0,3298,1272,0,0,0,4570,2002,0,NA,"Sacramento Delta"
"Crayfish unspecified",415,1705,1532,2764,NA,4151,6171,37859,34030,4831,1528,845,99495,2002,3664,NA,"Sacramento Delta"
"Shrimp bay",1100,1053,1147,655,NA,573,685,757,911,1235,0,595,9744,2002,1033,NA,"Sacramento Delta"
"Waters Area Total",6122,3271,2739,3419,NA,4724,6856,43504,43015,20481,17589,6520,163152,2002,4912,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,0,3647,243,0,0,0,3890,2002,0,NA,"Sacramento Delta"
"Crayfish unspecified",0,0,0,0,NA,0,0,273,0,0,0,0,473,2002,200,NA,"Sacramento Delta"
"Waters Area Total",0,0,0,0,NA,0,0,3920,243,0,0,0,4363,2002,200,NA,"Sacramento Delta"
"Grand Total",6122,3271,2739,3419,NA,4724,6856,47424,43258,20481,17589,6520,167514,2002,5112,NA,"Sacramento Delta"
"Lamprey Pacific",0,0,0,185,NA,0,0,0,0,0,0,0,185,2003,0,NA,"Sacramento Delta"
"Shad threadfin",3577,4285,720,3940,NA,3440,3808,12262,14329,18470,19530,13555,100066,2003,2150,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,0,4151,1350,0,0,0,5501,2003,0,NA,"Sacramento Delta"
"Crayfish unspecified",0,365,410,1185,NA,7415,7782,24007,17659,7745,1960,1654,72182,2003,2000,NA,"Sacramento Delta"
"Shrimp bay",0,832,961,1111,NA,0,458,0,0,0,0,0,3362,2003,0,NA,"Sacramento Delta"
"Waters Area Total",3577,5482,2091,6421,NA,10855,12048,40420,33338,26215,21490,15209,181296,2003,4150,NA,"Sacramento Delta"
"Grand Total",3577,5482,2091,6421,NA,10855,12048,40420,33338,26215,21490,15209,181296,2003,4150,NA,"Sacramento Delta"
"Lamprey Pacific",0,0,12,0,NA,45,0,0,0,0,0,0,700,2004,643,NA,"Sacramento Delta"
"Shad threadfin",10115,5865,5294,4163,NA,1220,2411,4420,10185,11573,14120,11780,85366,2004,4220,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,0,0,448,0,0,0,448,2004,0,NA,"Sacramento Delta"
"Crayfish unspecified",430,1255,1167,2165,NA,4489,9669,48088,14929,9381,1112,1522,99177,2004,4970,NA,"Sacramento Delta"
"Waters Area Total",10545,7120,6473,6328,NA,5754,12080,52508,25562,20954,15232,13302,185691,2004,9833,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,1031,1700,0,0,0,0,2731,2004,0,NA,"Sacramento Delta"
"Crayfish unspecified",0,0,0,0,NA,0,0,5800,2645,0,0,0,8445,2004,0,NA,"Sacramento Delta"
"Waters Area Total",0,0,0,0,NA,0,1031,7500,2645,0,0,0,11176,2004,0,NA,"Sacramento Delta"
"Grand Total",10545,7120,6473,6328,NA,5754,13111,60008,28207,20954,15232,13302,196867,2004,9833,NA,"Sacramento Delta"
"Shad threadfin",11369,3115,3200,2635,NA,5180,4278,6417,7305,10223,8920,3631,70678,2005,4405,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,0,480,0,0,0,0,480,2005,0,NA,"Sacramento Delta"
"Crayfish unspecified",649,989,1124,1568,NA,4833,4297,16313,13749,14065,2804,2347,65995,2005,3257,NA,"Sacramento Delta"
"Waters Area Total",12018,4104,4324,4203,NA,10013,8575,23210,21054,24288,11724,5978,137153,2005,7662,NA,"Sacramento Delta"
"Grand Total",12018,4104,4324,4203,NA,10013,8575,23210,21054,24288,11724,5978,137153,2005,7662,NA,"Sacramento Delta"
"Shad threadfin",655,7,0,196,NA,140,2570,8265,5120,7290,13235,9452,46980,2006,50,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,0,1775,0,0,0,0,1775,2006,0,NA,"Sacramento Delta"
"Crayfish signal",0,0,0,0,NA,0,0,38081,0,0,0,0,38081,2006,0,NA,"Sacramento Delta"
"Crayfish unspecified",95,464,364,155,NA,8411,10497,11521,24046,10065,1916,1843,72518,2006,3141,NA,"Sacramento Delta"
"Waters Area Total",750,471,364,351,NA,8551,13067,59642,29166,17355,15151,11295,159354,2006,3191,NA,"Sacramento Delta"
"Grand Total",750,471,364,351,NA,8551,13067,59642,29166,17355,15151,11295,159354,2006,3191,NA,"Sacramento Delta"
"Shad threadfin",595,30,35,0,NA,2210,2785,4250,6075,10984,11795,3320,42964,2007,885,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,0,0,450,75,0,0,525,2007,0,NA,"Sacramento Delta"
"Crayfish unspecified",1104,1028,903,1198,NA,8213,10241,48600,61720,11808,5443,4218,161340,2007,6864,NA,"Sacramento Delta"
"Waters Area Total",1699,1058,938,1198,NA,10423,13026,52850,68245,22867,17238,7538,204829,2007,7749,NA,"Sacramento Delta"
"Grand Total",1699,1058,938,1198,NA,10423,13026,52850,68245,22867,17238,7538,204829,2007,7749,NA,"Sacramento Delta"
"Shad American",0,0,0,0,NA,0,0,2272,0,0,0,0,2272,2008,0,NA,"Sacramento Delta"
"Shad threadfin",640,0,525,4015,NA,670,1420,2795,7905,12450,12270,2715,48525,2008,3120,NA,"Sacramento Delta"
