"Species","January","February","March","April","May","June","July","August","September","October","November","December","Landings","year","area"
"Anchovy northern",2700,0,2680,0,0,1350,2700,0,0,0,0,0,9430,2000,"San Diego"
"Barracuda California",21,0,34,525,4232,2923,3248,337,111,0,0,0,11431,2000,"San Diego"
"Bass barred sand",0,0,2,0,0,0,0,0,0,0,0,0,2,2000,"San Diego"
"Bass giant sea",0,0,0,21,0,0,0,0,99,302,30,0,452,2000,"San Diego"
"Bonito Pacific",344,0,0,0,985,265,181,73,28,0,0,4,1879,2000,"San Diego"
"Cabezon",0,0,5,273,186,562,9,1,13,14,332,180,1574,2000,"San Diego"
"Croaker unspecifed",0,0,0,0,0,0,18,0,0,0,0,0,18,2000,"San Diego"
"Croaker white",0,0,0,26,0,0,70,0,0,0,0,0,96,2000,"San Diego"
"Dolphin fish",0,0,0,0,0,880,43,1385,199,143,0,0,2650,2000,"San Diego"
"Eel California moray",0,0,0,0,0,0,0,0,0,0,0,33,33,2000,"San Diego"
"Escolar",0,0,0,0,0,241,0,0,0,0,0,181,422,2000,"San Diego"
"Halibut California",2215,3251,5977,13910,6159,3671,5789,7782,1467,154,1266,3932,55572,2000,"San Diego"
"Lingcod",0,0,0,0,0,13,12,0,17,0,0,0,42,2000,"San Diego"
"Louvar",315,0,0,0,0,150,0,354,1683,392,86,0,2980,2000,"San Diego"
"Mackerel Pacific",0,120,0,64,178,1224,49,439,224,0,197,619,3114,2000,"San Diego"
"Mackerel jack",0,0,0,37,281,136,0,0,65,0,0,0,519,2000,"San Diego"
"Mackerel unspecified",0,0,0,0,0,0,0,0,0,0,473,0,473,2000,"San Diego"
"Opah",35993,120,0,0,2095,2080,277,5420,10810,7039,11208,24617,99659,2000,"San Diego"
"Queenfish",0,0,0,0,0,0,0,0,0,0,0,22,22,2000,"San Diego"
"Ray bat",0,0,0,0,0,0,0,122,271,0,0,0,393,2000,"San Diego"
"Rockfish aurora",10,0,91,0,0,0,0,0,0,0,0,0,101,2000,"San Diego"
"Rockfish bank",0,0,0,3,0,0,0,0,0,21,0,0,24,2000,"San Diego"
"Rockfish black",0,0,0,0,0,0,0,0,0,0,0,5,5,2000,"San Diego"
"Rockfish blackgill",590,125,175,74,0,0,0,75,83,0,912,0,2034,2000,"San Diego"
"Rockfish bocaccio",0,0,30,75,99,230,36,85,3,91,23,11,683,2000,"San Diego"
"Rockfish canary",0,0,0,0,7,8,0,0,0,0,0,0,15,2000,"San Diego"
"Rockfish chilipepper",0,0,0,0,21,14,0,19,13,0,39,89,195,2000,"San Diego"
"Rockfish copper",0,0,0,0,5,9,5,5,0,0,0,0,24,2000,"San Diego"
"Rockfish cowcod",0,0,0,6,12,49,0,167,158,0,0,0,392,2000,"San Diego"
"Rockfish flag",0,27,0,0,0,0,0,0,0,0,0,0,27,2000,"San Diego"
"Rockfish gopher",0,0,0,0,0,0,0,17,0,0,0,0,17,2000,"San Diego"
"Rockfish grass",0,0,0,11,0,0,0,0,0,0,0,0,11,2000,"San Diego"
"Rockfish greenspotted",0,0,0,0,121,130,0,0,0,0,0,0,251,2000,"San Diego"
"Rockfish group deepwater reds",0,0,20,0,38,155,0,0,0,0,0,0,213,2000,"San Diego"
"Rockfish group nearshore",0,0,0,0,0,84,0,13,67,18,24,97,303,2000,"San Diego"
"Rockfish group red",27,0,89,481,534,699,119,153,16,2,0,0,2120,2000,"San Diego"
"Rockfish group rosefish",0,0,0,0,0,0,0,0,0,96,0,0,96,2000,"San Diego"
"Rockfish group shelf",0,0,0,10,65,227,278,284,204,0,341,343,1751,2000,"San Diego"
"Rockfish group slope",0,0,0,0,0,12,0,0,0,0,5,0,17,2000,"San Diego"
