"Species","January","February","March","April","May","June","July","August","September","October","November","December","Landings","year","area"
"Anchovy northern",0,0,0,0,99050,131122,26603,22,0,0,0,0,256796,2000,"San Francisco"
"Barracuda California",0,7,0,0,0,154,0,0,0,0,0,0,161,2000,"San Francisco"
"Butterfish Pacific pompano",2,2,49,56,0,0,88,32,0,13,2,0,244,2000,"San Francisco"
"Cabezon",0,5,89,0,356,612,442,806,689,164,66,507,3735,2000,"San Francisco"
"Cod Pacific",0,0,0,0,0,0,0,3,0,0,0,0,3,2000,"San Francisco"
"Corvina shortfin",0,0,0,0,0,12,0,0,0,0,0,0,12,2000,"San Francisco"
"Croaker unspecifed",0,0,0,0,0,119,0,0,0,0,0,0,119,2000,"San Francisco"
"Croaker white",1934,2670,5687,7669,4200,3748,5143,2127,772,806,429,4113,39297,2000,"San Francisco"
"Eel monkeyface prickleback",14,0,35,0,24,0,0,0,0,0,0,0,73,2000,"San Francisco"
"Flounder arrowtooth",0,0,0,0,0,230,0,0,0,208,0,0,438,2000,"San Francisco"
"Flounder starry",2461,8003,2971,4671,1469,4561,2914,653,109,3758,2630,1169,35368,2000,"San Francisco"
"Flounder unspecified",1464,251,1017,861,186,1665,982,1010,517,2150,103,859,11066,2000,"San Francisco"
"Goby yellowfin",0,3,0,0,0,0,0,0,34,124,34,34,229,2000,"San Francisco"
"Goby zebra",0,0,0,0,0,0,63,0,0,0,0,0,63,2000,"San Francisco"
"Greenling kelp",11,0,0,0,27,35,114,417,293,252,160,84,1393,2000,"San Francisco"
"Grenadier",100,275,325,590,159,0,3710,2229,3079,0,1165,2597,14229,2000,"San Francisco"
"Grunion California",0,0,0,0,0,0,0,0,0,0,73,0,73,2000,"San Francisco"
"Hagfishes",0,0,0,0,0,0,0,0,0,22,0,0,22,2000,"San Francisco"
"Halibut California",19121,70461,42754,31850,5848,41256,35235,10681,2184,10266,7067,7664,284389,2000,"San Francisco"
"Halibut unspecified",6088,13,0,226,14,82,383,0,0,0,0,0,6805,2000,"San Francisco"
"Herring Pacific  roe on kelp",137257,47380,3331,0,0,0,0,0,0,0,1065,192,189225,2000,"San Francisco"
"Herring Pacific  roe",4650079,1196946,401217,327,0,0,0,0,0,0,35501,992127,7276197,2000,"San Francisco"
"Herring Pacific",0,13,0,0,0,0,0,0,0,0,0,0,13,2000,"San Francisco"
"Jacksmelt",0,0,0,0,0,0,0,0,8,0,73,0,81,2000,"San Francisco"
"Lingcod",65,0,0,18,1612,3744,10956,2243,2687,1626,483,21,23455,2000,"San Francisco"
"Mackerel Pacific",0,0,19,0,0,17,0,0,0,0,0,0,36,2000,"San Francisco"
"Mackerel bullet",471,0,0,0,0,0,0,0,0,0,0,0,471,2000,"San Francisco"
"Mackerel jack",0,0,0,0,0,553,28,228,93,0,0,0,902,2000,"San Francisco"
"Mudsucker longjaw",0,0,0,0,0,0,0,0,0,0,5,0,5,2000,"San Francisco"
"Mullet striped",0,142,0,0,19,0,0,0,0,0,0,0,161,2000,"San Francisco"
"Opah",0,0,0,0,0,0,11,0,0,0,0,0,11,2000,"San Francisco"
"Queenfish",0,0,0,0,0,0,0,0,122,0,0,0,122,2000,"San Francisco"
"Ray bat",0,0,0,0,0,0,0,0,0,0,0,29,29,2000,"San Francisco"
"Ray unspecified",0,0,0,0,0,0,0,0,0,0,0,250,250,2000,"San Francisco"
"Rockfish China",23,0,0,0,114,111,105,211,384,103,219,176,1447,2000,"San Francisco"
"Rockfish bank",661,4,312,2780,1327,12837,1410,1072,5144,0,2700,1198,29445,2000,"San Francisco"
"Rockfish blackandyellow",0,0,0,0,38,81,84,122,445,22,0,22,813,2000,"San Francisco"
"Rockfish black",106,10,0,0,307,931,1188,2049,1089,1085,3469,774,11007,2000,"San Francisco"
"Rockfish blackgill",13,464,52,738,135,0,109,5977,1324,1692,322,857,11683,2000,"San Francisco"
"Rockfish blue",9,145,0,0,61,36,98,93,51,70,538,1720,2820,2000,"San Francisco"
