"Species","January","February","March","April","May","June","July","August","September","October","November","December","Landings","year","area"
"Anchovy northern",1135732,1425102,207906,303040,714516,1041818,789275,735579,401055,346156,647023,75357,7822559,2000,"Santa Barbara"
"Barracuda California",8,77,33,1736,2521,3047,818,177,211,199,253,80,9159,2000,"Santa Barbara"
"Bass giant sea",85,63,129,71,351,537,651,154,9,0,10,93,2154,2000,"Santa Barbara"
"Blacksmith",0,0,0,0,0,0,0,0,0,0,0,17,17,2000,"Santa Barbara"
"Bonito Pacific",13618,38,0,0,0,0,0,0,289,0,9,66625,80579,2000,"Santa Barbara"
"Butterfish Pacific pompano",3,0,53,27,55,0,0,0,0,80,284,50,552,2000,"Santa Barbara"
"Cabezon",728,1098,2616,2835,4955,6001,3236,5076,6675,4114,4195,5377,46907,2000,"Santa Barbara"
"Croaker white",986,946,464,253,1606,443,117,7,859,7877,2565,9801,25923,2000,"Santa Barbara"
"Eel California moray",0,0,0,0,0,0,0,0,0,0,13,90,103,2000,"Santa Barbara"
"Fish unspecified",122,5,5,14,11,7,0,0,0,0,0,0,164,2000,"Santa Barbara"
"Flounder arrowtooth",0,0,0,5,0,0,0,0,0,0,0,0,5,2000,"Santa Barbara"
"Flounder starry",5,0,0,0,0,0,0,0,0,0,0,0,5,2000,"Santa Barbara"
"Flounder unspecified",0,0,0,6,0,0,9,0,0,0,0,0,15,2000,"Santa Barbara"
"Flyingfish",0,0,0,0,0,0,0,5,0,0,0,0,5,2000,"Santa Barbara"
"Greenling kelp",0,0,0,0,4,0,0,1,11,4,0,2,23,2000,"Santa Barbara"
"Guitarfish shovelnose",1391,314,1841,1726,445,135,285,92,719,2430,619,308,10305,2000,"Santa Barbara"
"Halfmoon",0,0,32,231,44,187,24,55,314,11,9,39,945,2000,"Santa Barbara"
"Halibut California",17401,15195,22806,20469,12895,31321,35175,15626,8565,9349,10831,14724,214357,2000,"Santa Barbara"
"Halibut unspecified",36,19,195,50,319,231,123,0,0,0,0,0,974,2000,"Santa Barbara"
"Jacksmelt",0,0,0,0,0,0,0,0,1,0,0,0,1,2000,"Santa Barbara"
"Lingcod",0,0,84,0,488,237,203,17,18,159,12,0,1217,2000,"Santa Barbara"
"Lizardfish California",36,0,50,106,234,0,0,0,0,0,30,6,462,2000,"Santa Barbara"
"Louvar",0,0,0,0,0,22,0,54,28,179,15,0,297,2000,"Santa Barbara"
"Mackerel Pacific",1,0,10,7,0,283330,29,196139,27528,1187,0,0,508231,2000,"Santa Barbara"
"Mackerel jack",0,1,0,0,0,0,16,20007,22,4,0,0,20049,2000,"Santa Barbara"
