year,fishers,revenue,pounds
1992,1272,49139455.50,74591742.5
1993,1396,43078678.47,58488320.5
1994,1447,51793860.98,59144685.5
1995,989,44682188.67,50920328.3
1996,1006,51041983.54,57471674.0
1997,945,49430232.09,68098030.6
1998,892,34071203.40,45051809.7
1999,829,36204509.43,35460388.1
2000,722,33923920.89,38456317.1
2001,616,23558700.02,28640310.3
2002,613,24846446.80,32380304.4
2003,611,50942319.51,39368552.7
2004,602,50750631.47,44939903.5
2005,542,22917384.22,28710463.8
2006,465,46033258.81,43352620.0
2007,521,34362677.72,31195520.2
2008,367,27766430.16,34851960.3
2009,369,39478268.15,36411633.9
2010,429,29420303.17,31615119.1
2011,469,30285860.58,25252519.1
2012,503,68983978.27,35527016.2
2013,605,77314165.41,44992212.8
2014,600,41001660.95,33033391.9
