"Species","January","February","March","April","May","June","July","August","September","October","November","December","Landings","year","area"
"Groundfish",49843,19540,42100,25638,14865,21985,14278,84545,14625,33540,40505,39238,400695,2000,"Bodega Bay"
"Groundfish",41892,23851,16237,6354,437,1604,12592,9187,25379,10314,48364,4694,200904,2001,"Bodega Bay"
"Groundfish",17763,18695,38203,4752,17135,8718,9037,29123,7347,3261,4724,2807,161560,2002,"Bodega Bay"
"Groundfish",8903,12269,8283,4207,6623,8514,10894,15577,15921,15019,13989,868,121063,2003,"Bodega Bay"
"Groundfish",212,5403,2492,0,9282,4154,11431,14885,6201,6179,1781,75,62092,2004,"Bodega Bay"
"Groundfish",681,2427,0,0,3561,4317,9767,11346,3195,1732,3239,614,40874,2005,"Bodega Bay"
"Groundfish",443,1732,6,7598,7434,3127,11113,5484,16306,2294,4293,1836,61662,2006,"Bodega Bay"
"Groundfish",4851,1474,3902,909,3592,1035,9051,5527,11478,2368,7318,4312,55815,2007,"Bodega Bay"
"Groundfish",1136,6203,6510,1808,10844,2317,4611,4675,7314,11395,10257,5972,73038,2008,"Bodega Bay"
"Groundfish",8458,11915,4743,11372,9359,28073,10825,13918,15683,5411,3547,13893,137191,2009,"Bodega Bay"
"Groundfish",6578,8978,10216,8602,21574,10051,31264,16073,17744,7435,3601,8262,150375,2010,"Bodega Bay"
"Groundfish",5512,4911,7281,50664,4515,17933,14245,9170,20611,14556,11117,3224,163738,2011,"Bodega Bay"
"Groundfish",7087,3833,6749,42064,10269,6750,9400,8782,5944,2876,4120,17,107890,2012,"Bodega Bay"
"Groundfish",3590,2120,4777,18529,28596,6812,8852,14648,9446,10774,6052,10188,124380,2013,"Bodega Bay"
"Groundfish",9976,4927,13156,47401,13164,9697,14686,12789,19878,20050,13768,3986,183473,2014,"Bodega Bay"
"Groundfish",9803,9329,14675,28084,39490,15356,14197,28196,18341,21877,5542,323,205212,2015,"Bodega Bay"
"Groundfish",15229,21972,24655,36355,46681,6094,10676,13448,8891,10024,5605,6059,205692,2016,"Bodega Bay"
"Groundfish",9946,5812,12416,25876,15699,10067,21301,24093,14675,21875,16536,13190,191485,2017,"Bodega Bay"
"Groundfish",8393,5017,14694,22676,30446,3930,12208,7230,13301,16034,12213,1088,147227,2018,"Bodega Bay"
"Groundfish",7272,5064,11682,2479,4490,2668,3739,5582,2053,6309,7906,1143,60382,2019,"Bodega Bay"
"Groundfish",131541,121468,156073,435235,384590,338981,616317,666454,581049,528847,339585,115035,4415165,2000,"Eureka"
"Groundfish",53180,215784,293832,454034,596338,596119,307753,455309,475766,289667,272704,38888,4049367,2001,"Eureka"
"Groundfish",62053,121048,235432,225162,175214,245351,252261,204709,183471,231584,218635,30824,2185738,2002,"Eureka"
"Groundfish",27112,101575,197053,189070,173817,176445,246516,224970,380407,230532,100520,8607,2056616,2003,"Eureka"
"Groundfish",11035,64209,76495,87903,256449,213608,220514,291657,313345,136543,121425,9675,1802856,2004,"Eureka"
"Groundfish",35432,84939,87343,93336,122133,178981,214443,395280,368111,237759,147241,72376,2037368,2005,"Eureka"
"Groundfish",19347,54814,91628,118135,180936,240281,220794,342140,381444,223108,119718,46839,2039183,2006,"Eureka"
"Groundfish",100492,101134,34885,179969,287317,247369,226789,203428,247769,299909,189947,40500,2159502,2007,"Eureka"
"Groundfish",64920,129242,184514,274711,271863,204359,226933,264748,246076,180558,180712,75396,2304027,2008,"Eureka"
"Groundfish",129134,105705,190623,217175,222723,254587,231420,250930,258322,217338,143285,31396,2252633,2009,"Eureka"
"Groundfish",70535,131295,118473,156085,291756,122450,231894,240971,238089,183829,167335,34156,1986861,2010,"Eureka"
"Groundfish",44341,61747,79798,113084,92553,140681,134196,215116,162496,186719,138992,107155,1476876,2011,"Eureka"
"Groundfish",50529,48304,127946,160451,122049,123619,104946,136162,113885,150321,135966,91773,1365949,2012,"Eureka"
"Groundfish",52814,43602,98277,96443,118695,102649,90327,158011,117839,157793,124151,72243,1232844,2013,"Eureka"
"Groundfish",120060,91149,113665,83487,112668,72222,158584,127435,149610,134094,127420,72662,1363052,2014,"Eureka"
"Groundfish",116255,113254,222462,89916,102544,163200,147654,237427,212055,159162,80653,81689,1726272,2015,"Eureka"
"Groundfish",66438,128975,89758,201905,74246,70902,138082,257976,210161,208943,127916,87636,1662931,2016,"Eureka"
"Groundfish",20525,60704,140620,203914,214528,266252,278997,256155,224900,178942,128322,142244,2116100,2017,"Eureka"
"Groundfish",115572,13059,142967,183552,297705,223760,319772,355738,211682,196948,305024,250396,2616168,2018,"Eureka"
"Groundfish",137130,50716,244374,208239,311668,298703,441011,363285,233843,372962,192780,63094,2917795,2019,"Eureka"
"Groundfish",77535,33626,143966,140734,45315,251026,192423,262133,334777,161541,231795,164576,2039436,2000,"Fort Bragg"
"Groundfish",40506,108176,110724,134933,173756,130580,220830,281155,266603,149069,33787,14331,1664438,2001,"Fort Bragg"
"Groundfish",81822,153887,120051,127385,132339,103105,111863,99260,77226,56026,85834,20870,1169668,2002,"Fort Bragg"
"Groundfish",45239,46521,47168,67552,104178,86489,125613,74197,147821,89115,90376,33903,958163,2003,"Fort Bragg"
