"Species","January","February","March","April","May","June","July","August","September","October","November","December","Landings","year","area"
"Pelagics",0,0,0,0,0,15,0,0,0,0,0,0,15,2000,"Bodega Bay"
"Pelagics",0,0,0,0,0,0,0,6,0,0,0,0,6,2004,"Bodega Bay"
"Pelagics",0,0,0,0,0,0,0,0,0,6,0,0,6,2005,"Bodega Bay"
"Pelagics",0,0,0,0,0,0,0,695,0,0,0,0,695,2006,"Bodega Bay"
"Pelagics",0,0,0,0,0,0,0,0,0,6,0,0,6,2009,"Bodega Bay"
"Pelagics",0,0,0,0,0,0,3,0,0,0,79,0,82,2015,"Bodega Bay"
"Pelagics",0,0,0,40,0,0,0,0,1,0,0,0,41,2016,"Bodega Bay"
"Pelagics",0,0,0,0,0,0,14,31,0,0,0,0,45,2017,"Bodega Bay"
"Pelagics",0,0,0,0,0,0,0,19,0,0,0,0,19,2018,"Bodega Bay"
"Pelagics",0,0,0,0,0,0,0,0,0,0,0,720,720,2019,"Bodega Bay"
"Pelagics",0,0,0,0,414,238,2888,153,26,0,0,0,3719,2000,"Eureka"
"Pelagics",0,0,0,0,3,0,3,0,5075,0,0,0,5081,2001,"Eureka"
"Pelagics",0,0,0,0,0,0,0,0,2133,27583,0,0,29716,2003,"Eureka"
"Pelagics",0,0,0,6,2,10,0,20,0,51950,0,0,51988,2004,"Eureka"
"Pelagics",0,0,0,0,0,0,0,0,4,0,0,0,4,2005,"Eureka"
"Pelagics",0,0,0,0,9,0,0,0,0,0,0,0,9,2006,"Eureka"
"Pelagics",0,0,0,0,6,0,0,0,0,0,0,0,6,2010,"Eureka"
"Pelagics",0,0,0,0,0,0,0,0,50,0,0,0,50,2015,"Eureka"
"Pelagics",0,0,0,0,0,0,0,4,0,0,0,0,4,2017,"Eureka"
"Pelagics",0,0,0,0,0,41,0,0,0,0,0,0,41,2018,"Eureka"
"Pelagics",0,0,0,0,0,0,0,2809,9065,1728,0,2,13604,2019,"Eureka"
"Pelagics",0,0,0,0,0,0,3,119,0,0,0,0,122,2001,"Fort Bragg"
"Pelagics",0,0,0,0,0,0,106,0,8,0,0,0,114,2004,"Fort Bragg"
"Pelagics",0,0,0,0,0,0,68,8,0,0,0,0,76,2005,"Fort Bragg"
"Pelagics",1014,0,0,0,0,0,0,0,0,0,0,0,1014,2014,"Fort Bragg"
"Pelagics",0,0,0,0,0,0,63,0,0,0,0,0,63,2015,"Fort Bragg"
"Pelagics",0,0,0,0,0,89,0,0,0,0,0,0,89,2016,"Fort Bragg"
"Pelagics",0,0,0,0,0,0,0,0,0,300,0,0,300,2017,"Fort Bragg"
"Pelagics",0,0,0,0,0,0,0,7,0,0,0,0,7,2018,"Fort Bragg"
"Pelagics",0,0,0,0,0,0,11,84,0,0,0,1,96,2019,"Fort Bragg"
"Pelagics",12925273,17957379,23823314,9563777,3799993,5445387,14574564,12676941,14229514,6256858,4118405,11429693,136801098,2000,"Los Angeles"
"Pelagics",17388960,12623890,14146630,5435328,11629681,2557432,3556670,13401225,13492734,9817312,5127345,3293181,112470387,2001,"Los Angeles"
"Pelagics",9692207,15725488,13595621,12058863,4479390,600672,4224124,6750577,8531744,7015461,6301881,7761879,96737907,2002,"Los Angeles"
"Pelagics",12570093,6666523,9878983,2457420,4207276,3599457,1081856,2737820,5186604,9851854,1270949,3647079,63155914,2003,"Los Angeles"
"Pelagics",7956403,2943808,5786168,5905493,1941706,3072667,4422426,7551508,5454291,7182536,4019488,2921725,59158219,2004,"Los Angeles"
"Pelagics",2624875,4291661,8029743,9244737,4218573,5201513,6929055,4347538,6939392,3348203,6231944,3156547,64563781,2005,"Los Angeles"
"Pelagics",4764268,6426194,10754017,5252462,7822525,1602883,962804,1194053,3467009,11767279,9707527,9853950,73574971,2006,"Los Angeles"
"Pelagics",9797444,5444223,17885269,7455738,6445741,13983212,6616207,9990617,8358456,8177471,11160315,2278027,107592720,2007,"Los Angeles"
"Pelagics",3991988,9274461,19047890,16845314,10738834,560991,10922755,2447118,5427426,72423,10248,257573,79597020,2008,"Los Angeles"
"Pelagics",17860016,5170697,113669,817957,2379669,2564990,6547944,2743535,2186263,430918,188588,110703,41114949,2009,"Los Angeles"
"Pelagics",4384690,9669379,9798749,8663724,7545194,4094144,11484130,1120198,7292148,502351,746526,728291,66029524,2010,"Los Angeles"
"Pelagics",23301397,5622884,759199,19769,71614,71070,5406742,194189,6959776,85401,105775,38946,42636762,2011,"Los Angeles"
"Pelagics",12160743,2677360,496118,1847591,6178693,4297276,3987577,5184576,2283045,3240718,3220220,1426972,47000889,2012,"Los Angeles"
"Pelagics",0,5344,98070,1914083,4122540,230213,82569,2320791,2866509,12223743,6444984,769592,31078437,2013,"Los Angeles"
"Pelagics",26864,26533,520627,4343843,5020371,624627,191102,532674,634418,1885548,362493,31630,14200730,2014,"Los Angeles"
"Pelagics",157355,600529,544935,2579002,611858,338927,320062,942656,1577935,530187,55330,46587,8305362,2015,"Los Angeles"
"Pelagics",2492,4071192,3219773,1462950,1646944,1011917,359186,399000,106954,295969,751464,71615,13399456,2016,"Los Angeles"
"Pelagics",337366,100243,760945,642278,1020941,628395,182332,106178,369344,536409,229890,239269,5153590,2017,"Los Angeles"
"Pelagics",191382,148483,7301,41,2480,654003,1318514,1018497,793258,85140,113290,186546,4518935,2018,"Los Angeles"
"Pelagics",72983,15223,213545,395933,164308,520145,5754781,737046,1143746,449519,118509,63017,9648755,2019,"Los Angeles"
"Pelagics",2640799,34835,448633,1575950,1076605,2344124,2977120,3610541,9494944,6768572,7061525,2113845,40147493,2000,"Monterey"
"Pelagics",5539210,2783254,59388,8478194,9976321,388432,2346,22204,536776,5458667,5316013,3182797,41743601,2001,"Monterey"
"Pelagics",442753,4056948,1329795,639648,74547,282951,1336710,7561965,2239326,12001538,4964788,997127,35928096,2002,"Monterey"
"Pelagics",9328296,1229205,1302008,661173,9720,43302,112836,1475187,1605065,2178787,13630,1031343,18990552,2003,"Monterey"
"Pelagics",5944047,309863,159102,2551793,3560271,876972,2179649,6441121,1464184,11123484,9091539,2910,43704935,2004,"Monterey"
"Pelagics",96765,18241,850,3648357,3837387,2571060,2055901,395935,3311380,1834218,11166500,2615655,31552249,2005,"Monterey"
"Pelagics",2124,1220,2634421,6692264,8100805,2757895,419615,4152220,3149963,13780611,10137365,4116872,55945375,2006,"Monterey"
"Pelagics",7445628,3313791,3677799,4248014,6483661,4451248,5362626,9521700,9660064,15393802,16679355,7641949,93879637,2007,"Monterey"
"Pelagics",2467113,644035,2941463,7208976,7666275,2648657,28934334,7124716,16472264,6447367,2616604,1000,85172804,2008,"Monterey"
"Pelagics",19251016,5222389,2051909,85980,120,2269,18314878,1339834,9163162,0,0,0,55431557,2009,"Monterey"
"Pelagics",210679,1750456,2080091,583169,1027557,760763,3067799,918,293589,1222186,0,0,10997207,2010,"Monterey"
"Pelagics",7337567,28455,233829,731023,325801,2400,12935397,0,3287141,41,0,1372226,26253880,2011,"Monterey"
"Pelagics",9767986,1877759,86340,1595221,0,2508,400,52,1108537,143492,0,0,14582295,2012,"Monterey"
"Pelagics",184183,0,0,0,0,0,282328,21509,1706946,6926913,4029365,1052644,14203888,2013,"Monterey"
"Pelagics",4480861,7834545,9664588,8781547,1263656,18,166262,7673,4055338,2300,419106,483564,37159458,2014,"Monterey"
"Pelagics",5743654,1514313,2404982,3576977,6419703,8753865,28922,7425,225021,6165282,3128029,2652108,40620281,2015,"Monterey"
"Pelagics",461798,383420,0,1906,1069,900,2089,340934,1160316,0,3021016,2027321,7400769,2016,"Monterey"
"Pelagics",0,0,0,50011,204521,821071,390204,1078976,1431281,4348951,0,0,8325015,2017,"Monterey"
"Pelagics",0,1609628,6325379,4315829,1223101,4938696,5744164,1279034,5622060,3254098,844229,161280,35317498,2018,"Monterey"
"Pelagics",0,0,4170346,2752230,1250374,1532718,35460,1766220,937637,1099611,3953041,3289792,20787428,2019,"Monterey"
"Pelagics",0,0,0,0,0,0,0,0,3,0,0,1,4,2000,"Morro Bay"
"Pelagics",0,0,0,0,45,7637,0,0,0,0,0,0,7682,2001,"Morro Bay"
"Pelagics",0,0,0,0,0,0,224700,0,0,0,0,0,224700,2002,"Morro Bay"
"Pelagics",0,0,0,0,0,7031,0,0,0,0,0,0,7031,2003,"Morro Bay"
"Pelagics",0,0,0,0,0,0,0,0,4,0,0,0,4,2004,"Morro Bay"
"Pelagics",0,0,0,0,0,0,0,0,0,0,115,0,115,2006,"Morro Bay"
"Pelagics",0,0,0,0,0,0,4857,0,8564,4515,0,15,17951,2009,"Morro Bay"
"Pelagics",0,0,0,0,0,0,924,0,0,0,0,0,924,2010,"Morro Bay"
"Pelagics",0,0,0,0,0,0,0,0,8,1072,0,0,1080,2011,"Morro Bay"
"Pelagics",0,0,0,0,11,0,0,0,0,0,0,0,11,2012,"Morro Bay"
"Pelagics",0,0,0,0,0,0,8827,0,0,9,0,0,8836,2015,"Morro Bay"
"Pelagics",0,0,0,0,0,0,0,13464,0,9326,2974,0,25764,2017,"Morro Bay"
"Pelagics",0,0,0,0,0,4,0,5,0,0,0,0,9,2018,"Morro Bay"
"Pelagics",0,0,0,0,3,535,0,0,0,0,0,8,546,2019,"Morro Bay"
"Pelagics",9900,7071,4089,5239,10303,9892,2749,4489,224,0,227,619,54802,2000,"San Diego"
"Pelagics",2631,1429,72,483,1200,204,1650,530,1565,0,0,282,10046,2001,"San Diego"
"Pelagics",893,7650,13172,22979,25238,17059,18316,24975,25931,21375,18093,16276,211957,2002,"San Diego"
"Pelagics",25650,6900,3745,3856,10065,16259,1213,6,7810,16525,1819,0,93848,2003,"San Diego"
"Pelagics",6791,7200,7650,4125,11709,9450,11713,1603,7824,7650,13725,9000,98440,2004,"San Diego"
"Pelagics",16425,12600,11132,4463,8325,9522,8970,5154,4500,5850,2475,160,89576,2005,"San Diego"
"Pelagics",20152,24645,0,920,22745,11782,6790,6829,3935,0,0,8,97806,2006,"San Diego"
"Pelagics",3,138,0,0,0,66,130,450,138,25,0,0,950,2007,"San Diego"
"Pelagics",0,0,0,300,0,0,0,0,98,5,2,0,405,2008,"San Diego"
"Pelagics",0,0,0,0,0,0,0,0,5,0,0,0,5,2009,"San Diego"
"Pelagics",9050,0,10,0,0,57200,38250,38250,51525,33525,31293,39150,298253,2010,"San Diego"
"Pelagics",32175,25875,69525,62020,65260,67202,23062,67050,41733,46943,35437,6300,542581,2011,"San Diego"
"Pelagics",31725,14175,1350,28515,24075,55224,35980,24560,2250,26066,13742,9674,267336,2012,"San Diego"
"Pelagics",34447,14380,46400,41912,50501,30007,40045,15884,10125,40105,40129,19800,383734,2013,"San Diego"
"Pelagics",27940,9420,16425,0,31233,18900,4500,7833,8516,0,126,0,124893,2014,"San Diego"
"Pelagics",5391,17290,53,3636,4050,21,373,0,31,0,0,0,30845,2015,"San Diego"
"Pelagics",0,142,81,3080,6563,90,165,33,173,61,110,25,10523,2016,"San Diego"
"Pelagics",145,0,23,1273,22524,22396,53,70,750,0,148,227,47608,2017,"San Diego"
"Pelagics",973,141,56,0,5405,14397,4785,934,569,100,352,73,27784,2018,"San Diego"
"Pelagics",10301,68622,49414,138936,120550,220315,247013,246480,297659,246460,122449,57873,1826071,2019,"San Diego"
"Pelagics",0,0,19,48,99112,131992,26633,26,0,0,0,0,257828,2000,"San Francisco"
"Pelagics",377,7,0,0,4,41,1036,2143,10445,4704,341,0,19098,2001,"San Francisco"
"Pelagics",200,0,0,11120,14172,12726,1,211861,36565,129942,0,0,416586,2002,"San Francisco"
"Pelagics",0,1,79,0,41,33,12,45,74,48,0,0,333,2003,"San Francisco"
"Pelagics",0,0,0,0,268,34,300776,184207,29784,300970,0,0,816039,2004,"San Francisco"
