"Species","January","February","March","April","May","June","July","August","September","October","November","December","Landings","year","area"
"Salmon",0,0,0,0,7961,112520,116112,212539,135549,0,0,0,584681,2000,"Bodega Bay"
"Salmon",0,0,0,0,14376,42893,405766,89142,72299,11577,0,0,636054,2001,"Bodega Bay"
"Salmon",0,0,0,0,179784,177001,332450,65669,31705,945,0,0,787553,2002,"Bodega Bay"
"Salmon",0,0,0,0,208628,642352,285808,253379,91631,2186,0,0,1483985,2003,"Bodega Bay"
"Salmon",0,0,0,74,262446,112821,411270,128494,23500,1225,0,0,939830,2004,"Bodega Bay"
"Salmon",0,0,0,0,7701,0,272162,115707,172338,6856,0,0,574765,2005,"Bodega Bay"
"Salmon",0,0,0,0,295,42,141717,174430,123391,8041,0,0,447915,2006,"Bodega Bay"
"Salmon",0,0,0,0,32353,14797,305188,91037,20155,0,0,0,463531,2007,"Bodega Bay"
"Salmon",0,0,0,0,0,0,13921,0,0,0,0,0,13921,2010,"Bodega Bay"
"Salmon",0,0,0,0,23885,18188,49358,10465,2289,493,0,0,104678,2011,"Bodega Bay"
"Salmon",0,0,0,0,105238,32292,306761,113201,20682,6728,0,0,584902,2012,"Bodega Bay"
"Salmon",0,0,0,0,102823,218218,238322,41642,37155,1149,0,0,639309,2013,"Bodega Bay"
"Salmon",0,0,0,0,135509,110292,55613,61201,42702,5197,206,0,410719,2014,"Bodega Bay"
"Salmon",0,0,0,0,22815,12524,9201,21004,20059,3630,0,0,89233,2015,"Bodega Bay"
"Salmon",0,0,0,0,3627,1535,0,67128,34628,893,0,0,107812,2016,"Bodega Bay"
"Salmon",0,0,0,0,712,0,0,88787,44025,327,0,0,133850,2017,"Bodega Bay"
"Salmon",0,0,0,0,708,902,10158,69355,14453,1748,0,0,97324,2018,"Bodega Bay"
"Salmon",0,0,0,0,39147,169780,83527,270925,13814,71,0,0,577264,2019,"Bodega Bay"
"Salmon",0,0,0,0,166,0,868,4810,58122,516,0,0,64481,2000,"Eureka"
"Salmon",0,0,0,190,11480,1634,4025,14329,75434,2609,0,0,109701,2001,"Eureka"
"Salmon",0,0,0,107,349,1393,17610,24890,144702,4069,1028,0,194147,2002,"Eureka"
"Salmon",0,0,105,20093,7613,2406,45186,37522,75557,1693,82,0,190255,2003,"Eureka"
"Salmon",0,0,0,8306,167,99,96285,267534,81785,1254,0,0,455430,2004,"Eureka"
"Salmon",0,0,0,165,2895,545,9544,1946,94028,0,0,0,109122,2005,"Eureka"
"Salmon",0,0,0,866,958,0,0,0,806,0,0,0,2630,2006,"Eureka"
"Salmon",0,0,0,256,5679,71,0,5689,111542,0,0,0,123238,2007,"Eureka"
"Salmon",0,0,0,0,1303,0,0,57,0,0,0,0,1360,2008,"Eureka"
"Salmon",0,0,0,0,1307,0,0,0,0,0,0,0,1307,2009,"Eureka"
"Salmon",0,0,0,0,1115,0,11100,6658,65,0,0,0,18937,2010,"Eureka"
"Salmon",0,0,0,0,84,638,76187,20372,185,0,0,0,97467,2011,"Eureka"
"Salmon",0,0,0,0,0,150,19523,27794,57402,0,0,0,104869,2012,"Eureka"
"Salmon",5,0,0,0,29281,60504,132722,51364,5254,0,0,0,279130,2013,"Eureka"
"Salmon",0,0,0,0,811,74597,61812,11272,8115,109,0,0,156715,2014,"Eureka"
"Salmon",0,0,0,0,35958,17798,7566,5197,2099,98,0,0,68716,2015,"Eureka"
"Salmon",5,0,0,0,0,2934,18,5866,2515,0,20,466,11823,2016,"Eureka"
"Salmon",32,0,0,0,0,0,8,78,3310,3,6,133,3570,2017,"Eureka"
"Salmon",12,6,553,0,6961,22255,18005,39062,57,17,2,14,86942,2018,"Eureka"
"Salmon",80,1,104,2,0,6711,14806,35660,197,10,0,50,57621,2019,"Eureka"
"Salmon",0,0,0,0,0,0,33670,27978,317112,555,0,0,379315,2000,"Fort Bragg"
"Salmon",0,0,0,0,52135,29759,121204,49461,121885,2595,0,0,377038,2001,"Fort Bragg"
"Salmon",0,0,0,0,122004,97659,326506,492434,74329,0,0,0,1112932,2002,"Fort Bragg"
"Salmon",0,500,0,0,457378,440534,879889,976996,642711,20182,0,0,3418190,2003,"Fort Bragg"
"Salmon",0,0,0,129,14995,32192,806460,318018,116538,3880,0,0,1292212,2004,"Fort Bragg"
"Salmon",0,0,0,0,2248,0,138849,212128,547927,234,0,0,901387,2005,"Fort Bragg"
"Salmon",0,0,0,0,0,0,65753,50343,171816,0,0,0,287911,2006,"Fort Bragg"
"Salmon",0,0,0,9371,14179,7801,90368,231086,1795,0,0,0,354601,2007,"Fort Bragg"
"Salmon",0,0,0,0,0,0,89421,77870,4151,0,0,0,171442,2010,"Fort Bragg"
"Salmon",0,0,0,0,8863,26527,298466,251963,5354,181,0,0,591354,2011,"Fort Bragg"
"Salmon",0,0,0,0,35419,28419,398191,124201,18394,0,0,0,604624,2012,"Fort Bragg"
"Salmon",0,0,0,0,57074,219695,904358,173358,53283,0,0,0,1407767,2013,"Fort Bragg"
"Salmon",0,0,0,0,84222,258777,581404,106361,5893,0,16,0,1036673,2014,"Fort Bragg"
"Salmon",0,0,0,0,352453,139413,76606,43994,11563,19,0,0,624048,2015,"Fort Bragg"
"Salmon",0,0,44,0,3928,101077,588,48033,11423,0,0,0,165092,2016,"Fort Bragg"
"Salmon",0,0,0,16,176,0,3,22307,17612,0,0,0,40114,2017,"Fort Bragg"
"Salmon",0,0,0,18,105,116,88395,52284,3215,25,0,0,144158,2018,"Fort Bragg"
"Salmon",0,0,41,4,1492,28180,34275,40215,3418,0,177,0,107801,2019,"Fort Bragg"
"Salmon",0,0,0,0,0,0,0,0,267,0,0,0,267,2000,"Los Angeles"
"Salmon",0,0,0,0,703,0,0,0,0,0,0,0,703,2001,"Los Angeles"
"Salmon",0,0,0,0,366,0,0,0,0,0,0,0,366,2002,"Los Angeles"
"Salmon",0,0,0,0,0,0,0,275,0,0,0,0,275,2003,"Los Angeles"
"Salmon",0,0,0,0,0,0,2705,0,0,0,0,0,2705,2004,"Los Angeles"
"Salmon",0,0,0,0,1023123,537129,147354,14554,1702,0,0,0,1723862,2000,"Monterey"
"Salmon",0,0,0,0,293369,38358,29281,1278,8260,371,0,0,370917,2001,"Monterey"
"Salmon",0,63,0,0,162531,233847,274153,23404,1146,60,0,0,695203,2002,"Monterey"
"Salmon",0,0,0,0,136653,130946,183832,10390,13878,0,0,0,475700,2003,"Monterey"
"Salmon",0,0,0,1807,278897,295093,167533,14262,2870,190,0,0,760651,2004,"Monterey"
"Salmon",0,0,0,0,435908,31252,372313,77556,8631,1386,0,0,927047,2005,"Monterey"
"Salmon",0,0,0,0,63849,599,4225,2115,2959,220,0,0,73967,2006,"Monterey"
"Salmon",0,0,0,0,108324,11714,23620,4822,1196,104,0,0,149780,2007,"Monterey"
"Salmon",0,0,0,0,0,0,19776,0,0,0,0,0,19776,2010,"Monterey"
"Salmon",0,0,0,0,51959,13183,9529,2788,536,69,0,0,78063,2011,"Monterey"
"Salmon",0,0,0,0,185935,94246,220813,13072,1111,0,0,0,515177,2012,"Monterey"
"Salmon",0,0,0,0,146776,84527,53832,5192,965,0,0,0,291292,2013,"Monterey"
"Salmon",0,0,0,0,42445,16440,24796,2817,1472,0,9,0,87979,2014,"Monterey"
"Salmon",0,0,0,0,40990,26378,33722,7535,450,0,0,0,109075,2015,"Monterey"
"Salmon",0,0,0,0,91024,7945,0,1035,571,68,0,0,100643,2016,"Monterey"
"Salmon",0,0,0,0,44358,64230,656,1764,1357,0,0,0,112364,2017,"Monterey"
"Salmon",0,0,0,0,34608,81562,12668,7022,1911,0,0,0,137772,2018,"Monterey"
"Salmon",0,0,0,0,177310,195151,95284,3524,368,0,0,0,471637,2019,"Monterey"
"Salmon",0,0,0,0,141170,271929,14360,830,0,0,0,0,428289,2000,"Morro Bay"
"Salmon",0,0,0,0,31389,296,247,0,425,0,0,0,32356,2001,"Morro Bay"
"Salmon",0,0,0,0,29950,73835,17068,9498,607,41,0,0,130998,2002,"Morro Bay"
"Salmon",0,0,0,0,5770,5980,7785,1018,669,2458,0,0,23681,2003,"Morro Bay"
"Salmon",0,0,0,0,31895,22736,8159,450,931,108,0,0,64280,2004,"Morro Bay"
"Salmon",0,0,0,0,71702,46790,29014,13658,2698,114,0,0,163975,2005,"Morro Bay"
"Salmon",0,0,0,0,3509,4302,988,230,2001,108,0,0,11137,2006,"Morro Bay"
"Salmon",0,0,0,0,6160,1616,2651,3717,836,0,0,0,14978,2007,"Morro Bay"
"Salmon",0,0,0,0,0,0,140,0,0,0,0,0,140,2010,"Morro Bay"
"Salmon",0,0,0,0,4647,6195,527,1145,0,0,0,0,12514,2011,"Morro Bay"
"Salmon",0,0,0,0,74093,25698,11462,6854,1439,0,0,0,119546,2012,"Morro Bay"
"Salmon",0,0,0,0,27949,33648,4703,1984,341,0,0,0,68625,2013,"Morro Bay"
"Salmon",0,0,0,0,5753,4562,4079,4350,0,0,0,0,18743,2014,"Morro Bay"
"Salmon",0,0,0,0,23010,10914,2273,0,0,0,0,0,36197,2015,"Morro Bay"
"Salmon",0,0,5,0,4454,22390,1964,169,15,0,0,0,28997,2016,"Morro Bay"
"Salmon",0,0,0,0,6790,20844,0,0,59,0,0,0,27693,2017,"Morro Bay"
"Salmon",0,0,0,0,933,3191,1259,157,1038,0,0,0,6577,2018,"Morro Bay"
"Salmon",0,0,0,0,213338,123962,6825,707,0,0,0,0,344833,2019,"Morro Bay"
"Salmon",0,0,0,0,0,0,88,0,0,0,0,0,88,2002,"San Diego"
"Salmon",0,0,0,0,716895,614291,273651,78392,261946,7874,0,0,1953050,2000,"San Francisco"
"Salmon",0,0,0,0,397622,30381,246836,50977,86688,49734,0,0,862237,2001,"San Francisco"
"Salmon",0,0,0,0,429454,606673,598546,128512,67403,3887,0,0,1834474,2002,"San Francisco"
"Salmon",0,0,0,0,162731,332890,167256,75772,38211,16198,0,0,793058,2003,"San Francisco"
"Salmon",0,0,0,35,727929,1356224,463195,62354,38592,14094,0,0,2662423,2004,"San Francisco"
"Salmon",0,0,0,0,280852,17522,1013974,71474,234465,29282,0,0,1647569,2005,"San Francisco"
"Salmon",0,0,0,0,52234,1142,33417,38877,65822,17012,0,0,208504,2006,"San Francisco"
"Salmon",0,0,0,0,232426,15115,119716,14764,17701,6163,0,0,405884,2007,"San Francisco"
"Salmon",0,0,0,0,0,0,2146,0,349,0,0,0,2495,2010,"San Francisco"
"Salmon",0,0,0,0,56387,4305,12653,7912,13136,5654,0,0,100048,2011,"San Francisco"
"Salmon",0,0,0,0,213072,53450,155852,64348,46321,43802,0,571,577417,2012,"San Francisco"
"Salmon",0,0,0,0,529853,366021,75877,67846,33695,18082,0,0,1091374,2013,"San Francisco"
"Salmon",0,0,0,0,122363,65584,35443,167165,99761,37030,0,0,527345,2014,"San Francisco"
"Salmon",0,0,0,0,27450,16569,17489,67227,82580,30514,0,0,241829,2015,"San Francisco"
"Salmon",0,0,0,0,23655,3159,260,105967,57980,7913,0,0,198933,2016,"San Francisco"
"Salmon",0,0,0,0,6732,1897,0,101902,52289,15519,0,0,178340,2017,"San Francisco"
"Salmon",0,0,9,0,14707,87509,57868,159139,106254,26280,0,0,451766,2018,"San Francisco"
"Salmon",NA,0,0,NA,168541,361006,NA,241783,58091,NA,144,53,1020029,2019,"San Francisco"
"Salmon",0,0,0,0,340,0,0,0,860,0,0,0,1200,2000,"Santa Barbara"
"Salmon",0,0,0,0,1381,0,364,0,0,0,0,0,1744,2001,"Santa Barbara"
"Salmon",0,0,0,0,42367,20589,1992,540,32,0,0,0,65518,2002,"Santa Barbara"
"Salmon",0,0,0,0,324,190,0,385,0,0,0,0,900,2003,"Santa Barbara"
"Salmon",0,0,0,0,421,3986,5382,2648,0,0,0,0,12437,2004,"Santa Barbara"
"Salmon",0,0,0,0,1237,76,2232,474,24,0,0,0,4044,2005,"Santa Barbara"
"Salmon",0,0,0,0,248,25,0,0,0,0,0,0,274,2006,"Santa Barbara"
"Salmon",0,0,0,0,290,0,0,0,14,0,0,0,304,2007,"Santa Barbara"
"Salmon",0,0,0,0,0,0,0,0,32,0,0,0,32,2009,"Santa Barbara"
"Salmon",0,0,0,0,1307,24,8,0,0,0,0,0,1340,2011,"Santa Barbara"
"Salmon",0,0,0,0,4220,212,2754,748,116,0,0,0,8050,2012,"Santa Barbara"
"Salmon",0,0,0,0,635,837,769,0,33,0,0,0,2273,2013,"Santa Barbara"
"Salmon",0,0,0,0,0,0,0,1393,0,0,0,0,1393,2014,"Santa Barbara"
"Salmon",0,0,0,0,7428,203,0,0,0,0,0,0,7632,2015,"Santa Barbara"
"Salmon",0,0,0,0,951,384,0,0,0,0,0,0,1336,2016,"Santa Barbara"
"Salmon",0,0,0,0,131,499,0,0,0,0,0,0,630,2017,"Santa Barbara"
"Salmon",0,0,0,0,0,0,377,74,0,0,0,0,451,2018,"Santa Barbara"
"Salmon",0,0,0,0,6326,4742,338,0,0,0,0,0,11406,2019,"Santa Barbara"
