project,year,port,fishery,gear,condition,pounds,ex-vessel_revenue,fishers_count,in_data_viewer
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,ALBACORE TUNA,HOOK-LINE,,47499.00,31506.39,5,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,ALBACORE TUNA,MISC,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,ALBACORE TUNA,Other-misc,,5334.00,4943.40,7,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,ALBACORE TUNA,TRAP,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,CALIFORNIA HALIBUT,BOTTOM TRAWL,,16075.50,55142.94,7,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,CALIFORNIA HALIBUT,HOOK-LINE,,2589.00,9342.63,24,Yes
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,CALIFORNIA HALIBUT,MISC,,331.00,1189.28,4,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,CALIFORNIA HALIBUT,TROLL,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,COASTAL PELAGICS,BOTTOM TRAWL,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,COASTAL PELAGICS,LONGLINE,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,COASTAL PELAGICS,Other-misc,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,CROAKER,BOTTOM TRAWL,,110005.00,63938.21,3,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,CROAKER,MISC,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,DUNGENESS CRAB,BOTTOM TRAWL,,233.00,483.02,3,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,DUNGENESS CRAB,DIVING,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,DUNGENESS CRAB,HOOK-LINE,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,DUNGENESS CRAB,TRAP,,206402.50,461684.85,161,Yes
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,LINGCOD,BOTTOM TRAWL,,33744.00,16660.15,27,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,LINGCOD,HOOK-LINE,,18576.50,11308.63,65,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,LINGCOD,LONGLINE,,11740.00,5473.09,25,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,LINGCOD,MISC,,42060.00,22627.89,33,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,LINGCOD,Other-misc,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,LINGCOD,TRAP,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,LINGCOD,TROLL,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,MARKET SQUID,HOOK-LINE,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,MARKET SQUID,Other-misc,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,MARKET SQUID,SEINE/NET,,226320.00,23046.51,3,Yes
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,MISC,GILL NET,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,MISC,TROLL,,1427.00,2200.07,85,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,NEARSHORE FINFISH,BOTTOM TRAWL,Dead,327.00,459.70,3,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,NEARSHORE FINFISH,HOOK-LINE,Dead,3967.00,4624.84,14,Yes
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,NEARSHORE FINFISH,LONGLINE,Live,NA,NA,NA,Yes
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,NEARSHORE FINFISH,LONGLINE,Dead,71350.00,78298.06,17,Yes
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,NEARSHORE FINFISH,MISC,Dead,5035.00,4986.51,14,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,NEARSHORE FINFISH,Other-misc,Dead,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER,BOTTOM TRAWL,,660.00,727.91,6,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER,DIVING,,45.00,61.95,3,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER,HOOK-LINE,,115.00,125.05,3,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER,LONGLINE,,184.00,66.37,3,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER,MISC,,191.00,151.35,3,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER,Other-misc,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER,TRAP,,943.00,1133.64,17,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER FLATFISH,BOTTOM TRAWL,,2672369.00,1128504.21,33,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER FLATFISH,HOOK-LINE,,230.00,661.67,6,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER FLATFISH,LONGLINE,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER FLATFISH,MISC,,135350.00,59381.59,15,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER FLATFISH,Other-misc,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER GROUNDFISH,BOTTOM TRAWL,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER OFFSHORE PELAGICS,GILL NET,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER OFFSHORE PELAGICS,HOOK-LINE,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER OFFSHORE PELAGICS,MISC,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER OFFSHORE PELAGICS,Other-misc,,5839.00,6454.43,11,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,OTHER-misc,BRAIL/DIP NET,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,PURPLE URCHIN,DIVING,,101419.00,129400.49,25,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,PURPLE URCHIN,MISC,,4159.00,5986.19,4,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,RED URCHIN,DIVING,,3685712.00,2559863.05,165,Yes
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,ROCK CRAB,TRAP,,3132.00,3062.58,7,Yes
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SABLEFISH,BOTTOM TRAWL,,493445.00,301408.96,31,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SABLEFISH,HOOK-LINE,,92547.50,83030.06,11,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SABLEFISH,LONGLINE,,4287.00,2809.87,9,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SABLEFISH,MISC,,25406.00,16612.85,11,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SABLEFISH,TRAP,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SALMON,TROLL,,360106.80,1298657.70,394,Yes
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SEA CUCUMBER,DIVING,,63331.00,59738.22,22,Yes
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SEA CUCUMBER,MISC,,3224.00,3538.80,7,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SHARK,BOTTOM TRAWL,,767.00,830.14,7,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SHARK,GILL NET,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SHARK,HOOK-LINE,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SHARK,LONGLINE,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SHARK,MISC,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SHARK,Other-misc,,15926.00,18292.24,16,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SHELF-SLOPE ROCKFISH,BOTTOM TRAWL,,819480.20,328942.71,35,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SHELF-SLOPE ROCKFISH,HOOK-LINE,,746521.50,422903.98,179,Yes
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SHELF-SLOPE ROCKFISH,LONGLINE,,567910.00,269426.88,48,Yes
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SHELF-SLOPE ROCKFISH,MISC,,205047.50,97140.61,80,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SHELF-SLOPE ROCKFISH,Other-misc,,NA,NA,NA,No
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SHELF-SLOPE ROCKFISH,TRAP,,283.00,199.24,3,Yes
Statewide_SocEco,1992,BODEGA BAY AREA PORTS,SHELF-SLOPE ROCKFISH,TROLL,,NA,NA,NA,No
