"project","year","port","fishery","gear","condition","pounds","ex.vessel_revenue","fishers_count","in_data_viewer","revenue_adj"
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","ALBACORE TUNA","HOOK-LINE","",47499,31506.39,5,"No",53156.2085338282
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","ALBACORE TUNA","MISC","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","ALBACORE TUNA","Other-misc","",5334,4943.4,7,"No",8340.28910535692
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","ALBACORE TUNA","TRAP","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","CALIFORNIA HALIBUT","BOTTOM TRAWL","",16075.5,55142.94,7,"No",93034.7658937878
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","CALIFORNIA HALIBUT","HOOK-LINE","",2589,9342.63,24,"Yes",15762.4782951776
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","CALIFORNIA HALIBUT","MISC","",331,1189.28,4,"No",2006.50140130657
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","CALIFORNIA HALIBUT","TROLL","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","COASTAL PELAGICS","BOTTOM TRAWL","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","COASTAL PELAGICS","LONGLINE","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","COASTAL PELAGICS","Other-misc","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","CROAKER","BOTTOM TRAWL","",110005,63938.21,3,"No",107873.762244411
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","CROAKER","MISC","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","DUNGENESS CRAB","BOTTOM TRAWL","",233,483.02,3,"No",814.930299726808
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","DUNGENESS CRAB","DIVING","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","DUNGENESS CRAB","HOOK-LINE","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","DUNGENESS CRAB","TRAP","",206402.5,461684.85,161,"Yes",778934.564179178
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","LINGCOD","BOTTOM TRAWL","",33744,16660.15,27,"No",28108.2792285901
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","LINGCOD","HOOK-LINE","",18576.5,11308.63,65,"No",19079.4278402542
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","LINGCOD","LONGLINE","",11740,5473.09,25,"No",9233.95899575959
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","LINGCOD","MISC","",42060,22627.89,33,"No",38176.7901533792
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","LINGCOD","Other-misc","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","LINGCOD","TRAP","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","LINGCOD","TROLL","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","MARKET SQUID","HOOK-LINE","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","MARKET SQUID","Other-misc","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","MARKET SQUID","SEINE/NET","",226320,23046.51,3,"Yes",38883.067578893
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","NEARSHORE FINFISH","BOTTOM TRAWL","Dead",327,459.7,3,"No",775.58581173536
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","NEARSHORE FINFISH","HOOK-LINE","Dead",3967,4624.84,14,"Yes",7802.82855241715
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","NEARSHORE FINFISH","LONGLINE","Live",NA,NA,NA,"Yes",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","NEARSHORE FINFISH","LONGLINE","Dead",71350,78298.06,17,"Yes",132101.075532747
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","NEARSHORE FINFISH","MISC","Dead",5035,4986.51,14,"No",8413.02241913528
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","NEARSHORE FINFISH","Other-misc","Dead",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","PURPLE URCHIN","DIVING","",101419,129400.49,25,"No",218318.868991959
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","PURPLE URCHIN","MISC","",4159,5986.19,4,"No",10099.6389609574
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","RED URCHIN","DIVING","",3685712,2559863.05,165,"Yes",4318889.40954014
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","ROCK CRAB","TRAP","",3132,3062.58,7,"Yes",5167.05154514788
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SABLEFISH","BOTTOM TRAWL","",493445,301408.96,31,"No",508524.065490343
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SABLEFISH","HOOK-LINE","",92547.5,83030.06,11,"No",140084.699768405
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SABLEFISH","LONGLINE","",4287,2809.87,9,"No",4740.69024324741
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SABLEFISH","MISC","",25406,16612.85,11,"No",28028.4767293621
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SABLEFISH","TRAP","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SALMON","TROLL","",360106.8,1298657.7,394,"Yes",2191038.69136584
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SEA CUCUMBER","DIVING","",63331,59738.22,22,"Yes",100787.722102079
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SEA CUCUMBER","MISC","",3224,3538.8,7,"No",5970.5091811379
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SHARK","BOTTOM TRAWL","",767,830.14,7,"No",1400.57604036109
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SHARK","GILL NET","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SHARK","HOOK-LINE","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SHARK","LONGLINE","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SHARK","MISC","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SHARK","Other-misc","",15926,18292.24,16,"No",30861.8703694975
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SHELF-SLOPE ROCKFISH","BOTTOM TRAWL","",819480.2,328942.71,35,"No",554977.808896626
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SHELF-SLOPE ROCKFISH","HOOK-LINE","",746521.5,422903.98,179,"Yes",713505.169924765
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SHELF-SLOPE ROCKFISH","LONGLINE","",567910,269426.88,48,"Yes",454565.293513434
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SHELF-SLOPE ROCKFISH","MISC","",205047.5,97140.61,80,"No",163891.404958273
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SHELF-SLOPE ROCKFISH","Other-misc","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SHELF-SLOPE ROCKFISH","TRAP","",283,199.24,3,"Yes",336.149047487825
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SHELF-SLOPE ROCKFISH","TROLL","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SHRIMP/PRAWN","MISC","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SMELTLIKE FISH","BRAIL/DIP NET","",1274,648.29,4,"No",1093.76664322366
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SMELTLIKE FISH","MISC","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SMELTLIKE FISH","Other-misc","",13827,901.8,12,"No",1521.47767026963
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SURFPERCH","HOOK-LINE","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SURFPERCH","MISC","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SURFPERCH","SEINE/NET","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SWORDFISH","GILL NET","",NA,NA,NA,"No",NA
"Statewide_SocEco",1992,"BODEGA BAY AREA PORTS","SWORDFISH","HOOK-LINE","",NA,NA,NA,"No",NA
