"",,,,,,,,,,,,,,Total
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Anchovy, northern......................",,"5,192,880","3,824,472","530,301","12,009,087","14,815,154","755,705","806,799","2,642,257","1,094,666","443,475","119,558","187,749","42,422,104"
"Barracuda, California.................",,265,60,232,506,"81,024","15,841","23,090","26,961","9,487",600,76,78,"158,219"
"Bass, giant sea..........................",,646,198,644,543,272,639,899,488,190,194,39,695,"5,446"
"Bass, rock..................................",,0,0,0,0,0,0,17,3,0,0,0,0,19
"Blackfish, Sacramento...............",,0,0,0,163,0,0,0,0,0,0,0,0,163
Blacksmith.................................,,0,0,0,0,25,0,99,0,0,0,0,0,124
"Bonito, Pacific............................",,0,0,0,0,327,460,94,9,"12,115",0,0,0,"13,005"
Butterfish (Pacific pompano)......,,483,906,"1,839","1,244","2,246","1,656","1,315",274,930,"2,713",536,656,"14,798"
Cabezon.....................................,,"9,749","13,121","3,878","4,037","27,389","23,249","34,115","26,049","17,788",51,12,0,"159,438"
Carp...........................................,,0,0,0,"1,909",0,0,0,214,0,0,0,0,"2,123"
"Cod, Pacific................................",,0,0,0,0,6,768,0,9,10,5,0,0,798
"Corbina, California.....................",,0,0,0,0,0,14,99,0,0,0,0,0,113
"Corvina, shortfin.........................",,0,0,10,0,0,0,0,0,0,0,0,0,10
"Croaker, unspecifed...................",,0,23,132,18,0,29,0,0,0,150,0,0,352
"Croaker, white............................",,"19,212","13,270","26,664","16,871","16,521","9,335","11,468","8,830","9,759","16,516","9,138","20,832","178,415"
Dolphin (fish)..............................,,187,0,0,"7,606","2,956",0,179,799,241,"20,624",10,0,"32,602"
"Eel, California moray..................",,36,0,0,0,56,27,1,2,0,0,0,5,126
"Eel, monkeyface........................",,0,0,0,0,20,22,30,30,36,42,54,2,236
"Eel, wolf (wolf-eel)......................",,0,0,0,9,0,9,0,0,0,0,0,0,18
Eel.............................................,,0,0,0,0,2,10,8,6,0,0,0,54,79
Escolar.......................................,,875,215,3,"1,636","2,096",0,316,229,0,766,"1,038",16,"7,190"
"Fish, unspecified........................",,0,19,1,"2,952",522,12,27,0,0,0,273,0,"3,806"
"Flounder, arrowtooth..................",,753,"1,304","1,373","4,253","3,617","2,983","1,795","2,136","2,082",290,0,0,"20,586"
"Flounder, starry..........................",,"2,205","5,821","9,661","2,554","4,936","21,251","10,012","9,058","4,555","6,629","9,984","5,101","91,768"
"Flounder, unspecified.................",,"1,057","2,879","2,675",495,"1,261","2,180","2,201","1,772","1,818",463,254,220,"17,274"
"Goby, yellowfin...........................",,0,10,21,0,0,0,7,35,10,175,110,0,367
"Greenling, kelp...........................",,"2,018","3,320","1,648",765,"3,822","3,617","4,842","3,702",6,40,0,0,"23,779"
Grenadiers.................................,,"9,172","8,824","20,232","20,769","40,174","45,480","82,459","74,282","127,173","13,070","11,701","12,673","466,009"
"Grouper, broomtail.....................",,0,0,0,0,0,0,0,0,0,0,0,190,190
"Guitarfish, shovelnose................",,"1,606",903,"3,219","2,305","2,604",723,412,849,699,"1,521","2,053","3,355","20,248"
Hagfishes...................................,,0,0,190,375,"7,600","26,414","9,678",0,0,0,0,0,"44,257"
Halfmoon...................................,,322,11,61,0,99,5,90,135,0,11,71,12,817
"Halibut, California.......................",,"72,211","95,157","142,595","57,836","78,920","78,259","88,289","57,904","39,980","40,882","45,271","51,188","848,491"
"Halibut, Pacific...........................",,0,0,0,0,53,438,153,0,0,0,0,0,644
"Halibut, unspecified....................",,0,84,14,318,347,21,0,0,0,892,0,0,"1,676"
"",,,,,,,,,,,,,,Total
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
Herring roe on kelp.....................,,0,"21,363","32,357",0,0,0,0,0,0,0,0,0,"53,720"
"Herring, Pacific...........................",,0,0,0,21,0,0,220,0,0,0,0,0,241
"Herring, Roe...............................",,"5,441,040","70,611",0,0,0,0,0,0,0,0,0,"204,687","5,716,338"
"Herring, round............................",,0,0,0,0,0,0,0,0,0,"5,286",0,0,"5,286"
Hitch..........................................,,0,0,0,46,0,0,0,20,0,0,0,0,66
Jacksmelt...................................,,"2,472",529,"1,725","3,444","2,217","3,005","2,037","5,563","4,438","3,118","5,466","40,956","74,971"
Kelpfishes..................................,,0,0,0,0,5,0,0,0,0,0,0,0,5
Lingcod......................................,,1,53,118,180,"15,448","17,224","24,103","30,046","26,765","23,340",423,45,"137,744"
"Lizardfish, California...................",,0,0,2,137,25,0,0,0,0,0,0,0,164
Louvar........................................,,30,0,0,0,0,727,46,147,"2,389","6,056","1,443",29,"10,867"
"Mackerel, Pacific........................",,"880,519","211,972","212,107","31,999","16,961","37,658","559,796","4,165,882","4,802,987","2,784,919","1,366,522","194,343","15,265,665"
"Mackerel, bullet..........................",,0,0,0,0,0,0,0,0,0,101,0,0,101
