"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Anchovy, northern........................",,"758,583","813,225","3,006,257","8,287,089","5,239,205","2,693,660","587,866","385,950","770,927","6,291,269","2,620,394","38,179","31,492,604"
"Barracuda, California...................",,0,0,0,117,"9,760","10,215",840,739,"1,018",89,20,0,"22,798"
"Bass, barred sand.........................",,0,0,0,0,0,0,12,0,0,0,0,0,12
"Bass, giant sea...............................",,452,482,84,565,128,786,"1,094",970,644,86,52,344,"5,685"
"Bass, kelp.......................................",,0,1,4,4,6,0,74,5,0,0,0,0,94
"Bonito, Pacific...............................",,0,25,"2,034",0,"1,189,413",0,"1,750","482,270","3,045","6,525","83,848","1,522","1,770,432"
Butterfish (Pacific pompano)......,,189,876,"1,600",380,300,0,242,0,2,283,74,25,"3,971"
Cabezon........................................,,"4,643","4,135",9,4,"10,472","5,843","5,886","3,302","7,645","4,820","2,752","1,287","50,798"
Carp...............................................,,"2,362",0,0,0,0,0,0,0,868,0,0,0,"3,230"
"Cod, Pacific...................................",,0,0,0,0,0,0,36,9,0,0,0,0,45
"Corbina, California.......................",,0,0,0,0,1,0,0,0,0,0,0,0,1
"Croaker, unspecifed....................",,0,0,65,0,0,0,0,1,0,0,7,0,73
"Croaker, white...............................",,"3,763",926,"3,398","19,864","10,452",892,"3,902","1,705","6,924","6,236","6,583","8,805","73,449"
Dolphin (fish)..................................,,0,263,552,"1,852",0,0,128,590,212,0,310,0,"3,907"
"Eel, California moray....................",,325,"1,270","2,901","2,840","1,356",0,229,196,996,0,951,876,"11,940"
"Eel, monkeyface (prickleback)...",,4,0,0,43,80,7,16,12,10,9,3,0,183
Escolar............................................,,0,613,882,262,0,0,0,0,0,0,0,68,"1,825"
"Fish, unspecified............................",,4,2,1,36,6,12,52,5,87,2,22,0,226
"Flounder, arrowtooth....................",,"3,158","12,115","13,455","13,880","3,287","2,461","3,232","7,390","13,722","15,656","6,873","2,864","98,093"
"Flounder, starry..............................",,765,"2,316","3,363","2,160",344,507,"1,551",877,"1,433","2,740","3,734","3,077","22,866"
"Flounder, unspecified...................",,0,1,85,3,8,0,76,164,84,160,30,43,653
Flyingfish.........................................,,0,0,0,0,0,0,2,25,0,0,0,0,27
