Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
Fishes,,,,,,,,,,,,,
"Anchovy , northern....................","34,447","14,380","46,950","41,912","84,154","121,329","156,560","138,348","482,986","6,975,801","4,069,563","1,072,444","13,238,874"
"Barracuda, California................",12,0,88,0,"11,956","2,075","2,864",210,12,0,473,0,"17,690"
"Bass, giant sea..........................",183,106,0,74,49,409,622,0,126,33,70,40,"1,712"
"Bonito, Pacific............................",0,0,0,0,"40,670",0,0,310,0,0,506,18,"41,504"
Butterfish (Pacific pompano)..,"1,297","1,174",718,533,372,82,94,45,776,"1,777","2,694","2,359","11,920"
Cabezon.......................................,"5,369","2,213",0,0,"7,042","8,783","10,033","6,041","5,586","8,984","6,630","3,168","63,849"
"Cod, Pacific................................",0,0,0,0,0,0,0,2,4,0,0,0,6
"Corbina, California.....................",0,0,0,0,4,0,0,0,0,0,0,0,4
"Croaker, white............................",210,167,597,478,659,222,120,89,929,"1,125","1,447",266,"6,308"
Dolphin (fish)..............................,0,228,649,0,257,0,35,61,333,129,228,85,"2,005"
"Eel, California moray .................",750,0,0,539,35,"1,732",0,178,0,431,0,0,"3,665"
"Eel, monkey face (prickleback",0,75,40,67,76,67,50,69,39,6,18,0,508
"Eel, wolf (wolf-eel)....................",0,0,0,0,0,0,0,0,7,0,0,0,7
Eel.................................................,96,100,30,0,0,0,0,233,308,0,0,0,767
Escolar.........................................,409,"2,558","1,439",0,328,0,0,0,0,0,499,0,"5,233"
"Fish, unspecified.......................",137,40,9,105,148,7,0,0,377,27,25,0,873
"Flounder, arrowtooth................","12,544","22,917","24,608","28,061","13,080","3,906","12,876","26,071","18,807","42,425","28,377","26,495","260,167"
"Flounder, s tarry .........................","1,403",966,"1,647",569,391,"1,034","1,418","1,818","2,299",486,0,0,"12,031"
"Flounder, unspecified..............",0,0,5,0,11,0,5,0,0,0,5,13,38
Fly ingfish.....................................,0,0,0,0,0,0,0,20,0,0,0,0,20
