Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,
"Anchovy, northern.....................","2,822",0,"384,951","56,244","257,865","903,361","807,877","2,669,423","2,736,234","4,104,160",0,"1,520","11,924,457"
"Barracuda, California................",0,0,0,3,37,819,947,71,0,3,0,0,"1,879"
"Bass, barred sand.....................",7,3,0,0,0,0,0,0,0,0,0,0,10
"Bass, giant sea..........................",5,554,729,645,35,"1,321","3,265","1,023",21,4,143,121,"7,866"
Blacksmith...................................,0,3,0,0,0,0,0,0,0,0,0,0,3
"Bonito, Pacific............................","1,079",63,212,246,37,"1,037","107,762","1,266,574","52,118","517,954","1,234",154,"1,948,470"
"Bullhead, brown..........................",0,0,0,0,0,0,0,0,0,14,6,0,20
Butterfish (Pacific pompano)..,372,472,646,360,60,173,175,29,2,48,123,199,"2,657"
Cabezon.......................................,"2,775","1,695",15,42,"6,953","5,594","7,728","6,303","8,342","3,553","4,017","4,508","51,524"
Carp...............................................,0,0,0,0,0,0,0,0,400,0,0,0,400
"Croaker, unspecifed..................",21,0,0,0,30,0,6,0,0,0,0,0,58
"Croaker, white.............................","3,220","3,443","2,129",869,"3,404","1,375","1,213","1,557",459,"7,952","7,639","1,799","35,058"
Dolphin (fish)..............................,626,"3,032","4,562",892,"2,823",111,359,"1,799","1,427","2,997","2,949","2,896","24,472"
"Eel, California moray.................",312,"1,042",0,0,0,0,0,9,0,0,0,0,"1,363"
"Eel, wolf (wolf-eel).....................",0,0,0,0,0,10,31,22,7,0,0,0,70
Eel..................................................,0,0,0,0,0,1,2,0,0,0,0,10,13
Escolar.........................................,"1,851","1,095","2,230","1,463","1,787",460,232,"1,010",916,"1,610","1,599","2,458","16,711"
"Fish, unspecified.......................","3,077","3,394","3,468","2,764","2,393",831,"1,572","1,857",690,"1,972",404,332,"22,754"
"Flounder, arrowtooth.................",404,"2,761","7,693","4,657","6,668","1,053","5,397","6,218","3,934","3,391","16,291","27,535","86,002"
"Flounder, starry..........................",762,938,"1,260",740,837,339,593,"7,834","2,051","1,070",635,14,"17,072"
"Flounder, unspecified...............",0,2,188,3,0,6,9,6,20,0,3,0,236
Flyingfish.....................................,0,0,0,0,0,0,2,0,0,20,0,0,22
"Goby, bluebanded.....................",0,0,0,0,0,0,0,720,0,0,0,0,720
"Goby, yellowfin..........................",0,0,0,27,0,0,684,0,0,0,0,86,797
"Greenling, kelp...........................",437,310,0,0,"1,013","1,003","1,214","1,018","1,417",786,472,887,"8,556"
Grenadier.....................................,"1,342","1,510","3,272","7,251","4,384",388,"3,703",641,"5,158","4,884","7,375","3,874","43,781"
"Guitarfish, shovelnose.............",48,0,23,"1,821",40,0,0,0,25,90,410,15,"2,472"
Hagfishes....................................,"157,082","138,783","180,473","120,387","159,211","160,208","223,820","278,238","204,632","122,724","166,654","185,697","2,097,909"
Halfmoon......................................,0,2,0,0,0,0,58,13,0,0,2,0,74
"Halibut, California......................","33,401","37,643","60,672","47,737","40,585","62,920","77,580","80,474","52,335","34,668","16,275","13,146","557,436"
"Halibut, Pacific...........................",94,0,0,0,0,738,"3,160",0,0,0,0,11,"4,003"
"Halibut, unspecified..................",54,6,0,40,0,14,23,17,54,282,0,0,490
"Herring, Pacific - roe................","35,892","38,526",0,0,0,0,0,0,0,0,0,0,"74,418"
"Herring, round.............................",0,0,0,0,"1,780",0,0,0,0,0,0,0,"1,780"
Jacksmelt.....................................,300,11,140,234,652,"1,069","1,527","1,167","1,736","1,841",18,65,"8,760"
"Kelpfish, giant.............................",0,0,0,0,4,0,0,0,0,0,0,0,4
Kelpfishes....................................,0,0,0,0,0,0,0,0,0,0,6,0,6
Lingcod.........................................,"4,303","4,317","4,282","10,668","54,708","60,389","93,924","81,036","52,444","31,988","26,733","13,699","438,492"
"Lizardfish, California.................","1,475","2,939","5,665","1,603","7,991",98,77,59,52,"9,480","13,696","2,738","45,873"
Louvar...........................................,21,41,0,0,0,0,0,0,0,67,321,28,478
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,
"Mackerel, Pacific.......................","363,054","100,243","356,356","608,280","885,341","583,393","154,755","103,528","370,099","847,280","298,279","279,935","4,950,542"
"Mackerel, jack.............................","20,314",2,"23,046","4,447","10,199","35,483","9,731","4,678","35,590",35,"10,659","131,038","285,222"
"Mackerel, unspecified..............",4,58,"1,055",398,"1,298","2,387",519,328,683,886,352,789,"8,756"
"Midshipman, plainfin.................",0,0,0,0,5,118,42,0,42,0,0,0,207
"Mudsucker, longjaw..................",143,0,0,4,33,22,8,0,0,56,175,213,654
"Mullet, striped.............................",0,0,0,0,0,0,0,0,0,0,2,0,2
Oilfish...........................................,153,0,273,0,138,0,510,513,"1,076",187,295,0,"3,145"
Opah.............................................,"59,550","41,964","54,851","36,156","25,593","7,336","40,313","81,640","80,597","37,856","44,832","62,455","573,143"
Opaleye........................................,39,379,90,0,0,3,0,9,0,2,240,0,762
Pomfret.........................................,0,0,0,102,0,0,367,"3,679","1,683","1,229",943,"2,399","10,402"
"Prickleback, monkeyface (eel",15,25,35,0,82,29,3,0,11,0,0,0,201
Queenfish....................................,0,11,5,0,0,0,0,0,0,0,0,0,16
"Ratfish, spotted.........................",0,0,18,64,12,6,183,5,237,0,5,10,541
"Ray, Pacific electric.................",0,40,61,0,0,0,100,2,99,10,53,4,369
"Ray, bat........................................","2,805","1,590","1,126","1,742","2,363","1,616","2,215","3,997","2,870","1,380","2,518","1,494","25,716"
"Ray, unspecified........................",0,0,0,10,0,0,47,15,0,4,0,0,76
"Rockfish, China..........................",81,193,5,2,238,201,325,821,670,342,207,758,"3,843"
"Rockfish, Mexican.....................",2,0,0,0,2,39,0,205,503,521,311,187,"1,770"
"Rockfish, Pacific ocean perch",1,17,36,46,1,3,0,7,32,16,9,19,187
"Rockfish, aurora.........................",143,61,346,143,941,213,75,284,440,151,924,"2,717","6,438"
"Rockfish, bank............................","3,326","1,473",458,"19,758",5,"2,812","3,223",101,"6,687","1,727","27,231",215,"67,016"
"Rockfish, black-and-yellow....","1,342",757,0,0,"2,911","3,484","5,330","5,565","5,638","2,279","2,507","3,033","32,845"
"Rockfish, black...........................","1,211",676,"5,205","7,420","18,980","22,664","16,268","16,478","15,614","9,124","1,584","8,413","123,634"
"Rockfish, blackgill.....................","2,639","1,211","4,067","3,993","4,817","6,098","9,340","26,648","20,388","10,483","15,214","9,602","114,499"
"Rockfish, blue.............................","1,431","1,141","1,808",336,"1,101","2,312","2,651","2,501","2,040","2,422","2,452","3,954","24,148"
"Rockfish, bocaccio...................","1,280","1,205","27,789","29,789","48,404","65,098","17,925","11,569","7,115","13,502","7,433","16,477","247,585"
"Rockfish, brown.........................","1,912","1,678",2,0,"4,654","4,396","5,520","5,714","5,044","3,299","3,347","4,562","40,128"
"Rockfish, calico.........................",0,0,0,0,0,0,0,2,0,0,0,0,2
"Rockfish, canary........................",0,318,119,"2,795","9,235","76,306","26,428","28,524","28,200","2,832","1,455","1,358","177,571"
"Rockfish, chilipepper................","1,140",674,"1,693","11,494","18,067","35,632","13,166","31,031","35,858","59,545","12,096","51,861","272,258"
"Rockfish, copper........................","1,185",878,0,21,"2,604","1,590","2,667","3,108","3,811","2,398","1,695","2,365","22,321"
"Rockfish, cowcod......................",0,0,26,17,128,309,70,106,502,20,8,44,"1,231"
"Rockfish, darkblotched............",56,734,"1,317","2,078","2,610","1,901","2,509","1,717","1,833",363,966,"1,693","17,777"
"Rockfish, flag..............................",98,10,0,0,45,25,23,50,9,48,56,75,438
"Rockfish, gopher........................","3,820","4,332",0,0,"4,588","4,780","8,604","7,377","7,225","5,509","6,523","7,047","59,806"
"Rockfish, grass..........................",814,386,0,0,"3,601","1,929","3,271","2,163","5,840","1,330","2,895","1,563","23,791"
"Rockfish, greenblotched..........",0,4,1,0,0,39,30,16,9,23,0,2,125
"Rockfish, greenspotted............",188,187,7,54,383,428,472,245,484,533,704,748,"4,433"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,
"Rockfish, greenstriped.............",6,12,33,7,72,94,168,94,281,113,143,201,"1,224"
"Rockfish, group black/blue.....",0,0,0,0,0,0,0,0,0,0,0,11,11
"Rockfish, group bolina.............",0,0,0,0,0,0,0,0,0,29,17,55,101
"Rockfish, group deep nearsho",0,0,0,0,0,0,0,3,265,26,84,0,377
"Rockfish, group nearshore......",0,0,0,0,0,6,0,0,0,2,0,75,83
"Rockfish, group red...................",10,11,0,0,60,39,9,4,83,596,167,51,"1,030"
"Rockfish, group shelf...............",53,14,41,514,"2,504","7,419","11,822","22,736","9,965","5,423",184,599,"61,272"
"Rockfish, group slope..............",32,"1,437","1,681","2,385","3,710","6,528","2,959","4,144","5,021","2,180","2,274","1,883","34,234"
"Rockfish, group small...............",0,0,0,0,0,219,1,0,0,0,230,1,452
"Rockfish, honeycomb...............",7,0,0,0,0,0,2,1,0,0,0,0,10
"Rockfish, kelp.............................",129,102,0,0,166,91,228,142,167,137,174,219,"1,555"
"Rockfish, olive............................",3,114,41,0,13,19,62,97,144,29,18,33,572
"Rockfish, pink.............................",0,0,0,0,0,0,0,37,97,179,56,162,532
"Rockfish, quillback....................",37,67,15,46,437,363,495,"1,226","1,020",725,223,390,"5,043"
"Rockfish, redbanded.................",16,1,3,99,2,350,22,115,45,662,129,139,"1,583"
"Rockfish, rosethorn...................",0,0,0,0,32,40,29,16,22,24,33,95,292
"Rockfish, rosy............................",59,29,0,0,19,42,33,53,55,12,16,14,332
"Rockfish, rougheye...................",0,30,60,126,90,51,39,45,6,40,38,10,535
"Rockfish, shortbelly..................",0,0,0,321,234,107,69,30,28,152,3,0,944
"Rockfish, shortraker..................",0,0,0,0,14,0,12,0,0,13,22,0,61
"Rockfish, speckled....................",159,72,0,0,15,81,156,66,70,156,78,91,943
"Rockfish, splitnose...................",251,262,980,"4,049",25,800,"2,111",54,"3,883",409,538,"8,661","22,023"
"Rockfish, squarespot...............",27,29,0,0,79,7,3,32,0,1,72,18,269
"Rockfish, starry..........................",241,109,18,0,299,67,296,313,227,276,334,185,"2,366"
"Rockfish, stripetail....................",0,0,0,0,35,98,52,2,35,8,32,1,263
"Rockfish, treefish......................",597,467,0,0,564,341,746,486,387,464,670,414,"5,135"
"Rockfish, unspecified...............",328,64,9,0,35,58,61,232,204,407,41,0,"1,438"
"Rockfish, vermilion....................","4,182","6,547",50,56,"8,554","11,370","13,918","13,782","12,373","9,288","10,539","13,787","104,446"
"Rockfish, widow.........................",141,"1,448",67,190,"1,775","1,701","61,535","1,136",549,"43,819",964,"1,051","114,376"
"Rockfish, yelloweye..................",0,0,1,0,2,4,0,3,153,0,0,34,197
"Rockfish, yellowtail...................",114,311,44,951,"3,874","1,643","1,445","2,994","2,964","2,342","1,080","2,457","20,219"
Sablefish......................................,"110,395","137,622","228,214","370,429","312,440","305,189","232,053","432,784","457,112","463,518","292,180","269,191","3,611,126"
"Salmon, Chinook........................",32,0,0,16,"58,899","87,469",667,"214,838","118,651","15,849",6,133,"496,560"
"Salmon, Roe (Chinook, Coho).",0,0,0,0,0,10,0,195,312,86,0,0,602
"Sanddab, Pacific.......................",0,0,6,346,78,"1,252",120,"6,844",256,"3,106",0,0,"12,008"
Sanddab.......................................,89,477,545,"1,254","13,976","17,982","13,422","28,837","6,740","9,218","2,500","2,081","97,121"
"Sardine, Pacific..........................","40,591",0,"19,679","30,221","139,302","153,025","44,190","17,334","113,671","314,765","34,877","45,236","952,891"
Sargo............................................,0,0,0,0,0,0,0,0,0,0,3,0,3
"Scorpionfish, California............",55,76,0,0,509,836,457,614,161,204,233,308,"3,454"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,
"Sculpin, staghorn......................",0,0,0,0,0,3,27,45,110,92,98,53,428
"Seabass, white..........................",967,"3,643","10,398",542,312,"83,780","92,952","16,129","7,209","5,640","2,280","5,061","228,912"
"Seaperch, striped......................",279,167,569,296,0,0,0,0,0,0,185,690,"2,186"
"Shad, American..........................",0,0,0,185,44,2,199,10,1,0,1,12,454
"Shad, threadfin...........................",0,0,0,620,"1,377",270,"1,050","2,050","1,540","3,855","3,940","2,080","16,782"
"Shark, Pacific angel..................","2,181","1,275","1,563","1,285","1,699","3,142","4,004","2,188",669,974,825,"1,191","20,996"
"Shark, bigeye thresher.............",0,0,0,0,125,881,0,0,327,212,95,478,"2,118"
"Shark, blue..................................",0,0,0,0,25,0,12,6,0,0,16,2,61
"Shark, brown smoothhound....",49,19,18,26,188,43,193,13,0,27,0,7,583
"Shark, gray smoothhound.......",0,0,0,0,7,0,0,0,0,0,0,0,7
"Shark, horn..................................",3,0,0,0,0,5,0,15,0,0,0,0,23
"Shark, leopard............................",795,"1,952",864,474,624,448,533,369,144,198,266,797,"7,463"
"Shark, pelagic thresher............",0,0,0,0,0,0,0,12,0,"5,805",0,0,"5,817"
"Shark, salmon.............................",98,0,0,0,0,0,0,0,0,0,0,0,98
"Shark, sevengill.........................",0,88,0,0,304,189,0,147,35,157,190,0,"1,111"
"Shark, shortfin mako.................","2,092","1,126","4,884",0,"4,353","3,285","4,685","5,923","3,275","9,508","9,752","8,887","57,770"
"Shark, soupfin............................",599,"1,080",912,826,807,707,"1,008",389,497,"1,117","3,105","2,857","13,906"
"Shark, spiny dogfish.................",88,22,29,15,99,361,163,118,274,71,689,"2,214","4,142"
"Shark, swell.................................",15,129,0,0,0,8,0,62,64,7,0,45,329
"Shark, thresher...........................","20,190",179,"6,577","1,258","8,714","6,423","11,160","3,292",722,"3,602","10,388","12,564","85,068"
"Shark, unspecified....................",701,902,285,275,186,198,683,444,522,416,230,0,"4,841"
"Shark, white................................",0,0,0,0,0,0,0,0,0,0,0,130,130
"Sheephead, California..............","4,328","5,709",0,0,"4,054","10,719","9,303","4,581","3,955","1,412","2,673","4,290","51,025"
"Skate, California.........................",9,0,55,114,0,178,33,90,19,13,68,112,691
"Skate, big.....................................",0,0,691,846,"10,998","8,481","9,991","12,140","6,296",663,"3,012",240,"53,358"
"Skate, longnose.........................","2,227","12,172","28,395","27,963","33,086","27,317","16,796","36,386","37,171","34,030","41,665","26,251","323,459"
"Skate, thornback........................",0,0,0,0,0,0,0,0,0,8,0,0,8
"Skate, unspecified....................",775,567,"1,632","1,033",837,"2,194","1,639",169,"3,583","1,509","2,085","2,735","18,758"
"Smelt, night.................................","1,004","12,387","46,075","50,577","90,984","58,705","23,145","5,106",0,0,0,0,"287,983"
"Smelt, surf...................................",0,0,0,341,0,30,218,98,1,0,0,0,689
"Smelts, true.................................",0,0,0,0,0,0,0,0,0,0,0,21,21
"Sole, Dover..................................","74,522","243,633","511,843","344,208","236,019","356,076","242,971","439,748","369,334","399,086","313,656","374,135","3,905,231"
"Sole, English...............................",532,"1,162","3,303","9,799","33,797","38,326","49,048","45,071","27,732","6,288","7,729","4,887","227,674"
"Sole, bigmouth............................",1,0,0,0,0,0,0,0,0,0,0,0,1
"Sole, curlfin.................................",43,83,96,168,95,3,5,177,117,483,213,6,"1,489"
"Sole, fantail.................................",89,111,136,20,32,213,523,575,281,34,55,78,"2,146"
"Sole, petrale................................","64,139","141,649","106,372","36,367","108,070","118,993","140,447","145,162","123,464","115,257","88,655","177,892","1,366,465"
"Sole, rex.......................................","2,723","11,993","15,492","19,171","19,872","12,061","12,138","21,087","21,440","11,131","13,566","26,005","186,679"
"Sole, rock.....................................",86,133,75,56,187,217,270,251,205,140,63,118,"1,802"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,
"Sole, sand...................................",352,567,795,308,"1,011",988,"2,565","3,552","2,218",828,416,19,"13,619"
"Sole, slender...............................",0,0,0,0,69,41,44,1,10,17,34,24,240
"Sole, unspecified.......................",570,158,289,924,777,83,272,212,119,297,128,79,"3,908"
Splittail.........................................,0,601,0,0,0,622,0,0,0,0,0,0,"1,223"
Stingray........................................,0,0,0,0,0,950,426,30,107,"2,539",978,27,"5,057"
"Surfperch, barred.......................",801,720,"1,845","1,674",7,0,7,179,357,597,912,957,"8,056"
"Surfperch, black.........................",143,563,552,288,0,0,3,0,0,2,27,337,"1,914"
"Surfperch, calico.......................",18,81,80,96,0,0,0,6,0,0,0,0,281
"Surfperch, pile............................",5,20,11,56,0,0,0,0,0,0,25,20,137
"Surfperch, rainbow....................",0,41,19,60,10,13,2,1,2,0,3,2,153
"Surfperch, redtail.......................",100,158,"2,386","1,303",117,0,0,"3,745","3,789",361,666,428,"13,053"
"Surfperch, rubberlip..................",95,63,397,196,0,0,0,38,25,0,9,48,871
"Surfperch, shiner.......................",0,0,0,40,97,92,0,0,0,0,9,0,238
"Surfperch, silver........................",0,0,7,3,0,0,0,0,0,0,0,0,10
"Surfperch, unspecified.............",203,239,50,54,2,1,0,0,79,0,4,0,631
"Surfperch, walleye....................",0,1,0,48,0,0,0,0,0,0,10,0,59
"Surfperch, white.........................",5,35,24,0,0,0,0,0,0,0,30,11,105
Swordfish.....................................,"123,255","78,521","155,425",303,"103,194","3,846","16,395","20,167","18,642","46,229","180,248","290,882","1,037,106"
"Thornyhead, longspine............","58,507","44,596","131,885","101,486","35,471","75,421","32,022","138,280","124,270","82,298","41,491","53,439","919,166"
"Thornyhead, shortspine...........","47,377","44,425","69,725","71,393","64,082","45,763","52,287","74,494","70,838","70,219","65,178","70,842","746,622"
Thornyheads...............................,178,83,38,400,336,254,195,176,107,189,145,591,"2,691"
"Trawled fish, unspecified........",65,"1,495","1,132",216,320,11,0,50,738,"1,575",828,"1,418","7,848"
Triggerfish...................................,0,0,0,0,0,3,0,3,0,0,4,0,10
"Tuna, albacore...........................",0,0,34,0,0,164,"6,112","103,308","91,245","73,556",399,63,"274,881"
"Tuna, bigeye...............................","89,612","90,147","149,371","97,315","175,684","68,887","75,589","144,314","64,110","46,681","48,592","94,406","1,144,708"
"Tuna, bluefin...............................",842,233,240,0,"9,905","4,642","381,168","672,560",0,0,0,0,"1,069,589"
"Tuna, skipjack............................","1,678",520,441,"1,434","1,078",513,50,195,"81,997","1,329","1,934",508,"91,677"
"Tuna, unspecified......................",0,0,0,0,313,0,0,19,0,0,0,0,332
"Tuna, yellowfin...........................","1,381",300,"1,334","13,644","14,517","4,490","1,897,001","677,660","1,207,535","8,244","11,431","14,146","3,851,683"
"Turbot, hornyhead.....................",0,0,0,0,0,0,2,10,0,0,0,0,12
Turbot...........................................,7,30,167,317,200,51,5,176,217,132,0,204,"1,506"
Wahoo..........................................,"1,168","1,094","2,377","2,408","4,414",720,938,"1,086","2,161",786,"1,276","2,718","21,146"
"Whitefish, ocean........................","2,230",537,250,128,380,92,587,396,655,386,"1,062","2,476","9,180"
"Whiting, Pacific..........................",392,461,47,79,377,863,"2,581",353,"1,686","1,683",161,"2,250","10,932"
Yellowtail.....................................,"1,682","1,046",764,"1,078","4,752","12,271","6,891","6,290","4,477","3,476","11,976","18,378","73,081"
Crustaceans,,,,,,,,,,,,,
"Crab, Dungeness.......................","3,239,540","1,826,430","1,043,620","964,072","740,056","435,871","58,074","1,586",0,614,"3,139,844","1,431,064","12,880,770"
"Crab, armed box.........................",0,0,0,0,0,0,43,222,103,0,0,0,368
"Crab, box......................................","1,130","1,044","3,369","3,161","8,280","6,107","13,266","11,528","2,860","4,088","5,747","9,202","69,781"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Crustaceans,,,,,,,,,,,,,
"Crab, brown rock........................","8,553","11,747","9,055","12,358","6,703","16,587","12,749","17,706","21,175","12,504","7,021","13,259","149,416"
"Crab, claws.................................",5,0,0,0,0,0,28,0,82,118,71,21,325
"Crab, king.....................................",0,40,50,69,646,72,226,498,884,831,632,628,"4,575"
"Crab, pelagic red.......................",0,0,0,0,0,"5,152","1,936",0,0,0,0,0,"7,088"
"Crab, red rock.............................","32,799","35,845","32,450","39,840","44,556","68,289","75,720","75,419","51,690","41,173","39,358","41,450","578,588"
"Crab, rock unspecified.............","7,516","9,286","16,903","9,581","9,227","12,687","19,075","19,901","20,303","29,240","21,445","10,070","185,233"
"Crab, shore..................................",0,0,0,0,0,0,0,0,0,0,1,0,1
"Crab, southern kelp...................",0,0,0,0,0,0,0,0,6,8,20,121,155
"Crab, spider.................................","8,642","10,575","6,892","5,080","1,600","2,595","5,085","5,183","5,410","11,511","10,625","10,425","83,622"
"Crab, spider/sheep claws.......",91,0,0,0,0,0,0,6,0,128,0,0,225
"Crab, tanner................................",5,0,17,59,22,11,2,6,16,77,114,59,388
"Crab, yellow rock.......................","13,001","12,561","17,849","17,482","18,395","34,329","49,494","52,953","50,995","33,184","30,208","40,723","371,175"
"Crayfish, red swamp.................",0,0,0,0,0,48,0,0,188,0,0,0,236
"Crayfish, signal..........................",0,0,0,0,0,814,0,0,0,0,0,0,814
"Crayfish, unspecified...............",0,0,285,285,493,"7,855","16,988","50,620","30,804","7,476","2,029",888,"117,723"
"Crustacean, unspecified.........",354,63,0,0,0,0,0,0,0,0,0,0,417
"Lobster, California spiny..........","116,702","65,295","48,511",0,0,0,0,0,0,"250,095","123,593","102,181","706,378"
"Prawn, golden.............................",0,0,780,0,0,0,0,0,0,0,0,0,780
"Prawn, ridgeback.......................","47,222","38,117","68,019","49,719","34,520",544,0,0,0,"58,106","44,168","43,364","383,778"
"Prawn, spot.................................","21,935","39,606","50,770","41,273","43,121","33,241","43,264","62,899","44,700","63,740","5,744","14,657","464,950"
"Shrimp, bay.................................",28,40,14,17,130,864,"2,227","1,632","1,841","2,380","2,418","2,750","14,341"
"Shrimp, brine...............................",0,0,0,0,0,"163,374","249,000","250,907","84,576",0,0,0,"747,857"
"Shrimp, coonstriped..................",0,0,0,0,"7,763","24,518","22,319","21,154","15,689","19,734",0,0,"111,177"
"Shrimp, ghost..............................",2,0,0,0,0,0,0,0,0,0,0,0,2
"Shrimp, mantis............................",0,0,11,14,0,0,0,0,0,0,0,0,25
"Shrimp, ocean (pink).................",0,0,0,0,"535,244","1,205,193","763,766","709,288","200,817","56,472",0,0,"3,470,780"
"Shrimp, unspecified..................",0,0,"1,012",67,0,0,0,0,0,0,0,19,"1,098"
Echinoderms,,,,,,,,,,,,,
Bat star.........................................,0,0,25,8,14,0,965,0,30,6,16,0,"1,065"
Bryozoan......................................,0,0,0,0,0,0,0,0,0,0,2,0,3
Sand dollar..................................,2,0,0,0,0,0,0,0,0,0,0,0,2
"Sea cucumber, giant red.........",74,208,"1,996","2,006","2,450","4,432","22,607","10,006","3,313","1,274",219,101,"48,684"
"Sea cucumber, unspecified....",27,5,50,0,0,0,0,15,0,45,532,0,674
"Sea cucumber, warty................",270,"4,406","21,363","16,405","15,027","14,667","20,358","10,728","2,186",2,281,742,"106,436"
Sea stars.....................................,33,8,0,1,0,0,0,0,0,25,12,0,80
"Sea urchin, Coronado...............",0,0,0,0,6,0,0,0,0,0,0,0,6
"Sea urchin, purple.....................",223,143,70,55,164,946,195,306,266,171,"4,522",110,"7,171"
"Sea urchin, red...........................","439,914","302,194","443,474","229,047","362,488","161,936","390,059","390,801","362,666","266,340","409,774","419,469","4,178,160"
Species,January,February,March,April,May,June,July,August September,October,,November,December,Landings
Echinoderms,,,,,,,,,,,,,
"Sea urchin, white.......................",0,0,0,7,0,0,4,0,0,0,280,0,291
Mollusks,,,,,,,,,,,,,
"Clam, purple................................",0,0,0,0,0,0,0,0,0,0,220,0,220
"Clam, unspecified......................",0,224,0,0,0,0,0,0,0,0,0,0,224
"Limpet, keyhole..........................",0,0,166,8,10,0,5,101,4,189,0,0,483
Mussel..........................................,0,0,0,0,0,0,0,0,0,0,120,0,120
"Octopus, unspecified...............",27,38,372,444,152,250,248,447  162,,280,182,252,"2,855"
Sea hare......................................,273,110,199,165,127,59,63,25  64,,0,12,0,"1,096"
"Snail, sea.....................................",59,87,0,0,0,0,0,0,0,0,0,0,146
"Snail, top......................................",2,0,0,0,0,0,160,535  14,,8,0,0,719
"Snails, moon...............................",72,197,56,87,123,76,77,218  247,,266,240,287,"1,946"
"Squid, jumbo...............................",0,0,0,3,31,0,0,0  15,,0,92,0,141
"Squid, market..............................","1,626,828","33,193","1,430,899","11,248,525","8,257,828","10,637,613  8,829,519",,"5,983,655  3,133,698","9,052,051",,"38,588,042","38,849,278","137,671,129"
"Whelk, Kellet's............................","10,980","8,814","9,854",46,0,"0  13,979",,"11,843  10,103","12,363",,"6,975","9,316","94,271"
Plants,,,,,,,,,,,,,
"Kelp, giant....................................",0,0,0,0,0,0,0,0,0,10,0,0,10
Worms,,,,,,,,,,,,,
Invertebrate Unspecified.........,0,21,115,5,0,0,0,0,0,0,0,0,141
"Spiders, sea................................",306,307,0,0,0,0,0,0,0,0,0,0,613
Sponges.......................................,0,0,"2,280",0,0,0,0,0,0,0,0,0,"2,280"
"Worms, marine............................",0,0,0,0,0,0,0,0,0,0,38,0,38
Total Pounds:,"6,961,887","3,659,652","5,864,365","14,830,461","13,212,670","16,453,434  15,766,647",,"15,778,372  10,829,627","17,598,874",,"44,379,003","43,412,952","208,747,944"
"",,,,,,*******************,,Total Records:,"98,399",,,,
"",,,,,,End of Report,,,,,,,
