"",,,,,,,,,,,,,Total
"",LandingsSpecies January,February,March,April,May,June,July,August,September,October,November,December,
FISHES,,,,,,,,,,,,,
"Anchovy, northern","3,722","1,612,252","6,326,501","4,317,373","1,223,349","4,953,224","7,005,532","2,968,546","5,833,794","3,176,417","783,738","160,520","38,364,968"
"Barracuda, California",0,0,0,47,"21,603","2,656",342,222,12,8,36,0,"24,927"
"Bass, giant sea",225,227,136,185,0,860,"1,756","1,086",97,52,362,7,"4,992"
"Bass, striped",0,0,0,0,0,0,0,7,0,7,0,0,14
Blacksmith,0,0,0,0,0,0,30,0,1,5,0,1,37
"Bonito, Pacific",522,21,"63,881",0,0,"1,278","885,155","515,281","1,111","17,958","1,179","1,047","1,487,434"
"Bullhead, brown",0,0,0,0,0,0,0,0,0,6,0,0,6
Butterfish (Pacific,38,107,65,0,50,239,225,"3,473",536,268,35,78,"5,114"
pompano),,,,,,,,,,,,,
Cabezon,"2,770","3,735",0,0,"2,623","4,721","8,645","6,648","7,295","3,842","5,095","1,367","46,741"
Carp,154,302,444,0,0,0,0,0,0,0,0,263,"1,163"
"Corvina, shortfin",0,0,0,0,7,0,0,0,0,0,0,0,7
"Croaker, white","6,678",622,"4,418","1,996",742,915,"5,011","6,347","1,202","9,118","6,626","7,344","51,018"
Dolphin (fish),474,"1,141","1,358","2,928","1,157",405,606,"1,738",906,"3,213","8,657","2,862","25,445"
Eel,0,13,0,101,90,0,0,5,0,6,0,0,215
"Eel, California moray",16,29,21,0,18,33,13,432,4,7,0,"1,639","2,212"
"Eel, wolf (wolf-eel)",0,0,0,0,14,7,29,16,7,6,0,0,79
Escolar,"1,872","1,390",844,835,"2,028",259,81,837,166,"1,972","1,289","1,332","12,905"
"Fish, unspecified",170,23,33,51,592,466,780,552,722,962,"1,623","1,231","7,205"
"Flounder, arrowtooth","27,215","4,731","9,931",991,723,463,"1,236","2,181",859,"2,893","1,333","1,096","53,652"
"Flounder, starry",766,"1,435",771,259,530,318,273,"1,048",400,"1,343",307,0,"7,450"
"Flounder, unspecified",10,0,0,2,0,0,82,30,0,0,2,0,127
Flyingfish,0,0,0,0,0,0,0,478,848,0,0,0,"1,326"
"Goby, yellowfin",56,1,0,0,0,0,0,0,10,76,37,4,184
"Greenling, kelp",569,543,0,0,577,680,"1,497",886,"1,295",636,928,199,"7,809"
"Greenling, rock",0,0,0,0,0,0,0,0,0,0,31,0,31
Grenadier,"3,690","3,684","8,175","10,462","4,199",863,"3,058",648,720,"3,230","3,271","2,766","44,766"
"Guitarfish, shovelnose",118,64,42,30,582,0,0,0,5,0,24,66,931
"Hagfish, Pacific",0,0,0,575,"2,186",425,"44,816","85,166","94,098","177,560","121,677","59,260","585,763"
"Hagfish, unspecified","92,794","73,817","125,903","153,888","191,748","255,624","190,228","208,187","127,190","75,272","30,248","16,831","1,541,730"
Halfmoon,0,0,0,0,0,0,3,0,2,0,11,0,16
"Halibut, California","24,034","34,772","36,854","39,462","41,284","50,479","94,825","86,047","58,214","48,890","25,692","10,712","551,265"
"Halibut, Pacific",0,0,0,0,110,292,"2,251",72,0,0,5,78,"2,808"
"Halibut, unspecified",6,0,34,0,0,0,47,45,0,11,0,0,143
"Herring, Pacific - roe","1,372,983",0,0,0,0,0,0,0,0,0,0,0,"1,372,983"
"",,,,,,,,,,,,,Total
"",LandingsSpecies January,February,March,April,May,June,July,August,September,October,November,December,
FISHES,,,,,,,,,,,,,
Jacksmelt,70,7,0,0,0,600,"2,588","4,306","1,310","1,451",899,1,"11,232"
Lingcod,"5,015","5,141","3,295","21,541","76,208","118,178","130,950","70,913","41,100","48,707","36,158","10,465","567,669"
"Lizardfish, California","7,001",772,"7,048","5,274","2,423",33,110,56,77,"5,909","2,189","2,419","33,310"
Louvar,0,0,0,0,0,0,59,0,0,79,0,0,138
"Mackerel, bullet",0,0,0,38,0,8,0,56,0,0,0,0,101
"Mackerel, jack","5,718","74,196",2,0,3,"30,109","3,674","17,099",65,0,400,"9,935","141,202"
"Mackerel, Pacific","211,109","137,370","6,235",41,"6,776","645,357","1,881,553","1,480,641","800,491","64,769","126,579","169,752","5,530,671"
"Mackerel, unspecified","1,474",685,652,166,203,"2,007",742,109,158,"5,053",8,90,"11,345"
