"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Bass, rock............................",0,0,0,0,0,0,17,3,0,0,0,0,19
Butterfish (Pacific pompano),0,0,0,0,0,0,122,0,0,0,0,0,122
Cabezon...............................,0,86,0,0,57,7,"1,362",892,0,0,0,0,"2,404"
"Croaker, white......................",81,0,0,0,0,0,100,0,657,0,0,197,"1,035"
"Fish, unspecified..................",0,0,0,140,0,0,24,0,0,0,0,0,164
"Flounder, starry....................",169,0,286,0,0,0,0,0,0,18,9,0,482
"Flounder, unspecified...........",101,11,0,0,0,0,31,3,0,0,0,0,146
"Greenling, kelp.....................",13,35,0,0,8,14,24,15,0,0,0,0,109
Grenadiers...........................,65,0,0,0,0,0,0,0,0,0,0,0,65
"Halibut, California.................",289,0,28,0,228,"1,189","2,472","1,590","1,682","1,161",387,0,"9,026"
"Halibut, unspecified..............",0,84,0,0,0,10,0,0,0,0,0,0,94
"Herring, Roe.........................","300,745","17,358",0,0,0,0,0,0,0,0,0,0,"318,103"
Jacksmelt.............................,0,0,0,197,0,0,123,0,0,0,0,0,320
Lingcod................................,0,3,0,62,0,20,"1,082",858,"1,119",678,0,0,"3,822"
"Rockfish, China....................",0,26,0,0,27,6,99,54,98,59,20,2,390
"Rockfish, bank.....................",0,0,0,0,0,0,0,0,0,0,"1,972",0,"1,972"
"Rockfish, black-and-yellow...",0,9,0,0,19,1,144,172,172,162,29,0,707
"Rockfish, black.....................",0,7,0,0,4,4,21,42,68,170,177,0,492
"Rockfish, blue......................",0,0,0,0,0,0,1,33,0,11,9,34,87
"Rockfish, bocaccio...............","1,455",886,205,174,0,0,"1,634","1,371","3,082",132,0,0,"8,939"
"Rockfish, brown....................",0,0,0,0,0,0,10,0,0,0,7,0,17
"Rockfish, canary...................",374,284,42,0,0,0,928,580,608,0,0,0,"2,816"
"Rockfish, chilipepper............","10,791","11,612","4,211","1,660",0,0,"2,042","2,476","15,175",0,"8,886","1,478","58,331"
"Rockfish, copper..................",0,10,0,0,9,3,15,40,0,2,13,0,92
"Rockfish, darkblotched.........",0,0,"1,458",603,0,0,0,0,0,86,"1,512",0,"3,659"
"Rockfish, gopher..................",12,43,0,0,16,57,91,58,136,284,6,0,704
"Rockfish, grass....................",0,15,0,0,32,0,84,84,90,100,32,0,437
"Rockfish, greenspotted.........",0,0,0,0,0,0,0,0,1,0,0,0,1
"Rockfish, greenstriped..........",0,0,0,0,0,0,52,0,7,0,0,0,59
"Rockfish, group bolina..........",87,445,0,0,14,214,135,432,473,221,36,8,"2,065"
"Rockfish, group gopher........",0,76,0,0,51,85,16,0,43,181,209,100,762
"Rockfish, group red..............",36,16,0,0,0,0,39,84,2,0,0,0,177
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, group rosefish.......","4,134","2,470","1,877","2,106",0,0,0,20,315,"2,200","4,835","2,949","20,906"
"Rockfish, group shelf............",301,132,337,0,0,0,107,236,46,0,0,0,"1,159"
"Rockfish, group slope...........","9,438","6,443","2,308",579,0,0,"1,078",3,170,"2,427","3,410",112,"25,968"
"Rockfish, kelp.......................",0,0,0,0,0,0,22,38,0,24,0,0,84
"Rockfish, quillback...............",0,0,0,0,0,1,1,0,0,7,0,0,10
"Rockfish, rosethorn..............",11,4,0,0,0,0,0,9,0,0,0,0,23
"Rockfish, splitnose...............",0,0,"3,739",0,0,0,300,134,65,0,0,0,"4,238"
"Rockfish, unspecified...........",0,0,0,0,0,0,0,11,0,"1,481",0,0,"1,492"
"Rockfish, vermilion...............",18,39,0,0,0,0,30,98,203,0,0,0,388
"Rockfish, widow...................",148,114,21,0,0,0,115,100,364,12,"24,388",0,"25,262"
"Rockfish, yelloweye..............",8,9,0,0,0,0,21,45,42,0,0,0,125
"Rockfish, yellowtail...............",106,168,0,0,0,0,181,601,125,0,0,0,"1,182"
Sablefish..............................,"14,401",895,"1,725","1,170",0,0,"1,817",0,"1,293",898,"2,427",0,"24,626"
"Salmon, Roe (Chinook and C",0,0,0,0,0,0,1,0,25,3,0,0,29
"Salmon, chinook..................",0,0,0,0,"14,376","42,893","405,766","89,142","72,299","11,577",0,0,"636,054"
Sanddab...............................,0,0,0,0,0,0,0,0,0,0,0,11,11
"Seabass, white.....................",0,20,0,0,0,0,0,0,0,0,0,0,20
"Shark, leopard......................",19,0,0,14,60,0,0,0,0,0,0,0,93
"Shark, soupfin......................",0,15,0,0,29,0,0,0,0,0,0,0,44
"Shark, unspecified................",21,10,0,53,0,0,0,0,0,0,0,0,84
"Smelt, night..........................",0,0,0,0,0,20,0,0,0,10,0,0,30
"Smelt, surf............................",0,0,0,0,0,0,0,0,45,0,0,0,45
"Sole, Dover..........................","13,069","15,375","28,664","5,114",0,0,"2,699",0,"3,891",0,0,0,"68,812"
"Sole, English........................","7,956","5,168","5,215",560,0,0,563,0,"8,022","5,727","7,548","4,799","45,558"
"Sole, petrale.........................","6,201","7,906","5,151",310,0,0,107,0,"2,149","4,158","13,960","4,937","44,879"
"Sole, rex...............................","2,151","1,080","2,025",595,0,0,251,0,"1,998",309,"1,001",147,"9,557"
"Sole, rock.............................",0,0,80,0,0,0,33,0,0,0,0,0,113
"Sole, sand............................",4,79,0,0,0,0,45,3,12,0,0,0,143
"Sole, unspecified..................",25,0,0,0,0,0,0,0,0,0,0,0,25
"Surfperch, barred.................",0,0,0,"1,420",0,13,0,0,0,0,0,0,"1,433"
"Surfperch, unspecified..........",0,0,15,"2,506",0,0,0,0,0,0,0,0,"2,521"
"Thornyhead, longspine.........","6,344",19,490,0,0,0,368,0,"5,489",0,0,0,"12,710"
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June July,,August September,,October,November December,,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Thornyhead, shortspine........","1,991",37,116,109,0,0,0,0,0,0,0,0,"2,253"
Thornyheads........................,0,0,0,0,0,0,0,0,6,87,0,0,93
"Tuna, albacore.....................",0,0,0,0,0,0  644,,"6,729","160,576","168,661","7,519",0,"344,129"
"Tuna, yellowfin.....................",0,15,0,0,0,0,0,0,0,0,0,0,15
Wahoo.................................,0,0,0,0,0,0  15,,0,0,0,0,0,15
"Whiting, Pacific....................",0,0,0,0,0,0,0,0,0,0,0  65,,65
Crustaceans,,,,,,,,,,,,,
"Crab, Dungeness.................","90,635","61,200","23,558","15,262","25,455","10,828  94",,0,0,0,"0  180,809",,"407,842"
"Crab, box.............................",0,0,655,0,0,0,0,0,0,0,0,0,655
"Crab, rock unspecified..........",0,"5,650",984,904,0,0,0,0,21,0,0,0,"7,559"
"Crayfish, unspecified............",0,0,0,0,0,0,0,"10,150",0,0,0,0,"10,150"
"Prawn, spot..........................",0,"5,738","1,210",0,0,0,0,0,0,"2,668",0,0,"9,617"
"Shrimp, coonstriped.............",0,0,0,0,11,0,0,0,0,0,0,0,11
Echinoderms,,,,,,,,,,,,,
"Sea cucumber, unspecified..",0,0,0,0,405,160,0,0,0,0,0,0,565
"Urchin, red...........................","23,023","38,122","51,514","49,615","8,325","4,954",0,"38,986","56,851","98,557","38,428  20,195",,"428,570"
Mollusks,,,,,,,,,,,,,
