Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Anchovy, northern........................",0,0,0,0,0,0,0,0,1,0,0,0,,1
"Bullhead, brown.............................",686,0,0,0,0,0,0,0,0,0,0,0,,686
Cabezon..........................................,0,0,0,0,0,0,10,0,15,0,0,0,,25
"Croaker, white................................",0,0,0,0,0,0,"1,161","2,169",364,309,0,0,,"4,003"
"Greenling, kelp..............................",0,0,0,0,0,0,6,3,21,0,0,0,,30
Hagfishes.......................................,"18,252","16,546","10,048","9,510","20,129","8,365","38,011","21,851","22,548","5,240","21,719","2,810",,"195,029"
"Halibut, California.........................",0,0,0,100,348,416,"1,720","2,611",782,134,0,22,,"6,132"
Jacksmelt........................................,0,0,125,283,0,0,0,0,0,0,0,0,,408
Lingcod............................................,8,47,0,4,"2,450",569,785,"1,632","1,427","1,034",253,420,,"8,630"
"Mackerel, Pacific..........................",0,0,0,40,0,0,0,0,0,0,0,0,,40
"Rockfish, China.............................",0,0,0,0,0,0,6,4,0,0,0,0,,10
"Rockfish, black-and-yellow.......",0,0,0,0,0,15,25,14,10,0,0,0,,64
"Rockfish, black..............................",0,0,0,0,0,4,3,0,60,0,0,0,,67
"Rockfish, blackgill........................",223,537,952,"1,255",878,438,451,"1,336",167,109,319,15,,"6,680"
"Rockfish, blue................................",0,0,0,0,0,0,23,58,34,0,0,0,,115
"Rockfish, bocaccio......................",0,114,0,4,123,0,0,147,10,0,0,0,,398
"Rockfish, brown............................",0,0,0,0,0,0,0,24,0,0,0,0,,24
"Rockfish, chilipepper...................",0,0,0,4,0,0,0,57,0,0,0,0,,61
"Rockfish, gopher...........................",0,0,0,0,0,0,45,17,10,0,0,0,,73
"Rockfish, grass.............................",0,0,0,0,0,12,0,0,0,0,0,0,,12
"Rockfish, greenblotched.............",0,0,0,0,0,0,0,0,10,0,0,0,,10
"Rockfish, greenstriped................",0,1,0,0,0,0,0,0,0,0,0,0,,1
"Rockfish, group red......................",0,0,0,0,608,0,0,0,0,0,0,0,,608
"Rockfish, olive...............................",0,0,0,0,2,0,0,0,0,0,0,0,,2
"Rockfish, vermilion.......................",0,0,0,0,0,0,16,29,48,20,0,15,,129
"Rockfish, widow............................",0,49,0,0,15,0,0,0,0,0,0,0,,64
"Rockfish, yellowtail......................",0,258,0,187,277,0,0,25,7,1,0,0,,755
Sablefish.........................................,"14,627","20,749","22,519","34,801","41,980","4,640","7,596","7,491","6,305","8,572","5,033","5,587",,"179,901"
"Salmon, Chinook...........................",0,0,0,0,"3,627","1,535",0,"67,128","34,628",893,0,0,,"107,812"
"Salmon, Roe (Chinook, Coho)....",0,0,0,0,0,0,0,27,0,0,0,0,,27
"Seabass, white.............................",0,0,0,0,0,0,0,0,62,38,0,0,,100
"Shark, unspecified.......................",0,0,0,0,0,0,0,0,165,0,10,0,,175
"Skate, longnose............................",0,0,209,0,0,0,0,0,0,50,0,0,,259
"Skate, unspecified.......................",371,217,975,0,0,0,0,0,0,0,0,0,,"1,563"
"Sole, Dover.....................................",0,0,0,0,0,0,0,0,27,10,30,15,,82
"Sole, petrale...................................",0,110,0,0,0,0,0,0,0,0,0,0,,110
Species,January,February,March,April,May June,,July,August,September,October,November,December,,Landings
alifornia Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Surfperch, barred..........................",0,0,165,537,0  0,,0,0,0,0,0,0,,702
"Surfperch, shiner..........................",0,0,0,144,58  90,,0,0,0,0,0,0,,292
"Thornyhead, longspine...............",0,29,0,0,0  0,,0,0,0,0,0,0,,29
"Thornyhead, shortspine..............",15,49,119,556,209  0,,186,0,335,105,50,134,,"1,758"
"Tuna, albacore..............................",0,0,0,0,0  0,,0,0,"4,398",711,0,0,,"5,109"
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness..........................",150,0,"120,207","1,296,550","410,183  80,192",,"5,972",0,0,0,"764,087","1,332,237",,"4,009,577"
"Shrimp, bay....................................",10,7,0,0,0  0,,0,0,0,0,0,0,,17
"Shrimp, ghost.................................",9,0,0,0,0  0,,0,0,0,0,0,0,,9
"Shrimp, ocean (pink)....................",0,0,0,0,0  0,,0,"28,495",0,0,0,0,,"28,495"
Echinoderms,,,,,,,,,,,,,,
"Sea cucumber, giant red............",0,0,0,311,"1,159  831",,455,"1,810",855,0,0,0,,"5,421"
"Sea urchin, red..............................",151,0,404,145,0  0,,0,0,0,0,0,0,,700
Waters Area Total:,"34,502","38,713","155,723","1,344,431","482,047  97,107",,"56,471","134,929","72,288","17,225","791,501","1,341,255",,"4,566,193"
ther Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
Lingcod............................................,0,0,0,0,0  0,,0,0,0,86,0,0,,86
"Rockfish, vermilion.......................",0,0,0,0,0  0,,0,0,0,18,0,0,,18
Waters Area Total:,0,0,0,0,0  0,,0,0,0,104,0,0,,104
Grand Total:,"34,502","38,713","155,723","1,344,431","482,047  97,107",,"56,471","134,929","72,288","17,328","791,501","1,341,255",,"4,566,297"
"",,,,,*******************,,,,,,,,,
"",,,,,,,,,Total Records:,"2,900",,,,
"",,,,,End of Report,,,,,,,,,
