"",,,,,,,,,,,,,,,,,,,,Total
Species,January,,February,March,,April,,May,,June,,July,,August,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,,
"Anchovy, northern",0,,0,0,,0,,0,,0,,0,,19,0,0,,0,0,19
"Croaker, white",0,,0,0,,0,,0,,0,,10,,9,110,80,,132,0,341
"Hagfish, Pacific",0,,0,0,,0,,0,,0,,0,,"28,540","39,775","53,191",,"13,752",0,"135,258"
"Hagfish, unspecified","39,574",,"14,629","27,753",,"47,128",,"42,732",,"45,899",,"35,227",,"20,416","20,829",0,,0,0,"294,187"
"Halibut, California",0,,0,0,,142,,"7,899",,274,,"2,612",,"1,453",344,179,,0,0,"12,903"
Lingcod,196,,492,0,,36,,482,,8,,"1,082",,"1,006","1,234","1,065",,862,145,"6,608"
"Mackerel, bullet",0,,0,0,,0,,0,,0,,0,,6,0,0,,0,0,6
"Rockfish, bank",0,,0,0,,0,,0,,0,,100,,22,123,0,,45,140,430
"Rockfish, blackgill",46,,54,411,,605,,740,,67,,107,,202,674,842,,220,138,"4,106"
"Rockfish, bocaccio",0,,0,278,,7,,81,,42,,557,,431,488,678,,795,307,"3,663"
"Rockfish, brown",0,,0,0,,0,,0,,0,,0,,0,0,0,,22,0,22
"Rockfish, canary",0,,2,0,,0,,0,,12,,0,,21,9,18,,4,0,66
"Rockfish, chilipepper",0,,0,144,,0,,0,,0,,123,,833,764,"1,351",,897,280,"4,392"
"Rockfish, olive",0,,0,0,,0,,76,,0,,0,,0,0,0,,0,0,76
"Rockfish, redbanded",0,,0,0,,0,,0,,0,,0,,0,0,16,,0,0,16
"Rockfish, speckled",0,,0,0,,0,,45,,0,,0,,0,0,2,,0,0,47
"Rockfish, unspecified",0,,0,0,,0,,0,,0,,8,,0,0,0,,0,0,8
"Rockfish, vermilion",0,,10,0,,0,,0,,9,,5,,4,19,2,,11,0,60
"Rockfish, widow",0,,0,0,,0,,54,,0,,22,,11,0,135,,10,0,232
"Rockfish, yellowtail",0,,0,0,,0,,"1,289",,811,,"1,211",,"1,967","1,215",855,,566,0,"7,912"
Sablefish,"8,151",,"4,459","13,861",,"21,886",,"19,780",,"2,707",,"6,381",,"1,280","8,431","10,891",,"8,781",78,"106,686"
"Salmon, Chinook",0,,0,0,,0,,708,,902,,"10,158",,"69,355","14,453","1,748",,0,0,"97,324"
"Salmon, Roe (Chinook,",0,,0,0,,0,,0,,0,,0,,2,2,0,,0,0,4
Coho),,,,,,,,,,,,,,,,,,,,
"Seabass, white",0,,0,0,,0,,0,,0,,0,,0,53,67,,0,0,119
"Shark, spiny dogfish",0,,0,0,,0,,0,,0,,0,,0,0,0,,10,0,10
"Sole, petrale",0,,0,0,,0,,0,,0,,0,,8,0,0,,0,22,30
"Thornyhead, shortspine",343,,113,135,,403,,292,,96,,0,,0,7,0,,0,0,"1,389"
"Tuna, albacore",0,,0,0,,0,,0,,0,,0,,"7,830","1,196","2,667",,0,0,"11,693"
Species,January,,February,March,,April,,May,June,,,July,August,,September,,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,,,
"Tuna, skipjack",0,,0,0,,0,,0,0,,,0,,0,,48,0,,0,0,48
CRUSTACEANS,,,,,,,,,,,,,,,,,,,,,
"Crab, brown rock",0,,0,0,,0,,0,"1,499",,,425,,238,,0,"1,834",,"2,505",0,"6,501"
"Crab, Dungeness","107,418",,"45,686","69,882",,"16,554",,"53,841","30,377",,,278,,0,,0,0,,"518,312","364,689","1,207,038"
"Crab, red rock",0,,0,"1,446",,928,,934,"7,694",,,"1,778","3,083",,,0,"3,545",,"1,863",0,"21,271"
"Crab, rock unspecified",0,,"1,711","3,719",,"8,779",,"9,423",560,,,"1,374",,0,,99,909,,693,6,"27,272"
ECHINODERMS,,,,,,,,,,,,,,,,,,,,,
"Sea cucumber, giant red",0,,0,19,,300,,175,160,,,554,,485,,20,0,,0,0,"1,713"
"Sea urchin, red",0,,0,700,,90,,0,0,,,500,"1,930",,,"2,716",0,,"2,200",0,"8,136"
MOLLUSKS,,,,,,,,,,,,,,,,,,,,,
"Octopus, unspecified",0,,0,108,,0,,0,0,,,0,,0,,0,0,,0,52,160
Water Area Total:,"155,728",,"67,158","118,456",,"96,858",,"138,550","91,117",,,"62,511","139,150",,,"92,607","80,074",,"551,679","365,858","1,959,745"
Grand Total:,"155,728",,"67,158","118,456",,"96,858",,"138,550","91,117",,,"62,511","139,150",,,"92,607","80,074",,"551,679","365,858","1,959,745"
"",,,,,,,,*******************,,,,Total Records:,,"2,411",,,,,,,
"",,,,,,,,End of Report,,,,,,,,,,,,,
