California Waters - Finfish,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Croaker, white 0",0,0,0,0,198,0,21,20,0,0,0,239
"Hagfish, Pacific 15,350","11,895","33,257","33,497","16,240","21,015","48,514","50,155","12,967","45,044","28,525",0,"316,459"
"Hagfish, unspecified 0",0,"2,824","19,264","9,560",688,"2,496",0,0,0,0,0,"34,832"
"Halibut, California 0",0,0,0,253,"1,103","1,372","1,985",238,7,14,0,"4,972"
Lingcod 513,522,0,0,332,250,18,55,459,"1,409","2,057",741,"6,355"
"Mackerel, jack 0",0,0,0,0,0,0,142,0,0,0,0,142
"Mackerel, unspecified 0",0,0,0,0,0,0,74,0,0,0,0,74
"Rockfish, aurora 0",0,0,0,0,0,0,6,3,0,0,0,9
"Rockfish, bank 70",101,241,0,505,0,217,0,34,113,171,22,"1,474"
"Rockfish, blackgill 10",149,378,21,0,4,0,140,116,35,43,0,896
"Rockfish, bocaccio 230",224,578,31,326,0,290,613,388,940,473,48,"4,141"
"Rockfish, brown 0",25,0,0,0,0,0,0,12,0,0,0,37
"Rockfish, canary 0",7,0,0,62,40,15,0,8,32,25,0,188
"Rockfish, chilipepper 370",329,743,72,700,0,310,440,668,"1,589",229,0,"5,450"
"Rockfish, darkblotched 0",0,0,0,0,0,0,4,0,0,0,0,4
"Rockfish, redbanded 0",0,0,0,24,0,21,0,0,0,0,14,59
"Rockfish, speckled 0",8,65,17,0,0,0,0,0,0,0,0,89
"Rockfish, unspecified 0",0,0,0,0,0,0,21,0,0,194,0,215
"Rockfish, vermilion 0",3,4,0,17,40,6,0,2,20,6,0,97
"Rockfish, widow 0",0,0,6,0,0,0,38,7,0,0,0,51
"Rockfish, yellowtail 0",391,486,431,2,0,0,720,2,0,9,4,"2,045"
"Sablefish 6,079","3,305","9,187","1,901","2,269","1,231","1,490","1,560",116,"2,164","4,685",314,"34,300"
Salmon 0,0,0,0,0,0,0,"1,606",0,0,0,0,"1,606"
"Salmon, Chinook 0",0,0,0,"38,625","167,679","83,527","269,101","13,814",71,0,0,"572,817"
"Salmon, Roe (Chinook, 0",0,0,0,0,0,0,28,0,0,0,0,28
Coho),,,,,,,,,,,,
"Sardine, Pacific 0",0,0,0,0,0,0,0,0,0,0,720,720
"Seabass, white 0",0,0,0,11,0,0,12,0,0,0,0,23
"Shark, thresher 0",0,0,0,0,0,0,0,0,0,32,0,32
"Tuna, albacore 0",0,0,0,0,0,0,"2,387","4,700","7,675",,,"14,762"
California Waters – Crustaceans,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Crab, Dungeness 121,472","88,566","38,014","15,655",0,0,0,0,0,0,0,"1,474,754","1,738,461"
"Crab, rock unspecified 0",0,516,560,826,0,479,0,0,0,0,0,"2,380"
California Waters – Echinoderms,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Sea cucumber, giant 0",0,0,0,0,0,280,261,0,0,0,0,541
red,,,,,,,,,,,,
"Sea urchin, purple 0",0,0,0,0,0,0,406,0,"2,850",570,0,"3,826"
"Sea urchin, red 0",0,0,0,0,0,0,0,0,0,0,"1,040","1,040"
"California Waters Total: 144,094","105,524","86,292","71,455","69,751","192,248","139,035","329,775","33,553","61,947","37,033","1,477,657","2,748,364"
"",,,,,,,,,,,,
Other Waters – Finfish,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Salmon, Chinook 0",0,0,0,522,"2,101",0,218,0,0,0,0,"2,841"
Other Waters Total: 0,0,0,0,522,"2,101",0,218,0,0,0,0,"2,841"
"Grand Total: 144,094","105,524","86,292","71,455","70,273","194,349","139,035","329,993","33,553","61,947","37,033","1,477,657","2,751,205"
