Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Cabezon...........................................,"1,046",78,0,0,697,318,654,115,776,84,130,0,"3,898"
"Fish, unspecified...............................",2,10,13,2,2,0,0,0,3,0,0,0,31
"Flounder, arrowtooth.......................","5,252","4,976","20,475","15,187","4,157","5,108","3,697","9,722","15,344","8,005","5,759","1,425","99,107"
"Flounder, starry.................................",28,272,0,0,44,109,164,147,4,0,0,0,768
"Greenling, kelp.................................",196,13,84,0,110,63,138,70,0,0,0,0,673
Grenadier.........................................,300,988,"3,472","2,604","1,381","1,655","1,483","14,489","11,020","8,570","1,429",90,"47,481"
Hagfishes...........................................,"54,715","68,266","51,626","13,003","34,803","86,272","46,949","99,772","93,854","55,520","11,882","3,685","620,347"
"Halibut, California............................",0,0,0,0,8,68,198,0,0,0,0,0,275
"Halibut, Pacific.................................",0,0,0,0,0,0,64,0,0,0,0,0,64
"Lamprey, Pacific..............................",0,0,0,0,12,0,0,0,0,0,0,0,12
Lingcod.............................................,"1,083",990,"4,996","1,146","4,326","4,405","6,268","5,547","3,793","3,210","1,002",9,"36,776"
"Rockfish, China.................................",298,90,116,43,239,88,180,79,213,16,71,0,"1,432"
"Rockfish, Pacific ocean perch.......",18,2,16,3,5,0,3,0,1,0,"1,660",0,"1,708"
"Rockfish, aurora...............................",0,0,0,0,36,0,0,0,59,0,0,0,95
"Rockfish, bank..................................",24,0,0,0,0,0,0,0,0,0,0,0,24
"Rockfish, black-and-yellow...........",2,0,0,0,3,13,0,0,5,0,0,0,23
"Rockfish, black.................................","5,533","4,921","8,914","27,232","27,561","25,765","36,764","22,384","28,211","13,132","2,130",464,"203,011"
"Rockfish, blackgill.............................",0,5,0,0,0,125,4,0,0,0,0,0,134
"Rockfish, blue...................................",628,420,446,813,264,287,"1,169",332,930,257,875,598,"7,018"
"Rockfish, bocaccio..........................",0,0,7,5,33,4,531,54,13,7,0,0,654
"Rockfish, brown................................",8,0,4,93,102,35,12,61,7,13,4,0,338
"Rockfish, canary...............................",0,0,0,0,37,0,192,0,0,0,0,0,229
"Rockfish, chilipepper.......................",768,0,116,2,"5,399",0,"1,579",77,9,3,0,0,"7,953"
"Rockfish, copper..............................",142,23,67,56,197,40,228,121,69,40,48,16,"1,046"
"Rockfish, darkblotched...................","3,960","4,973","8,521","1,354","1,390","1,454",554,"2,170","3,376","1,114","5,685",500,"35,051"
"Rockfish, flag....................................",0,0,0,63,0,0,0,0,0,0,0,0,63
"Rockfish, gopher..............................",3,2,14,0,8,6,3,2,16,0,2,0,55
"Rockfish, grass..................................",17,0,4,0,64,33,75,0,84,13,0,0,289
"Rockfish, group shelf........................",8,2,15,10,180,24,307,10,0,3,0,0,559
"Rockfish, group slope......................",806,950,"1,377",999,"1,176","1,709","3,612","2,743","2,704",913,871,364,"18,224"
"Rockfish, olive...................................",10,2,0,0,17,4,17,35,32,6,3,4,130
"Rockfish, quillback...........................",228,78,74,82,317,42,534,132,181,39,81,14,"1,803"
"Rockfish, redbanded.......................",0,4,0,47,91,117,52,87,122,0,0,0,520
"Rockfish, rosy....................................",0,0,0,0,15,2,14,30,0,1,0,0,62
"Rockfish, shortbelly...........................",0,0,0,0,101,0,0,0,0,0,0,0,101
"Rockfish, splitnose............................",153,22,96,1,"1,824",116,11,347,261,0,83,"2,119","5,033"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, stripetail.............................",0,0,0,0,4,0,0,0,0,0,0,0,4
"Rockfish, unspecified.......................",0,0,0,0,100,0,0,0,0,0,0,0,100
"Rockfish, vermilion............................",654,144,280,377,598,238,608,479,386,91,198,35,"4,087"
"Rockfish, widow...............................",9,0,8,0,"5,165",0,739,0,2,0,0,0,"5,923"
"Rockfish, yelloweye.........................",0,0,0,0,0,0,6,0,0,0,0,0,6
"Rockfish, yellowtail...........................",60,36,41,68,99,303,555,67,7,39,11,73,"1,359"
Sablefish............................................,"87,949","66,946","96,573","130,591","151,506","186,080","133,477","187,160","175,279","172,394","105,785","22,216","1,515,956"
"Salmon, Chinook..............................",0,0,0,0,"1,307",0,0,0,0,0,0,0,"1,307"
"Sanddab, Pacific.............................",0,0,0,0,0,0,"2,630",62,304,0,0,0,"2,996"
Sanddab...........................................,0,0,"8,470","14,538","7,281","14,516","11,245",195,0,0,0,0,"56,245"
"Shark, spiny dogfish.........................",0,0,0,0,222,0,0,14,0,0,0,0,236
"Skate, big..........................................",0,0,68,0,0,0,0,0,0,0,0,0,68
"Skate, longnose................................",0,0,"2,231","21,395","10,199","11,632","25,744","18,419","22,435","15,405","17,356","3,559","148,375"
"Skate, unspecified...........................","21,297","20,834","37,610","3,070",67,"2,201",46,398,"2,975",36,50,0,"88,584"
"Smelt, night.......................................",964,"1,805","10,780","6,013","19,835","59,695","36,819","6,269",35,0,0,0,"142,215"
"Smelt, surf..........................................",0,0,0,0,"1,391","5,138","32,194","63,079","5,439",0,0,0,"107,241"
"Sole, Dover........................................","339,899","291,909","448,378","550,293","349,547","446,639","393,503","595,003","645,800","429,909","228,182","60,350","4,779,412"
"Sole, English......................................","6,305","12,244","15,773","6,371","4,471","9,400","18,801","2,197",298,"2,105","1,271",309,"79,545"
"Sole, petrale.....................................","171,492","90,606","93,582","15,248","9,767","14,006","26,927","2,447","2,855","4,579","8,410","1,211","441,130"
"Sole, rex.............................................","11,204","19,159","20,202","16,070","15,257","21,411","13,839","14,041","15,965","12,543","6,828","1,725","168,244"
"Sole, sand.........................................",0,0,0,0,0,0,0,10,73,0,0,0,83
"Surfperch, redtail..............................",537,183,535,"2,844",351,0,0,"5,333","2,892",54,0,0,"12,729"
"Thornyhead, longspine....................","110,787","41,715","44,287","74,036","43,663","76,873","33,662","89,649","78,270","50,002","48,365","12,434","703,743"
"Thornyhead, shortspine...................","38,751","22,998","23,498","35,855","40,023","41,881","21,467","45,727","39,289","34,869","31,792","7,522","383,672"
Thornyheads.....................................,0,0,102,0,0,0,0,0,"1,997",0,0,0,"2,099"
