Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
Cabezon..........................................,0,10,0,0,800,160,459,185,18,440,177,0,,"2,249"
"Cod, Pacific....................................",0,0,0,0,0,0,0,5,3,0,0,0,,8
"Flounder, arrowtooth....................","26,041","19,364","22,604","2,226","6,099","3,999","3,139","1,051","3,288","9,325","15,844","13,447",,"126,427"
"Flounder, starry.............................",0,0,0,0,762,17,"1,968","2,625","3,242",6,0,0,,"8,620"
"Greenling, kelp..............................",0,2,0,0,65,38,70,92,74,75,96,0,,512
Grenadier........................................,402,67,343,6,0,0,0,"1,994",0,0,"1,762","4,596",,"9,170"
Hagfishes.......................................,"85,064","3,162","3,379","34,528","49,969","34,575","74,021","98,490","94,367","55,515","46,223","13,897",,"593,190"
Lingcod............................................,257,116,17,370,"5,743","3,068","36,507","10,568","3,806","5,742","3,572",207,,"69,972"
"Rockfish, China.............................",4,6,0,3,26,17,36,22,6,80,36,0,,236
"Rockfish, Pacific ocean perch..",31,9,2,1,6,3,4,6,17,20,45,11,,155
"Rockfish, black-and-yellow.......",0,0,0,0,112,0,2,20,0,0,0,0,,134
"Rockfish, black..............................","1,321","2,734","1,150","4,911","13,407","7,654","10,835","13,697","9,672","6,187","7,937",248,,"79,751"
"Rockfish, blackgill........................",0,0,0,39,0,0,0,0,0,0,0,0,,39
"Rockfish, blue................................",655,516,88,108,295,231,267,177,334,619,869,37,,"4,196"
"Rockfish, bocaccio......................",14,0,6,0,5,0,0,0,0,0,0,0,,25
"Rockfish, brown............................",0,0,0,0,0,14,0,0,0,0,0,0,,14
"Rockfish, canary...........................",0,7,0,74,98,110,105,158,38,914,0,0,,"1,504"
"Rockfish, chilipepper...................",169,0,0,266,0,0,38,12,28,4,0,0,,517
"Rockfish, copper...........................",5,0,2,4,42,45,40,131,66,105,28,0,,468
"Rockfish, darkblotched...............","2,013",221,352,373,380,76,28,139,280,400,545,538,,"5,345"
"Rockfish, gopher...........................",0,0,0,0,0,0,0,5,0,0,0,0,,5
"Rockfish, grass.............................",0,0,0,0,52,0,131,0,0,0,0,0,,183
"Rockfish, greenstriped................",0,0,0,0,0,0,0,0,0,6,0,0,,6
"Rockfish, group nearshore.........",0,0,0,0,0,0,1,13,0,0,0,0,,14
"Rockfish, group shelf..................",6,0,0,466,"2,500",477,"1,767",356,"1,797",9,0,2,,"7,380"
"Rockfish, group slope.................","5,333",919,"2,163","2,398","2,378",181,743,981,"1,305","1,085","1,338","2,669",,"21,493"
"Rockfish, olive...............................",3,3,0,0,13,23,14,2,2,1,5,3,,69
"Rockfish, quillback.......................",11,4,0,0,59,43,73,88,53,150,59,0,,540
"Rockfish, splitnose......................",0,0,0,0,0,4,0,0,0,0,0,0,,4
"Rockfish, vermilion.......................",11,59,4,14,153,90,158,170,144,174,236,0,,"1,213"
"Rockfish, widow............................",238,5,0,0,27,9,18,5,8,2,0,4,,316
"Rockfish, yellowtail......................",93,72,4,76,187,432,196,153,160,155,62,0,,"1,589"
Sablefish.........................................,"73,660","54,645","66,398","65,104","47,624","29,677","30,289","46,152","74,577","77,893","79,056","50,782",,"695,857"
"Salmon, Chinook...........................",0,0,0,0,811,"74,597","61,812","11,272","8,115",109,0,0,,"156,715"
"Sanddab, Pacific..........................",0,0,0,0,0,0,0,"2,688","1,551","3,667",0,0,,"7,906"
Sanddab..........................................,0,0,0,441,"10,173","7,609","28,692","17,383","11,487",0,0,0,,"75,785"
Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Shark, spiny dogfish....................",0,0,0,0,0,"1,200",388,0,89,0,0,0,,"1,677"
"Skate, big........................................",0,0,0,0,"9,115","5,793","21,611","17,347","16,129","7,744",0,0,,"77,739"
"Skate, longnose............................","10,195","12,467","20,875","6,613","13,347","12,612","21,852","13,389","21,543","19,731","17,692","4,714",,"175,030"
"Smelt, night....................................",282,"14,481","32,244","66,857","77,939","39,290","53,501","17,457",952,0,0,0,,"303,003"
"Smelt, surf......................................",0,0,0,0,"29,318","64,329","44,094","32,934","52,356",0,0,0,,"223,031"
"Sole, Dover.....................................","248,225","248,971","384,069","339,034","183,281","127,365","132,192","119,793","144,839","282,854","219,504","78,250",,"2,508,377"
"Sole, English..................................",13,90,20,"1,345","7,205","11,147","20,159","8,409","4,969","1,215",0,0,,"54,572"
"Sole, butter.....................................",0,0,0,0,0,0,7,0,0,0,0,0,,7
"Sole, petrale...................................","117,755","89,777","42,778","18,294","35,665","34,251","60,158","60,843","42,212","25,881","35,257","28,554",,"591,425"
"Sole, rex..........................................","8,856","7,863","6,945","1,660","21,470","4,594","5,977","3,653","6,281","8,693","3,028","1,729",,"80,749"
"Sole, sand......................................",0,0,0,0,0,0,240,141,213,0,0,0,,594
"Sole, unspecified..........................",0,0,6,0,0,0,0,0,0,0,0,0,,6
"Surfperch, redtail..........................",0,96,103,"1,350",0,0,0,"2,798","1,266",0,0,382,,"5,995"
"Surfperch, unspecified................",0,0,0,112,0,0,0,0,0,0,0,0,,112
"Surfperch, walleye.......................",0,0,0,6,0,0,0,0,0,0,0,0,,6
"Thornyhead, longspine...............","111,767","128,595","75,465","68,582","27,646","5,576","15,351","27,331","19,017","38,059","50,665","41,936",,"609,990"
"Thornyhead, shortspine..............","47,586","35,511","32,822","27,909","16,856","9,190","9,110","20,071","13,119","31,994","30,573","17,140",,"291,881"
"Trawled fish, unspecified...........",533,"1,047",767,654,355,135,115,247,49,546,189,295,,"4,932"
"Tuna, albacore..............................",0,0,0,0,0,0,"14,863","29,903","453,700","16,888","5,194",196,,"520,745"
"Turbot, curlfin................................",0,0,0,91,711,0,333,588,530,0,0,0,,"2,253"
"Whiting, Pacific.............................",4,0,5,0,0,0,0,2,1,0,2,0,,14
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness..........................","1,268,185","446,931","258,578","119,941","156,090","35,184","12,774",0,0,0,"18,889","2,299,458",,"4,616,029"
