Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Cabezon..........................................,0,0,15,42,624,168,43,354,510,78,38,112,"1,984"
"Fish, unspecified..........................",0,0,0,0,2,0,0,0,0,0,0,0,2
"Flounder, arrowtooth....................",376,"2,643","7,663","4,629","6,665",978,"4,746","6,214","3,929","3,383","15,842","27,522","84,590"
"Flounder, starry.............................",0,0,0,0,33,6,0,"5,920",5,0,5,0,"5,969"
"Greenling, kelp..............................",0,2,0,0,194,78,21,94,104,28,10,66,597
Grenadier........................................,0,621,647,196,139,0,68,0,264,0,20,978,"2,933"
Hagfishes.......................................,"47,718","15,514","71,019","11,043","42,521","57,158","48,032","137,543","86,618","20,825","32,343","81,077","651,411"
"Halibut, California.........................",0,0,0,0,0,650,"1,665","1,306","2,791",668,23,0,"7,103"
"Halibut, Pacific..............................",94,0,0,0,0,738,"3,160",0,0,0,0,11,"4,003"
Jacksmelt........................................,0,0,0,0,0,0,0,211,19,0,0,0,230
Lingcod............................................,483,"1,537","3,583","5,114","37,503","40,692","75,691","45,633","20,983","6,132","5,590","2,061","245,002"
Louvar..............................................,0,0,0,0,0,0,0,0,0,67,0,0,67
"Mackerel, Pacific..........................",0,0,0,0,0,0,0,4,0,0,0,0,4
"Rockfish, China.............................",0,10,5,2,21,30,20,110,149,72,14,37,469
"Rockfish, Pacific ocean perch..",1,17,36,45,1,3,0,7,32,16,9,19,186
"Rockfish, black-and-yellow.......",0,0,0,0,10,0,0,0,4,0,0,0,14
"Rockfish, black..............................","1,024",538,"5,205","7,420","18,747","22,204","15,696","15,950","15,073","8,842","1,239","8,100","120,039"
"Rockfish, blackgill........................",0,0,0,1,8,30,0,0,24,9,18,2,92
"Rockfish, blue................................",695,105,"1,808",336,331,626,404,924,435,477,157,"2,139","8,437"
"Rockfish, bocaccio......................",0,22,4,"3,200","31,145","2,204",296,84,62,3,55,7,"37,083"
"Rockfish, brown............................",0,0,2,0,14,4,47,0,109,35,0,4,215
"Rockfish, canary...........................",0,31,34,"2,252","8,266","74,988","25,358","26,777","25,705","1,330",238,277,"165,256"
"Rockfish, chilipepper...................",0,0,19,"2,975","12,928","1,815",0,0,1,0,0,20,"17,758"
"Rockfish, copper...........................",0,29,0,21,373,318,216,786,"1,414",565,13,347,"4,081"
"Rockfish, cowcod.........................",0,0,0,0,4,0,0,0,0,0,0,0,4
"Rockfish, darkblotched...............",21,490,"1,099","1,531","2,575","1,473","2,506","1,715","1,820",312,766,"1,166","15,474"
"Rockfish, gopher...........................",0,0,0,0,4,0,0,3,0,0,0,0,7
"Rockfish, grass.............................",0,0,0,0,47,4,0,0,63,23,0,0,137
"Rockfish, greenspotted...............",0,0,0,0,0,30,0,0,0,0,0,0,30
"Rockfish, group nearshore.........",0,0,0,0,0,6,0,0,0,0,0,0,6
"Rockfish, group shelf..................",0,0,41,494,"1,388","6,805","11,589","22,262","9,701","5,042",89,482,"57,893"
"Rockfish, group slope.................",7,"1,296","1,613","2,333","3,634","6,325","1,877","1,933","2,695","2,146","1,726","1,665","27,250"
"Rockfish, group small..................",0,0,0,0,0,219,0,0,0,0,0,0,219
"Rockfish, olive...............................",0,8,41,0,4,10,0,16,0,0,0,9,88
"Rockfish, quillback.......................",0,0,15,46,284,250,236,897,908,507,17,180,"3,340"
"Rockfish, redbanded....................",0,0,0,0,0,38,0,87,40,173,101,121,560
Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Rockfish, rosethorn......................",0,0,0,0,0,1,0,13,0,0,0,0,,14
"Rockfish, rosy...............................",0,0,0,0,0,0,0,0,12,6,11,0,,29
"Rockfish, rougheye......................",0,30,38,108,90,51,39,18,6,30,38,10,,458
"Rockfish, shortraker.....................",0,0,0,0,14,0,0,0,0,0,22,0,,36
"Rockfish, starry.............................",0,0,0,0,0,9,0,0,0,0,0,0,,9
"Rockfish, unspecified..................",0,0,6,0,0,0,0,10,14,0,0,0,,29
"Rockfish, vermilion.......................",21,29,50,56,313,301,310,"1,044",756,410,2,125,,"3,416"
"Rockfish, widow............................",31,204,31,28,"1,466",977,"61,033",520,123,"43,266",412,274,,"108,365"
"Rockfish, yellowtail......................",23,8,44,951,"3,623","1,288",471,"1,365",654,304,42,283,,"9,055"
Sablefish.........................................,"16,286","41,860","91,540","147,491","39,455","70,438","51,099","79,757","97,753","76,149","58,547","74,975",,"845,350"
"Salmon, Chinook...........................",32,0,0,0,0,0,8,78,"3,310",3,6,133,,"3,570"
Sanddab..........................................,0,0,0,304,"6,814","4,366",294,827,452,555,947,0,,"14,559"
"Shark, shortfin mako....................",0,0,0,0,0,0,0,0,0,"5,283",0,0,,"5,283"
"Shark, spiny dogfish....................",0,4,0,0,0,0,0,0,0,0,4,0,,8
"Shark, thresher..............................",0,0,0,0,0,0,0,28,0,"2,477",0,0,,"2,505"
"Skate, big........................................",0,0,651,792,"10,337","8,195","9,296","10,249","5,620",547,"2,819",182,,"48,688"
"Skate, longnose............................","1,463","11,845","27,092","23,785","28,237","20,102","12,927","31,634","32,205","27,323","39,570","22,160",,"278,343"
"Skate, unspecified.......................",0,0,0,0,0,0,0,0,"1,258",589,0,0,,"1,847"
"Smelt, night....................................","1,004","12,387","46,075","50,577","90,937","58,705","22,792","5,106",0,0,0,0,,"287,583"
"Smelt, surf......................................",0,0,0,282,0,0,218,98,0,0,0,0,,598
"Sole, Dover.....................................","59,047","211,020","450,551","306,408","212,787","249,652","202,903","271,684","260,357","285,654","275,877","328,057",,"3,113,997"
"Sole, English..................................",60,744,"2,199","8,758","31,276","35,959","47,252","43,202","25,254","3,208","7,020","4,040",,"208,972"
"Sole, curlfin....................................",0,0,0,0,5,2,0,120,0,467,213,0,,807
"Sole, petrale...................................","34,600","103,561","87,138","22,243","73,057","79,317","96,335","62,541","67,181","32,082","60,315","126,111",,"844,481"
"Sole, rex..........................................","2,330","11,609","14,257","18,295","19,114","11,216","11,568","18,125","19,702","7,207","12,670","18,907",,"165,000"
"Sole, rock........................................",0,0,0,0,78,0,0,0,1,0,0,0,,79
"Sole, sand......................................",0,0,0,0,13,0,0,0,0,0,0,0,,13
"Surfperch, redtail..........................",100,158,747,668,117,0,0,"3,502","3,789",361,666,428,,"10,536"
Swordfish........................................,0,0,0,0,0,0,0,0,0,"2,702",0,0,,"2,702"
"Thornyhead, longspine...............","51,413","30,041","77,106","72,595","6,518","23,218","13,649","22,070","30,912","16,118","15,808","23,422",,"382,870"
"Thornyhead, shortspine..............","5,442","16,393","28,465","24,002","12,188","9,086","5,869","9,625","16,277","15,550","16,304","30,065",,"189,266"
