"",,,,,,,,,,,,,,,,,Total
Species,January,February,March,,April,,May,,June,July,,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,
Cabezon,30,0,0,,0,,211,,573,335,,527,489,180,368,28,"2,740"
"Fish, unspecified",0,0,0,,0,,0,,0,546,,501,537,962,"1,222",764,"4,532"
"Flounder, arrowtooth","26,933","4,731","9,887",,564,,623,,357,"1,100",,"1,819",808,"2,884","1,329","1,096","52,131"
"Flounder, starry",0,0,0,,0,,31,,0,0,,285,25,0,0,0,341
"Greenling, kelp",52,0,0,,0,,63,,33,101,,45,115,66,366,12,853
Grenadier,"1,523",0,0,,0,,106,,0,0,,0,0,"1,851",160,959,"4,599"
"Hagfish, Pacific",0,0,0,,0,,0,,0,0,,0,0,"41,314","44,029",0,"85,343"
"Hagfish, unspecified",0,0,0,,"15,059",,"57,210",,"122,846","120,694",,"140,790","59,476","39,078",0,"4,571","559,724"
"Halibut, California",0,0,0,,0,,144,,"1,891","2,140",,"2,082","2,163",894,185,0,"9,498"
"Halibut, Pacific",0,0,0,,0,,110,,292,"2,251",,72,0,0,5,78,"2,808"
Jacksmelt,0,0,0,,0,,0,,0,0,,96,80,0,0,0,176
Lingcod,667,188,922,,"15,064",,"52,919",,"91,945","103,562",,"43,021","17,839","12,154","9,225","2,312","349,817"
"Mackerel, jack",0,0,0,,0,,0,,0,0,,4,0,0,0,0,4
"Mackerel, Pacific",0,0,0,,0,,0,,41,0,,0,0,0,0,0,41
"Mackerel, unspecified",0,0,0,,0,,20,,0,0,,0,0,0,0,0,20
"Rockfish, aurora",0,0,0,,0,,0,,0,0,,128,0,0,0,0,128
"Rockfish, black","3,327",617,"1,380",,"5,934",,"5,009",,"11,045","15,286",,"12,088","15,726","11,433","11,171","2,266","95,281"
"Rockfish, black-and-yellow",0,0,0,,0,,0,,2,15,,4,13,0,19,0,53
"Rockfish, blackgill",0,0,0,,0,,0,,6,0,,65,0,37,105,0,213
"Rockfish, blue",511,741,"1,228",,198,,31,,352,359,,386,"1,032",741,"1,214","1,437","8,230"
"Rockfish, bocaccio",4,0,14,,"4,344",,0,,0,104,,20,58,124,93,8,"4,769"
"Rockfish, brown",0,0,0,,19,,6,,6,15,,42,38,10,16,0,152
"Rockfish, canary",35,102,78,,"21,927",,"67,621",,"38,138","38,935",,"100,209","16,088","8,675","8,060","4,780","304,648"
"Rockfish, chilipepper",0,0,0,,"8,799",,0,,0,0,,130,20,380,"1,991",0,"11,320"
"Rockfish, China",6,0,0,,0,,16,,72,41,,29,24,38,54,4,284
"Rockfish, copper",7,29,2,,0,,373,,"2,789","1,405",,523,403,317,291,47,"6,186"
"Rockfish, darkblotched",698,14,"1,261",,"13,764",,924,,274,"4,157",,"2,732",765,"6,944","2,716",641,"34,890"
"Rockfish, flag",0,0,0,,0,,0,,0,21,,0,0,0,0,0,21
Species,January,,February,March,,April,,May,,June,,July,,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,
"Rockfish, gopher",0,,0,0,,0,,0,,0,,0,,47,0,44,2,0,93
"Rockfish, grass",4,,0,0,,0,,20,,9,,87,,117,135,0,24,0,396
"Rockfish, greenspotted",0,,0,0,,0,,0,,0,,0,,2,0,0,0,0,2
"Rockfish, greenstriped",0,,0,0,,0,,0,,0,,0,,0,0,9,52,0,61
"Rockfish, group nearshore",0,,0,0,,62,,0,,2,,0,,0,0,0,0,0,64
"Rockfish, group shelf",785,,0,22,,"8,233",,"38,111",,"23,095",,"61,243",,"29,743","18,807","12,921",442,"21,899","215,301"
"Rockfish, group slope",906,,21,"1,177",,"2,694",,248,,"1,031",,"2,055",,"6,377","3,029","7,016",805,562,"25,921"
"Rockfish, olive",0,,15,0,,0,,0,,3,,38,,8,0,1,1,10,76
"Rockfish, Pacific ocean",5,,0,0,,0,,4,,2,,8,,8,3,6,30,4,70
perch,,,,,,,,,,,,,,,,,,,
"Rockfish, quillback",20,,24,26,,0,,143,,"1,257",,724,,436,183,159,312,33,"3,316"
"Rockfish, redbanded",0,,0,0,,0,,0,,107,,48,,"1,009",0,226,248,56,"1,694"
"Rockfish, rosy",0,,0,0,,0,,0,,0,,12,,47,136,0,11,0,206
"Rockfish, rougheye",158,,0,0,,17,,3,,31,,0,,58,215,30,11,0,523
"Rockfish, shortraker",33,,0,0,,20,,0,,0,,0,,0,0,22,0,45,120
"Rockfish, starry",0,,0,0,,0,,0,,0,,3,,0,0,0,0,0,3
"Rockfish, unspecified",0,,0,0,,0,,"28,011",,0,,0,,50,2,4,3,0,"28,070"
"Rockfish, vermilion",53,,47,6,,41,,270,,474,,712,,640,660,447,806,67,"4,221"
"Rockfish, widow","38,672",,26,"83,427",,"39,072",,"30,861",,603,,"1,034",,"5,428",991,274,"166,566","151,367","518,321"
"Rockfish, yellowtail",81,,28,25,,"3,107",,713,,"2,646",,"4,329",,"2,685","2,493",491,724,"7,221","24,542"
Sablefish,"32,850",,"4,216","28,138",,"40,571",,"55,467",,"30,105",,"39,962",,"87,293","92,421","97,854","76,178","44,924","629,979"
Salmon,0,,0,0,,0,,0,,0,,8,,0,0,0,0,0,8
"Salmon, Chinook",12,,6,553,,0,,"6,961",,"22,255",,"17,997",,"39,062",57,17,2,14,"86,934"
Sanddab,0,,0,14,,"2,727",,922,,"1,137",,12,,19,5,3,0,0,"4,839"
"Sanddab, Pacific",0,,0,0,,0,,0,,0,,"1,445",,"1,512","6,546","1,873",211,"1,841","13,428"
"Seaperch, striped",0,,0,124,,22,,0,,0,,0,,0,2,0,0,0,148
"Shark, spiny dogfish",0,,0,0,,11,,0,,0,,0,,3,0,0,303,0,317
"Shark, thresher",0,,0,0,,0,,0,,0,,152,,0,0,0,0,0,152
"Skate, big",77,,0,268,,"2,902",,"4,955",,"3,815",,"9,041",,"9,554","10,056","5,202","1,547",772,"48,189"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,
