"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Cabezon...............................,720,"1,149",173,0,"2,676","4,423","7,398","5,176","3,079",0,0,0,"24,795"
"Flounder, arrowtooth............",22,29,0,7,29,12,0,33,0,0,0,0,132
"Flounder, starry....................",0,0,9,6,0,0,0,0,0,0,0,0,15
"Greenling, kelp.....................",763,"1,367",224,0,"1,689","2,199","2,887","2,367",0,0,0,0,"11,495"
Grenadiers...........................,"2,081","1,409","5,624","2,105","2,013","2,798","15,250","24,516","19,099",0,0,0,"74,895"
Hagfishes.............................,0,0,90,0,0,0,0,0,0,0,0,0,90
"Halibut, California.................",0,0,0,0,0,0,0,0,27,0,0,0,27
"Halibut, Pacific.....................",0,0,0,0,0,438,153,0,0,0,0,0,591
Lingcod................................,0,0,0,0,"2,810","2,004","4,020","3,835","3,344","3,926",10,0,"19,949"
"Mackerel, Pacific..................",0,0,0,0,0,0,3,0,0,0,0,0,3
"Rockfish, China....................",87,88,200,19,379,172,517,751,382,757,288,28,"3,668"
"Rockfish, black-and-yellow...",12,141,0,6,484,496,873,997,237,121,20,1,"3,386"
"Rockfish, black.....................",16,95,745,23,388,364,486,503,270,"1,428",83,0,"4,400"
"Rockfish, blackgill................",0,0,0,0,0,174,"12,163","13,002",638,0,0,"1,337","27,314"
"Rockfish, blue......................",55,20,0,1,12,18,2,116,49,54,16,18,360
"Rockfish, bocaccio...............",0,739,181,187,739,276,"1,974","1,328","1,076",0,0,0,"6,500"
"Rockfish, brown....................",0,0,0,0,1,0,7,0,20,"1,003",36,0,"1,067"
"Rockfish, canary...................",18,285,83,268,815,586,915,590,660,0,0,0,"4,220"
"Rockfish, chilipepper............",0,"16,157","19,840","12,864","32,108","22,762","32,897","17,888","46,666","30,623","8,760","2,085","242,650"
"Rockfish, copper..................",84,77,492,0,14,9,9,190,37,526,55,3,"1,495"
"Rockfish, darkblotched.........",0,0,496,0,135,0,0,0,0,0,0,0,631
"Rockfish, gopher..................",186,276,2,44,753,676,"1,532","2,060","1,537","1,944",715,50,"9,773"
"Rockfish, grass....................",10,22,0,0,253,469,864,392,"1,038",234,0,0,"3,281"
"Rockfish, group nearshore...",0,0,0,0,0,0,48,0,0,0,0,0,48
"Rockfish, group red..............",696,0,0,0,47,0,0,0,0,0,0,0,743
"Rockfish, group rosefish.......","1,006","2,704","10,933","13,908","1,536","10,472","3,462","6,919","8,078",753,18,451,"60,240"
"Rockfish, group shelf............",26,1,42,34,39,451,24,761,"1,070",0,0,0,"2,448"
"Rockfish, group slope...........",954,"9,642","20,836","23,239","5,448","11,152","9,345","38,440","59,003","31,498",129,393,"210,079"
"Rockfish, group small...........",0,0,0,0,0,0,0,0,3,0,0,0,3
"Rockfish, kelp.......................",0,0,0,0,6,0,1,0,2,4,0,0,13
"Rockfish, quillback...............",1,61,38,0,0,4,26,32,19,10,13,0,204
"Rockfish, redbanded............",0,3,0,0,0,0,0,0,0,0,0,0,3
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, rosethorn..............",0,0,0,0,0,0,0,0,1,0,0,0,1
"Rockfish, splitnose...............",6,461,0,"2,750",671,137,"2,228","3,414","1,872","1,639",0,0,"13,178"
"Rockfish, unspecified...........",33,0,212,0,0,0,"2,304",16,21,0,0,0,"2,586"
"Rockfish, vermilion...............",99,114,175,0,3,0,281,798,636,0,0,0,"2,106"
"Rockfish, widow...................",6,"34,759",157,31,"27,507",317,137,493,"1,085",950,29,12,"65,483"
"Rockfish, yelloweye..............",0,60,125,0,0,0,0,8,0,0,0,0,192
"Rockfish, yellowtail...............",17,3,93,0,0,0,0,34,51,0,0,0,197
Sablefish..............................,"29,391","34,134","51,888","66,405","86,360","64,047","109,350","148,205","133,308","71,605","23,346","7,768","825,806"
"Salmon, chinook..................",0,0,0,0,"52,135","29,721","121,155","49,461","121,885","2,595",0,0,"376,951"
"Salmon, pink........................",0,0,0,0,0,38,49,0,0,0,0,0,87
Sanddab...............................,0,3,111,"2,433",0,0,0,19,35,51,0,0,"2,652"
"Sardine, Pacific....................",0,0,0,0,0,0,0,119,0,0,0,0,119
"Sculpin, staghorn.................",2,0,0,0,0,0,0,3,0,0,0,0,5
"Shark, gray smoothhound....",0,0,0,0,0,0,0,259,0,0,0,0,259
"Shark, leopard......................",0,0,0,0,0,44,0,0,0,0,0,0,44
"Shark, soupfin......................",0,27,0,0,21,0,27,0,0,48,0,28,151
"Shark, unspecified................",0,0,0,0,0,0,0,0,0,0,21,0,21
"Skate, big.............................",0,0,0,0,0,0,0,"1,405",0,0,0,0,"1,405"
"Skate, unspecified................","7,018","6,908","3,842","12,708","11,509","13,345","34,298","36,559","5,438","1,895",269,"2,157","135,946"
"Smelt, night..........................",0,186,"2,054","3,054","4,423","1,435",0,10,0,0,0,0,"11,162"
"Smelt, surf............................",0,0,315,0,"2,200","2,208",90,10,0,"2,972",0,0,"7,795"
"Sole, Dover..........................","57,890","83,134","97,878","195,973","195,267","115,224","249,892","248,261","166,103","11,908",0,"3,465","1,424,995"
"Sole, English........................",100,"3,812","4,407","9,273","4,119","4,342","18,619","22,032","1,929","12,694","3,232","4,019","88,578"
"Sole, petrale.........................","16,454","7,095","4,375","2,779","3,089","4,468","2,448","4,201","4,890","5,921","2,377","9,866","67,963"
"Sole, rex...............................","6,086","21,160","6,884","13,101","9,852","7,771","14,413","21,663","11,739","3,893","2,267","2,149","120,978"
"Sole, rock.............................",0,0,0,133,0,0,0,0,0,0,0,0,133
"Sole, sand............................",0,0,0,0,0,0,0,4,0,0,0,0,4
"Surfperch, barred.................",0,0,72,0,0,0,0,0,0,0,0,0,72
"Surfperch, calico..................",0,0,0,2,0,0,0,0,0,0,0,0,2
"Surfperch, rainbow...............",0,0,0,12,0,0,0,0,0,0,0,0,12
"Surfperch, redtail..................",0,0,379,175,0,0,0,0,0,0,0,0,554
"Surfperch, unspecified..........",0,0,0,7,0,0,0,0,0,0,2,0,8
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June July,,August September,,October,November December,,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Thornyhead, longspine.........","12,716","29,254","28,876","35,887","44,024","17,943  45,387",,"46,270","61,129","1,484",0  0,,"322,970"
"Thornyhead, shortspine........","7,098","6,441","8,560","8,428","13,535","6,372  13,862",,"11,079","18,754","1,021",0  0,,"95,150"
Thornyheads........................,0,0,"1,671",0,0,1,0,0,0,0,0  0,,"1,672"
"Tuna, albacore.....................",0,0,0,0,0,"0  3,467",,"18,177","22,179","94,468",0  0,,"138,290"
Turbot..................................,0,0,80,6,0,0,0,11,0,0,0  0,,97
Crustaceans,,,,,,,,,,,,,
"Crab, Dungeness.................","49,343","18,470","8,697","6,323","5,294","5,007  9,078",,0,0,0,"0  204,453",,"306,664"
"Crab, box.............................",0,0,0,0,0,0,7,0,0,0,0  0,,7
"Crab, rock unspecified..........",0,0,0,0,0,0  303,,0,0,0,0  0,,303
"Crab, sand...........................",0,0,0,0,2,0,0,0,0,0,0  0,,2
"Prawn, spot..........................",0,"1,503","1,430",0,0,"0  1,448",,0,"3,152","3,887",0  0,,"11,420"
