Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Cabezon..........................................,727,0,0,0,"2,079",764,"2,438","1,584",817,949,697,405,"10,460"
"Flounder, arrowtooth....................","3,076","5,817","5,347","2,342","3,843","1,190","8,665","1,893","3,441","3,304",748,372,"40,038"
"Greenling, kelp..............................",235,0,0,0,460,214,565,130,153,275,123,250,"2,406"
Grenadier........................................,60,0,0,"1,939",40,510,0,"4,648",0,"1,618",0,"1,303","10,118"
"Halibut, California.........................",0,0,0,0,0,0,25,0,0,0,0,0,25
Lingcod............................................,561,186,"1,270","4,353","2,786","2,645","4,884","4,468","4,182","5,251","4,256",602,"35,444"
"Rockfish, China.............................",274,0,0,0,136,111,544,984,161,284,867,28,"3,389"
"Rockfish, Pacific ocean perch..",0,0,0,2,0,0,0,0,0,0,0,0,2
"Rockfish, aurora............................",120,279,90,104,11,38,322,281,432,302,64,14,"2,057"
"Rockfish, bank...............................",0,5,113,0,0,2,3,0,"33,452",21,0,0,"33,596"
"Rockfish, black-and-yellow.......",132,0,0,0,260,305,582,425,213,313,5,49,"2,284"
"Rockfish, black..............................",92,0,0,0,309,90,262,133,130,64,135,11,"1,227"
"Rockfish, blackgill........................","9,887","12,225","7,140","2,373",104,518,"1,226",730,"32,246","1,850",315,9,"68,623"
"Rockfish, blue................................",28,0,0,0,123,11,29,131,35,113,22,3,497
"Rockfish, bocaccio......................",77,147,575,"26,582",420,983,"1,497",31,975,"1,395",508,199,"33,389"
"Rockfish, brown............................",54,0,0,0,12,99,11,265,0,177,128,0,747
"Rockfish, canary...........................",13,36,431,856,450,69,138,34,400,12,79,0,"2,518"
"Rockfish, chilipepper...................",191,"26,501","106,662","53,804","44,483","10,847","10,147","1,934","9,945","11,494","42,741","1,112","319,861"
"Rockfish, copper...........................",41,0,0,0,77,12,224,376,154,178,65,0,"1,127"
"Rockfish, cowcod.........................",0,1,15,13,1,7,14,0,46,9,0,0,106
"Rockfish, darkblotched...............",300,2,511,0,170,375,44,6,74,234,562,0,"2,278"
"Rockfish, gopher...........................",518,0,0,0,332,489,941,736,95,484,696,32,"4,323"
"Rockfish, grass.............................",10,0,0,0,175,42,393,242,58,35,0,12,967
"Rockfish, greenspotted...............",0,0,2,7,0,3,0,0,0,0,0,0,12
"Rockfish, greenstriped................",0,0,92,0,0,0,0,0,1,0,0,0,93
"Rockfish, group shelf..................",3,0,0,0,34,35,0,0,50,8,4,0,134
"Rockfish, group slope.................",36,12,0,391,"3,407",39,"1,469","1,238","22,517","15,483",48,7,"44,647"
"Rockfish, olive...............................",0,0,0,0,0,0,0,54,0,2,0,0,56
"Rockfish, quillback.......................",18,0,0,0,30,1,91,133,80,14,25,0,392
"Rockfish, redbanded....................",2,0,0,3,0,0,1,0,97,0,0,0,103
"Rockfish, rosethorn......................",4,0,0,0,2,0,28,54,25,25,6,0,142
"Rockfish, rosy...............................",0,0,0,0,0,0,0,9,0,0,0,0,9
"Rockfish, shortbelly.....................",0,0,16,3,0,0,0,0,0,0,0,0,19
"Rockfish, splitnose......................",906,270,511,0,54,51,38,93,115,228,31,0,"2,297"
"Rockfish, squarespot..................",0,0,0,2,0,0,0,0,0,0,0,0,2
"Rockfish, stripetail.......................",0,0,0,2,0,0,0,0,0,0,0,0,2
Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Rockfish, unspecified..................",0,0,0,0,0,2,12,0,0,0,0,0,,14
"Rockfish, vermilion.......................",173,0,0,0,159,110,288,273,183,268,217,15,,"1,687"
"Rockfish, widow............................",132,0,289,362,639,4,4,4,161,832,89,4,,"2,520"
"Rockfish, yelloweye.....................",0,0,0,3,3,5,0,0,0,6,0,0,,17
"Rockfish, yellowtail......................",19,0,1,2,7,57,58,158,24,16,9,0,,351
Sablefish.........................................,"21,088","18,022","44,092","180,035","81,088","18,045","68,742","70,665","145,823","84,185","61,614","16,822",,"810,222"
"Salmon, Chinook...........................",0,0,0,0,"84,222","258,777","581,404","106,361","5,893",0,16,0,,"1,036,673"
"Salmon, Roe (Chinook, Coho)....",0,0,0,0,0,0,0,12,0,0,0,0,,12
"Sanddab, Pacific..........................",0,0,0,0,0,0,0,0,0,0,3,0,,3
Sanddab..........................................,0,54,804,368,2,0,"1,641",8,863,0,0,0,,"3,740"
"Sardine, juvenile...........................","1,014",0,0,0,0,0,0,0,0,0,0,0,,"1,014"
"Sculpin, staghorn.........................",0,0,0,0,0,0,2,4,0,0,0,0,,6
"Shark, soupfin...............................",0,49,27,109,0,0,0,0,0,0,0,0,,185
"Shark, spiny dogfish....................",0,0,11,"7,306","29,844",865,0,0,0,0,0,0,,"38,026"
"Shark, thresher..............................",0,0,0,0,0,0,130,0,0,0,0,0,,130
"Skate, big........................................",0,783,531,"1,102",0,28,967,0,"1,796",0,0,0,,"5,207"
"Skate, longnose............................","4,979","6,250","4,887","15,416","5,166","1,691","12,348","11,686","28,536","16,464","4,185","1,614",,"113,222"
"Skate, unspecified.......................",347,47,0,0,0,423,0,170,283,0,0,0,,"1,270"
"Sole, Dover.....................................","92,041","54,736","98,605","168,493","57,613","42,366","92,572","81,190","182,134","118,888","28,642","5,924",,"1,023,204"
"Sole, English..................................",554,"1,708","7,135","12,585","6,541","1,333","4,203",995,"7,116","2,298","1,532",343,,"46,343"
"Sole, butter.....................................",0,0,0,0,0,0,22,0,0,0,0,0,,22
"Sole, petrale...................................","26,679","12,711","32,468","59,439","17,667","1,308","24,428","5,310","31,681","60,615","44,461","41,932",,"358,698"
"Sole, rex..........................................","1,120",481,"1,162","1,643",555,91,"1,283",297,"1,797","1,052",774,464,,"10,719"
"Sole, rock........................................",0,0,2,0,0,0,1,0,0,32,0,0,,35
"Sole, unspecified..........................",0,0,0,4,0,5,3,0,0,0,12,0,,24
"Thornyhead, longspine...............","58,821","35,990","50,959","44,367","42,157","19,174","28,911","34,654","92,746","34,257","27,109","1,481",,"470,626"
"Thornyhead, shortspine..............","15,279","9,278","12,382","16,431","10,538","5,460","15,862","14,460","30,135","14,965","6,126","2,227",,"153,142"
Thornyheads..................................,20,0,0,0,0,0,0,0,0,0,0,0,,20
"Trawled fish, unspecified...........",17,38,30,40,151,9,0,29,125,17,72,30,,558
"Tuna, albacore..............................",0,0,0,0,0,0,0,0,"11,121",921,0,0,,"12,042"
"Turbot, curlfin................................",0,0,0,0,0,0,41,0,84,0,0,0,,125
