Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Cabezon..........................................,623,160,0,0,"1,017",833,714,"1,653","1,540",511,965,"1,518","9,534"
"Fish, unspecified..........................",0,0,0,0,2,153,119,45,8,"1,808",0,1,"2,136"
"Flounder, arrowtooth....................",28,118,30,6,0,45,7,0,2,0,449,7,692
"Flounder, starry.............................",0,0,0,0,0,0,0,0,0,1,0,0,1
"Flounder, unspecified..................",0,0,0,0,0,0,0,0,5,0,0,0,5
"Greenling, kelp..............................",136,65,0,0,192,182,179,353,440,176,77,225,"2,024"
Grenadier........................................,0,1,0,0,2,0,0,61,6,0,0,0,70
Hagfishes.......................................,"1,114",723,"1,307","3,336","6,087","18,037","12,174","26,299","13,649","9,609","26,489","25,674","144,498"
"Halibut, California.........................",0,0,0,0,0,0,0,8,0,0,0,0,8
Lingcod............................................,"1,322",915,611,"5,307","5,474","9,459","3,033","19,099","12,026","9,448","5,432","3,521","75,647"
"Mackerel, Pacific..........................",0,0,0,0,0,0,0,0,0,300,0,0,300
"Mackerel, jack................................",0,0,0,0,0,0,3,599,4,0,0,0,606
Opah................................................,0,0,0,0,0,0,967,0,14,0,0,0,981
"Prickleback, monkeyface (eel)..",5,0,0,0,0,0,0,0,0,0,0,0,5
"Ratfish, spotted............................",0,0,0,0,1,0,0,0,0,0,0,4,5
"Rockfish, China.............................",60,91,0,0,191,114,106,503,400,175,183,659,"2,482"
"Rockfish, Pacific ocean perch..",0,0,0,1,0,0,0,0,0,0,0,0,1
"Rockfish, aurora............................",0,35,121,31,817,7,3,35,296,79,886,"1,186","3,496"
"Rockfish, bank...............................",2,2,249,"15,838",0,0,0,0,0,0,"27,167",4,"43,262"
"Rockfish, black-and-yellow.......",138,74,0,0,292,373,260,863,903,151,179,561,"3,793"
"Rockfish, black..............................",8,37,0,0,58,256,145,306,242,42,4,88,"1,186"
"Rockfish, blackgill........................",798,133,579,"1,001",528,"2,058",527,"20,679","10,415","7,342","10,488","6,761","61,308"
"Rockfish, blue................................",17,29,0,0,46,51,33,131,38,19,88,69,521
"Rockfish, bocaccio......................",7,124,79,"24,863","12,344","41,462","1,456","7,411","2,105","7,676",234,6,"97,767"
"Rockfish, brown............................",0,0,0,0,32,51,0,19,3,0,51,354,510
"Rockfish, canary...........................",0,69,16,256,411,854,383,771,900,470,400,336,"4,868"
"Rockfish, chilipepper...................",2,38,53,"7,152","2,180","18,458",570,"24,884","7,812","53,769","1,274",1,"116,193"
"Rockfish, copper...........................",57,66,0,0,316,432,465,802,660,307,598,560,"4,263"
"Rockfish, cowcod.........................",0,0,0,16,24,31,12,8,72,0,0,0,163
"Rockfish, darkblotched...............",9,231,218,546,34,428,0,0,0,28,200,526,"2,220"
"Rockfish, flag.................................",0,0,0,0,0,0,0,0,0,3,0,0,3
"Rockfish, gopher...........................",157,133,0,0,195,100,179,748,570,275,173,"1,279","3,809"
"Rockfish, grass.............................",70,15,0,0,32,125,422,198,523,100,67,90,"1,641"
"Rockfish, greenblotched.............",0,0,0,0,0,0,0,12,0,0,0,0,12
"Rockfish, greenspotted...............",3,0,0,0,1,60,0,0,12,0,1,0,77
"Rockfish, greenstriped................",0,0,0,7,21,37,2,6,8,4,0,0,85
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, group black/blue........",0,0,0,0,0,0,0,0,0,0,0,11,11
"Rockfish, group bolina................",0,0,0,0,0,0,0,0,0,0,17,55,72
"Rockfish, group nearshore.........",0,0,0,0,0,0,0,0,0,2,0,0,2
"Rockfish, group red......................",0,0,0,0,0,0,0,0,5,0,0,10,14
"Rockfish, group shelf..................",3,6,0,20,31,0,7,45,16,0,33,17,177
"Rockfish, group slope.................",25,141,68,52,56,120,978,"2,113","2,326",34,430,20,"6,363"
"Rockfish, group small..................",0,0,0,0,0,0,1,0,0,0,0,1,2
"Rockfish, olive...............................",0,0,0,0,1,0,1,5,31,0,0,7,44
"Rockfish, pink................................",0,0,0,0,0,0,0,0,0,0,2,0,2
"Rockfish, quillback.......................",37,55,0,0,152,112,248,328,80,187,205,209,"1,613"
"Rockfish, redbanded....................",0,0,3,72,0,312,0,28,0,489,27,10,941
"Rockfish, rosethorn......................",0,0,0,0,30,35,29,3,22,24,33,95,272
"Rockfish, rosy...............................",12,9,0,0,2,15,0,49,9,0,5,7,107
"Rockfish, rougheye......................",0,0,22,18,0,0,0,27,0,10,0,0,77
"Rockfish, shortbelly.....................",0,0,0,321,145,36,1,0,10,112,1,0,626
"Rockfish, shortraker.....................",0,0,0,0,0,0,12,0,0,0,0,0,12
"Rockfish, splitnose......................",238,256,928,8,15,8,2,17,48,0,537,46,"2,103"
"Rockfish, starry.............................",0,0,0,0,0,0,0,2,0,1,0,0,3
"Rockfish, stripetail.......................",0,0,0,0,31,98,4,0,35,0,29,0,197
"Rockfish, unspecified..................",0,0,0,0,0,0,0,41,19,0,0,0,60
"Rockfish, vermilion.......................",54,82,0,0,215,193,214,585,428,179,590,268,"2,807"
"Rockfish, widow............................",0,0,0,162,269,400,1,0,0,62,2,0,896
"Rockfish, yelloweye.....................",0,0,0,0,2,4,0,0,15,0,0,22,43
"Rockfish, yellowtail......................",0,0,0,0,29,90,41,103,157,44,25,29,518
Sablefish.........................................,"12,902","25,750","51,507","73,031","143,575","106,761","35,262","153,554","125,613","156,676","75,419","74,052","1,034,102"
"Salmon, Chinook...........................",0,0,0,16,176,0,3,"22,307","17,602",0,0,0,"40,104"
"Sanddab, Pacific..........................",0,0,0,0,75,0,0,0,0,0,0,0,75
Sanddab..........................................,0,0,1,170,6,32,952,"12,054",114,16,0,0,"13,345"
"Seaperch, striped.........................",0,0,5,11,0,0,0,0,0,0,0,0,16
"Shad, American.............................",0,0,0,185,44,0,80,0,0,0,0,0,309
"Shark, soupfin...............................",0,0,0,0,0,97,0,0,0,414,0,0,511
"Shark, spiny dogfish....................",0,0,0,0,0,0,0,0,0,3,0,4,7
"Skate, big........................................",0,0,0,31,533,139,239,219,175,0,0,0,"1,336"
