"",,,,,,,,,,,,,,,Total
Species,January,February,March,,April,,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,
Cabezon,548,511,0,,0,,"1,015",683,"1,579","1,892","1,767",933,"1,043",10,"9,982"
"Fish, unspecified",0,0,0,,0,,0,0,0,0,171,0,0,0,171
"Flounder, arrowtooth",40,0,34,,43,,1,0,0,0,5,0,0,0,123
"Flounder, starry",0,0,0,,0,,2,0,0,0,0,0,0,0,2
"Greenling, kelp",52,118,0,,0,,126,203,185,190,307,114,144,21,"1,459"
Grenadier,1,0,0,,122,,0,0,714,0,0,0,0,5,842
"Hagfish, Pacific",0,0,0,,0,,0,0,0,0,"19,103","9,525",0,0,"28,628"
"Hagfish, unspecified","3,228",792,"24,225",,"19,353",,"23,119","11,644","13,399","18,218","40,192","35,089","29,512","10,670","229,441"
"Halibut, California",0,0,0,,0,,86,0,39,82,0,0,76,21,303
Lingcod,"1,227",700,"1,970",,"5,987",,"18,616","18,184","5,199","6,494","6,770","24,404","15,023","4,894","109,466"
"Mackerel, jack",0,0,2,,0,,0,0,14,28,0,0,0,0,44
"Mackerel, Pacific",0,0,0,,0,,0,0,0,7,0,0,0,0,7
"Mackerel, unspecified",0,0,0,,0,,0,0,137,0,0,0,0,0,137
"Prickleback, monkeyface",0,0,0,,0,,6,0,0,0,0,0,0,0,6
(eel),,,,,,,,,,,,,,,
"Ratfish, spotted",0,0,124,,29,,0,0,0,0,0,0,0,0,153
"Rockfish, aurora",231,0,0,,0,,0,0,94,0,555,4,0,140,"1,024"
"Rockfish, bank",6,0,0,,0,,0,0,0,"21,443",0,"8,229","2,154","12,717","44,549"
"Rockfish, black",17,4,0,,0,,253,157,58,28,37,59,28,9,649
"Rockfish, black-and-yellow",78,79,0,,0,,175,174,407,268,778,425,160,4,"2,548"
"Rockfish, blackgill","4,104",2,283,,61,,343,3,"7,648","6,961","25,713","12,622","10,534",661,"68,934"
"Rockfish, blue",5,17,0,,0,,18,193,78,60,66,40,29,7,513
"Rockfish, bocaccio",0,0,"3,764",,"37,434",,"11,687","16,541","14,576","12,986",337,"66,629","24,997","21,812","210,762"
"Rockfish, brown",0,18,0,,0,,134,0,91,52,4,0,0,0,298
"Rockfish, canary",203,147,227,,618,,632,741,938,666,976,"1,222",910,536,"7,816"
"Rockfish, chilipepper",0,0,"71,583",,"78,432",,"11,941","25,964","18,585","8,275","1,862","47,689","36,656","21,530","322,517"
"Rockfish, China",140,179,0,,0,,168,90,348,579,129,365,94,44,"2,137"
"Rockfish, copper",156,593,0,,0,,521,778,"1,374",657,769,849,"1,231",683,"7,612"
"Rockfish, darkblotched",112,0,2,,0,,"20,334",0,562,407,98,"1,292","1,429","2,485","26,721"
Species,January,February,March,,April,,May,,June,July,,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,
"Rockfish, gopher",116,245,0,,0,,254,,157,359,,"1,396",277,"1,120",193,9,"4,125"
"Rockfish, grass",26,27,0,,0,,68,,211,276,,71,401,57,112,0,"1,248"
"Rockfish, greenblotched",0,0,0,,0,,0,,0,0,,0,0,17,0,0,17
"Rockfish, greenspotted",0,0,0,,0,,0,,0,7,,0,0,22,19,4,52
"Rockfish, greenstriped",0,0,0,,63,,0,,0,17,,0,0,0,0,0,80
"Rockfish, group bolina",0,0,0,,0,,0,,0,54,,122,8,69,0,0,253
"Rockfish, group red",0,0,0,,0,,0,,0,0,,0,0,0,41,0,41
"Rockfish, group shelf",3,3,0,,0,,977,,9,129,,3,1,0,23,0,"1,148"
"Rockfish, group slope",0,0,19,,20,,0,,1,"14,372",,"8,815","2,480","1,290",553,0,"27,550"
"Rockfish, group small",0,0,0,,0,,0,,0,0,,6,0,0,0,0,6
"Rockfish, olive",0,0,0,,0,,24,,0,7,,46,4,0,2,0,83
"Rockfish, Pacific ocean",0,0,0,,0,,0,,0,2,,0,0,0,0,0,2
perch,,,,,,,,,,,,,,,,,
"Rockfish, quillback",110,144,0,,0,,136,,306,359,,168,294,295,377,201,"2,391"
"Rockfish, redbanded",73,0,0,,281,,5,,0,116,,146,0,252,81,45,999
"Rockfish, rosethorn",12,0,0,,0,,40,,50,92,,32,25,11,51,19,330
"Rockfish, rosy",0,13,0,,0,,0,,63,2,,0,1,30,49,15,174
"Rockfish, rougheye",0,0,0,,0,,0,,0,39,,0,0,0,0,0,39
"Rockfish, shortbelly",0,0,188,,90,,0,,6,32,,0,22,0,0,0,338
"Rockfish, shortraker",0,0,0,,0,,6,,0,16,,8,0,35,0,0,65
"Rockfish, splitnose",334,0,24,,0,,0,,0,24,,0,649,553,532,210,"2,326"
"Rockfish, starry",0,0,0,,0,,2,,14,28,,12,16,13,48,13,146
"Rockfish, unspecified",0,0,0,,0,,0,,0,0,,0,11,0,0,0,11
"Rockfish, vermilion",221,164,0,,0,,618,,371,414,,926,727,436,499,188,"4,564"
"Rockfish, widow",4,0,25,,55,,15,,28,33,,16,24,215,23,66,504
"Rockfish, yelloweye",0,0,0,,1,,0,,0,0,,0,0,0,0,0,1
"Rockfish, yellowtail",4,2,2,,0,,122,,80,442,,99,"1,518","1,675",367,25,"4,335"
Sablefish,"35,060","12,097","36,752",,"87,493",,"125,746",,"15,190","83,643",,"100,539","91,673","121,369","101,790","39,109","850,460"
"Salmon, Chinook",0,0,0,,18,,105,,116,"88,395",,"52,284","3,215",25,0,0,"144,158"
Species,January,,February,March,,April,,May,,June,,July,,August,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,,
"Salmon, Roe (Chinook,",0,,0,0,,0,,0,,0,,4,,30,0,0,,0,0,34
Coho),,,,,,,,,,,,,,,,,,,,
Sanddab,0,,0,3,,224,,577,,346,,0,,0,0,0,,0,0,"1,150"
"Sanddab, Pacific",0,,0,19,,0,,0,,0,,627,,0,53,14,,0,0,713
"Sculpin, staghorn",0,,0,0,,0,,0,,0,,0,,2,3,0,,0,0,5
"Shad, American",0,,0,430,,123,,59,,119,,0,,0,0,0,,0,0,731
