California Waters - Finfish,,,,,,,,,,,,,
Species January,February,March,April,May,June,,July,August,September,October,November,December,Landings
"Barracuda, California 0",0,0,0,0,0,,0,7,0,0,0,0,7
Cabezon 602,55,0,0,613,"1,350",,978,"1,423",514,"1,086",656,35,"7,312"
Dolphin (fish) 0,0,0,0,0,0,,0,16,0,0,0,0,16
"Flounder, arrowtooth 0",0,23,0,0,0,,0,24,76,39,0,0,162
"Flounder, starry 0",0,0,0,0,0,,7,0,0,0,1,0,7
"Flounder, unspecified 0",0,0,0,0,0,,0,3,0,0,0,0,3
"Greenling, kelp 116",87,0,0,87,68,,122,210,99,78,108,15,989
"Greenling, rock 0",0,0,0,0,17,,15,16,0,13,16,0,76
"Hagfish, unspecified 5,950",0,"17,709",0,0,0,,0,0,0,0,0,0,"23,659"
"Halibut, California 0",0,0,0,0,0,,60,103,107,0,0,0,270
"Halibut, Pacific 0",0,0,0,0,269,,0,0,0,0,0,0,269
"Lingcod 1,277",485,"5,138","9,276","21,488","14,509",,"22,771","42,169","13,605","32,639","5,416","6,327","175,099"
"Mackerel, jack 0",0,9,0,0,3,,12,0,0,0,0,1,25
"Mackerel, Pacific 0",0,0,0,0,0,,11,84,0,0,0,1,96
"Mackerel, unspecified 0",0,0,0,0,13,,40,12,0,0,0,0,65
"Ratfish, spotted 1",0,0,0,0,0,,0,4,0,0,0,0,5
"Rockfish, aurora 150",0,18,4,45,37,,109,223,"1,015",130,0,0,"1,731"
"Rockfish, bank 0",0,339,"16,481",0,0,,0,0,"1,159","2,060",0,3,"20,042"
"Rockfish, black 59",8,0,0,107,78,,134,71,131,14,33,115,750
"Rockfish, black-and- 28",0,0,0,163,266,,299,539,131,251,405,48,"2,129"
yellow,,,,,,,,,,,,,
"Rockfish, blackgill 687",0,481,944,807,"1,775",,86,"3,092","7,023","8,515","11,081",574,"35,065"
"Rockfish, blue 162",0,0,0,11,98,73,,43,286,549,832,160,"2,216"
"Rockfish, bocaccio 76",0,"35,005","40,131","99,906","46,461",,"53,793","18,679","8,283","71,754","22,832","16,797","413,716"
"Rockfish, canary 569",41,"5,072",570,"6,272","8,653",,"6,989","10,757",563,"2,171","1,391","5,224","48,272"
"Rockfish, chilipepper 116",0,"55,948","23,049","68,147","65,037",,"87,840","166,066","25,930","63,364","28,943","29,982","614,422"
"Rockfish, China 58",2,0,0,109,259,,324,261,82,136,34,75,"1,340"
"Rockfish, copper 952",29,0,0,766,"1,683",,"1,573",781,946,"1,297","1,208",341,"9,575"
"Rockfish, cowcod 0",0,0,0,7,15,,16,32,15,20,24,14,143
"Rockfish, darkblotched 20",0,543,"1,940",872,600,,0,46,"2,950","1,640",756,57,"9,424"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Rockfish, flag",0,0,1,0,0,0,0,3,0,0,0,0,4
"Rockfish, gopher",278,146,0,0,261,725,392,864,261,288,286,99,"3,599"
"Rockfish, grass",0,0,0,0,169,76,85,545,174,264,277,79,"1,670"
"Rockfish, greenblotched",0,0,0,0,0,0,0,0,0,9,0,0,9
"Rockfish, greenspotted",0,0,2,0,17,24,17,3,10,0,6,0,79
"Rockfish, greenstriped",0,0,0,0,1,0,300,0,0,0,128,0,429
