"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Anchovy, northern................","90,544","152,371","275,330","1,593,621","4,053,620","190,162","309,783","902,288","402,821","73,792","16,077","3,297","8,063,706"
"Barracuda, California...........",83,46,18,4,"78,136","13,437","16,320","23,689","9,333",74,22,60,"141,222"
"Bass, giant sea....................",364,36,251,76,109,283,648,279,0,57,39,368,"2,509"
Blacksmith...........................,0,0,0,0,25,0,99,0,0,0,0,0,124
"Bonito, Pacific......................",0,0,0,0,0,426,36,0,0,0,0,0,462
Butterfish (Pacific pompano),329,208,279,2,0,40,3,0,0,0,0,0,861
Cabezon..............................,2,0,56,21,"1,088",129,144,53,0,0,0,0,"1,493"
"Croaker, white......................","6,232","4,739","13,290","12,171","6,305","5,220","4,210","3,046","3,788","12,275","5,822","9,498","86,595"
Dolphin (fish)........................,0,0,0,0,0,0,8,12,101,"2,106",10,0,"2,237"
"Eel, California moray............",36,0,0,0,7,15,0,0,0,0,0,0,57
Eel.......................................,0,0,0,0,0,7,0,0,0,0,0,54,61
Escolar.................................,0,0,0,0,0,0,0,0,0,59,0,0,59
"Fish, unspecified..................",0,10,0,1,381,0,0,0,0,0,0,0,392
"Flounder, unspecified...........",0,17,0,0,0,0,0,0,0,12,4,0,33
"Greenling, kelp.....................",0,0,0,0,0,6,0,0,0,0,0,0,6
Grenadiers...........................,0,0,10,0,0,0,0,0,0,0,0,0,10
"Grouper, broomtail...............",0,0,0,0,0,0,0,0,0,0,0,190,190
"Guitarfish, shovelnose.........",625,481,"1,021",582,"1,555",481,28,414,197,216,220,"1,309","7,129"
Halfmoon.............................,317,0,0,0,95,0,9,107,0,11,71,12,622
"Halibut, California.................","18,727","15,782","26,828","14,932","16,687","9,101","4,061","2,754","1,844","3,218","3,233","6,447","123,614"
"Halibut, unspecified..............",0,0,0,270,314,0,0,0,0,0,0,0,584
"Herring, Roe........................",25,0,0,0,0,0,0,0,0,0,0,0,25
"Herring, round......................",0,0,0,0,0,0,0,0,0,"5,286",0,0,"5,286"
Jacksmelt............................,"2,472",529,694,6,0,0,0,"3,138",35,"2,034","3,253","3,882","16,042"
Lingcod................................,0,0,94,75,28,330,17,408,21,280,27,0,"1,280"
"Lizardfish, California............",0,0,0,137,0,0,0,0,0,0,0,0,137
Louvar..................................,0,0,0,0,0,64,0,0,180,58,307,0,609
"Mackerel, Pacific..................","879,761","210,533","212,024","31,513","16,098","36,430","553,689","4,009,647","4,801,150","2,784,619","989,370","194,039","14,718,872"
"Mackerel, jack......................","418,069","162,075","590,890","1,321,615","2,132,841","35,129","99,861","1,156,283","600,731","827,942","502,704","140,987","7,989,127"
"Mackerel, unspecified..........",0,0,0,0,0,0,0,0,91,0,0,786,877
"Midshipman, plainfin............",0,0,0,0,0,0,0,0,2,0,0,0,2
Oilfish..................................,0,0,0,0,0,0,0,0,0,206,0,0,206
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Opah....................................,"1,246",0,0,0,"1,125",31,0,807,"1,405","5,845","7,306",222,"17,987"
Opaleye...............................,0,0,0,0,442,45,104,131,0,240,115,10,"1,087"
"Ray, Pacific electric.............",0,0,0,10,0,0,0,0,0,0,0,0,10
"Ray, bat...............................",0,0,0,0,0,0,200,0,0,0,0,0,200
"Ray, unspecified..................",0,0,0,0,308,28,77,156,0,0,0,0,569
"Rockfish, aurora...................",0,47,0,38,81,0,0,0,0,32,12,46,256
"Rockfish, bank.....................",0,19,8,0,256,106,238,379,122,4,0,0,"1,132"
"Rockfish, blackgill................",561,"1,214",200,0,"1,312",247,587,"3,030","2,980","4,939","2,020","2,586","19,676"
"Rockfish, blue......................",0,0,113,16,0,0,0,0,0,0,0,0,129
"Rockfish, bocaccio...............",0,1,443,225,385,349,369,259,667,"1,172",0,0,"3,870"
"Rockfish, bronzespotted......",0,0,0,0,0,0,11,0,0,0,0,0,11
"Rockfish, brown...................",0,0,134,49,0,0,0,0,41,0,0,0,224
"Rockfish, chilipepper............",0,0,0,59,24,10,54,536,606,0,0,0,"1,289"
"Rockfish, copper..................",0,0,207,87,218,61,41,62,134,0,0,167,977
"Rockfish, flag.......................",0,0,0,21,0,0,0,0,0,0,0,0,21
"Rockfish, gopher..................",0,0,0,0,25,0,0,0,0,0,0,0,25
"Rockfish, grass....................",0,0,0,36,239,0,0,0,0,0,0,0,275
"Rockfish, greenblotched......",0,0,0,0,92,92,197,587,53,0,0,0,"1,021"
"Rockfish, greenspotted........",0,0,0,0,0,136,91,0,0,0,0,0,227
"Rockfish, greenstriped.........",0,0,0,0,0,0,47,215,48,0,0,0,310
"Rockfish, group gopher........",0,0,0,0,0,0,0,0,0,0,1,0,1
"Rockfish, group red..............",14,14,716,547,"1,282",903,739,736,476,688,6,0,"6,120"
"Rockfish, group slope..........",0,0,0,0,0,0,0,0,0,12,0,0,12
"Rockfish, olive......................",0,0,225,0,0,116,236,43,59,0,0,0,679
"Rockfish, splitnose...............",51,100,0,0,126,103,107,114,0,50,53,29,733
"Rockfish, treefish.................",0,0,0,0,0,0,0,0,0,11,6,0,17
"Rockfish, unspecified...........",275,77,407,24,29,124,183,166,486,"1,237",44,0,"3,051"
"Rockfish, widow...................",0,0,835,370,720,0,0,0,0,0,0,0,"1,925"
"Rockfish, yelloweye.............",0,0,72,0,0,0,0,0,0,0,0,0,72
Sablefish..............................,"11,436","5,319","7,968","6,112","9,797","5,076","7,184","9,152","11,015","7,675","6,580","14,569","101,882"
"Salmon, chinook..................",0,0,0,0,703,0,0,0,0,0,0,0,703
"Sanddab, Pacific..................",0,0,0,0,0,0,0,6,0,0,0,0,6
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Sanddab, longfin..................",0,0,0,0,44,0,0,0,0,0,0,0,44
Sanddab..............................,789,697,"1,142","1,084","1,290","1,693","1,417","1,616","1,466","1,116",519,464,"13,293"
"Sardine, Pacific....................","16,418,655","12,260,986","13,579,521","3,810,194","7,559,963","2,330,840","2,693,198","8,489,290","8,288,763","6,958,901","4,121,898","3,095,845","89,608,054"
Sargo...................................,0,0,0,0,0,0,0,40,14,284,8,0,346
"Scorpionfish, California........",382,454,"1,899",506,"1,718","3,894","7,097","2,034","1,012",756,681,530,"20,963"
"Sculpin, yellowchin...............",0,0,0,0,2,0,0,0,0,0,0,0,2
"Seabass, white....................","2,605",22,"1,709",829,"2,900","60,116","16,526","1,306",850,160,150,97,"87,269"
"Shark, Pacific angel.............",27,105,210,123,38,0,58,0,207,15,136,172,"1,090"
"Shark, bigeye thresher.........",0,0,0,0,0,0,0,546,297,0,0,0,843
"Shark, blue..........................",0,0,0,0,0,9,0,0,0,0,0,0,9
"Shark, brown smoothhound.",0,0,0,7,0,0,0,0,0,187,0,47,241
"Shark, gray smoothhound....",0,0,50,0,222,192,200,0,0,24,0,0,688
"Shark, leopard.....................",379,240,641,921,568,408,359,382,639,692,69,25,"5,322"
"Shark, pelagic thresher........","1,663",0,0,0,0,0,0,0,0,0,0,0,"1,663"
"Shark, shortfin mako............",357,0,0,0,"1,014","3,154","1,179","1,595","2,965","3,407","2,439",265,"16,375"
"Shark, soupfin......................",690,182,"3,934",888,"1,086","6,623","2,917",530,241,70,525,"1,238","18,922"
"Shark, spiny dogfish.............","1,813",948,0,0,211,104,272,0,0,0,0,0,"3,348"
"Shark, thresher....................","5,907","2,125",525,"1,556","64,192","5,303","3,443","3,948","2,938","8,963","23,597","10,695","133,192"
"Shark, unspecified...............",0,20,20,65,10,0,0,0,0,0,144,3,262
"Sheephead, California..........",987,299,"3,768","2,039","6,850","4,512","3,573","4,305","4,540","2,343","2,488",9,"35,713"
Silversides...........................,0,0,0,0,0,"1,003",473,63,692,605,0,0,"2,836"
"Skate, unspecified...............",573,728,"1,840","2,114","1,056",800,935,765,337,486,370,824,"10,827"
"Smelt, surf...........................",0,0,0,0,0,0,0,0,583,0,0,0,583
"Smelt, whitebait...................",0,0,0,0,0,115,0,0,0,0,0,0,115
"Sole, Dover..........................",170,0,0,0,69,0,103,0,9,0,0,0,351
"Sole, English........................",0,0,0,0,1,0,0,0,0,0,0,0,1
"Sole, petrale.........................",14,0,0,0,223,0,0,0,0,0,0,0,237
"Sole, rex..............................",0,0,55,0,47,5,0,0,0,0,4,0,111
"Sole, rock.............................",0,0,0,0,0,0,0,0,0,10,0,0,10
"Sole, unspecified.................","2,379","2,028","2,117","1,293","1,210","1,307",746,911,907,"1,026",276,"1,182","15,381"
Stingray...............................,90,49,47,0,0,0,0,0,0,0,0,0,186
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Surfperch, rubberlip.............",0,0,0,0,0,0,0,20,0,0,0,0,20
"Surfperch, unspecified.........",103,0,50,0,37,0,0,0,115,6,125,70,506
Swordfish.............................,"5,425",223,0,0,277,"3,327","11,685","22,432","27,445","82,841","75,984","8,097","237,736"
"Thornyhead, longspine.........",223,"1,145","1,519",324,"1,470","1,138",895,291,44,0,7,"1,166","8,222"
"Thornyhead, shortspine.......","1,991","2,230","1,655",250,"1,942","1,630","1,711","5,234","2,659",759,841,"3,984","24,885"
Thornyheads........................,"2,867","1,523","2,071","1,089",92,168,35,262,"1,000","1,722","1,932",249,"13,009"
"Tomcod, Pacific...................",0,0,0,78,0,0,0,0,0,0,0,0,78
Topsmelt..............................,0,0,0,0,0,0,0,406,0,0,0,0,406
"Tuna, albacore.....................",0,0,0,0,0,"6,273","125,519","3,674","83,369","199,219","397,694",292,"816,040"
"Tuna, bigeye........................",0,689,0,0,0,0,0,0,0,639,216,0,"1,544"
"Tuna, bluefin........................",358,0,0,0,0,11,142,0,"1,396","116,976","1,214","41,523","161,620"
"Tuna, skipjack......................",0,0,0,0,0,0,0,8,349,477,34,0,868
"Tuna, unspecified................",0,0,0,0,0,0,0,0,699,75,89,0,863
"Tuna, yellowfin.....................",0,0,0,0,0,0,45,"211,086","661,073","264,550",451,0,"1,137,205"
Turbot..................................,0,0,0,89,0,0,1,0,0,0,0,0,90
Wahoo.................................,0,588,0,0,0,0,0,0,0,0,0,0,588
"Whitefish, ocean..................",38,17,926,159,2,0,165,0,199,148,685,0,"2,338"
"Whiting, Pacific....................",0,0,0,7,4,0,43,101,223,17,18,0,413
Yellowtail.............................,"1,142",0,236,0,"1,794","10,719","6,567","7,475","7,894","16,436",968,"1,366","54,596"
Crustaceans,,,,,,,,,,,,,
"Crab, Dungeness.................",0,0,14,0,0,0,0,0,0,0,0,0,14
"Crab, box.............................",0,0,356,0,238,611,187,368,0,0,0,130,"1,890"
"Crab, claws..........................",48,174,30,44,26,18,0,31,20,62,92,194,739
"Crab, king............................",2,0,0,109,193,3,0,0,0,0,0,0,307
"Crab, red rock......................",0,0,0,0,0,0,0,"1,426",0,0,0,0,"1,426"
"Crab, rock unspecified.........","6,128","10,424","12,908","13,709","12,582","15,385","14,885","14,790","7,937","8,099","6,113","6,847","129,807"
"Crab, sand...........................",0,0,0,0,2,14,6,0,27,0,0,0,50
"Crab, spider.........................","2,403","2,254","3,324","1,381","1,876","2,401","3,038","3,021","2,821","2,414","2,675","3,073","30,679"
"Crab, yellow rock.................",0,0,0,0,0,75,25,0,0,0,0,4,104
"Lobster, California spiny.......","28,187","27,920","10,395",0,0,0,0,0,0,"73,291","44,363","23,802","207,958"
"Prawn, ridgeback.................","22,061","9,588","10,694","4,023",660,523,"4,990",0,0,0,387,120,"53,045"
"Prawn, spot..........................",18,"2,550","4,375","4,418","7,858","10,159","7,504","8,350","8,560","6,649",0,0,"60,442"
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Crustaceans,,,,,,,,,,,,,
"Shrimp, ghost......................",0,0,0,10,0,0,0,0,6,3,12,0,30
"Shrimp, mantis.....................",598,"1,147","2,196","2,740",434,0,0,0,0,0,0,532,"7,645"
"Shrimp, unspecified.............",125,2,0,0,0,0,0,0,0,0,0,0,127
Echinoderms,,,,,,,,,,,,,
"Sea cucumber, unspecified..","2,233","3,483","12,392","14,316","34,169","42,813","33,255","15,669","10,126","1,137",0,100,"169,692"
"Urchin, purple sea................",0,0,517,1,1,0,0,0,0,20,0,132,671
"Urchin, red...........................","307,862","303,037","429,662","344,629","480,088","280,331","143,952","276,658","290,970","592,306","402,437","367,971","4,219,902"
Mollusks,,,,,,,,,,,,,
"Clam, California jackknife....",0,17,54,91,121,158,128,140,111,56,81,32,989
"Clam, gaper.........................",17,0,0,0,0,0,0,0,0,0,0,0,17
"Clam, northern razor............",0,0,0,0,0,0,0,0,3,0,0,0,3
Mussel.................................,0,200,156,7,95,425,16,731,0,0,7,400,"2,037"
"Octopus, unspecified...........",105,262,137,156,210,184,14,92,22,7,18,16,"1,222"
"Scallop, unspecified.............",0,0,457,0,0,0,0,0,0,0,0,0,457
Sea hare..............................,0,0,0,0,0,0,0,0,268,15,250,277,810
"Snail, sea.............................",141,3,0,0,584,249,0,0,0,0,49,438,"1,464"
"Snail, top..............................",0,0,157,37,0,0,0,0,0,0,0,0,194
"Snails, moon........................",40,0,0,3,0,0,0,0,0,0,0,0,43
"Squid, market......................","12,207,749","9,128,052","3,400,383","583,541","515,904","932,398","1,602,291","670,403","640,412","11,492,563","21,373,406","23,761,662","86,308,764"
"Whelk, Kellet's.....................","1,711","1,502","1,522",284,"1,081",869,744,625,534,"1,331","1,821","3,731","15,755"
Plants,,,,,,,,,,,,,
"Algae, marine.......................",0,0,0,30,0,0,0,0,0,0,0,0,30
Worms,,,,,,,,,,,,,
"Worms, marine....................",8,3,12,89,13,13,15,4,6,12,5,0,178
Waters Area Total:,"30,460,227","22,319,531","18,625,786","7,775,849","15,028,918","4,028,659","5,689,732","15,869,122","15,893,133","23,575,020","28,002,579","27,716,162","214,984,716"
Other Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Bass, giant sea....................",0,0,0,0,0,0,0,0,97,0,0,0,97
"Bonito, Pacific......................",0,0,0,0,0,0,0,0,440,0,0,0,440
Dolphin (fish)........................,94,0,0,631,"1,664",0,0,530,0,"18,434",0,0,"21,353"
Escolar.................................,0,130,0,274,"1,442",0,0,229,0,707,976,0,"3,758"
"Halibut, California.................",0,0,0,0,0,0,0,0,66,0,0,0,66
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
Other Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Halibut, unspecified..............",0,0,0,0,0,11,0,0,0,0,0,0,11
Louvar..................................,0,0,0,0,0,0,0,0,0,"5,240",0,0,"5,240"
Oilfish..................................,579,0,0,0,0,0,0,333,0,0,0,0,912
Opah....................................,0,0,0,0,0,0,0,132,0,666,0,0,798
"Rockfish, aurora...................",0,0,6,58,0,0,0,0,0,0,0,0,64
"Rockfish, blackgill................",0,0,661,"1,015",0,484,0,0,0,0,0,0,"2,160"
"Rockfish, group red..............",0,0,0,0,0,0,0,0,28,0,0,0,28
"Rockfish, splitnose...............",0,0,21,77,0,29,0,0,0,0,0,0,127
"Rockfish, unspecified...........",0,0,0,0,0,0,0,0,35,0,0,0,35
Sablefish..............................,0,0,27,16,0,53,0,20,0,0,0,0,116
"Sardine, Pacific....................",0,0,"79,755",0,0,0,0,0,0,0,0,0,"79,755"
"Scorpionfish, California........",0,0,0,0,0,0,0,0,33,0,0,0,33
"Seabass, white....................",0,0,0,0,463,0,0,119,0,0,0,0,582
"Shark, Pacific angel.............",0,0,0,0,0,0,0,0,27,0,0,0,27
"Shark, bigeye thresher.........","1,795",0,0,0,0,0,0,0,0,0,0,0,"1,795"
"Shark, shortfin mako............",64,790,223,0,0,0,0,518,119,"3,673",576,0,"5,963"
"Shark, soupfin......................",0,0,0,0,0,0,0,0,98,0,0,0,98
"Shark, thresher....................",0,0,0,0,0,0,0,700,158,0,0,0,858
