Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Anchovy, northern.............................",0,"43,896","453,961","754,384","420,628","1,827,749","345,434","138,716","103,134","129,881","56,707","118,011","4,392,501"
"Barracuda, California.........................",0,0,0,0,"9,149","25,968","34,509","1,846",32,5,122,0,"71,631"
"Bass, giant sea.................................",369,109,92,190,126,216,572,187,0,14,0,319,"2,194"
Blacksmith.........................................,0,0,7,0,50,0,0,0,0,0,0,0,57
"Bonito, Pacific...................................",0,147,85,0,0,0,0,500,"5,052",0,0,0,"5,784"
Butterfish (Pacific pompano).........,0,0,0,0,0,0,0,0,0,0,15,0,15
Cabezon............................................,47,75,76,0,31,200,159,104,20,0,0,19,730
"Croaker, white...................................","1,330","1,929","5,774","6,506","3,879","5,151","2,770","2,222","1,310","1,537","2,514","3,516","38,438"
"Eel, California moray.........................",0,5,0,0,0,0,0,0,0,0,0,0,5
"Guitarfish, shovelnose.......................","1,794","2,225","1,685",262,110,192,63,404,252,259,274,400,"7,920"
Halfmoon...........................................,0,7,92,3,80,0,32,93,5,68,54,15,449
"Halibut, California..............................","11,377","10,933","4,209","5,104","4,475","8,520","7,076","4,680","1,830","1,381","1,813","3,710","65,108"
Jacksmelt..........................................,1,13,202,0,108,16,126,825,"1,907",13,10,178,"3,399"
Kelpfishes.........................................,0,0,0,0,0,0,0,0,0,75,0,0,75
Lingcod.............................................,0,0,0,0,382,445,258,265,211,227,0,0,"1,788"
Louvar...............................................,0,0,0,0,0,0,0,150,0,0,0,0,150
"Mackerel, Pacific...............................","112,818","226,456","199,170","516,389","499,093","555,573","376,433","1,294,178","1,273,733","293,469","870,975","716,319","6,934,606"
"Mackerel, jack...................................","24,478","36,319","48,441","51,241","52,030","13,306","56,850","60,119","1,515","4,066","1,008","17,957","367,330"
"Midshipman, plainfin..........................",0,110,350,63,18,0,11,0,0,0,0,0,552
Opah.................................................,318,0,0,0,0,0,7,0,0,0,73,937,"1,335"
Opaleye.............................................,"1,889",900,508,778,298,326,897,"2,667","1,130","1,096",266,470,"11,224"
"Ray, Pacific electric...........................",0,0,0,78,95,0,0,0,0,0,0,0,173
"Ray, bat.............................................",34,153,438,"1,574","1,330",584,183,38,353,98,451,196,"5,432"
"Ray, unspecified................................",0,0,0,0,10,28,29,898,321,0,0,0,"1,286"
"Rockfish, Mexican.............................",0,0,0,0,0,0,0,3,0,0,0,0,3
"Rockfish, aurora................................",0,2,0,51,9,14,2,37,35,2,0,2,154
"Rockfish, bank..................................",165,36,0,0,128,149,0,46,48,41,0,125,738
"Rockfish, black..................................",2,0,0,0,0,0,0,0,0,0,0,0,2
"Rockfish, blackgill..............................",413,"1,174","1,128",935,869,810,"1,001",913,"1,086",655,445,864,"10,293"
"Rockfish, bocaccio............................",101,240,0,0,100,197,104,511,243,"2,266",92,168,"4,021"
"Rockfish, bronzespotted....................",48,0,0,0,0,0,0,0,0,0,0,188,236
"Rockfish, brown.................................",0,0,0,0,0,0,0,0,0,0,0,30,30
"Rockfish, chilipepper.........................",0,0,0,0,0,0,0,7,0,11,69,31,118
"Rockfish, copper...............................",99,130,0,0,97,0,43,147,94,231,56,67,964
"Rockfish, cowcod..............................",0,0,0,0,0,0,0,0,0,80,0,0,80
"Rockfish, gopher...............................",0,0,0,0,0,0,0,0,0,48,0,0,48
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, grass.................................",0,0,0,0,0,6,3,0,0,0,0,0,9
"Rockfish, group red...........................",753,"1,346",0,0,874,951,777,"1,504","1,258","1,203",840,"1,044","10,550"
"Rockfish, group slope........................",0,0,102,97,0,0,0,0,0,0,0,0,199
"Rockfish, kelp....................................",0,0,0,0,0,0,0,0,0,0,0,3,3
"Rockfish, olive...................................",0,253,0,0,0,78,169,0,0,0,53,0,553
"Rockfish, rosy...................................",0,0,0,0,0,0,0,14,0,0,0,0,14
"Rockfish, splitnose............................",0,0,26,45,0,28,14,0,0,0,0,0,113
"Rockfish, squarespot.........................",0,0,0,0,0,0,0,58,0,0,0,0,58
"Rockfish, treefish...............................",0,0,0,0,0,3,0,0,0,0,0,0,3
"Rockfish, unspecified........................",0,0,0,0,0,0,382,309,293,165,3,5,"1,157"
"Rockfish, vermilion............................",0,37,0,0,0,0,0,196,0,"3,453",0,0,"3,686"
"Rockfish, widow................................",0,0,0,0,0,0,0,0,0,75,0,0,75
Sablefish...........................................,"5,541","8,172","8,338","9,571","8,116","7,354","7,819","5,854","4,514","6,578","2,678","3,964","78,499"
Sanddab............................................,26,81,26,37,9,625,177,0,3,10,0,64,"1,057"
"Sardine, Pacific.................................","2,512,057","4,021,309","7,376,612","7,973,964","3,298,852","2,818,191","6,207,188","2,914,644","5,562,525","2,924,853","5,304,262","2,322,217","53,236,674"
Sargo................................................,0,0,0,0,4,0,0,9,0,0,0,0,13
"Scorpionfish, California.....................",456,628,38,0,"1,148","1,212","1,286","1,194","1,413",385,"1,394",636,"9,789"
"Seabass, white..................................",0,485,"16,642",104,203,"28,522","37,323","13,103",0,0,0,0,"96,382"
Senorita.............................................,0,0,0,0,0,0,0,0,0,10,0,0,10
"Shark, Pacific angel..........................",23,15,28,0,0,0,0,0,0,0,0,0,66
"Shark, bigeye thresher......................",0,0,0,0,0,0,0,0,0,490,"4,494",0,"4,984"
"Shark, brown smoothhound...............",21,0,6,0,5,5,35,0,0,0,0,30,102
"Shark, gray smoothhound.................",180,125,130,55,60,240,0,15,16,15,40,70,946
"Shark, horn.......................................",0,0,0,0,0,8,0,0,0,0,0,5,13
"Shark, leopard...................................",436,266,294,244,380,529,445,390,30,117,15,63,"3,209"
"Shark, pelagic thresher.....................",0,0,0,0,0,0,0,0,0,0,539,0,539
"Shark, shortfin mako.........................",67,128,66,116,64,"3,049","5,581","2,130",136,316,743,454,"12,850"
"Shark, soupfin...................................",532,73,220,"1,146","1,094","2,028",431,332,139,133,103,311,"6,542"
"Shark, spiny dogfish..........................",0,0,0,577,"6,544","4,891","3,057","1,036",0,0,0,0,"16,105"
