Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Anchovy , northern.......................",0,0,550,0,"6,297","6,806","2,315","1,399",73,"6,089",261,0,"23,789"
"Barracuda, California...................",0,0,0,0,"10,855","1,623","2,322",0,0,0,0,0,"14,800"
"Bass, giant sea.............................",24,0,0,0,0,142,0,0,0,0,0,0,166
"Bonito, Pacific...............................",0,0,0,0,0,0,0,253,0,0,0,0,253
Butterfish (Pacific pompano).....,35,411,123,44,0,0,0,0,0,56,0,30,699
Cabezon..........................................,57,21,0,0,83,0,0,59,24,5,4,41,293
"Croaker, white...............................",0,0,120,0,0,0,0,0,0,117,0,0,237
Dolphin (fish).................................,0,0,0,0,0,0,26,28,14,37,0,0,105
"Eel, California moray ....................",363,0,0,0,0,0,0,0,0,281,0,0,644
Eel....................................................,96,100,30,0,0,0,0,233,308,0,0,0,767
"Fish, unspecified..........................",33,35,0,0,0,0,0,0,0,13,0,0,81
Fly ingfish........................................,0,0,0,0,0,0,0,20,0,0,0,0,20
"Greenling, rock..............................",0,0,0,0,0,0,0,11,18,0,0,0,29
Grenadier........................................,0,0,63,0,0,0,0,0,0,0,192,293,548
"Guitarfish, shovelnose...............",7,0,0,0,0,4,0,0,0,0,0,0,11
Hagfishes .......................................,"1,591",0,"8,708","13,656","11,132","10,913","10,300","9,153","1,917","8,445","8,178","6,428","90,421"
"Halibut, California.........................","2,582",387,"1,235","1,926","1,271",966,"1,358","1,242",533,404,554,183,"12,640"
Lingcod...........................................,0,0,0,0,58,30,0,52,15,93,60,170,476
"Lizardfish, California....................",0,3,24,0,0,3,"2,928",0,0,143,0,30,"3,131"
"Mackerel, Pacific..........................",0,"5,344","42,197","368,752","647,904","55,241","25,051","695,780","1,628,730","9,113,127","4,579,492","630,882","17,792,499"
"Mackerel, jack...............................",0,0,"30,705","78,914","301,016","25,764","19,806","10,294","29,842","734,814","661,611","72,293","1,965,059"
"Mackerel, unspecified.................",0,0,0,0,118,328,86,534,607,663,718,0,"3,053"
"Midshipman, plainfin....................",0,0,0,88,9,0,190,54,0,0,0,0,341
Opah................................................,89,0,0,0,0,0,0,0,324,0,"1,055",507,"1,975"
Opaleye..........................................,0,0,0,0,0,2,1,4,0,0,0,0,7
"Ray , Pacific electric....................",0,0,0,0,0,0,135,0,0,140,60,0,335
"Ray , bat..........................................",108,316,0,0,"1,606",101,"3,542",0,265,136,25,0,"6,099"
"Ray , unspecified..........................",0,0,0,0,0,0,0,0,0,0,17,0,17
"Rockfish, China.............................",0,31,0,0,0,0,0,0,0,0,0,0,31
"Rockfish, aurora...........................",0,0,0,0,0,0,0,0,3,0,26,33,62
"Rockfish, bank..............................",12,0,0,0,0,0,0,0,21,0,0,0,33
"Rockfish, blackgill........................",94,0,816,120,"1,599",120,335,714,83,705,489,461,"5,536"
"Rockfish, blue...............................",0,0,0,0,0,0,0,0,13,0,0,3,16
"Rockfish, bocaccio......................",108,63,0,61,495,112,283,401,396,170,194,650,"2,935"
"Rockfish, brown............................",4,0,0,0,31,13,0,0,0,0,6,0,54
"Rockfish, chilipepper...................",2,0,0,0,2,0,0,1,9,2,1,26,44
Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, copper..........................",105,22,0,0,61,44,0,14,106,45,107,37,541
"Rockfish, flag................................",5,11,0,0,13,4,14,25,24,23,9,32,161
"Rockfish, grass .............................",31,0,0,0,16,0,3,0,0,0,0,0,50
"Rockfish, greenspotted..............",6,13,0,0,176,25,137,165,144,81,49,202,998
"Rockfish, greens triped................",1,0,0,0,4,2,2,11,14,15,7,5,62
"Rockfish, group red.....................",14,0,0,72,281,0,0,0,0,0,26,7,400
"Rockfish, group shelf..................",174,253,0,0,175,391,0,150,247,497,243,242,"2,372"
"Rockfish, honeycomb..................",0,0,0,0,11,0,0,14,14,4,1,8,52
"Rockfish, kelp................................",0,8,0,0,0,0,0,47,94,0,0,0,149
"Rockfish, oliv e..............................",0,8,0,0,0,0,0,0,0,0,0,0,8
"Rockfish, pinkrose.......................",0,0,0,0,0,0,0,22,36,4,29,7,97
"Rockfish, rosy ...............................",0,0,0,0,95,12,43,23,42,42,43,53,351
"Rockfish, speckled......................",1,0,0,0,4,0,0,1,6,5,1,1,19
"Rockfish, splitnose......................",0,0,0,0,0,0,0,26,0,0,0,0,26
"Rockfish, squarespot..................",2,0,15,0,16,11,20,32,0,14,0,0,108
"Rockfish, s tarry ............................",4,0,0,0,130,18,53,34,161,58,41,113,612
"Rockfish, unspecified.................",0,0,0,0,0,0,0,0,0,0,0,14,14
"Rockfish, v ermilion.......................",56,89,0,72,474,170,315,223,285,75,115,743,"2,618"
"Rockfish, widow............................",37,3,0,0,11,1,27,16,42,3,80,33,251
"Rockfish, y ellowtail......................",0,0,0,0,81,2,23,0,36,0,4,3,148
Sablefish........................................,"8,881","11,663","9,320","8,899","8,419","10,198","8,052","8,593","8,274","6,301","13,288","12,751","114,637"
"Sanddab, Pacific..........................",0,24,0,0,49,36,80,63,0,0,0,0,252
Sanddab.........................................,152,10,"1,075",179,779,"1,535","1,051","1,252",965,642,758,"1,175","9,573"
"Sardine, Pacific............................",0,0,"55,873","1,545,331","3,474,636","174,972","57,518","1,625,011","1,237,779","3,110,616","1,865,492","138,710","13,285,938"
Sargo...............................................,0,0,0,0,4,0,0,0,0,0,0,0,4
"Scorpionfish, California..............",226,316,93,0,998,"1,694",998,751,78,3,3,38,"5,195"
"Seabass, white.............................",0,65,107,0,44,"18,440","2,614",64,45,23,52,0,"21,454"
"Shark, Pacific angel....................",0,0,0,0,80,100,0,0,0,65,119,0,364
"Shark, bigeye thresher...............",0,0,0,0,0,0,0,0,0,0,575,68,643
"Shark, gray  smoothhound..........",7,0,0,0,0,1,0,0,0,0,0,20,28
"Shark, horn.....................................",0,0,0,0,0,0,0,0,0,20,30,0,50
"Shark, leopard...............................",0,20,12,0,0,29,0,0,0,0,0,18,79
