Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Anchovy, northern........................",0,"3,876,967","3,207,018","1,403,838","1,371,169","5,203",0,0,0,522,0,0,,"9,864,717"
"Barracuda, California...................",0,0,0,0,0,34,45,0,0,0,0,0,,79
"Bass, giant sea.............................",0,375,16,77,383,582,666,34,93,0,0,0,,"2,226"
"Bonito, Pacific...............................",0,0,0,0,195,511,"20,937","192,559",0,32,0,0,,"214,234"
Butterfish (Pacific pompano).....,0,242,0,4,0,0,0,0,0,0,0,0,,246
Cabezon..........................................,0,0,27,0,0,0,0,0,0,0,0,0,,27
"Croaker, white................................",0,692,0,0,0,0,0,0,0,0,0,328,,"1,020"
Dolphin (fish).................................,0,0,195,0,0,0,43,0,0,0,0,0,,238
"Eel, California moray....................",129,0,0,0,0,0,43,0,5,0,0,0,,177
"Fish, unspecified..........................",60,0,0,13,0,0,30,16,0,0,0,3,,122
"Flounder, unspecified..................",0,0,0,0,0,0,0,0,0,38,0,0,,38
"Goby, yellowfin.............................",470,0,0,0,0,0,0,0,0,0,0,0,,470
Grenadier........................................,0,0,0,0,0,2,0,0,0,0,0,0,,2
"Guitarfish, shovelnose................",0,12,20,15,10,0,0,0,0,0,935,0,,992
Hagfishes.......................................,"28,729","19,672","17,724","19,314","19,995","12,302","1,326",629,0,"12,797","22,041","31,658",,"186,187"
"Halibut, California.........................",150,"1,074","2,580","5,116","9,657","4,908","4,527","3,507","1,157",95,466,228,,"33,463"
"Herring, round................................",0,"31,488",0,0,0,0,0,0,0,0,0,0,,"31,488"
Jacksmelt........................................,0,"2,651",0,"1,351",924,0,0,0,0,0,0,0,,"4,926"
Lingcod............................................,0,22,0,0,0,40,16,0,0,5,0,0,,82
"Lizardfish, California....................","2,171","1,654",144,392,"2,346",0,0,6,0,0,0,185,,"6,898"
"Mackerel, Pacific..........................","2,492","126,039","8,881","52,430","224,351","950,106","338,958","388,526","99,915","231,006","731,151","59,323",,"3,213,178"
"Mackerel, jack................................",0,0,832,0,"67,524","94,279","5,372","51,341","28,435","89,581","69,254","1,739",,"408,357"
"Mackerel, unspecified.................",0,0,0,130,0,109,16,0,0,0,14,88,,357
Opah................................................,592,0,"5,735",0,"1,592",590,0,0,"2,057","1,155",785,312,,"12,818"
Opaleye...........................................,0,77,15,171,158,228,0,3,60,0,0,48,,760
"Ray, bat...........................................",0,"1,499",57,366,"2,183",975,"1,954","3,431",883,15,"2,692","4,380",,"18,435"
"Rockfish, aurora............................",300,118,47,175,505,219,171,202,71,253,205,98,,"2,362"
"Rockfish, bank...............................",0,0,0,0,0,0,46,0,0,0,0,130,,176
"Rockfish, black..............................",0,0,0,0,0,0,0,9,0,0,0,0,,9
"Rockfish, blackgill........................",713,716,"1,835",699,404,128,861,"1,119","1,034",702,739,829,,"9,777"
"Rockfish, bocaccio......................",98,359,0,0,34,126,152,26,46,84,3,772,,"1,701"
"Rockfish, chilipepper...................",3,2,0,0,4,3,0,0,4,1,0,3,,20
"Rockfish, copper...........................",28,23,0,0,0,0,39,21,0,23,0,0,,134
"Rockfish, flag.................................",24,71,0,0,8,31,27,4,4,10,1,46,,225
"Rockfish, grass.............................",0,0,0,0,0,1,0,0,0,0,0,0,,1
"Rockfish, greenspotted...............",45,254,0,0,84,331,241,99,43,151,76,96,,"1,420"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, greenstriped................",5,2,0,0,8,14,6,1,4,19,21,10,89
"Rockfish, group shelf..................",277,387,0,0,0,0,457,226,0,422,0,0,"1,769"
"Rockfish, honeycomb..................",2,0,0,0,0,7,0,0,4,0,0,0,12
"Rockfish, olive...............................",2,16,0,0,0,0,0,0,0,2,0,0,20
"Rockfish, rosy...............................",1,112,0,0,0,0,0,0,0,0,0,0,113
"Rockfish, speckled.......................",12,2,0,0,0,2,2,2,0,8,0,30,58
"Rockfish, squarespot..................",6,0,0,0,0,1,8,0,0,1,1,0,17
"Rockfish, starry.............................",10,327,0,0,0,111,64,116,0,23,0,22,673
"Rockfish, treefish.........................",0,2,0,0,0,0,0,0,0,0,0,0,2
"Rockfish, vermilion.......................",158,324,0,0,427,365,236,112,239,100,41,703,"2,705"
"Rockfish, widow............................",11,461,0,0,0,45,0,0,0,0,0,1,518
Sablefish.........................................,"4,517","4,319","6,666","2,487","3,023","2,487","3,052","5,016","4,552","6,976","11,034","8,112","62,241"
Sanddab..........................................,12,80,515,118,431,776,"1,450",949,"1,107","1,965","1,390",72,"8,864"
"Sardine, Pacific.............................",0,"68,186","3,874","6,682","51,424","56,608","20,228","10,474","7,039","64,441","20,313","12,292","321,561"
Sargo...............................................,0,0,0,0,10,1,19,4,0,0,0,0,34
"Scorpionfish, California...............",0,70,34,20,543,827,"1,490","1,031",497,247,257,0,"5,016"
"Seabass, white.............................",16,"9,047","1,748",67,552,"53,776","11,599",0,0,0,0,48,"76,852"
"Shark, Pacific angel.....................",0,20,22,0,0,0,0,40,0,0,687,0,769
"Shark, bigeye thresher................",0,0,0,0,0,0,0,0,88,162,0,140,390
"Shark, gray smoothhound..........",0,0,0,0,2,0,0,0,0,0,0,0,2
"Shark, leopard...............................",0,"1,797",0,985,948,213,70,256,37,0,633,519,"5,458"
"Shark, pelagic thresher...............",0,0,0,0,0,0,0,0,0,94,0,0,94
"Shark, shortfin mako....................",87,330,0,16,769,964,121,40,166,680,296,332,"3,800"
"Shark, soupfin...............................",0,371,20,100,634,471,57,102,42,0,195,976,"2,968"
"Shark, thresher..............................","2,788",60,52,32,"2,049","1,622","1,391",559,345,527,0,"3,122","12,547"
"Sheephead, California.................",269,"1,532",0,0,"1,303","2,498","1,575",902,580,163,318,295,"9,435"
"Skate, longnose............................",0,26,0,0,0,0,0,0,0,0,0,0,26
"Skate, unspecified.......................",101,181,323,266,65,0,0,0,12,721,51,0,"1,720"
"Sole, Dover.....................................",228,269,76,277,61,81,90,135,46,105,93,87,"1,546"
"Sole, petrale...................................",0,0,0,0,0,0,5,21,2,0,0,0,28
"Sole, rex..........................................",132,"1,096",0,0,349,0,0,0,0,0,5,0,"1,582"
"Sole, unspecified..........................","1,140","1,027",588,671,216,0,17,5,0,20,75,291,"4,050"
Splittail............................................,0,0,0,0,0,0,23,0,0,0,0,0,23
Stingray...........................................,0,110,0,0,710,0,0,0,0,0,0,0,820
Swordfish........................................,"8,961",85,369,0,"3,065","5,329","13,538","3,441","5,673","16,373","13,362","27,183","97,379"
"Thornyhead, longspine...............",223,232,435,378,409,423,414,247,299,322,616,344,"4,340"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
