"",,,,,,,,,,,,,,,,,,,Total
Species,January,February,March,April,,May,,June,,July,,August,,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,
"Anchovy, northern","3,722","2,624","1,122",0,,0,,0,,0,,0,,0,0,,0,0,"7,468"
"Barracuda, California",0,0,0,0,,0,,295,,0,,5,,0,0,,0,0,300
"Bass, giant sea",75,4,12,12,,0,,625,,"1,160",,685,,20,15,,128,0,"2,736"
Blacksmith,0,0,0,0,,0,,0,,30,,0,,0,0,,0,0,30
"Bonito, Pacific",0,0,"63,697",0,,0,,0,,"884,227",,"515,196",,221,"16,418",,59,0,"1,479,818"
Cabezon,0,0,0,0,,0,,0,,0,,0,,217,0,,0,0,217
"Croaker, white",0,1,0,37,,0,,0,,0,,0,,0,0,,0,65,103
Dolphin (fish),0,0,84,0,,0,,0,,6,,357,,364,0,,53,0,864
Eel,0,0,0,100,,90,,0,,0,,0,,0,0,,0,0,190
Escolar,0,0,0,0,,0,,0,,0,,0,,0,0,,0,49,49
"Flounder, arrowtooth",0,0,0,0,,0,,76,,39,,0,,0,0,,0,0,115
"Flounder, unspecified",0,0,0,0,,0,,0,,0,,0,,0,0,,1,0,1
Flyingfish,0,0,0,0,,0,,0,,0,,475,,846,0,,0,0,"1,321"
Grenadier,0,24,0,0,,0,,0,,0,,0,,0,0,,0,0,24
"Guitarfish, shovelnose",101,0,0,6,,4,,0,,0,,0,,0,0,,15,0,126
"Hagfish, Pacific",0,0,0,0,,"1,796",,0,,"4,130",,0,,899,"5,813",,"12,003","3,616","28,257"
"Hagfish, unspecified","6,757","7,168","19,470","22,164",,"18,696",,"12,654",,0,,0,,0,0,,150,0,"87,059"
Halfmoon,0,0,0,0,,0,,0,,0,,0,,0,0,,11,0,11
"Halibut, California","4,127","3,871","2,852","7,313",,"1,077",,"9,164",,"8,342",,"5,917",,"1,030",512,,"2,011",592,"46,807"
"Halibut, unspecified",6,0,7,0,,0,,0,,0,,0,,0,0,,0,0,13
Jacksmelt,60,0,0,0,,0,,0,,0,,0,,0,0,,0,0,60
Lingcod,0,0,0,0,,69,,69,,119,,15,,18,307,,69,105,770
"Lizardfish, California",0,100,0,163,,20,,0,,0,,0,,0,0,,0,0,283
"Mackerel, jack",100,"57,739",0,0,,0,,"29,985",,"2,899",,0,,65,0,,0,"5,210","95,998"
"Mackerel, Pacific","185,857","126,478","6,179",41,,"1,371",,"645,228",,"1,293,302",,"882,839",,"776,984","63,410",,"80,586","163,188","4,225,463"
"Mackerel, unspecified","1,334",537,146,27,,0,,"1,651",,105,,0,,0,"5,008",,5,0,"8,813"
"Midshipman, plainfin",0,0,0,0,,0,,45,,85,,0,,0,10,,0,0,140
Opah,0,0,0,0,,0,,0,,0,,449,,0,0,,"3,094",956,"4,499"
Species,January,February,March,April,May,,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,
"Ray, bat","2,448","2,824","4,731","1,645",0,,"2,355","1,279",823,38,60,210,135,"16,548"
"Ray, Pacific electric",0,0,0,0,0,,0,15,10,0,0,0,0,25
"Ray, unspecified",0,45,0,0,0,,0,0,0,0,0,10,0,55
"Rockfish, aurora",293,127,72,137,166,,136,158,291,197,314,146,93,"2,130"
"Rockfish, bank",0,0,0,0,27,,48,45,0,63,403,13,0,598
"Rockfish, blackgill",806,484,821,580,887,,180,391,6,390,398,"1,432","1,508","7,883"
"Rockfish, bocaccio",2,8,0,0,404,,219,262,138,196,929,294,22,"2,475"
"Rockfish, chilipepper",17,0,0,0,0,,0,6,4,1,3,4,0,34
"Rockfish, flag",16,5,0,0,0,,0,2,14,3,8,0,0,47
"Rockfish, greenblotched",0,0,0,0,28,,11,73,118,99,79,86,116,610
"Rockfish, greenspotted",37,54,0,0,76,,15,39,46,8,0,15,0,290
"Rockfish, greenstriped",4,4,0,0,5,,12,12,4,12,13,10,0,75
"Rockfish, group red",0,0,0,0,0,,0,0,0,0,0,192,0,192
"Rockfish, group shelf",0,0,0,0,71,,98,0,17,7,333,210,237,972
"Rockfish, group slope",53,159,0,0,281,,36,0,0,0,0,0,0,529
"Rockfish, honeycomb",0,0,0,0,0,,0,0,0,3,0,0,0,3
"Rockfish, Mexican",0,0,0,0,0,,0,1,0,0,0,2,0,3
"Rockfish, rosethorn",0,0,0,0,0,,0,0,0,13,12,11,0,36
"Rockfish, speckled",0,0,0,0,1,,0,1,0,42,131,114,74,363
"Rockfish, squarespot",0,7,0,0,0,,0,0,0,2,1,0,0,10
"Rockfish, starry",111,94,0,0,161,,89,192,93,75,162,97,0,"1,074"
"Rockfish, vermilion",799,627,0,0,920,,"1,051",933,454,554,"2,437",354,101,"8,231"
"Rockfish, widow",145,27,0,0,234,,35,140,211,128,0,0,0,919
"Rockfish, yellowtail",0,0,0,0,0,,0,66,0,0,0,0,0,66
Sablefish,"4,342","4,063","9,180","1,750","1,473",,"5,168","3,108","4,992","3,219","7,152","3,035","1,696","49,178"
Sanddab,446,527,378,831,"1,531",,"2,437","1,405",812,443,833,338,562,"10,542"
"Sardine, Pacific","1,803","19,381",0,0,"1,109",,"8,775","25,212","135,658","16,274","21,730","32,704","23,358","286,004"
"Scorpionfish, California",128,82,0,0,277,,523,628,456,207,230,162,385,"3,078"
Species,January,February,March,April,,May,,June,July,August,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,
"Seabass, white","1,129",577,338,0,,0,,"58,283","15,980","3,945",0,0,,45,0,"80,298"
Senorita,0,0,0,0,,0,,0,44,0,0,0,,0,0,44
"Shark, bigeye thresher",0,0,0,0,,0,,0,0,0,108,0,,622,0,730
"Shark, brown",0,0,0,0,,0,,0,80,25,29,0,,0,0,134
smoothhound,,,,,,,,,,,,,,,,
"Shark, leopard",596,291,264,335,,0,,355,144,80,95,130,,155,0,"2,445"
"Shark, Pacific angel","1,401",641,603,"3,903",,7,,541,609,524,259,485,,"1,499",0,"10,472"
"Shark, sevengill",0,0,0,0,,0,,0,0,110,0,0,,0,0,110
