California Waters - Finfish,,,,,,,,,,,,,
Species January,February,March,April,May,June,,July,August,September,October,November,December,Landings
"Anchovy, northern 600",0,0,0,"3,650","11,250",,300,"3,980","1,700","2,500","20,318",730,"45,028"
"Bass, giant sea 20",41,36,34,0,"1,961",,"1,410",212,"1,787",0,61,65,"5,627"
"Bonito, Pacific 0",0,0,0,0,"1,193",,0,0,100,0,0,50,"1,343"
Butterfish (Pacific 0,0,0,0,20,0,,0,0,0,0,0,0,20
pompano),,,,,,,,,,,,,
Cabezon 0,0,0,0,128,142,,0,0,0,0,0,0,270
"Croaker, white 323",488,334,70,58,0,,100,0,0,0,0,0,"1,373"
"Croaker, yellowfin 0",0,0,0,0,0,,58,0,0,0,0,0,58
Dolphin (fish) 0,0,0,0,0,0,,0,0,0,0,22,0,22
Escolar 0,0,0,0,0,0,,0,0,0,70,0,0,70
"Fish, unspecified 30",0,0,0,0,0,,0,0,0,0,"4,885",0,"4,915"
"Flounder, unspecified 0",0,0,9,0,0,,0,0,0,0,0,0,9
Flyingfish 0,0,0,625,"1,239",828,,"1,250","3,134",644,171,0,0,"7,890"
Grenadier 0,0,0,1,0,0,,0,0,0,0,0,0,1
"Guitarfish, shovelnose 0",0,0,0,0,0,,0,0,0,0,0,15,15
"Hagfish, Pacific 1,142","1,070","24,544","5,947",0,0,,0,248,"5,208","6,672","7,248","6,373","58,452"
"Hagfish, unspecified 0",0,0,97,0,0,,116,75,65,133,0,0,486
Halfmoon 0,16,0,0,0,0,,0,0,0,0,0,0,16
"Halibut, California 2,320","2,743","2,983","6,295","10,927","11,485",,"8,249",812,"1,408",407,346,422,"48,396"
"Herring, round 0",0,0,0,0,0,,"2,960",0,"4,132","2,484",0,0,"9,576"
Lingcod 50,14,0,0,0,0,,7,25,102,541,271,77,"1,086"
"Lizardfish, California 0",150,116,0,0,0,,0,0,0,0,0,0,266
"Mackerel, jack 0",0,0,0,0,0,174,,"1,492","2,801","6,926","5,918",825,"18,136"
"Mackerel, Pacific 30,271","3,223",290,"1,404",611,"259,098","5,649,522",,"596,876","1,031,426","306,219","26,106","32,364","7,937,410"
"Mackerel, unspecified 0",0,36,5,700,0,,0,0,0,0,300,0,"1,041"
"Midshipman, plainfin 0",0,0,0,0,0,,2,0,0,0,2,0,4
"Opah 2,406",0,0,0,0,0,,0,0,"4,948",82,0,0,"7,436"
Queenfish 0,0,0,0,100,0,,0,0,0,0,0,0,100
"Ray, bat 2,146","1,023",325,866,"1,931",915,,490,260,205,28,200,51,"8,440"
"Rockfish, aurora 72",401,132,328,187,0,,24,39,0,0,5,129,"1,317"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Rockfish, bank",0,16,10,10,6,0,0,6,0,0,0,0,48
"Rockfish, blackgill","1,710",604,"1,302",794,"1,619",658,863,76,0,0,327,"1,509","9,461"
"Rockfish, blue",18,0,0,0,0,0,0,0,0,0,0,0,18
"Rockfish, bocaccio",247,"1,127",0,0,554,240,426,"1,110",770,"1,090",916,328,"6,808"
"Rockfish, chilipepper",11,97,0,0,0,0,0,4,0,0,0,0,112
"Rockfish, copper",23,0,0,0,0,0,0,0,0,0,0,0,23
"Rockfish, flag",40,70,0,0,6,8,6,3,19,0,2,0,154
"Rockfish, gopher",140,0,0,0,0,0,0,0,0,0,0,0,140
"Rockfish, grass",0,0,0,0,0,8,0,0,0,0,0,0,8
"Rockfish, greenblotched",0,4,0,0,34,0,0,349,73,57,78,206,801
"Rockfish, greenspotted",38,71,0,0,96,82,34,116,52,15,22,0,526
"Rockfish, greenstriped",12,81,0,0,0,0,0,173,34,188,25,35,548
"Rockfish, group shelf",154,297,0,0,244,0,0,307,462,"1,210","1,086",331,"4,091"
"Rockfish, group slope",0,0,26,0,0,0,0,0,0,0,0,0,26
"Rockfish, Mexican",0,0,0,0,121,0,0,5,0,0,6,558,690
"Rockfish, rosethorn",0,28,0,0,0,0,0,0,0,0,0,0,28
"Rockfish, rosy",43,111,0,0,21,0,15,0,0,0,0,0,190
"Rockfish, speckled",0,16,0,0,0,0,0,2,0,0,0,0,18
"Rockfish, squarespot",0,0,0,0,0,0,0,15,0,0,2,15,32
"Rockfish, starry",89,342,0,0,44,42,22,291,341,263,567,762,"2,763"
"Rockfish, treefish",0,0,0,0,0,1,0,0,0,0,0,0,1
"Rockfish, unspecified",0,0,0,0,0,0,0,125,235,428,275,0,"1,063"
"Rockfish, vermilion",328,862,0,0,"2,774","1,674","1,509","2,759","1,534","2,015","2,450",998,"16,902"
"Rockfish, widow",50,104,0,0,37,185,12,242,256,218,300,218,"1,622"
