"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Anchovy, northern................","4,065,693","2,764,702","58,984","8,263,489","9,975,211","386,502",200,"2,050","3,920","89,302","1,260","94,810","25,706,123"
"Barracuda, California............",0,0,0,0,0,0,0,13,4,54,54,0,125
"Bonito, Pacific......................",0,0,0,0,0,0,0,0,"11,666",0,0,0,"11,666"
Butterfish (Pacific pompano),0,0,110,828,"2,192","1,336","1,190",175,892,"2,177",40,43,"8,983"
Cabezon...............................,522,"1,441",18,0,"2,915","3,048","4,349","2,869","1,539",0,12,0,"16,713"
"Cod, Pacific..........................",0,0,0,0,0,762,0,0,0,0,0,0,762
"Croaker, unspecifed.............",0,23,132,18,0,0,0,0,0,0,0,0,173
"Croaker, white......................",0,0,328,349,"1,070","1,510",180,"1,063","1,082",814,70,183,"6,649"
"Eel, monkeyface..................",0,0,0,0,0,0,0,0,3,2,0,0,4
"Flounder, starry....................",290,91,78,170,855,476,627,644,346,143,46,189,"3,956"
"Flounder, unspecified...........",0,41,248,472,"1,241","1,761","1,845","1,241",857,296,178,126,"8,306"
"Greenling, kelp.....................",120,343,12,0,384,200,288,325,0,0,0,0,"1,672"
Grenadiers...........................,"5,713","3,945","8,094","16,001","30,049","26,525","47,343","12,044","49,244","11,260","11,701","12,673","234,592"
"Halibut, California.................",814,639,925,556,"5,158","3,386","15,097","6,070","4,735","1,671","4,623","2,156","45,830"
"Halibut, unspecified..............",0,0,0,0,0,0,0,0,0,169,0,0,169
"Herring, Pacific.....................",0,0,0,21,0,0,220,0,0,0,0,0,241
Jacksmelt.............................,0,0,"1,031","3,241","2,217","3,005","1,914","2,425","4,380","1,073","2,100","37,074","58,460"
Lingcod................................,0,0,0,0,397,365,"3,476","2,017","2,783","1,478",187,0,"10,702"
Louvar..................................,0,0,0,0,0,0,0,0,0,0,66,0,66
"Mackerel, Pacific..................",0,0,0,0,50,"1,024","1,046",120,42,300,"376,812",22,"379,415"
"Mackerel, unspecified...........",0,0,0,0,0,0,175,0,0,0,4,0,179
Opah....................................,0,0,0,0,0,0,0,0,112,0,292,0,404
Queenfish.............................,0,2,0,0,0,145,0,0,0,0,0,0,147
"Ray, unspecified...................",0,0,0,0,0,49,0,0,0,0,0,0,49
"Rockfish, China....................",22,26,5,0,5,123,408,163,177,109,96,151,"1,284"
"Rockfish, Pacific ocean perc",0,0,0,0,0,0,0,0,0,0,0,3,3
"Rockfish, bank.....................",80,0,113,252,699,"7,965","7,908",14,74,48,291,"6,015","23,459"
"Rockfish, black-and-yellow...",93,604,1,0,"1,410","1,386","1,606",748,373,351,137,119,"6,827"
"Rockfish, black.....................",30,180,5,0,41,92,137,246,73,206,19,33,"1,061"
"Rockfish, blackgill................","3,364","1,540","3,828","3,727",792,"9,086","2,852",257,"3,152","6,501","4,229","1,087","40,414"
"Rockfish, blue......................",74,120,0,0,35,183,63,311,75,139,196,20,"1,216"
"Rockfish, bocaccio...............",885,"2,261",911,634,441,"1,193","2,181","1,186","1,983","1,022",0,0,"12,698"
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, brown....................",113,857,16,0,907,"1,228","1,077",939,790,601,287,"1,227","8,042"
"Rockfish, canary...................",14,129,0,3,0,41,111,162,305,0,0,0,765
"Rockfish, chilipepper............","13,850","22,174","8,113","2,114","16,118","14,556","12,691","4,133","2,248","16,185","12,987","27,846","153,015"
"Rockfish, copper (whitebelly)",0,0,0,0,53,0,0,0,0,0,0,0,53
"Rockfish, copper..................",13,76,9,0,132,197,71,117,137,393,27,66,"1,238"
"Rockfish, darkblotched.........",214,13,0,0,0,40,0,0,0,0,0,18,285
"Rockfish, flag.......................",0,0,0,0,0,0,2,6,0,0,0,0,8
"Rockfish, gopher..................","1,031","2,107",50,0,"2,642","3,781","3,798","2,211","2,329","1,789","1,382",785,"21,906"
"Rockfish, grass....................",24,87,0,0,541,955,710,531,201,645,136,17,"3,847"
"Rockfish, greenblotched.......",0,0,0,0,0,0,0,0,21,0,0,0,21
"Rockfish, greenspotted.........",0,25,2,0,0,0,0,155,0,18,126,98,424
"Rockfish, greenstriped..........",0,40,2,0,0,0,10,0,0,12,0,0,64
"Rockfish, group black/blue...",0,42,0,0,0,0,0,0,0,0,0,0,42
"Rockfish, group bolina..........",40,122,0,0,0,0,0,10,341,206,320,5,"1,044"
"Rockfish, group canary/verm",0,0,0,0,0,0,0,0,5,0,0,0,5
"Rockfish, group gopher........",126,106,0,0,13,40,315,797,361,90,28,105,"1,981"
"Rockfish, group nearshore...",0,0,0,0,3,0,0,149,4,11,0,0,167
"Rockfish, group red..............",154,0,16,0,100,87,335,188,77,0,371,25,"1,353"
"Rockfish, group rosefish.......","3,469","2,523","5,828","6,314","2,196","4,296","1,909","1,874","10,262","1,073","10,825","7,432","58,001"
"Rockfish, group shelf............",0,0,0,0,0,0,0,355,235,0,0,0,590
"Rockfish, group slope...........","6,990","6,573","7,392","8,270","10,899","8,515","2,991",61,663,690,"3,304","7,246","63,594"
"Rockfish, group small...........",0,0,19,0,0,95,220,45,142,131,0,0,652
"Rockfish, kelp.......................",34,84,0,0,120,121,282,104,142,211,53,186,"1,337"
"Rockfish, olive......................",157,132,0,0,57,60,84,138,0,98,242,140,"1,107"
"Rockfish, redbanded............",321,36,0,0,0,0,112,0,0,0,0,72,541
"Rockfish, rosethorn..............",0,7,0,0,0,0,0,0,0,0,0,0,7
"Rockfish, rosy......................",0,0,0,0,0,0,0,0,326,131,0,"1,937","2,394"
"Rockfish, speckled...............",0,5,0,0,0,0,0,16,0,0,0,0,21
"Rockfish, starry....................",0,0,0,0,0,0,3,13,1,0,0,0,18
"Rockfish, treefish.................",11,3,0,0,8,12,2,10,12,8,4,7,75
"Rockfish, unspecified...........",33,84,6,0,501,320,676,324,627,327,26,461,"3,384"
"Rockfish, vermilion...............",112,419,0,0,0,0,914,481,855,179,0,0,"2,959"
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, widow...................",494,"1,664","1,374","1,494",10,26,40,16,216,"1,079","1,013","2,256","9,682"
"Rockfish, yelloweye..............",1,12,10,0,0,11,0,44,0,0,0,0,78
"Rockfish, yellowtail...............",2,95,0,0,88,70,90,102,43,0,3,0,492
Sablefish..............................,"22,974","20,406","29,998","32,308","39,884","30,665","69,307","68,525","115,875","48,000","51,761","41,063","570,765"
"Salmon, chinook..................",0,0,0,0,"293,369","38,358","29,281","1,268","8,260",371,0,0,"370,907"
Salmon.................................,0,0,0,0,0,0,0,10,0,0,0,0,10
"Sanddab, Pacific..................",0,250,0,0,0,0,0,0,0,0,0,0,250
"Sanddab, longfin..................",0,0,0,0,0,63,0,0,0,0,0,0,63
Sanddab...............................,"1,030",416,"13,359","1,209","2,156","2,578","3,666","2,798","3,160","18,981","25,223","15,877","90,452"
"Sardine, Pacific....................","1,473,517","18,552",404,"214,705","1,060",906,"1,100","20,034","532,814","5,369,065","4,937,941","3,087,965","15,658,063"
"Seabass, white.....................",0,52,0,16,62,15,"2,864","12,582","13,625","15,884","7,356","2,237","54,692"
"Shark, Pacific angel.............",0,0,0,0,0,0,14,0,0,0,67,0,81
"Shark, leopard......................",10,174,0,39,14,0,0,0,0,0,23,83,343
"Shark, shortfin mako............",0,0,0,0,0,0,0,0,51,0,84,0,135
"Shark, soupfin......................",19,331,12,25,109,0,71,23,0,0,"1,405",446,"2,441"
"Shark, spiny dogfish.............",0,0,0,0,0,13,18,0,0,0,0,118,150
"Shark, thresher.....................",0,0,0,118,107,13,802,238,637,35,358,7,"2,314"
"Shark, unspecified................",182,34,19,115,157,152,91,70,310,135,181,126,"1,572"
"Sheephead, California..........",0,2,0,0,19,25,12,80,46,400,0,0,584
Silversides............................,0,0,0,"3,498",0,0,0,0,0,0,0,0,"3,498"
"Skate, unspecified................","2,230","2,455","2,271","1,302","1,605",741,"2,734",21,545,248,639,942,"15,733"
"Smelt, night..........................",0,0,0,0,0,0,0,0,0,0,0,27,27
"Smelt, surf............................",0,0,0,0,0,45,0,0,119,91,0,0,255
"Smelts, true..........................",0,0,0,0,0,0,0,0,22,0,0,0,22
"Sole, Dover..........................","72,236","131,583","167,505","142,769","133,449","64,772","88,865","37,363","71,662","7,228",600,"6,206","924,238"
"Sole, English........................","4,702","3,794","2,437","1,963","3,052","2,325","3,828","1,736","6,275","25,744","27,123","9,033","92,013"
"Sole, petrale.........................","12,246","8,242","3,437",666,"1,523","1,178","2,079",977,"4,485","24,978","42,999","21,987","124,796"
"Sole, rex...............................","5,836","1,879","12,826","3,499","1,967","1,680","1,420",37,"1,226","1,648","1,988","1,591","35,597"
"Sole, rock.............................",0,0,0,0,0,0,0,0,3,0,0,10,13
"Sole, sand............................",476,149,377,516,"1,540","1,063",771,434,443,239,535,226,"6,770"
"Sole, unspecified..................",0,1,18,0,0,3,9,0,0,2,0,0,33
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June July,,August September,,October,November December,,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Surfperch, barred.................",0,0,0,0,0,4,0,0,0,0,0  0,,4
"Surfperch, unspecified..........",0,1,0,0,0,11,0,0,0,0,0  0,,12
Swordfish.............................,0,0,0,0,0,0,0,0,0,0,"6,521  0",,"6,521"
"Thornyhead, longspine.........","26,682","30,761","42,872","14,090","27,300","5,386  19,380",,"8,800","34,507","8,766","3,492  1,204",,"223,239"
"Thornyhead, shortspine........","8,699","7,264","20,628","9,079","6,332","2,478  5,665",,"1,987","10,909","2,816","1,066  204",,"77,126"
Thornyheads........................,269,374,323,"1,860",982,"81  1,475",,50,0,80,"1,554  3,429",,"10,477"
"Tuna, albacore.....................",0,0,0,0,0,"40,907  39,110",,"98,876","904,907","264,552","18,379  0",,"1,366,732"
"Tuna, bluefin........................",0,0,0,0,0,0,0,0,"13,697","69,922","12,088  0",,"95,707"
"Tuna, yellowfin.....................",0,0,0,0,0,8,0,0,0,0,0  0,,8
"Whitefish, ocean..................",0,0,0,0,0,0,0,0,0,320,0  0,,320
"Whiting, Pacific....................",0,0,900,800,6,4,0,0,0,0,0  0,,"1,710"
Crustaceans,,,,,,,,,,,,,
"Crab, Dungeness.................","2,717","2,801","2,508","2,741",845,"2,029  211",,0,0,48,"405  9,955",,"24,260"
"Crab, rock unspecified..........",238,470,0,0,48,0  250,,645,725,540,0  0,,"2,916"
"Prawn, spot..........................","3,060","5,183","5,915",697,5,320  60,,"3,668","9,055","8,220","7,400  4,807",,"48,389"
Echinoderms,,,,,,,,,,,,,
Sea stars..............................,0,0,0,0,0,0,4,0,0,0,0  0,,4
Mollusks,,,,,,,,,,,,,
"Octopus, unspecified............",23,21,84,28,48,85,0,228,99,186,15  30,,846
"Squid, market.......................",0,0,0,"1,366,441","385,548","198,524  1,827,429",,"6,874,242","4,356,185","2,069,879",0  0,,"17,078,248"
Waters Area Total:,"5,742,048","3,048,566","403,551","10,106,435","10,960,736","879,009  2,220,061",,"7,181,652","6,197,493","8,079,366","5,582,747  3,412,206",,"63,813,870"
Other Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Thornyhead, longspine.........",0,0,0,0,0,0,0,0,0,0,341  102,,443
"Thornyhead, shortspine........",0,0,0,0,0,0,0,0,0,0,296  50,,345
Waters Area Total:,0,0,0,0,0,0  0,,0,0,0,637  151,,788
Grand Total,"5,742,048","3,048,566","403,551","10,106,435","10,960,736","879,009  2,220,061",,"7,181,652","6,197,493","8,079,366","5,583,384  3,412,357",,"63,814,658"
"",,,,,,,,,,,"Total Records:  16,320",,
"",,,,,,*******************,,,,,,,
"",,,,,,End of Report,,,,,,,
