Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Anchovy, northern.............................","133,405","2,321,656","1,034,906","470,933","54,247","278,941","539,290","622,942","281,179","191,464",300,0,"5,929,263"
"Barracuda, California.........................",0,0,6,30,0,0,0,15,0,0,0,0,51
"Bonito, Pacific...................................",0,0,0,0,"29,461",0,0,0,0,0,0,0,"29,461"
Butterfish (Pacific pompano).........,0,0,16,581,"8,721","7,380","4,883","12,410","8,027",950,40,0,"43,008"
Cabezon............................................,"2,518","6,969",84,0,"2,370","1,600",0,0,5,0,0,0,"13,545"
"Croaker, unspecifed..........................",0,0,0,0,0,0,0,12,10,0,0,0,22
"Croaker, white...................................",171,130,473,593,"1,120",960,"4,030","2,087",725,691,180,0,"11,160"
"Eel, monkeyface................................",0,0,0,0,0,21,0,0,0,0,0,0,21
"Flounder, arrowtooth.........................",0,0,49,0,0,0,0,0,0,0,0,0,49
"Flounder, starry.................................",37,383,425,"1,015","1,913","2,692",10,48,29,46,48,193,"6,839"
"Flounder, unspecified........................",259,377,523,0,0,0,0,1,0,0,0,0,"1,159"
"Greenling, kelp..................................",531,932,6,0,346,87,0,0,0,0,0,0,"1,903"
Grenadiers........................................,"9,359","7,652","35,153","31,665","28,629","15,294","14,572","20,707","30,313","22,055","16,221","5,016","236,636"
"Halibut, California..............................","7,180","8,321","6,439","8,015","5,565","7,179","10,580","18,661","3,977","2,240","1,693","4,287","84,135"
"Herring, Pacific..................................",0,0,0,0,160,0,50,0,0,0,0,0,210
"Jacks, unspecified.............................",0,0,0,0,0,0,0,20,0,0,0,0,20
Jacksmelt..........................................,"49,233",90,"3,267","2,710","1,450",980,"2,732","2,152","2,261","2,360",646,0,"67,881"
Lingcod.............................................,"1,645","1,785",284,"1,485","3,466","1,987","2,082","2,092",495,"5,473",18,0,"20,813"
Louvar...............................................,17,0,0,0,0,0,0,0,0,0,0,0,17
"Mackerel, jack...................................",0,0,0,0,0,0,0,0,"3,880",0,0,0,"3,880"
"Mackerel, unspecified........................",0,0,0,0,0,140,2,2,0,0,0,0,144
Opah.................................................,353,0,0,0,0,0,18,0,0,0,0,0,371
Queenfish..........................................,0,0,0,0,50,0,50,0,0,0,0,0,100
"Ratfish, spotted.................................",0,0,0,"3,458",0,0,0,0,0,0,0,0,"3,458"
"Rockfish, China.................................",56,148,0,0,44,28,89,59,0,0,0,0,424
"Rockfish, aurora................................",0,4,0,0,0,0,0,0,0,0,0,0,4
"Rockfish, bank..................................","3,084",306,4,85,0,125,0,"5,739",0,7,388,0,"9,738"
"Rockfish, black-and-yellow................",516,"1,687",0,0,939,544,"1,224","1,311",0,0,0,0,"6,222"
"Rockfish, black..................................",34,198,0,0,41,84,99,142,0,0,0,0,597
"Rockfish, blackgill..............................",762,"1,517","2,333",792,70,385,561,757,"3,911","2,936","5,397","2,099","21,519"
"Rockfish, blue...................................",49,107,0,0,387,525,"4,135","2,893",0,0,0,0,"8,096"
"Rockfish, bocaccio............................","2,062","2,618","2,694","1,148","3,214","2,227",0,0,0,0,0,15,"13,978"
"Rockfish, brown.................................","1,186",733,0,0,697,868,538,212,0,0,0,0,"4,234"
"Rockfish, canary................................",7,8,27,36,15,29,6,0,0,0,2,0,130
"Rockfish, chilipepper.........................","6,746","19,864","4,348","7,283","8,941","23,661","2,248",0,36,"1,509",34,834,"75,504"
"Rockfish, copper...............................",304,350,0,0,184,100,42,166,0,0,0,0,"1,145"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, cowcod..............................",0,0,0,0,0,0,0,0,0,0,0,53,53
"Rockfish, darkblotched......................",0,0,33,70,170,28,13,89,19,13,721,0,"1,156"
"Rockfish, flag....................................",0,0,0,22,0,0,0,0,0,0,0,0,22
"Rockfish, gopher...............................","3,169","4,396",0,0,"1,461","1,396","3,290","3,479",15,0,0,0,"17,206"
"Rockfish, grass.................................",189,541,0,0,319,234,374,418,0,0,0,0,"2,075"
"Rockfish, greenblotched....................",0,0,4,6,0,0,0,0,0,0,0,0,10
"Rockfish, greenspotted......................",42,30,39,23,63,6,0,0,0,18,1,357,579
"Rockfish, greenstriped.......................",0,0,4,0,50,0,0,0,0,0,0,63,117
"Rockfish, group bolina.......................",496,559,0,0,4,0,0,0,0,0,0,0,"1,059"
"Rockfish, group gopher.....................",164,327,0,0,31,63,34,45,0,0,0,0,664
"Rockfish, group red...........................",115,346,0,0,51,16,0,21,4,0,0,0,553
"Rockfish, group rosefish....................","2,691","7,569",771,"1,262",819,299,459,"2,012","2,253","5,947","5,997","4,715","34,794"
"Rockfish, group shelf.........................",0,0,0,38,0,5,0,0,0,"1,478",52,0,"1,573"
"Rockfish, group slope........................","6,691","12,186","1,653","1,653","2,312","2,832","4,776",248,87,440,"1,538","1,334","35,750"
"Rockfish, group small........................",0,12,40,41,0,272,0,0,3,239,0,0,607
"Rockfish, kelp....................................",337,461,0,8,207,144,331,206,0,0,0,0,"1,693"
"Rockfish, olive...................................",82,155,0,0,220,125,357,247,0,0,0,0,"1,186"
"Rockfish, pink....................................",42,0,0,6,0,0,0,0,0,0,0,0,48
"Rockfish, redbanded.........................",6,0,0,0,20,0,0,0,17,0,0,0,43
"Rockfish, rosy...................................",109,"1,122",744,175,0,0,40,0,0,0,0,0,"2,190"
"Rockfish, shortbelly...........................",0,0,0,0,0,25,0,0,0,0,0,0,25
"Rockfish, starry.................................",27,3,0,0,0,0,0,0,0,0,0,0,31
"Rockfish, treefish...............................",16,9,0,0,5,5,8,8,0,0,0,0,51
"Rockfish, unspecified........................",34,38,12,2,894,10,5,200,100,8,0,107,"1,408"
"Rockfish, vermilion............................",574,795,0,0,227,571,201,0,0,0,0,0,"2,366"
"Rockfish, widow................................",926,"1,070",283,783,687,"1,473",41,0,0,0,22,6,"5,291"
"Rockfish, yelloweye...........................",0,4,0,0,0,3,0,0,0,0,0,0,7
"Rockfish, yellowtail............................",4,0,0,0,0,8,0,0,0,0,0,0,12
