$,% &,,"! &",,( $,,),(,%&,,%&,,)& &,,"!",,*$ !,,,"+ ,","!",,$ !,,',
California Waters,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anchovy, northern..............................","1,478,787",,0,,"233,829",,"731,023","201,274",0,,0,,0,,0,,0,,,,0,,"1,372,226",,,"4,017,139"
"Barracuda, California..........................",,0,0,,,0,0,0,0,,0,,0,,36,,0,,,,8,,,0,,44
Cabezon............................................,552,,209,,,0,0,719,681,,"1,246",,854,,810,,715,,,,238,,304,,,"6,327"
"Croaker, white....................................",,0,2,,,0,0,0,0,,0,,0,,0,,0,,,,0,,,0,,2
"Fish, unspecified................................",,0,0,,,0,0,0,0,,0,,0,,511,,0,,,,0,,,0,,511
"Flounder, starry..................................",,0,0,,,0,0,0,0,,0,,5,,0,,0,,,,52,,,14,,70
"Greenling, kelp...................................",,85,40,,,0,0,72,66,,80,,30,,49,,29,,,,17,,,35,,502
"Greenling, rock...................................",,0,0,,,0,0,0,0,,0,,0,,2,,0,,,,0,,,0,,2
Grenadier...........................................,"12,033",,"12,515",,"5,190",,"16,323","11,598","10,221",,"8,942",,"14,056",,"9,579",,"10,653",,,,"1,364",,"3,962",,,"116,436"
Hagfishes...........................................,,0,0,,,0,0,12,0,,0,,0,,0,,0,,,,10,,,0,,22
"Halibut, California...............................",,0,0,,225,,0,256,"2,045",,"5,717",,"3,234",,"1,196",,692,,,,205,,,0,,"13,569"
Jacksmelt...........................................,,0,0,,,0,0,0,0,,0,,0,,0,,0,,,,"3,200",,"3,000",,,"6,200"
Lingcod..............................................,,0,0,,,0,6,411,918,,689,,827,,287,,519,,,,206,,,0,,"3,864"
"Mackerel, Pacific................................",225,,0,,,0,0,"29,657","2,400",,0,,0,,0,,0,,,,0,,,0,,"32,282"
"Rockfish, China..................................",,27,0,,,0,0,1,8,,6,,5,,3,,18,,,,1,,,10,,80
"Rockfish, aurora.................................",,0,0,,,0,0,0,44,,0,,0,,0,,0,,,,0,,,0,,44
"Rockfish, bank...................................",271,,3,,19,,"1,347",464,521,,67,,"7,966",,400,,8,,,,15,,,0,,"11,081"
"Rockfish, black-and-yellow...............",413,,283,,,0,0,382,498,,629,,363,,706,,499,,,,216,,369,,,"4,359"
"Rockfish, black...................................",,24,2,,,0,0,0,23,,26,,21,,40,,111,,,,5,,,1,,253
"Rockfish, blackgill...............................",629,,55,,393,,286,418,"1,588",,"2,415",,303,,134,,93,,,,210,,825,,,"7,349"
"Rockfish, blue....................................",,22,49,,,0,0,91,61,,249,,175,,63,,81,,,,25,,,22,,837
"Rockfish, bocaccio............................",149,,338,,,0,0,117,121,,57,,247,,344,,176,,,,106,,206,,,"1,860"
"Rockfish, brown.................................",,4,10,,,0,0,23,23,,69,,219,,11,,67,,,,16,,,4,,445
"Rockfish, canary................................",,0,0,,,0,0,0,0,,4,,12,,2,,0,,,,0,,,0,,18
"Rockfish, chilipepper..........................",,6,142,,51,,643,137,"1,875",,"11,924",,"6,549",,"10,263",,"1,415",,,,"1,764",,"2,115",,,"36,883"
"Rockfish, copper................................",,16,3,,,0,0,19,25,,37,,33,,32,,4,,,,0,,,0,,167
"Rockfish, cowcod..............................",,0,0,,,0,8,0,0,,0,,4,,4,,0,,,,1,,,0,,17
"Rockfish, darkblotched.......................",,39,0,,12,,101,47,20,,5,,0,,44,,1,,,,0,,,2,,271
"Rockfish, flag.....................................",,0,0,,,0,0,1,0,,0,,0,,0,,0,,,,0,,,0,,1
"Rockfish, gopher................................",398,,110,,,0,0,261,608,,"1,020",,252,,198,,336,,,,112,,424,,,"3,720"
"Rockfish, grass...................................",166,,87,,,0,0,301,337,,356,,225,,340,,269,,,,47,,153,,,"2,282"
"Rockfish, greenspotted......................",,0,5,,,1,0,0,0,,10,,20,,0,,8,,,,0,,,3,,47
"Rockfish, greenstriped........................",,0,0,,,0,0,0,0,,0,,0,,0,,0,,,,0,,,2,,2
"Rockfish, group red............................",,0,24,,,0,0,0,43,,44,,187,,5,,10,,,,18,,,18,,349
"Rockfish, group shelf..........................",,0,0,,,0,0,0,0,,0,,0,,0,,49,,,,0,,,0,,49
"Rockfish, kelp.....................................",,98,81,,,0,0,50,61,,47,,48,,50,,70,,,,29,,,72,,607
$,% &,,,"! &",,( $,,,),,(,,%&,%&,)& &,"!",*$ !,,,"+ ,","!",,$,"!",,'
California Waters,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rockfish, olive....................................",0,,,0,,0,,,0,,78,,130,137,102,131,8,,,,0,,,0,,585
"Rockfish, redbanded..........................",0,,,0,,6,,,0,,4,,2,3,11,12,3,,,,0,,,0,,41
"Rockfish, rosy.....................................",10,,,0,,0,,,0,,0,,0,0,0,0,0,,,,0,,,0,,10
"Rockfish, splitnose.............................",251,,,2,,179,,,280,,64,,340,109,"2,869",231,317,,,,"1,424",,,"3,024",,"9,090"
"Rockfish, starry...................................",0,,,0,,0,,,0,,14,,9,9,14,2,0,,,,0,,,0,,47
"Rockfish, treefish................................",1,,,0,,0,,,0,,10,,0,61,0,3,5,,,,0,,,0,,80
"Rockfish, unspecified.........................",0,,,0,,0,,,0,,4,,6,0,0,0,10,,,,0,,,4,,24
"Rockfish, vermilion.............................",288,,,327,,0,,,0,,186,,360,564,610,117,32,,,,21,,,290,,"2,794"
"Rockfish, widow.................................",5,,,6,,0,,,0,,0,,3,0,72,203,20,,,,6,,,0,,315
"Rockfish, yelloweye............................",0,,,0,,0,,,0,,8,,0,0,0,0,0,,,,0,,,0,,8
"Rockfish, yellowtail.............................",143,,,30,,0,,,0,,4,,127,3,63,3,98,,,,3,,,14,,488
Sablefish............................................,"37,912",,,"38,631",,"19,305",,,"72,822",,"50,063",,"50,438","30,649","37,264","30,911","63,606",,,,"22,259",,,"32,848",,"486,708"
"Salmon, Chinook................................",0,,,0,,0,,,0,,"51,959",,"13,183","9,529","2,788",536,69,,,,0,,,0,,"78,063"
"Sanddab, Pacific................................",0,,,7,,0,,,0,,0,,0,0,723,"2,301","3,597",,,,0,,,"1,223",,"7,851"
