Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Anchovy, northern........................","4,961,986","1,512,313","2,356,961","2,714,312","5,787,436","8,394,773",600,460,"225,021","6,142,013","3,127,989","2,652,067","37,875,931"
"Barracuda, California...................",0,0,0,0,0,0,146,0,0,0,0,0,146
"Bonito, Pacific...............................",0,0,0,0,0,0,0,0,407,"6,376","1,983","3,043","11,810"
Butterfish (Pacific pompano).....,0,0,0,0,0,117,570,"1,680",0,3,0,0,"2,370"
Cabezon..........................................,"1,289",165,0,0,"2,059","1,581","2,351","1,139","1,151","1,205","1,723",258,"12,921"
"Croaker, white................................",320,300,20,0,250,505,"2,277","4,100",0,1,0,0,"7,773"
"Eel, monkeyface (prickleback)..",0,0,0,0,0,0,0,0,2,0,0,0,2
"Flounder, arrowtooth....................",0,0,0,0,0,0,21,0,0,0,0,0,21
"Flounder, starry.............................",0,0,0,0,0,0,101,61,126,59,0,0,347
"Flounder, unspecified..................",0,0,0,0,0,0,0,0,17,0,0,0,17
"Greenling, kelp..............................",120,28,0,0,166,55,157,33,234,144,424,90,"1,450"
"Greenling, rock..............................",7,0,0,0,18,6,79,6,0,0,0,0,117
Grenadier........................................,926,"1,636","5,519","9,812","5,291","12,972","20,465","16,710","20,950","11,513",0,0,"105,794"
Hagfishes.......................................,0,0,0,0,0,0,0,0,0,107,"3,236","12,194","15,537"
"Halibut, California.........................","1,816",0,0,0,136,524,"6,267","3,698","1,559",94,25,0,"14,119"
Jacksmelt........................................,"3,700","3,900",700,778,256,"2,460","3,135","1,673","2,330","2,938","1,013",0,"22,883"
Kelpfishes.......................................,0,159,0,0,0,0,0,0,0,0,0,0,159
Lingcod............................................,143,94,320,36,"6,403","8,489","7,720","11,352","6,526","5,143","7,144",725,"54,095"
"Mackerel, Pacific..........................","140,693",0,"1,756","212,900","416,300","331,011","14,197","6,965",0,261,40,41,"1,124,164"
"Mackerel, jack................................","155,465",200,"9,576","99,328","1,071,237","590,262","2,329","14,371",0,0,"2,452",0,"1,945,220"
"Mackerel, unspecified.................",0,0,0,188,204,"2,791",462,"4,548","5,852","2,730",457,0,"17,231"
Opah................................................,0,0,0,0,0,0,0,0,0,0,186,0,186
"Ratfish, spotted............................",0,0,0,531,190,454,465,20,0,6,0,0,"1,666"
"Ray, Pacific electric....................",0,0,16,0,19,83,49,0,0,0,0,0,167
"Rockfish, China.............................",0,0,0,0,10,58,133,38,58,66,35,1,399
"Rockfish, aurora............................",11,4,177,17,11,39,0,10,17,3,0,0,289
"Rockfish, bank...............................",42,0,22,0,0,9,0,0,0,0,0,0,73
"Rockfish, black-and-yellow.......","1,003",299,0,0,959,857,"1,089",721,772,867,"2,385",267,"9,219"
"Rockfish, black..............................",463,235,0,0,288,486,294,101,142,200,153,124,"2,486"
"Rockfish, blackgill........................",533,66,469,72,136,281,438,293,236,82,0,0,"2,606"
"Rockfish, blue................................",392,448,0,0,205,79,775,534,802,553,456,292,"4,534"
"Rockfish, bocaccio......................",710,763,"1,354","2,229","5,015","1,849","1,823",305,138,517,277,46,"15,027"
"Rockfish, brown............................",0,0,0,0,0,42,0,52,113,82,0,0,289
"Rockfish, canary...........................",51,0,109,30,23,38,77,3,0,0,0,0,331
"Rockfish, chilipepper...................","17,729",640,"2,430","8,534","15,474","4,794","5,799",35,10,29,0,11,"55,484"
"Rockfish, copper...........................",0,4,0,0,0,24,0,0,0,5,0,0,33
Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Rockfish, cowcod.........................",64,26,22,8,11,1,41,1,0,0,0,0,,174
"Rockfish, darkblotched...............",0,2,9,0,0,0,0,0,880,0,4,0,,895
"Rockfish, gopher...........................",666,528,0,0,"1,008","1,169","2,177",887,"1,235","1,536","2,217",330,,"11,752"
"Rockfish, grass.............................",414,82,0,0,186,392,289,345,228,281,258,0,,"2,475"
"Rockfish, greenblotched.............",8,0,0,0,0,0,0,0,0,0,0,0,,8
"Rockfish, greenspotted...............",74,5,28,29,23,10,6,0,61,0,2,0,,238
"Rockfish, greenstriped................",70,7,38,184,63,57,0,0,0,0,0,0,,419
"Rockfish, group bolina................",0,0,0,0,41,18,22,29,0,0,0,0,,110
"Rockfish, group red......................",631,0,0,0,23,7,76,18,0,0,0,0,,755
"Rockfish, group shelf..................",0,1,0,0,11,20,226,93,0,0,0,0,,351
"Rockfish, group slope.................",6,12,11,0,0,0,0,0,0,0,0,0,,29
"Rockfish, kelp................................",148,74,0,0,39,72,146,58,140,100,177,58,,"1,012"
"Rockfish, olive...............................",21,23,0,0,56,21,200,126,204,29,0,0,,679
"Rockfish, redbanded....................",3,0,4,0,2,0,0,0,0,0,0,0,,9
"Rockfish, shortbelly.....................",0,0,0,0,0,0,4,0,0,0,0,0,,4
"Rockfish, speckled.......................",6,0,0,0,0,0,0,3,2,7,0,0,,17
"Rockfish, splitnose......................","1,796",816,"2,043",0,53,2,5,0,0,0,0,0,,"4,715"
"Rockfish, starry.............................",0,0,0,0,12,105,273,83,96,107,51,0,,728
"Rockfish, stripetail.......................",0,1,0,0,0,0,0,0,0,0,0,0,,1
"Rockfish, unspecified..................",0,0,0,0,0,0,76,43,3,0,0,0,,122
"Rockfish, vermilion.......................","1,185",314,579,0,"1,367","1,352","2,030",910,"1,914","1,916","1,005",35,,"12,608"
"Rockfish, widow............................",4,72,8,556,632,78,522,6,0,36,106,62,,"2,081"
"Rockfish, yellowtail......................",197,151,0,0,8,143,214,129,79,225,414,112,,"1,670"
Sablefish.........................................,"17,177","10,094","25,594","29,957","33,939","23,770","35,971","25,563","50,419","27,718",0,0,,"280,201"
"Salmon, Chinook...........................",0,0,0,0,"40,990","26,378","33,722","7,535",450,0,0,0,,"109,075"
"Sanddab, Pacific..........................","2,194",0,0,0,0,0,3,1,0,0,0,0,,"2,198"
Sanddab..........................................,"1,788","1,365","3,039","1,943",842,"3,197","6,017","5,024",583,"1,727",740,"1,655",,"27,919"
"Sardine, Pacific.............................","640,975","2,000","46,265","649,765","215,967","28,081","14,125",0,0,"23,008",0,0,,"1,620,186"
"Seabass, white.............................",0,0,0,0,0,0,"1,855","2,631","1,563","9,177","1,382",0,,"16,608"
"Seaperch, striped.........................",0,0,0,0,0,0,0,0,0,0,2,0,,2
"Shad, American.............................",0,0,0,0,0,0,50,0,0,0,0,0,,50
"Shark, bigeye thresher................",0,0,0,0,0,10,0,0,0,0,0,0,,10
"Shark, brown smoothhound.......","1,725","2,176",24,0,0,154,0,0,0,0,0,0,,"4,079"
"Shark, shortfin mako....................",0,0,0,0,0,0,0,0,0,0,84,0,,84
"Shark, soupfin...............................",0,0,0,45,0,0,0,0,0,81,0,0,,126
