Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Anchovy, northern........................",0,0,0,"50,011","204,421","820,883","375,209","1,077,850","1,317,610","4,101,801",0,0,,"7,947,785"
Butterfish (Pacific pompano).....,0,0,0,0,0,170,124,26,0,0,0,0,,320
Cabezon..........................................,106,363,0,0,293,"1,290","1,600",963,"1,683",490,610,"1,168",,"8,566"
"Croaker, white................................",0,0,0,0,"1,400","1,180",992,850,0,0,0,0,,"4,422"
"Flounder, starry.............................",0,19,0,0,0,0,0,37,48,0,0,0,,103
"Flounder, unspecified..................",0,0,0,0,0,0,9,4,0,0,0,0,,13
"Greenling, kelp..............................",22,38,0,0,30,240,302,150,397,81,101,430,,"1,792"
Grenadier........................................,369,500,"2,239","6,517","2,319",0,863,36,"4,763","3,635","5,340","2,128",,"28,709"
Hagfishes.......................................,"3,130","3,326","5,598",0,"4,789","7,668","11,623","14,398","8,948","3,986","1,185",0,,"64,651"
"Halibut, California.........................","1,149","1,157",0,0,711,"2,305","4,845","4,662","2,425",360,31,23,,"17,668"
Jacksmelt........................................,0,0,0,0,0,"1,069","1,527",956,"1,717","1,284",0,0,,"6,553"
Lingcod............................................,73,276,0,0,"4,256","2,560","4,368","4,202","3,504","2,532","1,625","1,900",,"25,296"
"Mackerel, Pacific..........................",0,0,0,0,0,188,120,"1,126",0,0,0,0,,"1,434"
"Mackerel, jack................................",0,0,0,0,0,"6,809","1,046",0,0,0,0,0,,"7,855"
"Mackerel, unspecified.................",0,0,0,0,0,"1,573",0,0,0,0,0,0,,"1,573"
Opah................................................,0,0,0,0,0,0,0,0,60,0,0,0,,60
"Prickleback, monkeyface (eel)..",0,0,0,0,0,0,0,0,8,0,0,0,,8
"Rockfish, China.............................",0,34,0,0,0,0,28,48,22,18,0,39,,189
"Rockfish, aurora............................",21,4,13,31,61,29,18,0,4,1,4,0,,186
"Rockfish, black-and-yellow.......",252,197,0,0,362,"1,123","1,406","1,442","2,334",649,860,"1,374",,"9,999"
"Rockfish, black..............................",9,0,0,0,9,44,92,56,87,56,25,34,,411
"Rockfish, blackgill........................",52,33,289,711,"1,180",231,"1,624",7,568,20,90,17,,"4,822"
"Rockfish, blue................................",38,110,0,0,301,243,609,520,516,461,312,294,,"3,404"
"Rockfish, bocaccio......................",40,154,0,0,312,615,548,622,480,628,6,6,,"3,410"
"Rockfish, brown............................",0,0,0,0,51,60,14,3,50,0,0,48,,225
"Rockfish, canary...........................",0,42,2,0,64,108,186,216,273,174,229,177,,"1,471"
"Rockfish, chilipepper...................",0,627,0,0,176,62,234,16,0,140,154,0,,"1,409"
"Rockfish, copper...........................",0,0,0,0,0,0,0,20,0,0,0,2,,22
"Rockfish, darkblotched...............",0,0,0,0,0,0,1,0,0,0,0,0,,1
"Rockfish, gopher...........................",209,297,0,0,632,505,"1,015","1,675","2,034",682,872,"1,168",,"9,090"
"Rockfish, grass.............................",0,27,0,0,182,87,307,300,498,189,271,312,,"2,172"
"Rockfish, greenblotched.............",0,0,1,0,0,18,24,0,0,0,0,0,,43
"Rockfish, greenspotted...............",0,19,1,0,40,15,100,13,8,19,22,49,,286
"Rockfish, greenstriped................",0,0,0,0,0,2,5,0,0,0,0,0,,7
"Rockfish, group red......................",0,0,0,0,0,11,0,0,0,0,0,0,,11
"Rockfish, kelp................................",52,37,0,0,31,37,48,20,60,19,22,16,,341
Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Rockfish, olive...............................",0,0,0,0,0,0,33,0,3,0,0,0,,36
"Rockfish, quillback.......................",0,0,0,0,0,0,3,0,0,6,0,0,,10
"Rockfish, redbanded....................",0,0,0,25,2,0,4,0,2,0,1,5,,39
"Rockfish, rosy...............................",0,0,0,0,0,15,0,0,0,0,0,1,,16
"Rockfish, shortraker.....................",0,0,0,0,0,0,0,0,0,13,0,0,,13
"Rockfish, squarespot..................",0,0,0,0,0,5,0,0,0,0,0,0,,5
"Rockfish, starry.............................",0,13,0,0,0,0,94,114,39,34,0,0,,293
"Rockfish, treefish.........................",0,0,0,0,0,0,0,1,0,0,0,0,,1
"Rockfish, unspecified..................",0,0,0,0,29,0,5,46,0,0,26,0,,106
"Rockfish, vermilion.......................",20,139,0,0,629,821,"1,755",574,382,354,141,310,,"5,125"
"Rockfish, widow............................",0,0,0,0,0,23,388,0,0,82,22,43,,558
"Rockfish, yelloweye.....................",0,0,0,0,0,0,0,1,138,0,0,0,,139
"Rockfish, yellowtail......................",35,101,0,0,158,67,694,158,185,752,341,445,,"2,935"
Sablefish.........................................,"15,926","10,139","23,398","39,784","32,060","39,876","25,289","30,439","60,612","18,597","34,679","13,701",,"344,500"
"Salmon, Chinook...........................",0,0,0,0,"44,358","63,966",656,"1,654","1,357",0,0,0,,"111,990"
"Salmon, Roe (Chinook, Coho)....",0,0,0,0,0,10,0,0,0,0,0,0,,10
Sanddab..........................................,19,10,79,35,0,0,245,318,423,543,263,632,,"2,565"
"Sardine, Pacific.............................",0,0,0,0,100,0,"14,875",0,"113,671","247,150",0,0,,"375,796"
"Seabass, white.............................",0,0,0,0,0,0,55,0,"5,740","1,825",0,0,,"7,619"
"Shark, brown smoothhound.......",0,0,0,0,0,6,0,0,0,2,0,0,,8
"Shark, leopard...............................",0,7,0,0,0,0,0,0,0,0,0,0,,7
"Shark, soupfin...............................",0,50,0,0,0,0,0,0,35,0,0,0,,85
"Shark, thresher..............................",0,0,0,0,0,0,43,0,0,0,0,0,,43
"Sheephead, California.................",0,0,0,0,5,40,0,0,17,0,0,0,,62
"Skate, longnose............................",0,0,20,91,0,42,17,107,0,6,0,0,,283
"Sole, Dover.....................................",46,4,17,39,34,164,130,41,160,251,122,144,,"1,152"
"Sole, English..................................",126,0,0,0,0,0,0,0,0,0,0,0,,126
"Sole, petrale...................................",29,215,0,8,25,190,404,48,163,71,16,5,,"1,173"
"Sole, rex..........................................",0,0,0,0,0,0,0,6,0,0,0,0,,6
"Sole, sand......................................",0,0,0,0,0,2,25,2,0,0,0,0,,29
