"",,,,,,,,,,,,,,Total
Species,January,,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,
"Anchovy, northern",0,,"1,609,628","6,325,379","4,315,829","1,223,101","4,938,696","5,744,158","1,279,015","5,622,060","3,165,167","783,738","160,520","35,167,291"
"Barracuda, California",0,,0,0,0,0,0,0,0,0,8,0,0,8
"Bonito, Pacific",320,,0,0,0,0,0,0,0,0,0,0,0,320
Butterfish (Pacific,0,,0,0,0,0,239,225,194,536,268,35,0,"1,497"
pompano),,,,,,,,,,,,,,
Cabezon,576,,732,0,0,703,782,"1,792","1,038",920,878,951,283,"8,654"
"Croaker, white",0,,0,0,0,0,861,"4,798","1,001",428,432,744,0,"8,264"
"Flounder, starry",0,,0,6,0,0,14,51,10,32,19,8,0,140
"Flounder, unspecified",0,,0,0,0,0,0,30,14,0,0,0,0,44
"Greenling, kelp",77,,173,0,0,223,183,597,291,371,208,191,72,"2,385"
Grenadier,"1,210",,"2,341","2,937","9,890","3,688",762,274,405,259,348,734,895,"23,743"
"Hagfish, Pacific",0,,0,0,0,0,0,"12,394","11,705","13,076","16,430","12,567","18,580","84,752"
"Hagfish, unspecified","4,324",,"8,519","3,308","6,522","6,642","7,577",0,"5,465",0,0,0,"1,590","43,947"
"Halibut, California",94,,8,327,646,"1,918","2,572","10,207","8,805","5,785","6,591","3,347",21,"40,320"
"Halibut, unspecified",0,,0,0,0,0,0,0,20,0,0,0,0,20
Jacksmelt,0,,0,0,0,0,596,"2,461","4,210","1,221","1,319",899,0,"10,706"
Lingcod,546,,"1,012",0,10,"1,130","1,537","4,148","4,057","3,781","3,073","2,792","1,081","23,165"
"Mackerel, jack",0,,0,0,0,3,0,0,55,0,0,0,0,58
"Mackerel, Pacific",0,,0,0,0,0,0,6,19,0,0,113,760,898
"Mackerel, unspecified",0,,0,0,0,0,0,0,6,20,4,0,0,30
"Prickleback, monkeyface",0,,0,0,0,0,0,3,0,0,0,0,0,3
(eel),,,,,,,,,,,,,,
"Ray, bat",0,,0,0,0,0,0,0,45,0,0,0,0,45
"Rockfish, aurora",13,,10,5,14,13,3,15,1,6,12,9,0,101
"Rockfish, bank",0,,0,0,0,0,0,9,0,0,0,0,0,9
"Rockfish, black",0,,88,0,0,65,65,131,52,49,48,33,126,656
"Rockfish, black-and-yellow",581,,866,0,0,917,551,"1,559","1,560","1,655","1,449","1,453",65,"10,654"
"Rockfish, blackgill",311,,199,96,357,586,196,253,48,411,496,242,152,"3,347"
"Rockfish, blue",81,,271,0,0,304,158,677,893,455,822,319,239,"4,218"
Species,January,,February,March,April,May,,June,July,,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,
"Rockfish, bocaccio",0,,"1,393",256,184,161,,379,212,,572,164,303,521,38,"4,183"
"Rockfish, brown",49,,28,0,0,172,,143,38,,69,11,0,0,0,510
"Rockfish, canary",17,,211,22,36,17,,100,219,,338,67,231,130,12,"1,398"
"Rockfish, chilipepper",2,,6,0,4,84,,3,8,,18,0,0,9,12,146
"Rockfish, China",3,,6,0,0,1,,13,62,,50,47,5,5,31,223
"Rockfish, copper",0,,5,0,0,0,,20,858,,115,568,288,0,122,"1,976"
"Rockfish, flag",0,,0,0,0,0,,0,1,,0,0,0,0,0,1
"Rockfish, gopher",372,,"1,174",0,0,977,,587,"2,616",,"1,939","1,965","1,008","1,240",717,"12,594"
"Rockfish, grass",32,,244,0,0,99,,120,239,,353,252,171,335,0,"1,843"
"Rockfish, greenblotched",14,,0,0,0,0,,0,35,,0,0,0,0,14,63
"Rockfish, greenspotted",4,,5,0,0,93,,0,6,,205,3,5,19,125,464
"Rockfish, greenstriped",0,,0,0,0,8,,0,10,,29,0,0,0,0,47
"Rockfish, group bolina",0,,0,0,0,0,,0,0,,0,0,25,0,7,32
"Rockfish, group rosefish",0,,0,0,0,0,,0,0,,0,0,0,4,0,4
"Rockfish, group shelf",0,,0,0,0,0,,0,4,,0,0,0,0,0,4
"Rockfish, kelp",2,,44,0,0,24,,0,35,,29,49,83,19,0,285
"Rockfish, olive",0,,0,0,0,0,,10,97,,36,57,14,0,19,232
"Rockfish, quillback",0,,0,0,0,0,,0,9,,0,5,2,0,6,22
"Rockfish, redbanded",12,,5,0,0,5,,0,0,,0,6,0,12,0,40
"Rockfish, rosy",0,,0,0,0,0,,0,0,,5,10,29,0,0,45
"Rockfish, starry",0,,0,0,0,0,,16,240,,26,398,100,1,185,965
"Rockfish, treefish",0,,8,0,0,0,,13,31,,48,58,8,0,2,168
"Rockfish, unspecified",0,,0,0,9,5,,0,0,,4,0,0,0,0,17
"Rockfish, vermilion",98,,324,0,26,254,,157,829,,763,950,488,466,152,"4,506"
"Rockfish, widow",102,,65,29,0,0,,15,97,,48,2,0,270,0,629
"Rockfish, yellowtail",168,,272,139,156,96,,139,"1,202",,464,49,392,86,16,"3,180"
Sablefish,"13,450",,"10,532","22,622","47,260","22,548",,"11,015","21,888",,"72,892","58,377","73,961","24,318","13,197","392,060"
"Salmon, Chinook",0,,0,0,0,"34,608",,"81,562","12,668",,"7,022","1,911",0,0,0,"137,772"
Species,January,February,March,April,May,,June,,July,,August,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,
Sanddab,848,694,497,115,0,,35,,16,,69,42,0,,0,0,"2,315"
"Sanddab, Pacific",0,0,0,0,0,,0,,0,,0,1,32,,0,0,33
"Sardine, Pacific",0,0,0,0,0,,0,,0,,0,0,"88,931",,"60,378",0,"149,309"
"Seabass, white",0,0,0,0,100,,55,,283,,290,390,"5,798",,743,29,"7,688"
"Shark, soupfin",0,0,0,0,0,,0,,0,,0,0,32,,114,0,146
"Shark, spiny dogfish",0,0,0,0,0,,0,,0,,0,0,0,,14,0,14
"Shark, thresher",0,0,0,0,0,,0,,0,,133,0,0,,0,0,133
"Shark, unspecified",0,0,0,0,0,,0,,10,,0,0,0,,0,0,10
"Sheephead, California",0,0,0,0,6,,0,,9,,0,8,0,,0,0,23
