California Waters - Finfish,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,Decembe,Landings
"",,,,,,,,,,,r,
"Anchovy, northern 0",0,"4,170,346","2,752,167","1,189,707","1,458,872","21,951","1,617,627","819,414","1,090,599","3,953,041","3,197,797","20,271,521"
"Barracuda, California 0",0,0,0,0,0,0,0,5,0,0,0,5
"Bass, kelp 0",0,0,0,0,0,7,0,0,0,0,0,7
"Bonito, Pacific 0",0,0,0,13,0,0,0,0,0,0,0,13
Butterfish (Pacific 0,0,0,290,814,"1,509",436,334,"1,259","1,872",0,0,"6,513"
pompano),,,,,,,,,,,,
Cabezon 795,203,0,0,"1,150","1,175","1,538",704,650,626,963,199,"8,002"
"Croaker, unspecifed 0",0,0,0,151,"1,342",59,560,822,422,81,0,"3,438"
"Croaker, white 0",0,0,580,"2,177","8,534","22,432",4,0,0,0,0,"33,727"
"Fish, unspecified 0",0,0,0,0,0,"2,582",0,659,0,0,0,"3,241"
"Flounder, arrowtooth 0",0,0,0,0,0,0,0,0,0,11,0,11
"Flounder, starry 0",0,0,0,11,16,63,85,61,51,0,1,287
"Flounder, unspecified 0",0,0,0,0,2,0,34,3,1,0,0,41
"Greenling, kelp 430",175,0,0,251,375,407,233,211,120,107,82,"2,391"
"Grenadier 2,057","2,562","5,049","1,627",0,79,4,17,4,"3,289","1,120","1,522","17,330"
"Hagfish, Pacific 15,298","13,628","16,541","6,591",0,0,0,0,0,"2,065","3,015","15,619","72,757"
"Hagfish, unspecified 0","1,973",0,0,0,0,0,0,"1,660","10,036","4,277",0,"17,946"
"Halibut, California 0",0,88,14,"2,535","5,805","10,690","19,556","7,000","3,195",92,0,"48,975"
"Herring, Pacific 0",0,0,39,23,0,22,47,0,3,2,0,136
"Herring, round 0",0,0,0,0,0,0,6,3,9,0,0,18
Jacksmelt 0,0,0,"1,960","1,666","2,996","4,670","8,503",593,"1,418",8,0,"21,812"
Kelpfishes 0,0,0,0,0,0,0,0,0,2,0,0,2
"Lamprey, Pacific 0",0,0,0,21,0,0,0,0,0,0,0,21
"Lingcod 1,208",283,0,0,"2,100","2,657","1,751","2,767","1,212","2,705",657,191,"15,531"
"Mackerel, jack 0",0,0,0,29,344,0,200,200,0,0,0,773
"Mackerel, Pacific 0",0,0,0,834,"5,597","2,190","1,490",180,400,0,0,"10,691"
"Mackerel, unspecified 0",0,0,0,23,390,207,209,17,0,0,0,846
"Prickleback, monkeyface 0",0,0,0,0,0,4,0,4,0,4,0,13
(eel),,,,,,,,,,,,
Queenfish 0,0,0,98,0,335,33,0,0,0,0,0,466
Species,January,February,March,April,May,June,July,August,September,October,November,Decembe,Landings
"",,,,,,,,,,,,r,
"Ratfish, spotted",0,0,0,0,0,0,0,2,0,0,0,0,2
"Rockfish, aurora",4,1,9,46,40,14,8,0,32,7,16,3,180
"Rockfish, bank",0,0,1,0,17,0,0,13,0,0,0,0,31
"Rockfish, black",67,0,0,0,8,66,0,0,0,0,9,0,149
"Rockfish, black-and-","1,322",273,0,0,"1,744","1,555","1,933","1,841","1,540","1,323","1,924",763,"14,218"
yellow,,,,,,,,,,,,,
"Rockfish, blackgill",360,40,"1,116","2,191","3,082",84,849,250,"1,306",583,722,182,"10,764"
"Rockfish, blue",575,520,0,0,397,"1,591","1,194","2,189",301,"2,260",268,6,"9,299"
"Rockfish, bocaccio",253,802,"2,322",297,"3,360","3,819","1,080","1,683",135,"2,651","2,298",386,"19,083"
"Rockfish, brown",2,0,0,0,6,41,17,48,23,33,0,0,170
"Rockfish, calico",0,0,0,0,0,0,0,0,0,3,0,0,3
"Rockfish, canary",58,0,3,0,462,326,248,462,85,42,87,15,"1,788"
"Rockfish, chilipepper",176,"2,272","5,619",642,"4,151","4,409","1,081",381,271,"2,345","2,258",34,"23,639"
"Rockfish, China",40,27,0,0,44,26,8,37,3,64,20,11,280
"Rockfish, copper",35,46,0,0,11,82,54,87,0,451,326,4,"1,096"
"Rockfish, darkblotched",0,0,0,0,27,0,0,0,0,0,0,0,27
"Rockfish, flag",0,0,0,0,2,0,6,0,0,0,0,0,7
"Rockfish, gopher","2,798","1,528",0,0,"1,809","1,591","1,988","2,757","1,057","3,436","1,595",447,"19,006"
"Rockfish, grass",133,0,0,0,157,373,137,37,26,92,435,26,"1,416"
"Rockfish, greenblotched",9,0,20,0,0,0,0,0,0,0,0,0,29
"Rockfish, greenspotted",4,2,32,0,261,14,15,103,2,7,14,21,473
"Rockfish, greenstriped",2,2,2,0,20,0,0,34,0,0,1,0,61
"Rockfish, group",0,0,0,0,0,0,0,0,0,7,0,0,7
black/blue,,,,,,,,,,,,,
"Rockfish, group bolina",74,0,0,0,0,0,4,69,40,136,144,0,467
"Rockfish, group",0,0,0,0,0,0,0,0,0,3,0,0,3
canary/vermili,,,,,,,,,,,,,
"Rockfish, group rosefish",0,0,1,0,12,0,0,0,0,0,0,0,13
"Rockfish, group shelf",0,0,0,0,2,0,0,0,0,0,0,0,2
"Rockfish, kelp",84,6,0,0,1,24,94,87,66,21,65,6,455
