"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Anchovy, northern................",0,0,0,0,0,"7,637",0,0,0,0,0,0,"7,637"
"Barracuda, California............",26,8,0,0,0,0,0,18,49,15,0,0,115
"Bass, giant sea....................",18,54,9,0,68,0,0,0,0,20,0,0,169
"Bonito, Pacific......................",0,0,0,0,195,0,0,0,0,0,0,0,195
Butterfish (Pacific pompano),0,0,0,0,0,0,0,75,0,0,0,0,75
Cabezon...............................,"6,859","6,781",171,0,"13,370","11,089","14,528","11,758","8,361",51,0,0,"72,968"
"Croaker, white......................",482,0,74,454,329,0,0,0,0,0,0,0,"1,339"
"Eel, California moray............",0,0,0,0,0,0,1,2,0,0,0,0,3
"Eel, monkeyface..................",0,0,0,0,0,22,30,30,31,5,0,0,119
"Eel, wolf (wolf-eel)................",0,0,0,9,0,0,0,0,0,0,0,0,9
Eel........................................,0,0,0,0,0,0,6,6,0,0,0,0,11
Escolar.................................,11,1,3,0,0,0,0,0,0,0,0,0,15
"Flounder, starry....................",58,11,71,18,22,0,0,92,72,62,151,5,562
"Flounder, unspecified...........",110,83,177,23,20,0,62,467,75,75,72,95,"1,257"
"Greenling, kelp.....................",876,766,31,0,950,802,935,627,0,0,0,0,"4,989"
Grenadiers...........................,0,0,0,0,0,0,"3,952",0,750,36,0,0,"4,738"
"Guitarfish, shovelnose..........",155,106,47,11,0,0,0,8,0,26,0,31,383
"Halibut, California.................","9,441","3,563","5,447","2,398","2,085","1,538","3,412","8,295","5,535","6,043","6,904","8,181","62,842"
"Halibut, Pacific.....................",0,0,0,0,45,0,0,0,0,0,0,0,45
Lingcod................................,0,0,0,0,236,341,"2,868","2,541","2,666","4,615",20,14,"13,300"
Louvar..................................,0,0,0,0,0,0,0,0,572,311,452,0,"1,335"
"Mackerel, Pacific..................",0,0,0,0,45,0,0,0,0,0,0,0,45
"Mackerel, unspecified...........",0,0,0,0,0,0,0,0,1,0,0,0,1
Opah....................................,"1,478",117,0,0,0,0,0,0,526,432,"2,529",0,"5,082"
Pacific Pomfret.....................,0,0,0,0,0,0,0,0,"7,896",132,0,0,"8,028"
"Rockfish, China....................",25,15,0,0,23,13,16,24,44,60,15,22,256
"Rockfish, bank.....................",0,"3,707","5,028","1,561",0,"4,083","11,139","6,272","5,609","3,605","1,092","23,519","65,615"
"Rockfish, black-and-yellow...",328,438,0,0,"1,352","1,174",824,845,598,507,535,417,"7,017"
"Rockfish, black.....................",12,29,0,0,0,10,0,0,55,22,0,4,132
"Rockfish, blackgill................","4,077","8,703",145,135,"11,223",45,357,57,"15,520",356,"4,785","3,923","49,326"
"Rockfish, blue......................",66,88,0,0,110,114,129,84,81,160,362,56,"1,249"
"Rockfish, bocaccio...............",0,195,0,0,149,52,62,9,48,169,0,0,684
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, brown....................","3,325","2,709",1,0,"3,433","3,718","3,820","3,683","3,897","7,254","5,578","5,746","43,163"
"Rockfish, canary...................",10,46,0,0,0,0,4,0,0,0,0,0,59
"Rockfish, chilipepper............",0,"2,639",0,"1,107",29,30,"1,414",0,155,670,212,0,"6,256"
"Rockfish, copper..................",7,13,2,0,70,82,192,40,28,119,126,171,848
"Rockfish, darkblotched.........",0,0,0,3,0,0,0,0,0,13,131,0,147
"Rockfish, gopher..................","4,856","4,230",0,0,"5,839","4,082","7,226","4,962","4,921","8,667","5,100","5,386","55,269"
"Rockfish, grass....................",487,903,0,0,"1,637","1,887","2,297","2,776","2,286","3,726","1,752",494,"18,243"
"Rockfish, greenspotted.........",0,0,0,0,0,0,15,32,0,0,0,0,47
"Rockfish, greenstriped..........",0,0,0,0,0,0,3,0,0,0,0,0,3
"Rockfish, group bolina..........",2,2,0,0,39,30,0,58,0,407,293,829,"1,659"
"Rockfish, group gopher........",0,0,0,0,20,53,45,435,0,45,30,0,628
"Rockfish, group nearshore...",11,35,0,0,13,8,42,34,111,83,0,0,336
"Rockfish, group red..............",62,327,2,0,47,12,"1,002",737,"1,297",208,0,78,"3,771"
"Rockfish, group rosefish.......",830,"2,624","4,033","3,484","5,993","1,686","4,265","6,939","2,850",107,"1,510","2,560","36,881"
"Rockfish, group shelf............",30,48,0,0,0,255,0,13,287,0,0,0,632
"Rockfish, group slope...........",0,0,71,0,"8,748",90,"8,770",432,"1,326",80,"3,477","1,452","24,446"
"Rockfish, kelp.......................",12,23,0,0,97,32,40,10,13,85,24,26,361
"Rockfish, olive......................",0,0,0,0,3,35,9,64,10,31,56,3,211
"Rockfish, redbanded............",0,0,0,12,0,0,0,0,0,0,0,0,12
"Rockfish, speckled...............",0,0,0,0,0,0,3,0,0,0,0,0,3
"Rockfish, starry....................",0,0,0,0,0,0,0,0,4,0,0,0,4
"Rockfish, treefish.................",138,96,0,0,226,112,399,211,202,414,177,263,"2,238"
"Rockfish, unspecified...........",64,0,0,0,31,84,113,6,36,216,0,0,550
"Rockfish, vermilion...............",364,528,0,0,0,0,495,543,329,24,0,0,"2,284"
"Rockfish, widow...................",0,"2,650",0,0,0,0,2,"2,947",12,5,0,0,"5,616"
"Rockfish, yelloweye..............",0,0,0,0,0,0,3,0,0,0,0,10,13
"Rockfish, yellowtail...............",2,0,0,0,0,0,5,0,19,6,16,3,50
Sablefish..............................,"1,138","4,836","6,366","3,281","4,515","12,305","8,831","7,859","14,403",0,26,54,"63,613"
"Salmon, chinook..................",0,0,0,0,"31,389",296,247,0,425,0,0,0,"32,356"
"Sanddab, Pacific..................",0,0,0,0,322,"2,994",833,0,"1,131",0,0,0,"5,280"
Sanddab...............................,0,0,0,0,476,831,"1,396",0,0,0,0,0,"2,703"
"Scorpionfish, California........",0,0,0,0,0,0,8,0,0,0,126,0,134
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Seabass, white.....................","8,738","4,245","1,145",67,446,211,"2,207","2,390","1,333","1,331","7,899","4,549","34,559"
"Shad, threadfin.....................",0,0,5,0,0,0,0,0,0,0,0,0,5
"Shark, Pacific angel.............",906,707,"1,275","1,918",369,28,0,68,98,497,387,769,"7,022"
"Shark, bigeye thresher.........",0,0,0,0,0,0,67,0,0,0,0,0,67
"Shark, leopard......................",52,93,138,20,20,0,0,0,0,0,14,51,387
"Shark, shortfin mako............",93,0,0,0,0,0,0,389,888,870,"1,051",86,"3,377"
"Shark, soupfin......................",629,621,851,74,271,0,80,205,200,"1,278","1,981","1,745","7,935"
"Shark, spiny dogfish.............",446,15,44,871,0,0,0,0,0,0,0,0,"1,376"
"Shark, thresher.....................",429,699,0,0,529,0,"2,538",213,"1,901","1,082","2,916",503,"10,810"
"Sheephead, California..........",281,339,0,0,344,18,109,40,37,305,48,0,"1,520"
"Sierra, Pacific.......................",0,0,0,25,0,0,0,0,0,0,0,0,25
"Skate, unspecified................",247,323,"2,402",451,0,49,0,6,499,125,4,136,"4,241"
"Smelt, whitebait....................",0,0,0,140,0,0,0,0,0,0,0,0,140
"Sole, Dover..........................",0,"25,447","40,249","20,750","34,257","51,516","31,128","24,102","37,214",50,0,668,"265,381"
"Sole, English........................",45,17,30,104,"4,410","4,943","6,379","1,974","9,345","17,315","11,135","2,700","58,396"
"Sole, fantail..........................",4,7,0,3,0,0,1,0,0,57,108,94,274
"Sole, petrale.........................",10,364,"1,744","2,575","4,732","6,092","12,929","4,930","16,972","21,508","27,885","24,765","124,505"
"Sole, rex...............................","1,134","4,938","3,045","3,702","4,497",544,816,0,"5,256",0,"2,424","1,398","27,754"
"Sole, rock.............................",0,9,20,2,0,0,0,4,45,4,4,17,104
"Sole, sand............................",362,66,485,358,127,10,22,182,26,111,199,150,"2,096"
"Sole, unspecified..................",78,0,496,293,77,0,9,29,10,71,124,1,"1,187"
"Surfperch, barred.................",352,998,"1,301","1,296",0,0,759,"1,474",756,"1,225",342,816,"9,318"
"Surfperch, redtail..................",15,0,0,0,0,0,10,0,8,0,0,0,33
"Surfperch, shiner..................",0,0,0,0,0,0,0,0,0,0,116,0,116
"Surfperch, unspecified..........",49,80,134,114,0,9,91,136,782,133,105,109,"1,742"
Swordfish.............................,"2,145",0,0,0,0,0,171,0,448,"60,229","50,654","5,328","118,975"
"Thornyhead, longspine.........",203,"8,866","7,078","4,630","3,801","9,409","14,056","2,996","20,675",0,0,0,"71,714"
"Thornyhead, shortspine........","1,092","1,075","2,215","1,718","2,567","1,635","3,313","1,209","5,734",0,0,0,"20,558"
Thornyheads........................,8,3,0,0,0,0,0,0,0,0,0,0,11
"Trawled fish, unspecified......",0,0,0,0,0,0,0,0,0,0,0,8,8
Triggerfish............................,0,0,0,0,2,0,0,0,0,0,0,0,2
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Tuna, albacore.....................",0,0,0,0,0,"31,057","365,111","270,411","604,769","292,168","318,486","1,871","1,883,871"
"Tuna, bluefin........................",0,0,0,0,0,0,0,"2,169","68,068","56,860","1,121",960,"129,178"
Turbot..................................,1,0,10,25,0,0,17,0,0,11,10,0,74
"Whitefish, ocean..................",0,0,0,0,14,3,0,0,0,0,2,3,22
"Whiting, Pacific....................",0,0,0,0,0,0,0,0,70,0,0,0,70
Yellowtail..............................,0,0,0,0,"3,785",0,0,0,0,0,0,0,"3,785"
Crustaceans,,,,,,,,,,,,,
"Crab, Dungeness.................",41,301,"1,219","2,298","3,331","1,471",0,0,0,0,0,0,"8,660"
"Crab, king.............................",4,14,0,0,0,0,0,0,0,0,0,0,18
"Crab, rock unspecified..........","9,313","8,042","7,252","8,841","9,890","6,490","9,420","11,102","11,365","8,799","7,549","4,296","102,358"
"Crab, spider.........................",44,60,"1,370",12,6,138,279,0,164,4,64,0,"2,140"
"Crustacean, unspecified.......",0,0,0,2,0,0,0,0,0,0,2,0,4
"Lobster, California spiny.......",0,0,0,0,0,0,0,0,0,206,0,541,746
"Prawn, ridgeback.................",0,0,65,0,0,0,0,0,0,0,118,0,183
"Prawn, spot..........................",240,"9,367","8,071","4,967","9,514","8,838","5,383","1,858","13,212","14,958",786,644,"77,839"
"Shrimp, Pacific Ocean..........",0,0,0,"247,412",0,0,0,0,0,0,0,0,"247,412"
Echinoderms,,,,,,,,,,,,,
"Sea cucumber, unspecified..",0,0,506,0,0,0,0,"1,415",0,0,0,0,"1,921"
"Urchin, red...........................","1,538",768,0,0,0,0,0,325,"2,506","3,985",0,0,"9,122"
Mollusks,,,,,,,,,,,,,
"Octopus, unspecified............",0,0,0,0,0,0,0,0,0,0,28,0,28
"Snail, sea.............................",0,0,47,0,8,0,23,15,63,0,0,0,155
"Squid, market.......................",0,0,"38,114",0,0,0,0,0,0,"86,057","50,823",0,"174,994"
"Whelk, Kellet's.....................",46,0,0,0,25,0,0,0,45,0,0,0,116
Waters Area Total:,"63,896","113,835","140,986","315,163","176,167","178,001","534,716","390,630","884,715","608,096","521,932","105,548","4,033,685"
Other Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Flounder, unspecified...........",0,0,0,0,0,0,0,45,0,0,0,0,45
"Halibut, California.................",0,0,0,0,0,0,0,281,0,0,0,0,281
Waters Area Total:,0,0,0,0,0,0,0,325,0,0,0,0,325
Waters North Of State,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June July,,August September,,October,November December,,Landings
Waters North Of State,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Tuna, albacore.....................",0,0,0,0,0,0,0,0,0,490,0  0,,490
Waters Area Total:,0,0,0,0,0,0  0,,0,0,490,0  0,,490
Grand Total,"63,896","113,835","140,986","315,163","176,167","178,001  534,716",,"390,955","884,715","608,586","521,932  105,548",,"4,034,500"
"",,,,,,,,,,,"Total Records:  16,395",,
"",,,,,,*******************,,,,,,,
"",,,,,,End of Report,,,,,,,
