Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Bonito, Pacific...................................",0,0,0,0,0,0,0,0,280,22,0,54,356
Butterfish (Pacific pompano).........,0,0,0,0,2,0,0,0,0,0,0,0,2
Cabezon............................................,"3,749","5,162",0,12,"4,508","4,689","3,243","1,604","2,409","3,571",974,"1,036","30,956"
"Croaker, white...................................",0,0,0,0,0,0,0,"1,894",0,341,15,0,"2,250"
"Eel, monkeyface (prickleback)......",0,6,0,0,7,17,5,0,13,3,3,2,57
"Flounder, starry.................................",54,15,42,136,103,98,104,269,83,61,16,50,"1,031"
"Flounder, unspecified........................",10,11,0,7,20,20,65,134,408,74,76,0,824
"Greenling, kelp..................................",344,325,0,0,466,261,261,0,0,0,0,0,"1,657"
"Guitarfish, shovelnose.......................",0,0,0,0,0,7,16,0,0,0,0,0,23
Hagfishes..........................................,0,0,0,0,0,0,0,0,0,0,115,"5,831","5,946"
"Halibut, California..............................",516,206,91,233,267,"1,510","2,071","2,811","5,886","2,284",568,232,"16,674"
Lingcod.............................................,9,0,0,0,"3,164","4,821","2,941","2,257","1,899","2,326",0,0,"17,417"
Louvar...............................................,0,0,0,0,0,0,0,0,0,534,225,0,759
Opah.................................................,0,0,0,0,729,0,0,70,0,"2,801","3,473",251,"7,324"
"Rockfish, China.................................",2,12,0,0,3,7,4,4,14,13,8,1,69
"Rockfish, aurora................................",0,0,0,0,0,96,0,0,0,0,0,0,96
"Rockfish, bank..................................",0,"5,586","8,292",0,"2,119",0,10,121,0,"3,805",0,0,"19,933"
"Rockfish, black-and-yellow................","1,252",689,0,0,"1,118","1,936","1,424",882,979,"1,316",482,410,"10,485"
"Rockfish, black..................................",0,25,0,0,6,34,3,15,17,11,1,2,114
"Rockfish, blackgill..............................",0,572,"2,763","9,751","4,740","3,633",736,"2,942",215,641,"1,365",272,"27,628"
"Rockfish, blue...................................",188,119,0,0,30,122,33,43,145,86,129,69,963
"Rockfish, bocaccio............................",1,31,0,0,0,39,17,0,32,150,37,9,317
"Rockfish, brown.................................","2,169","5,667",0,0,"4,302","5,524","3,387","3,334","3,777","3,811","3,162","2,785","37,919"
"Rockfish, canary................................",0,0,0,0,0,0,199,0,0,0,0,0,199
"Rockfish, chilipepper.........................",0,0,0,0,0,71,308,100,0,599,0,0,"1,078"
"Rockfish, copper...............................",18,71,0,0,81,145,54,61,82,104,43,23,682
"Rockfish, darkblotched......................",0,133,146,0,3,93,144,0,0,0,0,0,519
"Rockfish, flag....................................",0,0,0,0,446,0,0,0,3,0,0,0,449
"Rockfish, gopher...............................",923,"1,429",0,0,"2,210","3,125","1,583","1,902","1,928","1,763",656,712,"16,230"
"Rockfish, grass.................................",519,960,0,0,"1,181","3,411","2,763","3,618","2,748","3,183","1,580",841,"20,803"
"Rockfish, greenspotted......................",0,0,0,0,0,0,50,0,0,0,0,0,50
"Rockfish, group bolina.......................",0,0,0,0,0,45,39,0,0,0,1,0,84
"Rockfish, group gopher.....................",44,0,0,0,0,45,63,0,0,7,12,0,170
"Rockfish, group nearshore................",0,0,0,0,20,110,134,0,0,46,0,0,310
"Rockfish, group red...........................",13,0,0,0,182,264,206,353,219,127,107,0,"1,470"
"Rockfish, group rosefish....................",0,100,3,0,0,0,323,42,0,1,2,883,"1,354"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, group shelf.........................",0,0,0,0,0,20,0,0,21,0,0,0,41
"Rockfish, group slope........................",0,0,0,"11,816","1,473",0,21,0,0,0,0,0,"13,310"
"Rockfish, group small........................",0,0,0,0,0,0,18,0,0,0,0,0,18
"Rockfish, kelp....................................",55,34,0,0,52,138,215,20,0,6,1,9,528
"Rockfish, olive...................................",6,8,0,0,0,25,34,0,0,2,1,1,77
"Rockfish, rosy...................................",0,0,0,0,706,0,0,0,0,0,0,2,708
"Rockfish, starry.................................",0,1,0,0,0,3,10,0,0,0,2,0,17
"Rockfish, treefish...............................",87,133,0,0,331,260,145,88,143,137,61,50,"1,434"
"Rockfish, unspecified........................",0,0,0,0,20,0,0,0,0,0,0,1,21
"Rockfish, vermilion............................",461,"1,052",0,0,935,"1,543",853,434,654,700,981,628,"8,242"
"Rockfish, widow................................",0,0,0,0,0,0,0,0,5,0,8,0,13
"Rockfish, yellowtail............................",0,0,0,0,0,0,35,0,38,74,39,8,193
Sablefish...........................................,"1,343","1,213","1,034","8,241","7,582","3,143",799,"2,029","4,851","81,641","127,176","27,329","266,379"
"Salmon, Chinook...............................",0,0,0,0,"3,509","4,302",988,230,"2,001",108,0,0,"11,137"
Sanddab............................................,0,0,0,0,0,6,0,0,0,0,0,0,6
"Sardine, Pacific.................................",0,0,0,0,0,0,0,0,0,0,115,0,115
"Seabass, white..................................",0,0,0,0,0,0,391,197,636,358,"4,075",21,"5,678"
"Shark, Pacific angel..........................",88,0,0,66,80,8,0,53,107,147,83,0,632
"Shark, leopard...................................",30,0,0,0,11,114,88,8,0,0,0,8,259
"Shark, pelagic thresher.....................",0,0,0,0,0,0,0,0,0,0,127,0,127
"Shark, sevengill.................................",111,88,0,0,24,0,0,46,0,0,0,0,269
"Shark, shortfin mako.........................",0,0,0,0,0,0,0,78,0,"3,057","4,508","1,018","8,661"
"Shark, soupfin...................................",0,22,0,0,0,0,0,0,"1,712","1,538",76,0,"3,347"
"Shark, spiny dogfish..........................",31,0,0,0,0,0,0,0,0,0,0,0,31
"Shark, thresher..................................",0,0,0,0,"4,469",0,630,"5,722",473,0,693,497,"12,484"
"Sheephead, California.......................",204,200,0,0,249,69,144,26,83,131,9,31,"1,146"
"Skate, unspecified.............................",0,0,0,100,41,0,0,14,0,26,519,256,956
"Sole, Dover.......................................","15,043",0,0,0,"3,536","6,340",0,0,0,0,0,0,"24,919"
"Sole, English.....................................",0,0,0,0,0,0,362,0,0,1,0,0,363
"Sole, petrale......................................",0,56,32,631,0,783,458,0,0,90,56,61,"2,167"
"Sole, rock..........................................",0,14,0,0,2,2,0,0,0,3,0,0,21
