Species,January,February,March,,April,,May,,June,,July,,August,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,,
Butterfish (Pacific pompano).,0,0,0,,37,,0,,0,,0,,0,0,0,,0,0,37
Cabezon....................................,"3,109","3,477",0,,0,,"6,122",,"2,043",,"2,796",,"2,172","4,430","1,638",,"1,199",803,"27,789"
"Eel, monkeyface (prickleback)",3,4,0,,0,,11,,0,,5,,9,10,5,,0,0,48
"Flounder, starry..........................",32,80,58,,0,,5,,16,,117,,60,112,0,,0,4,483
"Flounder, unspecified.................",0,10,0,,0,,0,,0,,19,,16,0,0,,0,0,45
"Greenling, kelp...........................",199,332,0,,0,,490,,174,,298,,0,0,0,,0,0,"1,493"
Grenadier...................................,0,0,0,,0,,0,,0,,0,,0,0,160,,0,0,160
Hagfishes...................................,"5,542","2,135","20,266",,"5,721",,"5,251",,"5,210",,0,,0,0,0,,0,"3,150","47,275"
"Halibut, California.......................",160,351,86,,0,,120,,161,,"1,820",,850,532,0,,70,79,"4,227"
Lingcod......................................,0,0,0,,0,,"4,251",,"2,055",,"2,348",,"2,435","3,041","1,629",,"2,148",6,"17,912"
Louvar........................................,0,0,0,,0,,0,,0,,0,,0,57,43,,79,0,179
"Mackerel, unspecified................",0,0,0,,0,,0,,0,,0,,0,19,5,,0,0,24
Opah..........................................,0,0,0,,0,,0,,0,,0,,0,456,"5,011",,"5,070",0,"10,537"
"Pomfret, Pacific..........................",0,0,0,,0,,0,,0,,0,,0,0,3,,14,0,17
"Ratfish, spotted..........................",0,0,0,,0,,0,,0,,0,,0,0,0,,160,0,160
"Rockfish, China..........................",7,7,0,,0,,13,,17,,12,,19,25,34,,24,0,157
"Rockfish, bank...........................",0,0,"9,061",,0,,0,,4,,0,,0,0,310,,"2,171","4,282","15,827"
"Rockfish, black-and-yellow.........",615,"1,124",0,,0,,"1,392",,"1,475",,"2,266",,"2,227","2,024","1,306",,"1,422",474,"14,325"
"Rockfish, black...........................",23,26,0,,0,,12,,17,,55,,104,63,59,,244,8,610
"Rockfish, blackgill......................",391,101,"1,522",,7,,"3,019",,102,,259,,221,821,767,,293,222,"7,724"
"Rockfish, blue............................",147,116,0,,0,,545,,161,,259,,226,416,210,,43,53,"2,175"
"Rockfish, bocaccio.....................",0,0,0,,0,,8,,0,,17,,20,0,129,,17,0,191
"Rockfish, bronzespotted.............",0,0,27,,0,,0,,0,,0,,0,0,0,,0,10,37
"Rockfish, brown.........................","3,657","2,229",0,,0,,"4,250",,"4,164",,"3,550",,"5,356","5,602","2,790",,"6,018","1,143","38,758"
"Rockfish, chilipepper..................",0,0,0,,0,,0,,0,,377,,0,0,195,,18,"1,354","1,944"
"Rockfish, copper........................",77,124,0,,0,,107,,112,,90,,138,231,80,,144,43,"1,144"
"Rockfish, darkblotched...............",0,0,0,,0,,0,,0,,0,,267,0,0,,0,0,267
"Rockfish, flag.............................",0,0,0,,0,,0,,0,,0,,0,4,1,,0,0,5
"Rockfish, gopher........................","1,361","2,449",0,,0,,"2,156",,"2,891",,"2,253",,"2,176","3,949","2,336",,"2,751","1,305","23,628"
"Rockfish, grass..........................",814,551,0,,0,,"2,604",,"2,609",,"3,655",,"4,960","4,525","1,767",,"1,176",371,"23,031"
"Rockfish, greenstriped...............",0,0,0,,0,,0,,0,,0,,0,0,15,,0,0,15
"Rockfish, group black/blue.........",0,0,0,,0,,3,,0,,0,,0,0,0,,0,0,3
"Rockfish, group bolina................",0,0,0,,0,,359,,6,,0,,0,32,0,,0,45,442
"Rockfish, group gopher..............",0,2,0,,0,,789,,0,,0,,0,0,0,,0,0,791
"Rockfish, group red....................",5,111,0,,0,,188,,103,,58,,121,51,35,,20,17,706
"Rockfish, group rosefish.............",978,0,63,,0,,0,,0,,0,,0,0,93,,661,72,"1,867"
Species,January,February,March,,April,,May,,June,,July,,August,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,,
"Rockfish, group slope................",0,0,0,,0,,6,,0,,0,,0,0,0,,0,0,6
"Rockfish, kelp............................",31,93,0,,0,,54,,44,,34,,33,36,7,,29,8,368
"Rockfish, olive............................",3,4,0,,0,,6,,7,,1,,9,1,1,,14,3,49
"Rockfish, redbanded..................",0,0,0,,0,,0,,6,,0,,0,0,0,,0,0,6
"Rockfish, rosy............................",0,0,0,,0,,0,,0,,0,,11,0,0,,0,0,11
"Rockfish, speckled.....................",0,0,0,,0,,0,,0,,0,,0,0,0,,0,2,2
"Rockfish, splitnose.....................",0,0,5,,0,,0,,0,,0,,0,0,0,,"1,059",300,"1,364"
"Rockfish, starry..........................",0,2,0,,0,,7,,0,,0,,6,8,16,,0,2,41
"Rockfish, treefish.......................",100,208,0,,0,,192,,217,,139,,303,348,196,,156,53,"1,911"
"Rockfish, unspecified.................",0,0,0,,0,,0,,6,,0,,0,9,0,,0,0,15
"Rockfish, vermilion.....................",904,854,0,,0,,"1,576",,623,,376,,739,901,"1,128",,441,217,"7,757"
"Rockfish, widow.........................",0,0,0,,0,,90,,0,,0,,0,0,0,,0,0,90
"Rockfish, yellowtail.....................",1,0,0,,0,,6,,0,,0,,63,23,60,,2,9,164
Sablefish....................................,"17,420","6,566","9,176",,"4,417",,"3,959",,"15,043",,"9,763",,"18,430","47,321","52,329",,"45,608","28,877","258,910"
"Salmon, Chinook........................",0,0,0,,0,,"3,472",,"1,596",,"2,583",,"3,717",777,0,,0,0,"12,144"
Salmon......................................,0,0,0,,0,,"2,688",,20,,68,,0,59,0,,0,0,"2,834"
Sanddab....................................,0,0,0,,0,,2,,0,,3,,0,0,0,,0,0,5
"Seabass, white..........................",0,"1,214",0,,0,,0,,0,,43,,0,0,0,,0,0,"1,257"
"Shark, Pacific angel...................",55,37,0,,0,,0,,0,,26,,13,153,0,,0,13,297
"Shark, leopard............................",0,0,0,,0,,27,,6,,0,,0,20,0,,12,0,65
"Shark, sevengill.........................",0,0,0,,0,,26,,0,,0,,0,0,0,,0,0,26
