Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Anchovy, northern........................",0,0,0,0,0,0,"8,827",0,0,0,0,0,,"8,827"
"Barracuda, California...................",0,0,0,0,0,0,6,0,6,0,198,37,,247
"Bonito, Pacific...............................",0,0,0,0,0,0,27,0,"3,821",203,172,14,,"4,237"
Butterfish (Pacific pompano).....,15,0,2,0,0,0,0,0,0,0,0,0,,17
Cabezon..........................................,"4,217","1,063",0,0,"7,736","2,814","7,211","3,233","5,558","2,444","3,746","1,552",,"39,575"
"Croaker, white................................",42,0,0,0,0,0,0,0,0,0,0,0,,42
"Eel, monkeyface (prickleback)..",0,0,0,0,8,3,0,0,8,0,0,3,,22
"Flounder, starry.............................",103,137,230,200,498,451,334,461,44,113,34,30,,"2,634"
"Flounder, unspecified..................",5,0,0,68,0,0,0,0,0,0,0,0,,73
"Greenling, kelp..............................",800,398,0,0,958,306,742,286,567,309,605,356,,"5,325"
Grenadier........................................,"1,527","1,220","1,072",329,"1,240","2,476","2,913",359,"1,253","1,871",997,630,,"15,886"
"Guitarfish, shovelnose................",0,0,39,0,0,0,0,0,0,0,0,0,,39
Hagfishes.......................................,"66,213","19,452","21,803","33,081","44,564","47,472","38,668","44,226","52,642","40,425","41,869","50,180",,"500,595"
"Halibut, California.........................","1,155",553,"1,392",967,"1,083",909,"1,707","2,322",309,"1,359","1,549",890,,"14,195"
Lingcod............................................,990,661,504,447,"8,837","8,424","10,748","9,644","6,414","5,334","7,460","2,316",,"61,778"
"Lizardfish, California....................",20,0,0,0,0,0,0,0,0,0,0,0,,20
Louvar..............................................,515,0,0,0,0,0,0,0,0,0,0,0,,515
"Mackerel, Pacific..........................",0,0,0,0,0,0,0,0,0,9,0,0,,9
"Mackerel, jack................................",0,0,0,0,0,0,0,0,0,16,0,0,,16
"Mackerel, unspecified.................",30,0,0,0,0,0,0,0,0,0,0,0,,30
Opah................................................,"2,429",0,0,0,0,0,0,0,0,0,0,53,,"2,482"
"Ratfish, spotted............................",0,2,0,0,0,0,0,0,0,0,0,0,,2
"Ray, Pacific electric....................",0,0,13,0,0,0,0,0,0,0,0,0,,13
"Ray, bat...........................................",0,12,8,0,0,0,0,0,0,0,0,0,,20
"Ray, unspecified...........................",5,0,0,0,0,0,0,0,0,0,0,0,,5
"Rockfish, China.............................",36,21,0,0,38,31,22,46,16,16,30,14,,270
"Rockfish, Mexican........................",2,2,0,1,1,3,7,0,3,3,4,0,,26
"Rockfish, Pacific ocean perch..",0,1,0,0,0,0,0,0,0,6,0,0,,7
"Rockfish, aurora............................",221,43,99,5,158,232,177,38,29,19,60,17,,"1,098"
"Rockfish, bank...............................",262,"8,120",159,"4,285","2,449","4,029","2,209",289,"3,139","4,373","1,487","1,643",,"32,444"
"Rockfish, black-and-yellow.......","2,307",693,0,0,"1,827","1,240","2,434","1,179","2,063","1,473","3,340",972,,"17,528"
"Rockfish, black..............................",202,128,0,0,105,50,157,345,110,250,151,414,,"1,911"
"Rockfish, blackgill........................",164,559,282,"1,073",54,96,582,305,565,"1,505",169,205,,"5,559"
"Rockfish, blue................................",197,276,0,0,74,50,732,380,337,492,623,405,,"3,564"
"Rockfish, bocaccio......................",478,724,"1,972",478,576,340,336,"1,200",207,546,22,"1,739",,"8,617"
"Rockfish, bronzespotted.............",0,13,0,0,0,0,0,0,0,0,0,0,,13
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, brown............................","5,412","2,611",0,0,"3,556","4,439","6,244","4,866","5,045","3,899","4,383","1,865","42,320"
"Rockfish, canary...........................",2,0,0,0,0,0,0,0,0,0,0,0,2
"Rockfish, chilipepper...................","2,816","4,308","2,109","3,791","4,591",962,"1,810","3,204","2,613","5,573","1,680","2,724","36,181"
"Rockfish, copper...........................",395,195,0,0,375,405,348,329,248,292,566,284,"3,436"
"Rockfish, cowcod.........................",48,12,57,34,39,26,32,4,0,9,0,33,294
"Rockfish, darkblotched...............",5,6,0,2,4,50,13,4,5,31,6,5,131
"Rockfish, gopher...........................","5,167","2,506",0,0,"5,359","5,614","6,983","4,837","2,980","4,348","4,857","3,315","45,966"
"Rockfish, grass.............................","1,310",287,0,0,"1,187","1,107","2,374","2,115","3,009","1,378","2,143",224,"15,133"
"Rockfish, group red......................",76,39,0,0,14,86,0,46,0,20,0,0,281
"Rockfish, group shelf..................",21,8,95,17,11,7,8,26,6,4,2,9,214
"Rockfish, group slope.................",0,1,0,0,0,0,0,0,0,0,0,0,1
"Rockfish, kelp................................",58,92,0,0,25,35,53,106,32,52,152,73,676
"Rockfish, olive...............................",4,18,0,0,24,16,6,2,2,4,28,4,107
"Rockfish, redbanded....................",1,29,29,54,73,25,7,7,26,20,5,10,286
"Rockfish, shortraker.....................",0,0,0,1,0,0,0,0,0,0,0,0,1
"Rockfish, speckled.......................",0,0,0,0,1,0,0,0,0,0,0,0,1
"Rockfish, splitnose......................",8,60,353,317,54,246,239,32,53,19,0,2,"1,383"
"Rockfish, squarespot..................",0,1,0,0,0,0,0,0,0,0,0,0,1
"Rockfish, starry.............................",5,0,0,0,10,6,4,12,3,0,5,0,45
"Rockfish, treefish.........................",517,352,0,0,634,719,919,477,365,399,604,409,"5,395"
"Rockfish, vermilion.......................","2,450",830,126,7,"2,406","2,480","3,770","1,919","1,724","1,818","1,601","1,081","20,213"
"Rockfish, widow............................",1,4,3,37,3,8,7,7,2,8,0,0,80
"Rockfish, yellowtail......................",38,110,0,0,131,32,216,36,42,15,145,42,805
Sablefish.........................................,"37,633","28,581","53,765","43,861","20,017","28,925","39,539","22,206","45,305","98,203","67,948","33,683","519,666"
"Salmon, Chinook...........................",0,0,0,0,"23,010","10,914","2,273",0,0,0,0,0,"36,197"
"Sanddab, Pacific..........................",1,1,0,0,0,0,0,2,0,32,0,0,36
"Seabass, white.............................",0,185,69,35,0,60,"2,369","1,320",24,344,457,75,"4,939"
"Shad, American.............................",0,0,0,10,0,0,0,0,0,0,0,0,10
