"",,,,,,,,,,,,,,,,,,,,Total
Species,January,,February,March,,April,,May,,June,,July,,August,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,,
"Barracuda, California",0,,0,0,,0,,0,,0,,0,,134,4,0,,0,0,138
"Bass, striped",0,,0,0,,0,,0,,0,,0,,7,0,7,,0,0,14
"Bonito, Pacific",0,,0,0,,0,,0,,0,,0,,0,0,7,,0,0,7
Cabezon,"1,557",,"1,873",0,,0,,485,,"2,119",,"3,855",,"2,645","3,390","1,243",,"2,145","1,045","20,356"
"Flounder, arrowtooth",0,,0,0,,0,,0,,0,,5,,0,0,0,,0,0,5
"Flounder, starry",0,,0,0,,10,,0,,0,,15,,12,7,0,,0,0,44
"Flounder, unspecified",10,,0,0,,0,,0,,0,,0,,0,0,0,,1,0,12
"Greenling, kelp",120,,246,0,,0,,98,,239,,457,,199,238,111,,163,95,"1,964"
Grenadier,588,,95,"2,781",,69,,30,,0,,902,,0,30,583,,"1,331",459,"6,868"
"Hagfish, Pacific",0,,0,0,,0,,390,,425,,"19,728",,"37,409","16,508","47,372",,"32,426","33,981","188,239"
"Hagfish, unspecified","34,142",,"29,354","32,344",,"25,580",,"26,885",,"29,013",,"20,252",,"23,298","3,013","1,105",,586,0,"225,572"
"Halibut, California","2,032",,"1,530","1,854",,"1,053",,699,,"1,045",,"2,826",,"4,651","7,440","2,975",,"3,529","2,313","31,949"
"Halibut, unspecified",0,,0,0,,0,,0,,0,,0,,25,0,0,,0,0,25
Lingcod,"1,395",,"1,568",20,,0,,432,,"3,732",,"6,924",,"4,309","4,984","2,270",,"2,641","1,375","29,650"
"Mackerel, Pacific",0,,0,0,,0,,0,,4,,0,,5,0,0,,0,0,9
"Mackerel, unspecified",0,,0,0,,0,,0,,0,,0,,5,0,2,,0,0,8
Opah,"1,772",,0,0,,0,,0,,0,,0,,0,0,0,,"2,806","3,130","7,708"
"Prickleback, monkeyface",0,,0,0,,0,,0,,0,,0,,8,2,8,,0,0,18
(eel),,,,,,,,,,,,,,,,,,,,
"Rockfish, aurora",0,,5,2,,0,,0,,13,,36,,77,31,15,,3,2,184
"Rockfish, bank",26,,0,0,,0,,4,,"3,012",,"1,814",,0,0,0,,0,0,"4,856"
"Rockfish, black",33,,72,0,,0,,3,,55,,49,,83,68,93,,27,19,502
"Rockfish, black-and-yellow",968,,"1,443",0,,0,,487,,"2,260",,"3,302",,"2,744","2,735","1,798",,"2,716","1,339","19,792"
"Rockfish, blackgill","1,794",,10,421,,405,,0,,839,,"4,452",,"4,528","2,253",10,,"2,057",296,"17,065"
"Rockfish, blue",130,,803,0,,0,,115,,"1,090",,"1,742",,"1,109","1,267",576,,"1,220",296,"8,348"
"Rockfish, bocaccio",568,,55,221,,0,,124,,"1,055",,"13,354",,202,206,386,,319,866,"17,357"
"Rockfish, brown","2,006",,"3,294",0,,0,,407,,"2,867",,"3,487",,"4,524","4,062","1,703",,"3,416","1,151","26,917"
"Rockfish, canary",186,,127,38,,0,,38,,227,,315,,192,116,160,,127,213,"1,738"
"Rockfish, chilipepper",0,,0,9,,0,,0,,695,,25,,0,0,0,,55,3,787
Species,January,February,March,,April,,May,,June,,July,,August,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,
"Rockfish, China",33,17,0,,,0,,2,14,,14,,15,16,6,,25,5,145
"Rockfish, copper",220,438,0,,,0,,138,382,,474,,585,474,234,,447,242,"3,635"
"Rockfish, cowcod",0,0,0,,,0,,0,18,,30,,0,0,0,,0,0,48
"Rockfish, darkblotched",0,0,0,,,0,,0,5,,2,,0,0,0,,0,0,7
"Rockfish, flag",0,0,0,,,0,,5,6,,7,,1,0,1,,0,0,21
"Rockfish, gopher","2,988","4,846",0,,,0,,833,"5,753",,"5,639",,"6,114","5,420","3,796",,"4,900","3,076","43,364"
"Rockfish, grass",343,515,0,,,0,,92,933,,"2,176",,"1,785","2,133",830,,"1,038",742,"10,586"
"Rockfish, greenspotted",3,0,0,,,0,,2,4,,5,,0,2,0,,13,2,30
"Rockfish, greenstriped",0,0,0,,,0,,0,10,,0,,0,0,0,,0,0,10
"Rockfish, group red",24,4,0,,,0,,10,344,,139,,12,3,4,,0,4,544
"Rockfish, group shelf",0,0,0,,,0,,0,2,,18,,0,0,0,,0,0,20
"Rockfish, kelp",37,184,0,,,0,,18,80,,133,,96,102,104,,151,57,961
"Rockfish, Mexican",0,0,0,,,0,,0,3,,13,,0,0,0,,0,0,16
"Rockfish, olive",6,49,0,,,0,,0,51,,107,,14,0,3,,11,24,265
"Rockfish, quillback",0,0,0,,,0,,0,0,,0,,0,3,0,,3,0,6
"Rockfish, redbanded",0,0,0,,,0,,0,1,,1,,0,0,0,,0,0,2
"Rockfish, rosethorn",0,0,0,,,0,,0,0,,1,,0,0,0,,0,0,1
"Rockfish, rosy",0,0,0,,,0,,0,2,,0,,0,0,0,,0,0,2
"Rockfish, rougheye",13,0,0,,,0,,0,0,,0,,0,0,0,,0,0,13
"Rockfish, shortbelly",0,0,0,,,0,,0,3,,0,,0,0,0,,0,0,3
"Rockfish, speckled",0,0,8,,,0,,2,13,,2,,0,4,58,,40,67,193
"Rockfish, splitnose",0,0,0,,,0,,0,"1,749",,"2,823",,0,0,0,,0,0,"4,572"
"Rockfish, squarespot",0,0,0,,,0,,0,2,,0,,0,0,0,,0,0,2
"Rockfish, starry",2,6,0,,,0,,17,7,,46,,21,15,20,,7,1,142
"Rockfish, stripetail",0,0,0,,,0,,0,273,,32,,0,0,0,,0,0,305
"Rockfish, treefish",400,422,0,,,0,,73,354,,475,,731,642,374,,508,282,"4,260"
"Rockfish, unspecified",0,0,0,,,0,,0,140,,0,,0,0,0,,0,0,140
"Rockfish, vermilion","2,763","1,770","1,391",,,0,,459,"4,476",,"4,332",,"2,432","2,616","1,681",,"2,423","2,791","27,135"
Species,January,,February,March,April,,May,,June,,July,,August,,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,,
"Rockfish, widow",0,,0,124,0,,4,,5,,0,,0,,0,2,,4,16,154
"Rockfish, yellowtail",2,,16,49,0,,37,,248,,98,,20,,119,40,,97,27,753
Sablefish,"26,878",,"19,222","35,037","13,750",,"4,083",,"7,900",,"30,228",,"56,699",,"29,619","51,946",,"46,744","13,284","335,390"
"Salmon, Chinook",0,,0,0,0,,933,,"3,191",,"1,259",,157,,"1,038",0,,0,0,"6,577"
"Salmon, Roe (Chinook,",0,,0,0,0,,0,,0,,0,,0,,13,0,,0,0,13
Coho),,,,,,,,,,,,,,,,,,,,
"Sanddab, Pacific",0,,0,0,0,,0,,115,,77,,2,,0,0,,0,0,194
"Seabass, white",20,,52,69,176,,48,,850,,77,,"5,425",,"3,817","4,559",,"12,559",0,"27,653"
"Shad, American",0,,0,0,0,,0,,22,,0,,0,,0,0,,0,0,22
"Shark, leopard",0,,0,0,0,,12,,0,,0,,0,,0,0,,116,0,129
"Shark, Pacific angel",87,,14,31,0,,0,,0,,0,,0,,15,41,,82,163,433
"Shark, sevengill",0,,35,0,0,,0,,0,,0,,0,,43,115,,0,0,193
"Shark, shortfin mako",43,,0,0,0,,0,,0,,0,,81,,26,0,,827,"1,528","2,505"
